generic_name,claim_count
ACETAMINOPHEN WITH CODEINE,21
AMOXICILLIN,226
AMOXICILLIN/POTASSIUM CLAV,13
ARIPIPRAZOLE,11
AZITHROMYCIN,59
CLINDAMYCIN HCL,34
CLONIDINE HCL,14
CLOZAPINE,37
DEXTROAMPHETAMINE/AMPHETAMINE,13
DULOXETINE HCL,16
FLUOXETINE HCL,24
FUROSEMIDE,12
HALOPERIDOL,13
HYDROCHLOROTHIAZIDE,11
HYDROCODONE/ACETAMINOPHEN,169
IBUPROFEN,158
IMIPRAMINE HCL,13
LEVOFLOXACIN,16
LEVOTHYROXINE SODIUM,11
LISINOPRIL,13
MELOXICAM,18
METHYLPREDNISOLONE,42
MIRTAZAPINE,16
OLANZAPINE,43
PROMETHAZINE HCL,12
QUETIAPINE FUMARATE,15
RISPERIDONE,13
SERTRALINE HCL,53
SULFAMETHOXAZOLE/TRIMETHOPRIM,23
TIZANIDINE HCL,14
TRAZODONE HCL,39
