generic_name,claim_count
ACARBOSE,34
ACETAMINOPHEN WITH CODEINE,151
ALBUTEROL SULFATE,99
ALCOHOL ANTISEPTIC PADS,19
ALENDRONATE SODIUM,220
ALLOPURINOL,44
ALPRAZOLAM,80
AMIODARONE HCL,29
AMITRIPTYLINE HCL,11
AMLODIPINE BESYLATE,571
AMLODIPINE BESYLATE/BENAZEPRIL,16
AMOXICILLIN,515
AMOXICILLIN/POTASSIUM CLAV,82
APIXABAN,11
ATENOLOL,95
ATORVASTATIN CALCIUM,571
AZITHROMYCIN,125
BACLOFEN,48
BECLOMETHASONE DIPROPIONATE,32
BENAZEPRIL HCL,49
BICALUTAMIDE,23
BUDESONIDE/FORMOTEROL FUMARATE,26
CALCITRIOL,12
CANAGLIFLOZIN,59
CARVEDILOL,153
CELECOXIB,34
CEPHALEXIN,166
CHLORHEXIDINE GLUCONATE,104
CILOSTAZOL,15
CIPROFLOXACIN HCL,275
CITALOPRAM HYDROBROMIDE,41
CLINDAMYCIN HCL,101
CLONAZEPAM,29
CLONIDINE HCL,50
CLOPIDOGREL BISULFATE,111
CYCLOBENZAPRINE HCL,17
DIAZEPAM,66
DICLOFENAC SODIUM,21
DILTIAZEM HCL,39
DIVALPROEX SODIUM,13
DONEPEZIL HCL,81
DOXYCYCLINE HYCLATE,24
DULOXETINE HCL,41
ENALAPRIL MALEATE,25
ESCITALOPRAM OXALATE,65
ESOMEPRAZOLE MAGNESIUM,22
"ESTROGENS, CONJUGATED",18
ETODOLAC,18
EZETIMIBE,61
FAMOTIDINE,14
FELODIPINE,12
FENOFIBRATE,14
FENOFIBRATE NANOCRYSTALLIZED,21
FENOFIBRIC ACID (CHOLINE),17
FENTANYL,33
FINASTERIDE,503
FLUCONAZOLE,11
FLUOXETINE HCL,31
FLUTICASONE PROPIONATE,83
FLUTICASONE/SALMETEROL,60
FUROSEMIDE,277
GABAPENTIN,350
GLIMEPIRIDE,129
GLIPIZIDE,287
"GLUCAGON,HUMAN RECOMBINANT",22
HYDRALAZINE HCL,100
HYDROCHLOROTHIAZIDE,280
HYDROCODONE/ACETAMINOPHEN,913
IBUPROFEN,210
IMIPRAMINE HCL,24
INSULIN ASPART,201
INSULIN DETEMIR,212
"INSULIN GLARGINE,HUM.REC.ANLOG",337
INSULIN LISPRO,106
"INSULIN REGULAR, HUMAN",22
IPRATROPIUM/ALBUTEROL SULFATE,28
IRBESARTAN,14
ISOSORBIDE DINITRATE,13
LATANOPROST,23
LEVETIRACETAM,13
LEVOFLOXACIN,26
LEVOTHYROXINE SODIUM,760
LINAGLIPTIN,115
LIOTHYRONINE SODIUM,73
LIRAGLUTIDE,26
LISINOPRIL,724
LISINOPRIL/HYDROCHLOROTHIAZIDE,107
LORAZEPAM,103
LOSARTAN POTASSIUM,284
LOSARTAN/HYDROCHLOROTHIAZIDE,89
LOVASTATIN,48
MELOXICAM,87
MEMANTINE HCL,24
METFORMIN HCL,676
METHADONE HCL,11
METHYLPREDNISOLONE,57
METOLAZONE,13
METOPROLOL SUCCINATE,163
METOPROLOL TARTRATE,391
MIRABEGRON,32
MIRTAZAPINE,15
MOMETASONE FUROATE,14
MOMETASONE/FORMOTEROL,11
MONTELUKAST SODIUM,56
MORPHINE SULFATE,29
MUPIROCIN,11
NAPROXEN,109
NIFEDIPINE,55
NITROFURANTOIN MONOHYD/M-CRYST,32
NITROGLYCERIN,11
NORTRIPTYLINE HCL,17
OLMESARTAN MEDOXOMIL,15
OMEPRAZOLE,315
ONDANSETRON,35
ONDANSETRON HCL,33
OXYBUTYNIN CHLORIDE,74
OXYCODONE HCL,196
OXYCODONE HCL/ACETAMINOPHEN,394
PANTOPRAZOLE SODIUM,91
"PEN NEEDLE, DIABETIC",117
"PEN NEEDLE, DIABETIC, SAFETY",13
PENICILLIN V POTASSIUM,36
PENTOSAN POLYSULFATE SODIUM,11
PHENYTOIN SODIUM EXTENDED,19
PIOGLITAZONE HCL,42
POLYETHYLENE GLYCOL 3350,27
POTASSIUM CHLORIDE,177
PRAVASTATIN SODIUM,126
PREDNISONE,245
PREGABALIN,38
PROMETHAZINE HCL,24
RAMIPRIL,28
RANITIDINE HCL,38
ROPINIROLE HCL,14
ROSUVASTATIN CALCIUM,105
SAXAGLIPTIN HCL,47
SAXAGLIPTIN HCL/METFORMIN HCL,12
SERTRALINE HCL,101
SIMVASTATIN,435
SITAGLIPTIN PHOS/METFORMIN HCL,13
SITAGLIPTIN PHOSPHATE,61
SPIRONOLACTONE,46
"SUB-Q INSULIN DEVICE, 30 UNIT",13
"SUB-Q INSULIN DEVICE, 40 UNIT",15
SULFAMETHOXAZOLE/TRIMETHOPRIM,126
"SYRING W-NDL,DISP,INSUL,0.5 ML",21
"SYRINGE AND NEEDLE,INSULIN,1ML",22
TAMSULOSIN HCL,379
TEMAZEPAM,41
TERAZOSIN HCL,79
TIOTROPIUM BROMIDE,71
TIZANIDINE HCL,86
TRAMADOL HCL,383
TRAZODONE HCL,46
TRIAMCINOLONE ACETONIDE,14
TRIAMTERENE/HYDROCHLOROTHIAZID,103
TRIAZOLAM,15
TROSPIUM CHLORIDE,116
VALSARTAN,74
VALSARTAN/HYDROCHLOROTHIAZIDE,43
VENLAFAXINE HCL,15
VERAPAMIL HCL,12
WARFARIN SODIUM,57
ZAFIRLUKAST,12
ZOLPIDEM TARTRATE,46
ZOSTER VACCINE LIVE/PF,18
