generic_name,claim_count
0.9 % SODIUM CHLORIDE,26
ABACAVIR SULFATE,86
ABACAVIR SULFATE/LAMIVUDINE,104
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,80
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,15
ABIRATERONE ACETATE,40
ACARBOSE,48
ACETAMINOPHEN WITH CODEINE,1523
ACETAZOLAMIDE,279
ACETYLCYSTEINE,12
ACITRETIN,22
ACLIDINIUM BROMIDE,57
ACYCLOVIR,565
ADALIMUMAB,381
AFATINIB DIMALEATE,13
ALBUTEROL SULFATE,9287
ALCOHOL ANTISEPTIC PADS,17
ALENDRONATE SODIUM,5869
ALENDRONATE SODIUM/VITAMIN D3,49
ALFUZOSIN HCL,99
ALISKIREN HEMIFUMARATE,101
ALISKIREN/HYDROCHLOROTHIAZIDE,11
ALLOPURINOL,8561
ALPRAZOLAM,5974
AMANTADINE HCL,416
AMILORIDE HCL,58
AMILORIDE/HYDROCHLOROTHIAZIDE,44
AMIODARONE HCL,537
AMITRIPTYLINE HCL,3154
AMLODIPINE BES/OLMESARTAN MED,12
AMLODIPINE BESYLATE,27774
AMLODIPINE BESYLATE/BENAZEPRIL,195
AMLODIPINE/VALSARTAN,125
AMLODIPINE/VALSARTAN/HCTHIAZID,44
AMMONIUM LACTATE,106
AMOXICILLIN,1586
AMOXICILLIN/POTASSIUM CLAV,989
AMPICILLIN TRIHYDRATE,20
ANAGRELIDE HCL,27
ANASTROZOLE,498
APIXABAN,1737
APREMILAST,11
ARIPIPRAZOLE,5751
ARMODAFINIL,71
ASENAPINE MALEATE,295
ASPIRIN/DIPYRIDAMOLE,287
ATAZANAVIR SULFATE,210
ATENOLOL,8332
ATENOLOL/CHLORTHALIDONE,112
ATOMOXETINE HCL,238
ATORVASTATIN CALCIUM,32651
AXITINIB,11
AZATHIOPRINE,238
AZELASTINE HCL,66
AZITHROMYCIN,3827
BACITRACIN/POLYMYXIN B SULFATE,13
BACLOFEN,4255
BALSALAZIDE DISODIUM,11
BECLOMETHASONE DIPROPIONATE,314
BENAZEPRIL HCL,724
BENAZEPRIL/HYDROCHLOROTHIAZIDE,34
BENZTROPINE MESYLATE,5739
BEPOTASTINE BESILATE,13
BESIFLOXACIN HCL,14
BETAXOLOL HCL,25
BETHANECHOL CHLORIDE,136
BICALUTAMIDE,13
BIMATOPROST,898
BISOPROLOL FUMARATE,481
BISOPROLOL FUMARATE/HCTZ,261
BOSENTAN,12
BRIMONIDINE TARTRATE,447
BRIMONIDINE TARTRATE/TIMOLOL,477
BRINZOLAMIDE,87
BRINZOLAMIDE/BRIMONIDINE TART,40
BUDESONIDE,330
BUDESONIDE/FORMOTEROL FUMARATE,1932
BUMETANIDE,154
BUPRENORPHINE,76
BUPRENORPHINE HCL,262
BUPRENORPHINE HCL/NALOXONE HCL,848
BUPROPION HCL,5875
BUSPIRONE HCL,2745
BUTALB/ACETAMINOPHEN/CAFFEINE,112
BUTORPHANOL TARTRATE,56
CALCIPOTRIENE,12
"CALCITONIN,SALMON,SYNTHETIC",154
CALCITRIOL,1683
CALCIUM ACETATE,1062
CANAGLIFLOZIN,480
CANDESARTAN/HYDROCHLOROTHIAZID,13
CAPTOPRIL,55
CARBAMAZEPINE,2910
CARBIDOPA/LEVODOPA,2620
CARBIDOPA/LEVODOPA/ENTACAPONE,23
CARISOPRODOL,1168
CARVEDILOL,12861
CARVEDILOL PHOSPHATE,148
CEFDINIR,230
CEFPROZIL,28
