generic_name,claim_count
0.9 % SODIUM CHLORIDE,2857
ABACAVIR SULFATE,676
ABACAVIR SULFATE/LAMIVUDINE,1460
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,1340
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,97
ABATACEPT,753
ABATACEPT/MALTOSE,56
ABIRATERONE ACETATE,1039
ACAMPROSATE CALCIUM,46
ACARBOSE,1731
ACEBUTOLOL HCL,2331
ACETAMINOPHEN WITH CODEINE,44615
ACETAZOLAMIDE,2313
ACETIC ACID,238
ACETIC ACID/ALUMINUM ACETATE,19
ACETIC ACID/HYDROCORTISONE,117
ACETYLCYSTEINE,163
ACITRETIN,294
ACLIDINIUM BROMIDE,2412
ACYCLOVIR,15427
ADALIMUMAB,6805
AFATINIB DIMALEATE,37
ALBENDAZOLE,12
ALBIGLUTIDE,434
ALBUTEROL SULFATE,200276
ALCAFTADINE,108
ALCLOMETASONE DIPROPIONATE,656
ALCOHOL ANTISEPTIC PADS,3975
ALENDRONATE SODIUM,80131
ALENDRONATE SODIUM/VITAMIN D3,50
ALFUZOSIN HCL,7247
ALISKIREN HEMIFUMARATE,2331
ALISKIREN/HYDROCHLOROTHIAZIDE,649
ALLOPURINOL,164062
ALMOTRIPTAN MALATE,12
ALOGLIPTIN BENZ/METFORMIN HCL,25
ALOGLIPTIN BENZ/PIOGLITAZONE,207
ALOGLIPTIN BENZOATE,73
ALOSETRON HCL,49
ALPHA-1-PROTEINASE INHIBITOR,701
ALPRAZOLAM,386348
AMANTADINE HCL,5205
AMBRISENTAN,1887
AMIKACIN SULFATE,103
AMILORIDE HCL,491
AMILORIDE/HYDROCHLOROTHIAZIDE,878
AMIODARONE HCL,61579
AMITRIP HCL/CHLORDIAZEPOXIDE,873
AMITRIPTYLINE HCL,92194
AMLODIPINE BES/OLMESARTAN MED,3443
AMLODIPINE BESYLATE,727115
AMLODIPINE BESYLATE/BENAZEPRIL,66616
AMLODIPINE/ATORVASTATIN,1111
AMLODIPINE/VALSARTAN,8154
AMLODIPINE/VALSARTAN/HCTHIAZID,2364
AMMONIUM LACTATE,2613
AMOXAPINE,278
AMOXICILLIN,110701
AMOXICILLIN/POTASSIUM CLAV,60430
AMPICILLIN SODIUM,59
AMPICILLIN SODIUM/SULBACTAM NA,91
AMPICILLIN TRIHYDRATE,1969
ANAGRELIDE HCL,679
ANAKINRA,94
ANASTROZOLE,16239
APIXABAN,47866
APOMORPHINE HCL,20
APREMILAST,391
APREPITANT,111
ARFORMOTEROL TARTRATE,78
ARIPIPRAZOLE,37200
ARMODAFINIL,3236
ASENAPINE MALEATE,3316
ASPIRIN/DIPYRIDAMOLE,6340
ATAZANAVIR SULFATE,1202
ATAZANAVIR SULFATE/COBICISTAT,72
ATENOLOL,189698
ATENOLOL/CHLORTHALIDONE,12073
ATOMOXETINE HCL,693
ATORVASTATIN CALCIUM,591984
ATOVAQUONE,120
ATOVAQUONE/PROGUANIL HCL,35
ATROPINE SULFATE,302
AXITINIB,45
AZATHIOPRINE,6234
AZELAIC ACID,311
AZELASTINE HCL,17413
AZELASTINE/FLUTICASONE,1206
AZILSARTAN MED/CHLORTHALIDONE,547
AZILSARTAN MEDOXOMIL,347
AZITHROMYCIN,147414
AZTREONAM,28
AZTREONAM LYSINE,11
BACITRACIN,1296
BACITRACIN/POLYMYXIN B SULFATE,221
BACLOFEN,71291
BALSALAZIDE DISODIUM,1182
BECAPLERMIN,12
BECLOMETHASONE DIPROPIONATE,3769
BENAZEPRIL HCL,63139
BENAZEPRIL/HYDROCHLOROTHIAZIDE,11160
BENZONATATE,35
BENZTROPINE MESYLATE,41842
BEPOTASTINE BESILATE,35
BESIFLOXACIN HCL,3783
BETAMETHASONE DIPROPIONATE,2955
