generic_name,claim_count
ACETAMINOPHEN WITH CODEINE,17
ALBUTEROL SULFATE,37
ALPRAZOLAM,11
AMLODIPINE BESYLATE,14
AMOXICILLIN,241
AMOXICILLIN/POTASSIUM CLAV,33
ATENOLOL,15
ATORVASTATIN CALCIUM,61
ATOVAQUONE/PROGUANIL HCL,26
AZITHROMYCIN,59
BIMATOPROST,37
BRIMONIDINE TARTRATE/TIMOLOL,27
BUDESONIDE/FORMOTEROL FUMARATE,13
CARVEDILOL,12
CEFUROXIME AXETIL,15
CEPHALEXIN,40
CHLORHEXIDINE GLUCONATE,214
CIPROFLOXACIN HCL,22
CITALOPRAM HYDROBROMIDE,15
CLINDAMYCIN HCL,14
CLOBETASOL PROPIONATE,41
CLONAZEPAM,14
CLOPIDOGREL BISULFATE,24
CYCLOBENZAPRINE HCL,11
CYCLOSPORINE,28
DICLOFENAC SODIUM,16
DOXYCYCLINE HYCLATE,15
ERYTHROMYCIN BASE,26
"ESTROGENS, CONJUGATED",25
FLUOROMETHOLONE,12
FLUTICASONE PROPIONATE,11
FUROSEMIDE,19
GABAPENTIN,20
HYDROCHLOROTHIAZIDE,34
HYDROCODONE/ACETAMINOPHEN,354
IBUPROFEN,116
IPRATROPIUM BROMIDE,14
LATANOPROST,23
LEVOFLOXACIN,24
LEVOTHYROXINE SODIUM,23
LISINOPRIL,85
LOSARTAN POTASSIUM,30
MEDROXYPROGESTERONE ACETATE,11
MELOXICAM,11
METFORMIN HCL,38
METOPROLOL SUCCINATE,12
MONTELUKAST SODIUM,15
NITROFURANTOIN MONOHYD/M-CRYST,12
OMEPRAZOLE,85
OXYCODONE HCL,15
OXYCODONE HCL/ACETAMINOPHEN,85
PANTOPRAZOLE SODIUM,21
POTASSIUM CHLORIDE,12
PRAVASTATIN SODIUM,14
PREDNISONE,100
"PROGESTERONE,MICRONIZED",12
RANITIDINE HCL,25
SERTRALINE HCL,30
SIMVASTATIN,40
SITAGLIPTIN PHOSPHATE,14
SULFAMETHOXAZOLE/TRIMETHOPRIM,20
TRAMADOL HCL,82
TRIAMCINOLONE ACETONIDE,11
ZOLPIDEM TARTRATE,26
