generic_name,claim_count
0.9 % SODIUM CHLORIDE,2134
ABACAVIR SULFATE,223
ABACAVIR SULFATE/LAMIVUDINE,468
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,173
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,49
ABATACEPT,248
ABIRATERONE ACETATE,671
ACAMPROSATE CALCIUM,13
ACARBOSE,1236
ACEBUTOLOL HCL,2013
ACETAMINOPHEN WITH CODEINE,49823
ACETAZOLAMIDE,1342
ACETIC ACID,131
ACETIC ACID/HYDROCORTISONE,24
ACETYLCYSTEINE,29
ACITRETIN,184
ACLIDINIUM BROMIDE,2453
ACYCLOVIR,14121
ADALIMUMAB,2869
ADEFOVIR DIPIVOXIL,54
AFATINIB DIMALEATE,63
ALBIGLUTIDE,110
ALBUTEROL SULFATE,148745
ALCAFTADINE,13
ALCLOMETASONE DIPROPIONATE,186
ALCOHOL ANTISEPTIC PADS,2462
ALENDRONATE SODIUM,65783
ALFUZOSIN HCL,2653
ALISKIREN HEMIFUMARATE,1626
ALISKIREN/HYDROCHLOROTHIAZIDE,295
ALLOPURINOL,105555
ALOGLIPTIN BENZ/PIOGLITAZONE,80
ALOGLIPTIN BENZOATE,24
ALOSETRON HCL,34
ALPHA-1-PROTEINASE INHIBITOR,215
ALPRAZOLAM,194902
AMANTADINE HCL,2715
AMBRISENTAN,170
AMCINONIDE,11
AMILORIDE HCL,216
AMILORIDE/HYDROCHLOROTHIAZIDE,644
AMINOCAPROIC ACID,11
AMIODARONE HCL,43693
AMITRIP HCL/CHLORDIAZEPOXIDE,189
AMITRIPTYLINE HCL,68671
AMLODIPINE BES/OLMESARTAN MED,2916
AMLODIPINE BESYLATE,479369
AMLODIPINE BESYLATE/BENAZEPRIL,32162
AMLODIPINE/ATORVASTATIN,250
AMLODIPINE/VALSARTAN,4879
AMLODIPINE/VALSARTAN/HCTHIAZID,855
AMMONIUM LACTATE,466
AMOXAPINE,82
AMOXICILLIN,57296
AMOXICILLIN/POTASSIUM CLAV,31751
AMPICILLIN SODIUM,52
AMPICILLIN SODIUM/SULBACTAM NA,19
AMPICILLIN TRIHYDRATE,664
ANAGRELIDE HCL,384
ANASTROZOLE,12480
APIXABAN,21217
APREMILAST,137
ARFORMOTEROL TARTRATE,46
ARIPIPRAZOLE,24090
ARMODAFINIL,479
ASENAPINE MALEATE,1175
ASPIRIN/DIPYRIDAMOLE,7106
ATAZANAVIR SULFATE,840
ATENOLOL,154341
ATENOLOL/CHLORTHALIDONE,9128
ATOMOXETINE HCL,768
ATORVASTATIN CALCIUM,342859
ATOVAQUONE,29
ATROPINE SULFATE,233
AXITINIB,24
AZATHIOPRINE,3723
AZELAIC ACID,58
AZELASTINE HCL,6007
AZELASTINE/FLUTICASONE,141
AZILSARTAN MED/CHLORTHALIDONE,268
AZILSARTAN MEDOXOMIL,278
AZITHROMYCIN,83832
BACITRACIN,288
BACITRACIN/POLYMYXIN B SULFATE,231
BACLOFEN,38222
BALSALAZIDE DISODIUM,772
BECAPLERMIN,40
BECLOMETHASONE DIPROPIONATE,1855
BELIMUMAB,22
BENAZEPRIL HCL,34853
BENAZEPRIL/HYDROCHLOROTHIAZIDE,3689
BENZONATATE,12
BENZTROPINE MESYLATE,20932
BEPOTASTINE BESILATE,12
BESIFLOXACIN HCL,709
BETAMETHASONE DIPROPIONATE,1864
BETAMETHASONE VALERATE,1253
BETAMETHASONE/PROPYLENE GLYC,727
BETAXOLOL HCL,226
