generic_name,claim_count
0.9 % SODIUM CHLORIDE,2038
ABACAVIR SULFATE,675
ABACAVIR SULFATE/LAMIVUDINE,3321
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,1925
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,79
ABATACEPT,658
ABATACEPT/MALTOSE,11
ABIRATERONE ACETATE,1592
ACAMPROSATE CALCIUM,128
ACARBOSE,1072
ACEBUTOLOL HCL,115
ACETAMINOPHEN WITH CODEINE,31969
ACETAZOLAMIDE,2247
ACETIC ACID,196
ACETIC ACID/HYDROCORTISONE,214
ACETYLCYSTEINE,312
ACITRETIN,191
ACLIDINIUM BROMIDE,4100
ACYCLOVIR,30425
ACYCLOVIR/HYDROCORTISONE,14
ADALIMUMAB,5500
ADAPALENE,13
ADEFOVIR DIPIVOXIL,27
AFATINIB DIMALEATE,52
ALBIGLUTIDE,62
ALBUTEROL SULFATE,193764
ALCAFTADINE,106
ALCLOMETASONE DIPROPIONATE,343
ALCOHOL ANTISEPTIC PADS,5294
ALENDRONATE SODIUM,133547
ALENDRONATE SODIUM/VITAMIN D3,36
ALFUZOSIN HCL,7328
ALGLUCOSIDASE ALFA,13
ALISKIREN HEMIFUMARATE,750
ALISKIREN/HYDROCHLOROTHIAZIDE,64
ALLOPURINOL,125318
ALMOTRIPTAN MALATE,12
ALOGLIPTIN BENZ/METFORMIN HCL,92
ALOGLIPTIN BENZ/PIOGLITAZONE,163
ALOGLIPTIN BENZOATE,697
ALOSETRON HCL,12
ALPHA-1-PROTEINASE INHIBITOR,678
ALPRAZOLAM,186287
ALTRETAMINE,12
AMANTADINE HCL,6107
AMBRISENTAN,2161
AMIKACIN SULFATE,61
AMILORIDE HCL,773
AMILORIDE/HYDROCHLOROTHIAZIDE,270
AMINO ACIDS 5 %/DEXTROSE 15 %,18
AMINO ACIDS 5 %/DEXTROSE 20 %,19
AMIODARONE HCL,32389
AMITRIP HCL/CHLORDIAZEPOXIDE,56
AMITRIPTYLINE HCL,52686
AMLODIPINE BES/OLMESARTAN MED,1737
AMLODIPINE BESYLATE,581009
AMLODIPINE BESYLATE/BENAZEPRIL,12794
AMLODIPINE/ATORVASTATIN,211
AMLODIPINE/VALSARTAN,2144
AMLODIPINE/VALSARTAN/HCTHIAZID,207
AMMONIUM LACTATE,839
AMOXAPINE,61
AMOXICILLIN,86424
AMOXICILLIN/POTASSIUM CLAV,61462
AMPHOTERICIN B,61
AMPHOTERICIN B LIPOSOME,14
AMPICILLIN SODIUM,74
AMPICILLIN SODIUM/SULBACTAM NA,52
AMPICILLIN TRIHYDRATE,457
ANAGRELIDE HCL,526
ANASTROZOLE,19623
APIXABAN,36426
APOMORPHINE HCL,36
APREMILAST,583
APREPITANT,99
ARFORMOTEROL TARTRATE,109
ARIPIPRAZOLE,27518
ARMODAFINIL,712
ASENAPINE MALEATE,667
ASPIRIN/DIPYRIDAMOLE,1524
ATAZANAVIR SULFATE,1740
ATAZANAVIR SULFATE/COBICISTAT,16
ATENOLOL,218121
ATENOLOL/CHLORTHALIDONE,2002
ATOMOXETINE HCL,1190
ATORVASTATIN CALCIUM,568094
ATOVAQUONE,53
ATOVAQUONE/PROGUANIL HCL,233
ATROPINE SULFATE,334
AURANOFIN,24
AXITINIB,25
AZATHIOPRINE,5930
AZELAIC ACID,397
AZELASTINE HCL,16784
AZELASTINE/FLUTICASONE,1955
AZILSARTAN MED/CHLORTHALIDONE,351
AZILSARTAN MEDOXOMIL,347
AZITHROMYCIN,130065
AZTREONAM LYSINE,49
BACITRACIN,807
BACITRACIN/POLYMYXIN B SULFATE,113
BACLOFEN,60526
BALSALAZIDE DISODIUM,1292
BECLOMETHASONE DIPROPIONATE,10241
BENAZEPRIL HCL,38592
BENAZEPRIL/HYDROCHLOROTHIAZIDE,1845
BENZTROPINE MESYLATE,34633
BEPOTASTINE BESILATE,49
BESIFLOXACIN HCL,3605
BETAMETHASONE DIPROPIONATE,3834
BETAMETHASONE VALERATE,891
BETAMETHASONE/PROPYLENE GLYC,1236
BETAXOLOL HCL,284
BETHANECHOL CHLORIDE,1664
BEXAROTENE,13
BICALUTAMIDE,4245
BIMATOPROST,41327
BISMUTH/METRONID/TETRACYCLINE,11
BISOPROLOL FUMARATE,3832
BISOPROLOL FUMARATE/HCTZ,3665
BOSENTAN,564
BOSUTINIB,25
BRIMONIDINE TARTRATE,29779
BRIMONIDINE TARTRATE/TIMOLOL,17568
BRINZOLAMIDE,6432
BRINZOLAMIDE/BRIMONIDINE TART,2978
BROMFENAC SODIUM,3340
BROMOCRIPTINE MESYLATE,560
BUDESONIDE,4869
BUDESONIDE/FORMOTEROL FUMARATE,45338
BUMETANIDE,13664
BUPRENORPHINE,2194
BUPRENORPHINE HCL,1066
BUPRENORPHINE HCL/NALOXONE HCL,3164
BUPROPION HBR,14
BUPROPION HCL,91035
BUSPIRONE HCL,36145
BUTALB/ACETAMINOPHEN/CAFFEINE,7280
BUTALBIT/ACETAMIN/CAFF/CODEINE,633
BUTALBITAL/ACETAMINOPHEN,139
BUTALBITAL/ASPIRIN/CAFFEINE,322
BUTORPHANOL TARTRATE,219
C1 ESTERASE INHIBITOR,45
CABERGOLINE,696
CALCIPOTRIENE,415
CALCIPOTRIENE/BETAMETHASONE,12
"CALCITONIN,SALMON,SYNTHETIC",5697
CALCITRIOL,23189
CALCIUM ACETATE,9414
CALCIUM GLUCONATE,49
CANAGLIFLOZIN,8410
CANAGLIFLOZIN/METFORMIN HCL,321
CANDESARTAN CILEXETIL,612
CANDESARTAN/HYDROCHLOROTHIAZID,136
CAPTOPRIL,4565
CAPTOPRIL/HYDROCHLOROTHIAZIDE,128
CARBAMAZEPINE,19290
CARBIDOPA,202
CARBIDOPA/LEVODOPA,53955
CARBIDOPA/LEVODOPA/ENTACAPONE,1458
CARISOPRODOL,25472
CARTEOLOL HCL,353
CARVEDILOL,204956
CARVEDILOL PHOSPHATE,464
CEFACLOR,93
CEFADROXIL,420
CEFAZOLIN SODIUM,384
CEFDINIR,11636
CEFEPIME HCL,1112
CEFIXIME,27
CEFOXITIN SODIUM,13
CEFPODOXIME PROXETIL,236
CEFPROZIL,20
CEFTAROLINE FOSAMIL ACETATE,24
CEFTAZIDIME,18
CEFTRIAXONE SODIUM,2680
CEFUROXIME AXETIL,4342
CELECOXIB,37301
CEPHALEXIN,102261
CERTOLIZUMAB PEGOL,474
CETIRIZINE HCL,37
CEVIMELINE HCL,514
CHLORAMBUCIL,139
CHLORDIAZEPOXIDE HCL,275
CHLORHEXIDINE GLUCONATE,19330
CHLOROTHIAZIDE,15
CHLORPROMAZINE HCL,2503
CHLORTHALIDONE,13697
CHLORZOXAZONE,553
CHOLESTYRAMINE (WITH SUGAR),3621
CHOLESTYRAMINE/ASPARTAME,391
CICLESONIDE,396
CICLOPIROX,2158
CICLOPIROX OLAMINE,463
CILOSTAZOL,6681
CIMETIDINE,986
CIMETIDINE HCL,11
CINACALCET HCL,11527
CIPROFLOXACIN HCL,127305
