generic_name,claim_count
0.9 % SODIUM CHLORIDE,16148
AA 3.31 %/D9.8W/FAT/ELECT #10,11
AA 4.25%/CALCIUM/LYTES/DEX 10%,64
AA 5 %/CALCIUM/LYTES/DEXT 15 %,117
ABACAVIR SULFATE,7454
ABACAVIR SULFATE/LAMIVUDINE,25228
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,14242
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,996
ABATACEPT,4150
ABATACEPT/MALTOSE,1537
ABIRATERONE ACETATE,9326
ACAMPROSATE CALCIUM,590
ACARBOSE,30005
ACEBUTOLOL HCL,1979
ACETAMINOPHEN WITH CODEINE,391671
ACETAZOLAMIDE,16224
ACETIC ACID,1496
ACETIC ACID/ALUMINUM ACETATE,103
ACETIC ACID/HYDROCORTISONE,735
ACETYLCYSTEINE,1133
ACITRETIN,1952
ACLIDINIUM BROMIDE,15734
ACYCLOVIR,155381
ADALIMUMAB,31176
ADAPALENE,260
ADAPALENE/BENZOYL PEROXIDE,31
ADEFOVIR DIPIVOXIL,914
ADO-TRASTUZUMAB EMTANSINE,78
AFATINIB DIMALEATE,715
AFLIBERCEPT,104
AGALSIDASE BETA,53
ALBENDAZOLE,72
ALBIGLUTIDE,2354
ALBUMIN HUMAN,356
ALBUTEROL SULFATE,1121720
ALCAFTADINE,3250
ALCLOMETASONE DIPROPIONATE,1314
ALCOHOL ANTISEPTIC PADS,66735
ALDESLEUKIN,34
ALENDRONATE SODIUM,1157862
ALENDRONATE SODIUM/VITAMIN D3,399
ALFUZOSIN HCL,38318
ALGLUCOSIDASE ALFA,25
ALIROCUMAB,12
ALISKIREN HEMIFUMARATE,9429
ALISKIREN/AMLODIPINE BESYLATE,16
ALISKIREN/HYDROCHLOROTHIAZIDE,1341
ALLOPURINOL,753455
ALMOTRIPTAN MALATE,12
ALOGLIPTIN BENZ/METFORMIN HCL,758
ALOGLIPTIN BENZ/PIOGLITAZONE,2580
ALOGLIPTIN BENZOATE,2404
ALOSETRON HCL,206
ALPHA-1-PROTEINASE INHIBITOR,1075
ALPRAZOLAM,886890
ALTRETAMINE,18
AMANTADINE HCL,31401
AMBRISENTAN,5584
AMCINONIDE,49
AMIKACIN SULFATE,1503
AMILORIDE HCL,2188
AMILORIDE/HYDROCHLOROTHIAZIDE,1190
AMINO ACIDS 5 %/DEXTROSE 15 %,90
AMINO ACIDS 5 %/DEXTROSE 20 %,40
AMINO ACIDS 5 %/DEXTROSE 25 %,57
AMINO ACIDS 8 %,41
AMINOCAPROIC ACID,35
AMIODARONE HCL,219434
AMITRIP HCL/CHLORDIAZEPOXIDE,66
AMITRIPTYLINE HCL,212451
AMLODIPINE BES/OLMESARTAN MED,34545
AMLODIPINE BESYLATE,3835286
AMLODIPINE BESYLATE/BENAZEPRIL,116928
AMLODIPINE/ATORVASTATIN,2546
AMLODIPINE/VALSARTAN,24097
AMLODIPINE/VALSARTAN/HCTHIAZID,3468
AMMONIUM LACTATE,19054
AMOXAPINE,201
AMOXICILLIN,527704
AMOXICILLIN/POTASSIUM CLAV,178416
AMPHOTERICIN B,70
AMPHOTERICIN B LIPID COMPLEX,28
AMPHOTERICIN B LIPOSOME,16
AMPICILLIN SODIUM,529
AMPICILLIN SODIUM/SULBACTAM NA,1009
AMPICILLIN TRIHYDRATE,7166
ANAGRELIDE HCL,2719
ANAKINRA,132
ANASTROZOLE,110499
APIXABAN,159752
APOMORPHINE HCL,205
APRACLONIDINE HCL,228
APREMILAST,2269
APREPITANT,874
ARFORMOTEROL TARTRATE,258
ARIPIPRAZOLE,245272
ARIPIPRAZOLE LAUROXIL,17
ARMODAFINIL,7258
ASENAPINE MALEATE,10696
ASPIRIN/DIPYRIDAMOLE,27407
ATAZANAVIR SULFATE,24215
ATAZANAVIR SULFATE/COBICISTAT,748
ATENOLOL,1692506
ATENOLOL/CHLORTHALIDONE,15996
ATOMOXETINE HCL,4781
ATORVASTATIN CALCIUM,4273388
ATOVAQUONE,1371
ATOVAQUONE/PROGUANIL HCL,6046
ATROPINE SULFATE,3010
AURANOFIN,60
AXITINIB,463
AZACITIDINE,45
AZATHIOPRINE,22171
AZELAIC ACID,1498
AZELASTINE HCL,104067
AZELASTINE/FLUTICASONE,5934
AZILSARTAN MED/CHLORTHALIDONE,7056
AZILSARTAN MEDOXOMIL,7063
AZITHROMYCIN,674376
AZTREONAM,93
AZTREONAM LYSINE,105
BACITRACIN,9948
BACITRACIN/POLYMYXIN B SULFATE,2917
BACLOFEN,384018
BALANCED SALT IRRIG SOLN NO.2,11
BALSALAZIDE DISODIUM,6401
BECAPLERMIN,329
BECLOMETHASONE DIPROPIONATE,201332
BELATACEPT,109
BELIMUMAB,607
BENAZEPRIL HCL,778197
BENAZEPRIL/HYDROCHLOROTHIAZIDE,54726
BENDAMUSTINE HCL,50
BENZONATATE,31
BENZTROPINE MESYLATE,207883
BEPOTASTINE BESILATE,12753
BESIFLOXACIN HCL,18835
BETAINE,27
BETAMET ACET/BETAMET NA PH,12
BETAMETHASONE DIPROPIONATE,20755
BETAMETHASONE VALERATE,4516
BETAMETHASONE/PROPYLENE GLYC,15769
BETAXOLOL HCL,3518
BETHANECHOL CHLORIDE,17262
BEVACIZUMAB,714
BEXAROTENE,232
BICALUTAMIDE,35551
BIMATOPROST,226523
BISMUTH/METRONID/TETRACYCLINE,16
BISOPROLOL FUMARATE,31623
BISOPROLOL FUMARATE/HCTZ,14033
BLINATUMOMAB,14
BORTEZOMIB,257
BOSENTAN,2658
BOSUTINIB,101
BRENTUXIMAB VEDOTIN,15
BREXPIPRAZOLE,155
BRIMONIDINE TARTRATE,263201
BRIMONIDINE TARTRATE/TIMOLOL,87185
BRINZOLAMIDE,58214
BRINZOLAMIDE/BRIMONIDINE TART,22690
BROMFENAC SODIUM,33323
BROMOCRIPTINE MESYLATE,2772
BUDESONIDE,17605
BUDESONIDE/FORMOTEROL FUMARATE,206012
BUMETANIDE,46670
BUPRENORPHINE,12310
BUPRENORPHINE HCL,6333
BUPRENORPHINE HCL/NALOXONE HCL,21259
BUPROPION HBR,58
BUPROPION HCL,453910
BUSPIRONE HCL,168737
BUTALB/ACETAMINOPHEN/CAFFEINE,20165
BUTALBIT/ACETAMIN/CAFF/CODEINE,3126
BUTALBITAL/ACETAMINOPHEN,192
BUTALBITAL/ASPIRIN/CAFFEINE,3026
BUTENAFINE HCL,11
BUTORPHANOL TARTRATE,1409
C1 ESTERASE INHIBITOR,222
"C1 ESTERASE INHIBITOR, RECOMB",35
CABERGOLINE,3002
CALCIPOTRIENE,9339
CALCIPOTRIENE/BETAMETHASONE,282
"CALCITONIN,SALMON,SYNTHETIC",19380
CALCITRIOL,93536
CALCIUM ACETATE,69993
CALCIUM GLUCONATE,78
CANAGLIFLOZIN,85947
CANAGLIFLOZIN/METFORMIN HCL,3331
CANAKINUMAB/PF,12
CANDESARTAN CILEXETIL,3911
CANDESARTAN/HYDROCHLOROTHIAZID,490
CAPTOPRIL,28375
CAPTOPRIL/HYDROCHLOROTHIAZIDE,334
CARBAMAZEPINE,101288
CARBIDOPA,1211
CARBIDOPA/LEVODOPA,298458
CARBIDOPA/LEVODOPA/ENTACAPONE,9656
CARBOPLATIN,243
CARISOPRODOL,151277
CARTEOLOL HCL,926
CARVEDILOL,1294161
CARVEDILOL PHOSPHATE,14364
CASPOFUNGIN ACETATE,52
CEFACLOR,578
CEFADROXIL,5877
CEFAZOLIN SODIUM,960
CEFDINIR,16269
CEFEPIME HCL,2506
"CEFEPIME HCL/DEXTROSE, ISO-OSM",45
CEFIXIME,341
CEFOXITIN SODIUM,63
CEFPODOXIME PROXETIL,7478
CEFPROZIL,553
CEFTAROLINE FOSAMIL ACETATE,227
CEFTAZIDIME,385
CEFTAZIDIME IN DEXTROSE5%WATER,22
"CEFTAZIDIME NA/DEXTROSE,ISO",14
CEFTOLOZANE/TAZOBACTAM,70
"CEFTRIAXONE NA/DEXTROSE,ISO",206
CEFTRIAXONE SODIUM,10794
CEFUROXIME AXETIL,33542
CELECOXIB,315689
CEPHALEXIN,456205
CERITINIB,64
CERTOLIZUMAB PEGOL,2304
CETIRIZINE HCL,176
CETUXIMAB,256
CEVIMELINE HCL,3907
CHENODIOL,13
CHLORAMBUCIL,570
CHLORDIAZEPOXIDE HCL,1466
CHLORHEXIDINE GLUCONATE,102626
CHLOROQUINE PHOSPHATE,154
CHLOROTHIAZIDE,248
CHLORPROMAZINE HCL,16325
CHLORPROPAMIDE,11
CHLORTHALIDONE,100534
CHLORZOXAZONE,670
CHOLESTYRAMINE (WITH SUGAR),13988
CHOLESTYRAMINE/ASPARTAME,2473
"CHORIONIC GONADOTROPIN, HUMAN",46
CICLESONIDE,2336
CICLOPIROX,30683
CICLOPIROX OLAMINE,17681
CILOSTAZOL,57868
CIMETIDINE,5634
CIMETIDINE HCL,13
CINACALCET HCL,92248
CIPROFLOXACIN,12
CIPROFLOXACIN HCL,586942
CIPROFLOXACIN HCL/DEXAMETH,9414
CIPROFLOXACIN LACTATE/D5W,15
CIPROFLOXACIN/HYDROCORTISONE,14
CISPLATIN,14
CITALOPRAM HYDROBROMIDE,608949
CITRIC ACID/G-LACTONE/MAG CARB,150
CITRIC ACID/SODIUM CITRATE,854
CLARITHROMYCIN,14621
CLEMASTINE FUMARATE,77
CLINDAMYCIN HCL,60401
CLINDAMYCIN PHOS/BENZOYL PEROX,179
CLINDAMYCIN PHOSPHATE,20196
CLINDAMYCIN PHOSPHATE/D5W,11
CLOBAZAM,3992
CLOBETASOL PROPIONATE,180947
CLOBETASOL PROPIONATE/EMOLL,1104
CLOCORTOLONE PIVALATE,20
CLOMIPRAMINE HCL,6002
CLONAZEPAM,632859
CLONIDINE,39913
CLONIDINE HCL,395752
CLOPIDOGREL BISULFATE,1184509
CLORAZEPATE DIPOTASSIUM,2995
CLOTRIMAZOLE,61921
CLOTRIMAZOLE/BETAMETHASONE DIP,65938
CLOZAPINE,113020
COBICISTAT,84
CODEINE SULFATE,666
CODEINE/BUTALBITAL/ASA/CAFFEIN,2868
CODEINE/CARISOPRODOL/ASPIRIN,82
COLCHICINE,84041
COLCHICINE/PROBENECID,1550
COLESEVELAM HCL,35954
COLESTIPOL HCL,5959
COLISTIN (COLISTIMETHATE NA),162
COLLAGENASE CLOSTRIDIUM HIST.,29238
CORTICOTROPIN,715
CRIZOTINIB,458
CROFELEMER,409
CROMOLYN SODIUM,18374
CROTAMITON,37
CYANOCOBALAMIN (VITAMIN B-12),37
CYANOCOBALAMIN/FA/PYRIDOXINE,12
CYCLOBENZAPRINE HCL,157476
CYCLOPENTOLATE HCL,715
CYCLOPHOSPHAMIDE,284
CYCLOSERINE,30
CYCLOSPORINE,233396
"CYCLOSPORINE, MODIFIED",3847
CYPROHEPTADINE HCL,1907
CYSTEAMINE BITARTRATE,23
CYSTEAMINE HCL,30
DABIGATRAN ETEXILATE MESYLATE,95134
DABRAFENIB MESYLATE,211
DACLATASVIR DIHYDROCHLORIDE,380
