generic_name,claim_count
0.9 % SODIUM CHLORIDE,714
ABACAVIR SULFATE,366
ABACAVIR SULFATE/LAMIVUDINE,1520
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,457
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,76
ABATACEPT,537
ABIRATERONE ACETATE,1043
ACAMPROSATE CALCIUM,104
ACARBOSE,303
ACEBUTOLOL HCL,346
ACETAMINOPHEN WITH CODEINE,13409
ACETAZOLAMIDE,1344
ACETIC ACID,786
ACETIC ACID/ALUMINUM ACETATE,13
ACETIC ACID/HYDROCORTISONE,46
ACETYLCYSTEINE,191
ACITRETIN,145
ACLIDINIUM BROMIDE,1005
ACYCLOVIR,21313
ADALIMUMAB,4236
ADAPALENE,14
ADEFOVIR DIPIVOXIL,39
AFATINIB DIMALEATE,43
AFLIBERCEPT,86
ALBIGLUTIDE,59
ALBUTEROL SULFATE,125318
ALCAFTADINE,61
ALCLOMETASONE DIPROPIONATE,28
ALCOHOL ANTISEPTIC PADS,1407
ALENDRONATE SODIUM,93054
ALENDRONATE SODIUM/VITAMIN D3,38
ALFUZOSIN HCL,3168
ALGLUCOSIDASE ALFA,13
ALISKIREN HEMIFUMARATE,536
ALISKIREN/HYDROCHLOROTHIAZIDE,70
ALLOPURINOL,99824
ALMOTRIPTAN MALATE,25
ALOGLIPTIN BENZ/METFORMIN HCL,11
ALOGLIPTIN BENZ/PIOGLITAZONE,28
ALOGLIPTIN BENZOATE,23
ALOSETRON HCL,16
ALPHA-1-PROTEINASE INHIBITOR,343
ALPRAZOLAM,100396
AMANTADINE HCL,5083
AMBRISENTAN,1252
AMIKACIN SULFATE,113
AMILORIDE HCL,665
AMILORIDE/HYDROCHLOROTHIAZIDE,564
AMIODARONE HCL,14287
AMITRIP HCL/CHLORDIAZEPOXIDE,52
AMITRIPTYLINE HCL,36000
AMLODIPINE BES/OLMESARTAN MED,497
AMLODIPINE BESYLATE,340439
AMLODIPINE BESYLATE/BENAZEPRIL,6108
AMLODIPINE/ATORVASTATIN,133
AMLODIPINE/VALSARTAN,734
AMLODIPINE/VALSARTAN/HCTHIAZID,151
AMMONIUM LACTATE,1067
AMOXAPINE,50
AMOXICILLIN,63354
AMOXICILLIN/POTASSIUM CLAV,29232
AMPICILLIN SODIUM,23
AMPICILLIN SODIUM/SULBACTAM NA,14
AMPICILLIN TRIHYDRATE,207
ANAGRELIDE HCL,258
ANAKINRA,24
ANASTROZOLE,13214
ANIDULAFUNGIN,13
APIXABAN,17305
APREMILAST,55
APREPITANT,11
ARFORMOTEROL TARTRATE,58
ARIPIPRAZOLE,30363
ARMODAFINIL,715
ASENAPINE MALEATE,1405
ASPIRIN/DIPYRIDAMOLE,2169
ATAZANAVIR SULFATE,1912
ATENOLOL,135153
ATENOLOL/CHLORTHALIDONE,2046
ATOMOXETINE HCL,996
ATORVASTATIN CALCIUM,435453
ATOVAQUONE,41
ATOVAQUONE/PROGUANIL HCL,771
ATROPINE SULFATE,565
AZATHIOPRINE,5977
AZELAIC ACID,63
AZELASTINE HCL,5660
AZELASTINE/FLUTICASONE,461
AZILSARTAN MED/CHLORTHALIDONE,74
AZILSARTAN MEDOXOMIL,202
AZITHROMYCIN,62537
AZTREONAM LYSINE,41
BACITRACIN,1356
BACITRACIN/POLYMYXIN B SULFATE,318
BACLOFEN,33920
BALSALAZIDE DISODIUM,681
BECLOMETHASONE DIPROPIONATE,12337
BENAZEPRIL HCL,15238
BENAZEPRIL/HYDROCHLOROTHIAZIDE,1195
BENZTROPINE MESYLATE,20452
BEPOTASTINE BESILATE,35
BESIFLOXACIN HCL,5550
BETAMETHASONE DIPROPIONATE,1212
BETAMETHASONE VALERATE,297
BETAMETHASONE/PROPYLENE GLYC,1030
BETAXOLOL HCL,96
BETHANECHOL CHLORIDE,636
BEVACIZUMAB,28
BEXAROTENE,41
BICALUTAMIDE,1848
BIMATOPROST,17444
BISOPROLOL FUMARATE,3206
BISOPROLOL FUMARATE/HCTZ,2913
BOSENTAN,665
BOSUTINIB,35
BRIMONIDINE TARTRATE,15386
BRIMONIDINE TARTRATE/TIMOLOL,10504
BRINZOLAMIDE,2801
BRINZOLAMIDE/BRIMONIDINE TART,1397
BROMFENAC SODIUM,1424
BROMOCRIPTINE MESYLATE,138
BUDESONIDE,4071
BUDESONIDE/FORMOTEROL FUMARATE,34098
BUMETANIDE,7914
BUPRENORPHINE,2207
BUPRENORPHINE HCL,558
BUPRENORPHINE HCL/NALOXONE HCL,3617
BUPROPION HCL,61741
BUSPIRONE HCL,22998
BUTALB/ACETAMINOPHEN/CAFFEINE,3515
BUTALBIT/ACETAMIN/CAFF/CODEINE,394
BUTALBITAL/ACETAMINOPHEN,30
BUTALBITAL/ASPIRIN/CAFFEINE,480
BUTENAFINE HCL,12
BUTORPHANOL TARTRATE,360
C1 ESTERASE INHIBITOR,111
CABERGOLINE,188
CALCIPOTRIENE,170
"CALCITONIN,SALMON,SYNTHETIC",1440
CALCITRIOL,8797
CALCIUM ACETATE,4508
CANAGLIFLOZIN,3357
CANAGLIFLOZIN/METFORMIN HCL,78
CANAKINUMAB/PF,13
CANDESARTAN CILEXETIL,542
CANDESARTAN/HYDROCHLOROTHIAZID,74
CAPTOPRIL,1310
CAPTOPRIL/HYDROCHLOROTHIAZIDE,35
CARBAMAZEPINE,17484
CARBIDOPA,108
CARBIDOPA/LEVODOPA,38916
CARBIDOPA/LEVODOPA/ENTACAPONE,1018
CARISOPRODOL,9662
CARTEOLOL HCL,80
CARVEDILOL,106324
CARVEDILOL PHOSPHATE,467
CEFACLOR,25
CEFADROXIL,629
CEFAZOLIN SODIUM,198
CEFDINIR,2657
CEFEPIME HCL,56
"CEFEPIME HCL/DEXTROSE, ISO-OSM",11
CEFIXIME,32
CEFOXITIN SODIUM,24
CEFPODOXIME PROXETIL,14
CEFPROZIL,230
CEFTAROLINE FOSAMIL ACETATE,18
CEFTOLOZANE/TAZOBACTAM,12
"CEFTRIAXONE NA/DEXTROSE,ISO",58
CEFTRIAXONE SODIUM,1715
CEFUROXIME AXETIL,12293
CELECOXIB,26675
CEPHALEXIN,46939
CERITINIB,11
CERTOLIZUMAB PEGOL,205
CETIRIZINE HCL,56
CEVIMELINE HCL,612
CHLORAMBUCIL,22
CHLORDIAZEPOXIDE HCL,208
CHLORHEXIDINE GLUCONATE,16518
CHLOROQUINE PHOSPHATE,14
CHLOROTHIAZIDE,59
CHLORPROMAZINE HCL,948
CHLORTHALIDONE,10743
CHLORZOXAZONE,180
CHOLESTYRAMINE (WITH SUGAR),1885
CHOLESTYRAMINE/ASPARTAME,206
CICLESONIDE,408
CICLOPIROX,719
CICLOPIROX OLAMINE,540
CILOSTAZOL,1970
CIMETIDINE,355
CINACALCET HCL,7397
CIPROFLOXACIN HCL,51835
CIPROFLOXACIN HCL/DEXAMETH,608
CITALOPRAM HYDROBROMIDE,127239
CITRIC ACID/G-LACTONE/MAG CARB,42
CLARITHROMYCIN,907
CLINDAMYCIN HCL,10432
CLINDAMYCIN PHOS/BENZOYL PEROX,55
CLINDAMYCIN PHOSPHATE,1695
CLOBAZAM,711
CLOBETASOL PROPIONATE,12968
CLOBETASOL PROPIONATE/EMOLL,28
CLOMIPRAMINE HCL,521
CLONAZEPAM,97544
CLONIDINE,1802
CLONIDINE HCL,24261
CLOPIDOGREL BISULFATE,99342
CLORAZEPATE DIPOTASSIUM,969
CLOTRIMAZOLE,1291
CLOTRIMAZOLE/BETAMETHASONE DIP,3143
CLOZAPINE,17033
COBICISTAT,11
CODEINE SULFATE,210
CODEINE/BUTALBITAL/ASA/CAFFEIN,467
COLCHICINE,3631
COLCHICINE/PROBENECID,140
COLESEVELAM HCL,1945
COLESTIPOL HCL,1605
COLLAGENASE CLOSTRIDIUM HIST.,942
CORTICOTROPIN,46
CRIZOTINIB,76
CROMOLYN SODIUM,244
CYCLOBENZAPRINE HCL,37595
CYCLOPHOSPHAMIDE,23
CYCLOSPORINE,12651
"CYCLOSPORINE, MODIFIED",443
CYPROHEPTADINE HCL,725
DABIGATRAN ETEXILATE MESYLATE,11455
DABRAFENIB MESYLATE,47
DACLATASVIR DIHYDROCHLORIDE,12
DALFAMPRIDINE,1909
"DALTEPARIN SODIUM,PORCINE",142
DANAZOL,61
DANTROLENE SODIUM,318
DAPAGLIFLOZIN PROPANEDIOL,694
DAPAGLIFLOZIN/METFORMIN HCL,11
DAPSONE,440
DAPTOMYCIN,204
DARBEPOETIN ALFA IN POLYSORBAT,37
DARIFENACIN HYDROBROMIDE,589
DARUNAVIR ETHANOLATE,2859
DARUNAVIR/COBICISTAT,11
DASATINIB,282
DEFERASIROX,103
DEMECLOCYCLINE HCL,262
DENOSUMAB,655
DESIPRAMINE HCL,720
DESLORATADINE,167
DESMOPRESSIN (NONREFRIGERATED),34
DESMOPRESSIN ACETATE,1365
DESOG-E.ESTRADIOL/E.ESTRADIOL,94
DESOGESTREL-ETHINYL ESTRADIOL,86
DESONIDE,1409
DESOXIMETASONE,293
DESVENLAFAXINE,91
DESVENLAFAXINE SUCCINATE,3679
DEXAMETHASONE,6662
DEXAMETHASONE SOD PHOSPHATE,233
DEXLANSOPRAZOLE,9946
DEXMETHYLPHENIDATE HCL,46
DEXTROAMPHETAMINE SULFATE,1285
DEXTROAMPHETAMINE/AMPHETAMINE,10283
DEXTROMETHORPHAN HBR/QUINIDINE,2036
DEXTROSE 5 %-0.45 % NACL,162
DEXTROSE 70 % IN WATER,595
DIAZEPAM,45366
DICLOFENAC EPOLAMINE,158
DICLOFENAC POTASSIUM,767
DICLOFENAC SODIUM,51422
DICLOFENAC SODIUM/MISOPROSTOL,175
DICLOFENAC SUBMICRONIZED,20
DICLOXACILLIN SODIUM,785
DICYCLOMINE HCL,10756
DIDANOSINE,23
DIFLUNISAL,208
DIFLUPREDNATE,9030
DIGOXIN,32523
DIHYDROERGOTAMINE MESYLATE,22
DILTIAZEM HCL,45861
