generic_name,claim_count
0.9 % SODIUM CHLORIDE,948
ABACAVIR SULFATE,685
ABACAVIR SULFATE/LAMIVUDINE,1858
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,1501
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,91
ABATACEPT,258
ABATACEPT/MALTOSE,30
ABIRATERONE ACETATE,1152
ACAMPROSATE CALCIUM,274
ACARBOSE,511
ACEBUTOLOL HCL,571
ACETAMINOPHEN WITH CODEINE,19333
ACETAZOLAMIDE,2443
ACETIC ACID,733
ACETIC ACID/HYDROCORTISONE,131
ACETYLCYSTEINE,351
ACITRETIN,105
ACLIDINIUM BROMIDE,8064
ACYCLOVIR,5784
ADALIMUMAB,3131
ADEFOVIR DIPIVOXIL,26
AFATINIB DIMALEATE,92
ALBIGLUTIDE,131
ALBUTEROL SULFATE,107578
ALCAFTADINE,364
ALCLOMETASONE DIPROPIONATE,480
ALCOHOL ANTISEPTIC PADS,1239
ALENDRONATE SODIUM,62310
ALENDRONATE SODIUM/VITAMIN D3,39
ALFUZOSIN HCL,6366
ALISKIREN HEMIFUMARATE,772
ALISKIREN/HYDROCHLOROTHIAZIDE,72
ALLOPURINOL,85704
ALMOTRIPTAN MALATE,16
ALOGLIPTIN BENZ/METFORMIN HCL,22
ALOGLIPTIN BENZ/PIOGLITAZONE,113
ALOSETRON HCL,35
ALPHA-1-PROTEINASE INHIBITOR,262
ALPRAZOLAM,150099
AMANTADINE HCL,4963
AMBRISENTAN,413
AMIKACIN SULFATE,26
AMILORIDE HCL,675
AMILORIDE/HYDROCHLOROTHIAZIDE,969
AMIODARONE HCL,17702
AMITRIP HCL/CHLORDIAZEPOXIDE,12
AMITRIPTYLINE HCL,26013
AMLODIPINE BES/OLMESARTAN MED,3971
AMLODIPINE BESYLATE,417624
AMLODIPINE BESYLATE/BENAZEPRIL,17662
AMLODIPINE/ATORVASTATIN,1026
AMLODIPINE/VALSARTAN,2715
AMLODIPINE/VALSARTAN/HCTHIAZID,551
AMMONIUM LACTATE,7506
AMOXAPINE,22
AMOXICILLIN,66194
AMOXICILLIN/POTASSIUM CLAV,26139
AMPICILLIN SODIUM,132
AMPICILLIN SODIUM/SULBACTAM NA,80
AMPICILLIN TRIHYDRATE,647
ANAGRELIDE HCL,583
ANAKINRA,14
ANASTROZOLE,16133
APIXABAN,26919
APOMORPHINE HCL,55
APRACLONIDINE HCL,35
APREMILAST,204
APREPITANT,120
ARFORMOTEROL TARTRATE,395
ARIPIPRAZOLE,42583
ARMODAFINIL,1538
ASENAPINE MALEATE,1872
ASPIRIN/DIPYRIDAMOLE,3573
ATAZANAVIR SULFATE,2152
ATENOLOL,132599
ATENOLOL/CHLORTHALIDONE,4056
ATOMOXETINE HCL,1031
ATORVASTATIN CALCIUM,532502
ATOVAQUONE,342
ATOVAQUONE/PROGUANIL HCL,293
ATROPINE SULFATE,141
AXITINIB,40
AZATHIOPRINE,3111
AZELAIC ACID,434
AZELASTINE HCL,5415
AZELASTINE/FLUTICASONE,1491
AZILSARTAN MED/CHLORTHALIDONE,521
AZILSARTAN MEDOXOMIL,449
AZITHROMYCIN,71841
AZTREONAM,56
AZTREONAM LYSINE,11
AZTREONAM/DEXTROSE-WATER,25
BACITRACIN,2020
BACITRACIN/POLYMYXIN B SULFATE,13
BACLOFEN,26686
BALSALAZIDE DISODIUM,1129
BECAPLERMIN,23
BECLOMETHASONE DIPROPIONATE,3968
BELIMUMAB,11
BENAZEPRIL HCL,18271
BENAZEPRIL/HYDROCHLOROTHIAZIDE,1514
BENZONATATE,12
BENZTROPINE MESYLATE,36728
BEPOTASTINE BESILATE,331
BESIFLOXACIN HCL,2905
BETAMETHASONE DIPROPIONATE,2875
BETAMETHASONE VALERATE,1488
BETAMETHASONE/PROPYLENE GLYC,1694
BETAXOLOL HCL,549
BETHANECHOL CHLORIDE,1478
BEVACIZUMAB,61
BEXAROTENE,216
BICALUTAMIDE,2975
BIMATOPROST,35482
BISOPROLOL FUMARATE,1350
BISOPROLOL FUMARATE/HCTZ,2518
BORTEZOMIB,40
BOSENTAN,345
BOSUTINIB,25
BRIMONIDINE TARTRATE,23586
BRIMONIDINE TARTRATE/TIMOLOL,19496
BRINZOLAMIDE,6272
BRINZOLAMIDE/BRIMONIDINE TART,3612
BROMFENAC SODIUM,5938
BROMOCRIPTINE MESYLATE,340
BUDESONIDE,7752
BUDESONIDE/FORMOTEROL FUMARATE,36319
BUMETANIDE,4465
BUPRENORPHINE,1884
BUPRENORPHINE HCL,964
BUPRENORPHINE HCL/NALOXONE HCL,14433
BUPROPION HBR,24
BUPROPION HCL,71679
BUSPIRONE HCL,21525
BUTALB/ACETAMINOPHEN/CAFFEINE,4875
BUTALBIT/ACETAMIN/CAFF/CODEINE,765
BUTALBITAL/ACETAMINOPHEN,12
BUTALBITAL/ASPIRIN/CAFFEINE,361
BUTENAFINE HCL,11
BUTORPHANOL TARTRATE,190
C1 ESTERASE INHIBITOR,11
CABERGOLINE,404
CABOZANTINIB S-MALATE,14
CALCIPOTRIENE,1026
CALCIPOTRIENE/BETAMETHASONE,26
"CALCITONIN,SALMON,SYNTHETIC",2702
CALCITRIOL,11783
CALCIUM ACETATE,4694
CANAGLIFLOZIN,8082
CANAGLIFLOZIN/METFORMIN HCL,79
CANDESARTAN CILEXETIL,1177
CANDESARTAN/HYDROCHLOROTHIAZID,117
CAPTOPRIL,1025
CAPTOPRIL/HYDROCHLOROTHIAZIDE,69
CARBAMAZEPINE,19157
CARBIDOPA,128
CARBIDOPA/LEVODOPA,33995
CARBIDOPA/LEVODOPA/ENTACAPONE,2197
CARBOPLATIN,14
CARISOPRODOL,7411
CARTEOLOL HCL,177
CARVEDILOL,115996
CARVEDILOL PHOSPHATE,2901
CEFACLOR,320
CEFADROXIL,2427
CEFAZOLIN SODIUM,62
"CEFAZOLIN SODIUM/DEXTROSE,ISO",23
CEFDINIR,1956
CEFEPIME HCL,161
"CEFEPIME HCL/DEXTROSE, ISO-OSM",75
CEFIXIME,25
CEFOXITIN SODIUM,15
CEFPODOXIME PROXETIL,1789
CEFPROZIL,357
CEFTAZIDIME,11
"CEFTRIAXONE NA/DEXTROSE,ISO",134
CEFTRIAXONE SODIUM,1535
CEFUROXIME AXETIL,11815
CELECOXIB,25266
CEPHALEXIN,38389
CERITINIB,11
CERTOLIZUMAB PEGOL,135
CETIRIZINE HCL,38
CEVIMELINE HCL,509
CHLORAMBUCIL,129
CHLORDIAZEPOXIDE HCL,282
CHLORHEXIDINE GLUCONATE,20246
CHLOROQUINE PHOSPHATE,11
CHLOROTHIAZIDE,12
CHLORPROMAZINE HCL,2897
CHLORPROPAMIDE,39
CHLORTHALIDONE,15355
CHLORZOXAZONE,223
CHOLESTYRAMINE (WITH SUGAR),2090
CHOLESTYRAMINE/ASPARTAME,231
CICLESONIDE,336
CICLOPIROX,2513
CICLOPIROX OLAMINE,3038
CILOSTAZOL,4168
CIMETIDINE,60
CINACALCET HCL,8748
CIPROFLOXACIN,12
CIPROFLOXACIN HCL,50587
CIPROFLOXACIN HCL/DEXAMETH,885
CITALOPRAM HYDROBROMIDE,79683
CITRIC ACID/G-LACTONE/MAG CARB,13
CLARITHROMYCIN,1570
CLEMASTINE FUMARATE,67
CLINDAMYCIN HCL,5895
CLINDAMYCIN PHOS/BENZOYL PEROX,119
CLINDAMYCIN PHOSPHATE,2603
CLOBAZAM,1299
CLOBETASOL PROPIONATE,17691
CLOBETASOL PROPIONATE/EMOLL,272
CLOMIPRAMINE HCL,2643
CLONAZEPAM,129530
CLONIDINE,2009
CLONIDINE HCL,13332
CLOPIDOGREL BISULFATE,114812
CLORAZEPATE DIPOTASSIUM,1768
CLOTRIMAZOLE,4254
CLOTRIMAZOLE/BETAMETHASONE DIP,13422
CLOZAPINE,31117
CODEINE SULFATE,376
CODEINE/BUTALBITAL/ASA/CAFFEIN,314
COLCHICINE,11545
COLCHICINE/PROBENECID,68
COLESEVELAM HCL,4835
COLESTIPOL HCL,1192
COLISTIN (COLISTIMETHATE NA),11
COLLAGENASE CLOSTRIDIUM HIST.,3295
CORTICOTROPIN,12
CRIZOTINIB,71
CROMOLYN SODIUM,246
CYCLOBENZAPRINE HCL,25447
CYCLOPENTOLATE HCL,49
CYCLOPHOSPHAMIDE,107
CYCLOSPORINE,22236
"CYCLOSPORINE, MODIFIED",521
CYPROHEPTADINE HCL,474
DABIGATRAN ETEXILATE MESYLATE,16816
DACLATASVIR DIHYDROCHLORIDE,12
DALFAMPRIDINE,1201
"DALTEPARIN SODIUM,PORCINE",21
DANAZOL,14
DANTROLENE SODIUM,361
DAPAGLIFLOZIN PROPANEDIOL,711
DAPSONE,469
DAPTOMYCIN,209
DARBEPOETIN ALFA IN POLYSORBAT,533
DARIFENACIN HYDROBROMIDE,1289
DARUNAVIR ETHANOLATE,3031
DARUNAVIR/COBICISTAT,155
DASATINIB,260
DEFERASIROX,120
DEMECLOCYCLINE HCL,98
DENOSUMAB,1516
DESIPRAMINE HCL,878
DESLORATADINE,1586
DESLORATADINE/PSEUDOEPHEDRINE,11
DESMOPRESSIN (NONREFRIGERATED),65
DESMOPRESSIN ACETATE,1800
DESOG-E.ESTRADIOL/E.ESTRADIOL,116
DESOGESTREL-ETHINYL ESTRADIOL,105
DESONIDE,2999
DESOXIMETASONE,2015
DESVENLAFAXINE,38
DESVENLAFAXINE SUCCINATE,5363
DEXAMETHASONE,5290
DEXAMETHASONE SOD PHOSPHATE,97
DEXLANSOPRAZOLE,31442
DEXMETHYLPHENIDATE HCL,172
DEXTROAMPHETAMINE SULFATE,765
DEXTROAMPHETAMINE/AMPHETAMINE,10528
DEXTROMETHORPHAN HBR/QUINIDINE,3144
DEXTROSE 5 % AND 0.9 % NACL,139
DEXTROSE 5 % IN WATER,30
DEXTROSE 5 %-0.45 % NACL,997
DEXTROSE 5%-LACTATED RINGERS,11
DEXTROSE 70 % IN WATER,248
DIAZEPAM,39178
DIAZOXIDE,71
DICLOFENAC EPOLAMINE,291
DICLOFENAC POTASSIUM,476
DICLOFENAC SODIUM,30093
DICLOFENAC SODIUM/MISOPROSTOL,512
DICLOFENAC SUBMICRONIZED,56
DICLOXACILLIN SODIUM,51
DICYCLOMINE HCL,8879
DIDANOSINE,99
DIFLORASONE DIACETATE,77
DIFLUNISAL,263
DIFLUPREDNATE,9813
DIGOXIN,40558
DIHYDROERGOTAMINE MESYLATE,33
DILTIAZEM HCL,67457
DIMETHYL FUMARATE,1735
"DIPH,PERTUSS(ACELL),TET VAC/PF",947
DIPHENHYDRAMINE HCL,122
DIPHENOXYLATE HCL/ATROPINE,4788
"DIPHTH,PERTUSS(ACELL),TET VAC",1548
DIPYRIDAMOLE,187
DISOPYRAMIDE PHOSPHATE,209
DISULFIRAM,246
DIVALPROEX SODIUM,68102
DOFETILIDE,2707
DOLASETRON MESYLATE,60
DOLUTEGRAVIR SODIUM,1332
DONEPEZIL HCL,91447
DORNASE ALFA,13
DORZOLAMIDE HCL,8330
DORZOLAMIDE HCL/TIMOLOL MALEAT,23924
DORZOLAMIDE/TIMOLOL/PF,711
DOXAZOSIN MESYLATE,24745
DOXEPIN HCL,5032
DOXERCALCIFEROL,63
DOXYCYCLINE HYCLATE,26363
DOXYCYCLINE MONOHYDRATE,2172
DRONABINOL,527
DRONEDARONE HCL,2883
DROXIDOPA,23
DULAGLUTIDE,376
DULOXETINE HCL,96226
DUTASTERIDE,11887
DUTASTERIDE/TAMSULOSIN HCL,1751
ECHOTHIOPHATE IODIDE,113
ECONAZOLE NITRATE,7264
EDOXABAN TOSYLATE,45
EFAVIRENZ,895
EFAVIRENZ/EMTRICITAB/TENOFOVIR,2957
EFINACONAZOLE,188
ELETRIPTAN HBR,428
ELIGLUSTAT TARTRATE,34
ELTROMBOPAG OLAMINE,67
ELVITEG/COBI/EMTRIC/TENOFO ALA,11
ELVITEGR/COBICIST/EMTRIC/TENOF,1249
EMPAGLIFLOZIN,509
EMTRICITAB/RILPIVIRINE/TENOFOV,715
EMTRICITABINE,191
EMTRICITABINE/TENOFOVIR,4666
ENALAPRIL MALEATE,23652
ENALAPRIL/HYDROCHLOROTHIAZIDE,827
ENOXAPARIN SODIUM,5661
ENTACAPONE,2188
ENTECAVIR,338
ENZALUTAMIDE,940
EPINASTINE HCL,242
EPINEPHRINE,343
EPLERENONE,1697
EPOETIN ALFA,1176
ERGOCALCIFEROL (VITAMIN D2),87
ERGOTAMINE TARTRATE/CAFFEINE,28
ERLOTINIB HCL,751
ERTAPENEM SODIUM,184
ERYTHROMYCIN BASE,7123
