generic_name,claim_count
0.9 % SODIUM CHLORIDE,59
ABACAVIR SULFATE,781
ABACAVIR SULFATE/LAMIVUDINE,2150
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,1321
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,11
ABATACEPT,51
ABIRATERONE ACETATE,134
ACARBOSE,222
ACETAMINOPHEN WITH CODEINE,10500
ACETAZOLAMIDE,380
ACETIC ACID/ALUMINUM ACETATE,15
ACETYLCYSTEINE,26
ACITRETIN,12
ACLIDINIUM BROMIDE,109
ACYCLOVIR,1324
ADALIMUMAB,406
ADAPALENE,13
ALBUTEROL SULFATE,17852
ALCOHOL ANTISEPTIC PADS,358
ALENDRONATE SODIUM,7472
ALFUZOSIN HCL,926
ALISKIREN HEMIFUMARATE,34
ALISKIREN/HYDROCHLOROTHIAZIDE,28
ALLOPURINOL,9137
ALPHA-1-PROTEINASE INHIBITOR,13
ALPRAZOLAM,6935
AMANTADINE HCL,535
AMBRISENTAN,189
AMILORIDE HCL,25
AMILORIDE/HYDROCHLOROTHIAZIDE,22
AMIODARONE HCL,1383
AMITRIPTYLINE HCL,3451
AMLODIPINE BES/OLMESARTAN MED,414
AMLODIPINE BESYLATE,73724
AMLODIPINE BESYLATE/BENAZEPRIL,1905
AMLODIPINE/ATORVASTATIN,110
AMLODIPINE/VALSARTAN,399
AMLODIPINE/VALSARTAN/HCTHIAZID,190
AMMONIUM LACTATE,2874
AMOXAPINE,12
AMOXICILLIN,4378
AMOXICILLIN/POTASSIUM CLAV,2045
AMPICILLIN SODIUM,18
AMPICILLIN TRIHYDRATE,79
ANAGRELIDE HCL,41
ANASTROZOLE,1232
APIXABAN,2729
ARFORMOTEROL TARTRATE,11
ARIPIPRAZOLE,4747
ARMODAFINIL,26
ARTEMETHER/LUMEFANTRINE,79
ASENAPINE MALEATE,142
ASPIRIN/DIPYRIDAMOLE,655
ATAZANAVIR SULFATE,2269
ATAZANAVIR SULFATE/COBICISTAT,63
ATENOLOL,13960
ATENOLOL/CHLORTHALIDONE,761
ATOMOXETINE HCL,43
ATORVASTATIN CALCIUM,63630
ATOVAQUONE,131
ATOVAQUONE/PROGUANIL HCL,315
ATROPINE SULFATE,12
AZATHIOPRINE,316
AZELAIC ACID,31
AZELASTINE HCL,1012
AZELASTINE/FLUTICASONE,158
AZILSARTAN MED/CHLORTHALIDONE,25
AZILSARTAN MEDOXOMIL,51
AZITHROMYCIN,5373
BACITRACIN,56
BACLOFEN,2529
BALSALAZIDE DISODIUM,22
BECAPLERMIN,13
BECLOMETHASONE DIPROPIONATE,1451
BENAZEPRIL HCL,673
BENAZEPRIL/HYDROCHLOROTHIAZIDE,62
BENZTROPINE MESYLATE,6284
BESIFLOXACIN HCL,185
BETAINE,12
BETAMETHASONE DIPROPIONATE,282
BETAMETHASONE VALERATE,85
BETAMETHASONE/PROPYLENE GLYC,55
BETAXOLOL HCL,23
BETHANECHOL CHLORIDE,87
BICALUTAMIDE,633
BIMATOPROST,2582
BISOPROLOL FUMARATE,46
BISOPROLOL FUMARATE/HCTZ,134
BOSENTAN,81
BRIMONIDINE TARTRATE,4784
BRIMONIDINE TARTRATE/TIMOLOL,2182
BRINZOLAMIDE,808
BRINZOLAMIDE/BRIMONIDINE TART,384
BROMFENAC SODIUM,258
BUDESONIDE,247
BUDESONIDE/FORMOTEROL FUMARATE,2729
BUMETANIDE,332
BUPRENORPHINE,99
BUPRENORPHINE HCL,79
BUPRENORPHINE HCL/NALOXONE HCL,2969
BUPROPION HCL,7152
BUSPIRONE HCL,1813
BUTALB/ACETAMINOPHEN/CAFFEINE,230
BUTALBIT/ACETAMIN/CAFF/CODEINE,72
BUTALBITAL/ASPIRIN/CAFFEINE,80
BUTORPHANOL TARTRATE,54
CABERGOLINE,24
CALCIPOTRIENE,30
