generic_name,claim_count
0.9 % SODIUM CHLORIDE,24
ABACAVIR SULFATE,288
ABACAVIR SULFATE/LAMIVUDINE,1218
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,500
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,23
ABATACEPT,28
ABIRATERONE ACETATE,288
ACAMPROSATE CALCIUM,24
ACARBOSE,208
ACEBUTOLOL HCL,31
ACETAMINOPHEN WITH CODEINE,8461
ACETAZOLAMIDE,279
ACETIC ACID,143
ACETIC ACID/HYDROCORTISONE,45
ACETYLCYSTEINE,20
ACITRETIN,13
ACLIDINIUM BROMIDE,695
ACYCLOVIR,2004
ADALIMUMAB,1015
ADAPALENE,12
AGALSIDASE BETA,26
ALBUTEROL SULFATE,30194
ALCAFTADINE,23
ALCLOMETASONE DIPROPIONATE,111
ALCOHOL ANTISEPTIC PADS,195
ALENDRONATE SODIUM,11557
ALFUZOSIN HCL,1087
ALISKIREN HEMIFUMARATE,77
ALISKIREN/HYDROCHLOROTHIAZIDE,12
ALLOPURINOL,17827
ALOGLIPTIN BENZ/PIOGLITAZONE,36
ALOGLIPTIN BENZOATE,11
ALPHA-1-PROTEINASE INHIBITOR,50
ALPRAZOLAM,51778
AMANTADINE HCL,546
AMBRISENTAN,27
AMILORIDE HCL,138
AMILORIDE/HYDROCHLOROTHIAZIDE,31
AMIODARONE HCL,6983
AMITRIP HCL/CHLORDIAZEPOXIDE,12
AMITRIPTYLINE HCL,5095
AMLODIPINE BES/OLMESARTAN MED,795
AMLODIPINE BESYLATE,89575
AMLODIPINE BESYLATE/BENAZEPRIL,4540
AMLODIPINE/ATORVASTATIN,211
AMLODIPINE/VALSARTAN,883
AMLODIPINE/VALSARTAN/HCTHIAZID,274
AMMONIUM LACTATE,1679
AMOXICILLIN,17067
AMOXICILLIN/POTASSIUM CLAV,10264
AMPICILLIN TRIHYDRATE,87
ANAGRELIDE HCL,22
ANASTROZOLE,3069
APIXABAN,7147
APREMILAST,76
ARFORMOTEROL TARTRATE,13
ARIPIPRAZOLE,7554
ARMODAFINIL,130
ASENAPINE MALEATE,231
ASPIRIN/DIPYRIDAMOLE,301
ATAZANAVIR SULFATE,899
ATAZANAVIR SULFATE/COBICISTAT,11
ATENOLOL,34569
ATENOLOL/CHLORTHALIDONE,1136
ATOMOXETINE HCL,377
ATORVASTATIN CALCIUM,118413
ATOVAQUONE,11
ATOVAQUONE/PROGUANIL HCL,25
AZATHIOPRINE,377
AZELAIC ACID,68
AZELASTINE HCL,2663
AZELASTINE/FLUTICASONE,342
AZILSARTAN MED/CHLORTHALIDONE,68
AZILSARTAN MEDOXOMIL,12
AZITHROMYCIN,19410
AZTREONAM,16
BACITRACIN,155
BACITRACIN/POLYMYXIN B SULFATE,77
BACLOFEN,5903
BALSALAZIDE DISODIUM,97
BECLOMETHASONE DIPROPIONATE,1155
BENAZEPRIL HCL,4573
BENAZEPRIL/HYDROCHLOROTHIAZIDE,249
BENZTROPINE MESYLATE,7956
BEPOTASTINE BESILATE,15
BESIFLOXACIN HCL,623
BETAMETHASONE DIPROPIONATE,274
BETAMETHASONE VALERATE,834
BETAMETHASONE/PROPYLENE GLYC,460
BETHANECHOL CHLORIDE,123
BICALUTAMIDE,668
BIMATOPROST,4497
BISOPROLOL FUMARATE,3572
BISOPROLOL FUMARATE/HCTZ,2288
BOSENTAN,91
BREXPIPRAZOLE,11
BRIMONIDINE TARTRATE,5113
BRIMONIDINE TARTRATE/TIMOLOL,2525
BRINZOLAMIDE,961
BRINZOLAMIDE/BRIMONIDINE TART,366
BROMFENAC SODIUM,984
BROMOCRIPTINE MESYLATE,25
BUDESONIDE,1091
BUDESONIDE/FORMOTEROL FUMARATE,9129
BUMETANIDE,1005
BUPRENORPHINE,373
BUPRENORPHINE HCL,14
BUPRENORPHINE HCL/NALOXONE HCL,1201
BUPROPION HBR,19
BUPROPION HCL,17108
BUSPIRONE HCL,6539
BUTALB/ACETAMINOPHEN/CAFFEINE,1487
BUTALBIT/ACETAMIN/CAFF/CODEINE,41
BUTALBITAL/ACETAMINOPHEN,81
BUTALBITAL/ASPIRIN/CAFFEINE,81
BUTORPHANOL TARTRATE,11
C1 ESTERASE INHIBITOR,12
CABERGOLINE,53
CALCIPOTRIENE,165
"CALCITONIN,SALMON,SYNTHETIC",429
CALCITRIOL,2920
CALCIUM ACETATE,2020
CANAGLIFLOZIN,2185
CANAGLIFLOZIN/METFORMIN HCL,14
CANDESARTAN CILEXETIL,154
CANDESARTAN/HYDROCHLOROTHIAZID,26
CAPTOPRIL,132
CAPTOPRIL/HYDROCHLOROTHIAZIDE,55
CARBAMAZEPINE,3509
CARBIDOPA/LEVODOPA,5666
CARBIDOPA/LEVODOPA/ENTACAPONE,120
CARISOPRODOL,2643
CARTEOLOL HCL,26
CARVEDILOL,40031
CARVEDILOL PHOSPHATE,663
CEFADROXIL,287
CEFAZOLIN SODIUM,23
CEFDINIR,2220
CEFEPIME HCL,59
"CEFEPIME HCL/DEXTROSE, ISO-OSM",56
CEFIXIME,15
CEFPODOXIME PROXETIL,462
CEFTRIAXONE SODIUM,174
CEFUROXIME AXETIL,1807
CELECOXIB,8665
CEPHALEXIN,9676
CERITINIB,13
CERTOLIZUMAB PEGOL,49
CETIRIZINE HCL,25
CEVIMELINE HCL,122
CHLORDIAZEPOXIDE HCL,74
CHLORHEXIDINE GLUCONATE,2770
CHLOROTHIAZIDE,11
CHLORPROMAZINE HCL,1179
CHLORTHALIDONE,2131
CHLORZOXAZONE,220
CHOLESTYRAMINE (WITH SUGAR),236
CHOLESTYRAMINE/ASPARTAME,107
CICLESONIDE,60
CICLOPIROX,379
CICLOPIROX OLAMINE,337
CILOSTAZOL,943
CINACALCET HCL,2974
CIPROFLOXACIN HCL,16794
CIPROFLOXACIN HCL/DEXAMETH,567
CITALOPRAM HYDROBROMIDE,21938
CLARITHROMYCIN,300
CLINDAMYCIN HCL,3180
CLINDAMYCIN PHOS/BENZOYL PEROX,15
CLINDAMYCIN PHOSPHATE,648
CLOBAZAM,249
CLOBETASOL PROPIONATE,4272
CLOBETASOL PROPIONATE/EMOLL,68
CLOMIPRAMINE HCL,171
CLONAZEPAM,23039
CLONIDINE,1030
CLONIDINE HCL,6615
CLOPIDOGREL BISULFATE,35007
CLORAZEPATE DIPOTASSIUM,279
CLOTRIMAZOLE,169
CLOTRIMAZOLE/BETAMETHASONE DIP,2291
CLOZAPINE,3066
CODEINE SULFATE,77
CODEINE/BUTALBITAL/ASA/CAFFEIN,49
COLCHICINE,1373
COLESEVELAM HCL,981
COLESTIPOL HCL,58
COLLAGENASE CLOSTRIDIUM HIST.,973
CRIZOTINIB,13
CROMOLYN SODIUM,52
CYCLOBENZAPRINE HCL,9922
CYCLOPENTOLATE HCL,273
CYCLOSPORINE,2005
"CYCLOSPORINE, MODIFIED",49
CYPROHEPTADINE HCL,188
DABIGATRAN ETEXILATE MESYLATE,4004
DALFAMPRIDINE,186
DANTROLENE SODIUM,59
DAPAGLIFLOZIN PROPANEDIOL,63
DAPSONE,139
DAPTOMYCIN,26
DARBEPOETIN ALFA IN POLYSORBAT,87
DARIFENACIN HYDROBROMIDE,302
DARUNAVIR ETHANOLATE,1451
DASATINIB,77
DEFERASIROX,24
DENOSUMAB,100
DESIPRAMINE HCL,167
DESLORATADINE,443
DESMOPRESSIN (NONREFRIGERATED),11
DESMOPRESSIN ACETATE,333
DESOG-E.ESTRADIOL/E.ESTRADIOL,13
DESOGESTREL-ETHINYL ESTRADIOL,13
DESONIDE,566
DESOXIMETASONE,336
DESVENLAFAXINE,11
DESVENLAFAXINE SUCCINATE,813
DEXAMETHASONE,1367
DEXAMETHASONE SOD PHOSPHATE,184
DEXLANSOPRAZOLE,2238
DEXMETHYLPHENIDATE HCL,11
DEXTROAMPHETAMINE SULFATE,82
DEXTROAMPHETAMINE/AMPHETAMINE,5489
DEXTROMETHORPHAN HBR/QUINIDINE,461
DEXTROSE 5 %-0.45 % NACL,12
DEXTROSE 70 % IN WATER,46
DIAZEPAM,8515
DICLOFENAC EPOLAMINE,116
DICLOFENAC POTASSIUM,167
DICLOFENAC SODIUM,6147
DICLOFENAC SODIUM/MISOPROSTOL,59
DICLOXACILLIN SODIUM,148
DICYCLOMINE HCL,3583
DIFLORASONE DIACETATE,13
DIFLUNISAL,76
DIFLUPREDNATE,2304
DIGOXIN,7015
DILTIAZEM HCL,11080
DIMETHYL FUMARATE,435
"DIPH,PERTUSS(ACELL),TET VAC/PF",247
DIPHENHYDRAMINE HCL,31
DIPHENOXYLATE HCL/ATROPINE,1221
"DIPHTH,PERTUSS(ACELL),TET VAC",598
DIPYRIDAMOLE,24
DIVALPROEX SODIUM,12672
DOFETILIDE,123
DOLUTEGRAVIR SODIUM,441
DONEPEZIL HCL,15703
DORZOLAMIDE HCL,1622
DORZOLAMIDE HCL/TIMOLOL MALEAT,3814
DOXAZOSIN MESYLATE,6016
DOXEPIN HCL,1618
DOXYCYCLINE HYCLATE,5841
DOXYCYCLINE MONOHYDRATE,920
DRONABINOL,305
DRONEDARONE HCL,1069
DULAGLUTIDE,117
DULOXETINE HCL,21593
DUTASTERIDE,1696
DUTASTERIDE/TAMSULOSIN HCL,544
ECALLANTIDE,16
ECONAZOLE NITRATE,1057
EDOXABAN TOSYLATE,29
EFAVIRENZ,311
EFAVIRENZ/EMTRICITAB/TENOFOVIR,1159
EFINACONAZOLE,60
ELETRIPTAN HBR,104
ELTROMBOPAG OLAMINE,50
ELVITEGR/COBICIST/EMTRIC/TENOF,467
EMPAGLIFLOZIN,103
EMTRICITAB/RILPIVIRINE/TENOFOV,112
EMTRICITABINE,11
EMTRICITABINE/TENOFOVIR,1523
ENALAPRIL MALEATE,3921
ENALAPRIL/HYDROCHLOROTHIAZIDE,71
ENOXAPARIN SODIUM,1003
ENTACAPONE,115
ENTECAVIR,94
ENZALUTAMIDE,139
EPINASTINE HCL,53
EPINEPHRINE,73
EPLERENONE,328
EPOETIN ALFA,356
ERLOTINIB HCL,64
ERTAPENEM SODIUM,27
ERYTHROMYCIN BASE,2907
ERYTHROMYCIN BASE/ETHANOL,19
