generic_name,claim_count
0.9 % SODIUM CHLORIDE,9038
ABACAVIR SULFATE,6197
ABACAVIR SULFATE/LAMIVUDINE,18522
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,10548
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,1251
ABATACEPT,2094
ABATACEPT/MALTOSE,348
ABIRATERONE ACETATE,6657
ACAMPROSATE CALCIUM,423
ACARBOSE,6335
ACEBUTOLOL HCL,2636
ACETAMINOPHEN WITH CODEINE,137031
ACETAZOLAMIDE,13290
ACETIC ACID,2255
ACETIC ACID/ALUMINUM ACETATE,46
ACETIC ACID/HYDROCORTISONE,1006
ACETYLCYSTEINE,866
ACITRETIN,1833
ACLIDINIUM BROMIDE,10429
ACYCLOVIR,90788
ADALIMUMAB,21827
ADAPALENE,78
ADEFOVIR DIPIVOXIL,151
ADO-TRASTUZUMAB EMTANSINE,42
AFATINIB DIMALEATE,625
AFLIBERCEPT,1151
AGALSIDASE BETA,36
ALBENDAZOLE,11
ALBIGLUTIDE,2096
ALBUTEROL SULFATE,738927
ALCAFTADINE,1557
ALCLOMETASONE DIPROPIONATE,1986
ALCOHOL ANTISEPTIC PADS,33195
ALENDRONATE SODIUM,572258
ALENDRONATE SODIUM/VITAMIN D3,59
ALFUZOSIN HCL,33239
ALGLUCOSIDASE ALFA,52
ALISKIREN HEMIFUMARATE,5217
ALISKIREN/HYDROCHLOROTHIAZIDE,871
ALLOPURINOL,537153
ALMOTRIPTAN MALATE,83
ALOGLIPTIN BENZ/METFORMIN HCL,147
ALOGLIPTIN BENZ/PIOGLITAZONE,614
ALOGLIPTIN BENZOATE,372
ALOSETRON HCL,216
ALPHA-1-PROTEINASE INHIBITOR,1636
ALPRAZOLAM,1497972
AMANTADINE HCL,22046
AMBRISENTAN,4727
AMCINONIDE,23
AMIKACIN SULFATE,1131
AMILORIDE HCL,2163
AMILORIDE/HYDROCHLOROTHIAZIDE,1398
AMINO ACIDS 10 %,25
AMINOCAPROIC ACID,53
AMIODARONE HCL,141804
AMITRIP HCL/CHLORDIAZEPOXIDE,581
AMITRIPTYLINE HCL,174161
AMLODIPINE BES/OLMESARTAN MED,14062
AMLODIPINE BESYLATE,2877455
AMLODIPINE BESYLATE/BENAZEPRIL,129466
AMLODIPINE/ATORVASTATIN,2077
AMLODIPINE/VALSARTAN,16326
AMLODIPINE/VALSARTAN/HCTHIAZID,3811
AMMONIUM LACTATE,109604
AMOXAPINE,363
AMOXICILLIN,415128
AMOXICILLIN/POTASSIUM CLAV,227343
AMPICILLIN SODIUM,244
AMPICILLIN SODIUM/SULBACTAM NA,225
AMPICILLIN TRIHYDRATE,5647
ANAGRELIDE HCL,2503
ANAKINRA,35
ANASTROZOLE,87433
ANTIPYRINE/BENZOCAINE,36
APIXABAN,149324
APOMORPHINE HCL,109
APRACLONIDINE HCL,148
APREMILAST,1182
APREPITANT,3440
ARFORMOTEROL TARTRATE,1166
ARIPIPRAZOLE,146306
ARMODAFINIL,4943
ASENAPINE MALEATE,5144
ASPIRIN/DIPYRIDAMOLE,14735
ATAZANAVIR SULFATE,18485
ATAZANAVIR SULFATE/COBICISTAT,619
ATENOLOL,922197
ATENOLOL/CHLORTHALIDONE,36173
ATOMOXETINE HCL,2398
ATORVASTATIN CALCIUM,2471601
ATOVAQUONE,1120
ATOVAQUONE/PROGUANIL HCL,1015
ATROPINE SULFATE,2322
AURANOFIN,24
AXITINIB,241
AZACITIDINE,27
AZATHIOPRINE,15347
AZELAIC ACID,2079
AZELASTINE HCL,59732
AZELASTINE/FLUTICASONE,9953
AZILSARTAN MED/CHLORTHALIDONE,1650
AZILSARTAN MEDOXOMIL,1959
AZITHROMYCIN,595421
AZTREONAM,87
AZTREONAM LYSINE,210
AZTREONAM/DEXTROSE-WATER,16
B COMPLEX & C NO.20/FOLIC ACID,1422
BACITRACIN,7129
BACITRACIN/POLYMYXIN B SULFATE,1339
BACLOFEN,301778
BALSALAZIDE DISODIUM,3991
BCG LIVE,27
BECAPLERMIN,403
BECLOMETHASONE DIPROPIONATE,24632
BELATACEPT,34
BELIMUMAB,281
BENAZEPRIL HCL,188145
BENAZEPRIL/HYDROCHLOROTHIAZIDE,14784
BENZONATATE,8198
BENZTROPINE MESYLATE,130247
BEPOTASTINE BESILATE,2167
BESIFLOXACIN HCL,24346
BETAINE,14
BETAMET ACET/BETAMET NA PH,79
BETAMETHASONE DIPROPIONATE,21302
BETAMETHASONE VALERATE,6644
BETAMETHASONE/PROPYLENE GLYC,8707
BETAXOLOL HCL,2204
BETHANECHOL CHLORIDE,13506
BEVACIZUMAB,672
BEXAROTENE,152
BICALUTAMIDE,23496
BIMATOPROST,216785
BISAC/NACL/NAHCO3/KCL/PEG 3350,12
BISMUTH/METRONID/TETRACYCLINE,36
BISOPROLOL FUMARATE,37128
BISOPROLOL FUMARATE/HCTZ,29223
BOCEPREVIR,11
BORTEZOMIB,99
BOSENTAN,2117
BOSUTINIB,264
BREXPIPRAZOLE,46
BRIMONIDINE TARTRATE,178911
BRIMONIDINE TARTRATE/TIMOLOL,113714
BRINZOLAMIDE,32482
BRINZOLAMIDE/BRIMONIDINE TART,11389
BROMFENAC SODIUM,21466
BROMOCRIPTINE MESYLATE,1894
BUDESONIDE,18488
BUDESONIDE/FORMOTEROL FUMARATE,268953
BUMETANIDE,107901
BUPRENORPHINE,8088
BUPRENORPHINE HCL,8804
BUPRENORPHINE HCL/NALOXONE HCL,29677
BUPROPION HBR,39
BUPROPION HCL,346235
BUSPIRONE HCL,210652
BUTABARBITAL SODIUM,51
BUTALB/ACETAMINOPHEN/CAFFEINE,57334
BUTALBIT/ACETAMIN/CAFF/CODEINE,3236
BUTALBITAL/ACETAMINOPHEN,405
BUTALBITAL/ASPIRIN/CAFFEINE,1600
BUTENAFINE HCL,15
BUTOCONAZOLE NITRATE,12
BUTORPHANOL TARTRATE,2226
C1 ESTERASE INHIBITOR,104
CABERGOLINE,2485
CALCIPOTRIENE,8122
CALCIPOTRIENE/BETAMETHASONE,356
"CALCITONIN,SALMON,SYNTHETIC",14044
CALCITRIOL,71538
CALCIUM ACETATE,35799
CANAGLIFLOZIN,40038
CANAGLIFLOZIN/METFORMIN HCL,1437
CANAKINUMAB/PF,12
CANDESARTAN CILEXETIL,7434
CANDESARTAN/HYDROCHLOROTHIAZID,1212
CAPTOPRIL,14867
CAPTOPRIL/HYDROCHLOROTHIAZIDE,680
CARBAMAZEPINE,67165
CARBIDOPA,155
CARBIDOPA/LEVODOPA,195878
CARBIDOPA/LEVODOPA/ENTACAPONE,8167
CARBINOXAMINE MALEATE,259
CARBOPLATIN,1490
CARGLUMIC ACID,22
CARISOPRODOL,79927
CARTEOLOL HCL,1589
CARVEDILOL,1070158
CARVEDILOL PHOSPHATE,5649
CASPOFUNGIN ACETATE,14
CEFACLOR,159
CEFADROXIL,5012
CEFAZOLIN SODIUM,1071
"CEFAZOLIN SODIUM/DEXTROSE,ISO",46
CEFDINIR,36668
CEFEPIME HCL,4056
CEFEPIME HCL/D5W,26
"CEFEPIME HCL/DEXTROSE, ISO-OSM",760
CEFIXIME,257
CEFOXITIN SODIUM,243
CEFPODOXIME PROXETIL,1185
CEFPROZIL,1017
CEFTAROLINE FOSAMIL ACETATE,209
CEFTAZIDIME,525
CEFTIBUTEN,22
CEFTOLOZANE/TAZOBACTAM,26
"CEFTRIAXONE NA/DEXTROSE,ISO",1191
CEFTRIAXONE SODIUM,14408
CEFUROXIME AXETIL,54597
CELECOXIB,143188
CEPHALEXIN,302845
CERITINIB,50
CERTOLIZUMAB PEGOL,1842
CETIRIZINE HCL,127
CEVIMELINE HCL,1663
CHENODIOL,37
CHLORAMBUCIL,707
CHLORDIAZEPOXIDE HCL,8973
CHLORHEXIDINE GLUCONATE,88038
CHLOROQUINE PHOSPHATE,11
CHLOROTHIAZIDE,121
CHLORPROMAZINE HCL,12395
CHLORPROPAMIDE,11
CHLORTHALIDONE,66575
CHLORZOXAZONE,1278
CHOLESTYRAMINE (WITH SUGAR),19202
CHOLESTYRAMINE/ASPARTAME,3404
"CHORIONIC GONADOTROPIN, HUMAN",24
CICLESONIDE,1043
CICLOPIROX,80442
CICLOPIROX OLAMINE,41341
CILOSTAZOL,64252
CIMETIDINE,2585
CIMETIDINE HCL,35
CINACALCET HCL,55740
CIPROFLOXACIN HCL,611094
CIPROFLOXACIN HCL/DEXAMETH,7299
CIPROFLOXACIN LACTATE/D5W,77
CIPROFLOXACIN/HYDROCORTISONE,23
CISPLATIN,45
CITALOPRAM HYDROBROMIDE,662243
CITRIC ACID/G-LACTONE/MAG CARB,114
CLARITHROMYCIN,13009
CLEMASTINE FUMARATE,373
CLINDAMYCIN HCL,79718
CLINDAMYCIN PHOS/BENZOYL PEROX,174
CLINDAMYCIN PHOSPHATE,20159
CLOBAZAM,1581
CLOBETASOL PROPIONATE,139952
CLOBETASOL PROPIONATE/EMOLL,1535
CLOCORTOLONE PIVALATE,131
CLOMIPRAMINE HCL,3426
CLONAZEPAM,731197
CLONIDINE,23943
CLONIDINE HCL,368976
CLONIDINE HCL/CHLORTHALIDONE,23
CLOPIDOGREL BISULFATE,1174772
CLORAZEPATE DIPOTASSIUM,33487
CLOTRIMAZOLE,37919
CLOTRIMAZOLE/BETAMETHASONE DIP,165331
CLOZAPINE,35259
COBICISTAT,13
CODEINE SULFATE,467
CODEINE/BUTALBITAL/ASA/CAFFEIN,1480
COLCHICINE,29843
COLCHICINE/PROBENECID,1377
COLESEVELAM HCL,27266
COLESTIPOL HCL,8608
COLISTIN (COLISTIMETHATE NA),254
COLLAGENASE CLOSTRIDIUM HIST.,24978
CORTICOTROPIN,415
CORTISONE ACETATE,35
CRIZOTINIB,265
CROFELEMER,176
CROMOLYN SODIUM,4118
CROTAMITON,200
CYANOCOBALAMIN (VITAMIN B-12),3847
CYCLOBENZAPRINE HCL,210213
CYCLOPENTOLATE HCL,310
CYCLOPHOSPHAMIDE,220
CYCLOSERINE,28
CYCLOSPORINE,116612
"CYCLOSPORINE, MODIFIED",2366
CYPROHEPTADINE HCL,7061
DABIGATRAN ETEXILATE MESYLATE,82447
DABRAFENIB MESYLATE,236
DACLATASVIR DIHYDROCHLORIDE,33
DALFAMPRIDINE,3902
"DALTEPARIN SODIUM,PORCINE",570
DANAZOL,575
DANTROLENE SODIUM,480
DAPAGLIFLOZIN PROPANEDIOL,2519
DAPAGLIFLOZIN/METFORMIN HCL,70
DAPSONE,6575
DAPTOMYCIN,2670
DARBEPOETIN ALFA IN POLYSORBAT,3213
DARIFENACIN HYDROBROMIDE,2727
DARUNAVIR ETHANOLATE,43810
DARUNAVIR/COBICISTAT,4181
DASATINIB,1507
DEFERASIROX,575
DEFEROXAMINE MESYLATE,81
DEGARELIX ACETATE,140
DEMECLOCYCLINE HCL,924
DENOSUMAB,9295
DESIPRAMINE HCL,1875
DESLORATADINE,1566
DESLORATADINE/PSEUDOEPHEDRINE,12
DESMOPRESSIN (NONREFRIGERATED),138
DESMOPRESSIN ACETATE,4929
DESOG-E.ESTRADIOL/E.ESTRADIOL,333
DESOGESTREL-ETHINYL ESTRADIOL,609
DESONIDE,22469
DESOXIMETASONE,5949
DESVENLAFAXINE,162
DESVENLAFAXINE SUCCINATE,22602
DEXAMETHASONE,31846
DEXAMETHASONE SOD PHOSPHATE,6932
DEXAMETHASONE SODIUM PHOSP/PF,13
DEXLANSOPRAZOLE,81126
DEXMETHYLPHENIDATE HCL,453
DEXTROAMPHETAMINE SULFATE,2452
DEXTROAMPHETAMINE/AMPHETAMINE,68548
DEXTROMETHORPHAN HBR/QUINIDINE,20875
DEXTROSE 5 % AND 0.9 % NACL,185
DEXTROSE 5 % IN WATER,676
DEXTROSE 5 %-0.45 % NACL,1070
DEXTROSE 5%-LACTATED RINGERS,13
DEXTROSE 70 % IN WATER,3861
DIAZEPAM,266858
DIAZOXIDE,53
DICLOFENAC EPOLAMINE,1267
DICLOFENAC POTASSIUM,19188
DICLOFENAC SODIUM,490989
DICLOFENAC SODIUM/MISOPROSTOL,2146
DICLOFENAC SUBMICRONIZED,199
DICLOXACILLIN SODIUM,2417
DICYCLOMINE HCL,121768
DIDANOSINE,660
DIFLORASONE DIACETATE,207
DIFLUNISAL,1580
DIFLUPREDNATE,48914
DIGOXIN,278863
DIHYDROERGOTAMINE MESYLATE,88
DILTIAZEM HCL,345542
DIMETHYL FUMARATE,7202
DIMETHYL SULFOXIDE,28
"DIPH,PERTUSS(ACELL),TET PED/PF",11
"DIPH,PERTUSS(ACELL),TET VAC/PF",3681
DIPHENHYDRAMINE HCL,2638
DIPHENOXYLATE HCL/ATROPINE,29391
"DIPHTH,PERTUSS(ACELL),TET VAC",4436
DIPYRIDAMOLE,1026
DISOPYRAMIDE PHOSPHATE,715
DISULFIRAM,193
DIVALPROEX SODIUM,235911
DOBUTAMINE HCL,136
DOBUTAMINE HCL/D5W,210
DOCETAXEL,178
DOFETILIDE,14975
DOLUTEGRAVIR SODIUM,18021
DONEPEZIL HCL,667246
DORNASE ALFA,12
DORZOLAMIDE HCL,53544
DORZOLAMIDE HCL/TIMOLOL MALEAT,142897
DORZOLAMIDE/TIMOLOL/PF,2365
DOXAZOSIN MESYLATE,228878
DOXEPIN HCL,44258
DOXERCALCIFEROL,494
DOXORUBICIN HCL,41
DOXYCYCLINE HYCLATE,188738
DOXYCYCLINE MONOHYDRATE,18424
DRONABINOL,8774
DRONEDARONE HCL,34494
DROSPIR/ETH ESTRA/LEVOMEFOL CA,37
DROSPIRENONE/ESTRADIOL,25
DROXIDOPA,470
DULAGLUTIDE,1769
DULOXETINE HCL,459644
DUTASTERIDE,70197
DUTASTERIDE/TAMSULOSIN HCL,10496
ECALLANTIDE,61
ECHOTHIOPHATE IODIDE,192
ECONAZOLE NITRATE,28088
ECULIZUMAB,43
