generic_name,claim_count
0.9 % SODIUM CHLORIDE,2381
AA 3%/ELECTROLYTE-TPN SOLN/GLY,14
ABACAVIR SULFATE,2991
ABACAVIR SULFATE/LAMIVUDINE,5463
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,2222
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,495
ABATACEPT,1139
ABATACEPT/MALTOSE,59
ABIRATERONE ACETATE,2539
ACAMPROSATE CALCIUM,137
ACARBOSE,2991
ACEBUTOLOL HCL,3566
ACETAMINOPHEN WITH CODEINE,65925
ACETAZOLAMIDE,5423
ACETIC ACID,100
ACETIC ACID/ALUMINUM ACETATE,23
ACETIC ACID/HYDROCORTISONE,60
ACETYLCYSTEINE,260
ACITRETIN,501
ACLIDINIUM BROMIDE,7294
ACYCLOVIR,28013
ADALIMUMAB,10430
ADAPALENE,48
ADEFOVIR DIPIVOXIL,36
AFATINIB DIMALEATE,68
AGALSIDASE BETA,50
ALBIGLUTIDE,340
ALBUTEROL SULFATE,318551
ALCAFTADINE,358
ALCLOMETASONE DIPROPIONATE,710
ALCOHOL ANTISEPTIC PADS,12347
ALENDRONATE SODIUM,150549
ALENDRONATE SODIUM/VITAMIN D3,11
ALFUZOSIN HCL,11572
ALISKIREN HEMIFUMARATE,2284
ALISKIREN/HYDROCHLOROTHIAZIDE,414
ALLOPURINOL,279612
ALMOTRIPTAN MALATE,11
ALOGLIPTIN BENZ/METFORMIN HCL,37
ALOGLIPTIN BENZ/PIOGLITAZONE,412
ALOGLIPTIN BENZOATE,188
ALOSETRON HCL,26
ALPHA-1-PROTEINASE INHIBITOR,987
ALPRAZOLAM,487672
AMANTADINE HCL,9093
AMBRISENTAN,3003
AMCINONIDE,16
AMIKACIN SULFATE,76
AMILORIDE HCL,1599
AMILORIDE/HYDROCHLOROTHIAZIDE,1561
AMINOCAPROIC ACID,24
AMINOLEVULINIC ACID HCL,15
AMIODARONE HCL,65085
AMITRIP HCL/CHLORDIAZEPOXIDE,628
AMITRIPTYLINE HCL,119523
AMLODIPINE BES/OLMESARTAN MED,7544
AMLODIPINE BESYLATE,1402284
AMLODIPINE BESYLATE/BENAZEPRIL,83135
AMLODIPINE/ATORVASTATIN,951
AMLODIPINE/VALSARTAN,9746
AMLODIPINE/VALSARTAN/HCTHIAZID,3258
AMMONIUM LACTATE,6973
AMOXAPINE,253
AMOXICILLIN,164934
AMOXICILLIN/POTASSIUM CLAV,90584
AMPICILLIN SODIUM,55
AMPICILLIN SODIUM/SULBACTAM NA,77
AMPICILLIN TRIHYDRATE,2356
ANAGRELIDE HCL,657
ANASTROZOLE,37591
APIXABAN,74282
APOMORPHINE HCL,52
APRACLONIDINE HCL,60
APREMILAST,653
APREPITANT,29
ARFORMOTEROL TARTRATE,328
ARIPIPRAZOLE,46299
ARMODAFINIL,2021
ASENAPINE MALEATE,2394
ASPIRIN/DIPYRIDAMOLE,13002
ATAZANAVIR SULFATE,7672
ATAZANAVIR SULFATE/COBICISTAT,91
ATENOLOL,335072
ATENOLOL/CHLORTHALIDONE,26274
ATOMOXETINE HCL,1330
ATORVASTATIN CALCIUM,1023953
ATOVAQUONE,525
ATOVAQUONE/PROGUANIL HCL,321
ATROPINE SULFATE,602
AURANOFIN,12
AXITINIB,69
AZATHIOPRINE,8610
AZELAIC ACID,698
AZELASTINE HCL,24736
AZELASTINE/FLUTICASONE,3126
AZILSARTAN MED/CHLORTHALIDONE,1133
AZILSARTAN MEDOXOMIL,913
AZITHROMYCIN,197363
AZTREONAM LYSINE,67
BACITRACIN,2908
BACITRACIN/POLYMYXIN B SULFATE,1002
BACLOFEN,97179
BALSALAZIDE DISODIUM,1436
BECAPLERMIN,13
BECLOMETHASONE DIPROPIONATE,9369
BELIMUMAB,43
BENAZEPRIL HCL,114116
BENAZEPRIL/HYDROCHLOROTHIAZIDE,19284
BENZTROPINE MESYLATE,61382
BEPOTASTINE BESILATE,190
BESIFLOXACIN HCL,14404
BETAINE,28
BETAMETHASONE DIPROPIONATE,4130
BETAMETHASONE VALERATE,2605
BETAMETHASONE/PROPYLENE GLYC,1785
BETAXOLOL HCL,897
BETHANECHOL CHLORIDE,3572
BICALUTAMIDE,8746
BIMATOPROST,56484
BISOPROLOL FUMARATE,17279
BISOPROLOL FUMARATE/HCTZ,45207
BORTEZOMIB,30
BOSENTAN,1102
BOSUTINIB,78
BREXPIPRAZOLE,13
BRIMONIDINE TARTRATE,59108
BRIMONIDINE TARTRATE/TIMOLOL,33420
BRINZOLAMIDE,9656
BRINZOLAMIDE/BRIMONIDINE TART,5399
BROMFENAC SODIUM,7990
BROMOCRIPTINE MESYLATE,807
BUDESONIDE,6126
BUDESONIDE/FORMOTEROL FUMARATE,95381
BUMETANIDE,23732
BUPIVACAINE HCL/PF,11
BUPRENORPHINE,5230
BUPRENORPHINE HCL,1824
BUPRENORPHINE HCL/NALOXONE HCL,10048
BUPROPION HBR,55
BUPROPION HCL,165244
BUSPIRONE HCL,76375
BUTALB/ACETAMINOPHEN/CAFFEINE,14155
BUTALBIT/ACETAMIN/CAFF/CODEINE,1190
BUTALBITAL/ACETAMINOPHEN,219
BUTALBITAL/ASPIRIN/CAFFEINE,874
BUTORPHANOL TARTRATE,1524
C1 ESTERASE INHIBITOR,26
CABERGOLINE,979
CALCIPOTRIENE,493
CALCIPOTRIENE/BETAMETHASONE,36
"CALCITONIN,SALMON,SYNTHETIC",4718
CALCITRIOL,51444
CALCIUM ACETATE,24067
CANAGLIFLOZIN,25852
CANAGLIFLOZIN/METFORMIN HCL,641
CANAKINUMAB/PF,12
CANDESARTAN CILEXETIL,1643
CANDESARTAN/HYDROCHLOROTHIAZID,253
CAPTOPRIL,3126
CAPTOPRIL/HYDROCHLOROTHIAZIDE,371
CARBAMAZEPINE,35166
CARBIDOPA,249
CARBIDOPA/LEVODOPA,75928
CARBIDOPA/LEVODOPA/ENTACAPONE,2891
CARBINOXAMINE MALEATE,238
CARISOPRODOL,46233
CARTEOLOL HCL,507
CARVEDILOL,594206
CARVEDILOL PHOSPHATE,2074
CASPOFUNGIN ACETATE,26
CEFACLOR,131
CEFADROXIL,2124
CEFAZOLIN SODIUM,500
CEFDINIR,22171
CEFEPIME HCL,536
"CEFEPIME HCL/DEXTROSE, ISO-OSM",14
CEFIXIME,71
CEFOXITIN SODIUM,63
CEFPODOXIME PROXETIL,197
CEFPROZIL,1766
CEFTAROLINE FOSAMIL ACETATE,114
CEFTAZIDIME,216
CEFTOLOZANE/TAZOBACTAM,22
"CEFTRIAXONE NA/DEXTROSE,ISO",136
CEFTRIAXONE SODIUM,6832
CEFUROXIME AXETIL,35639
CELECOXIB,72666
CEPHALEXIN,103021
CERITINIB,11
CERTOLIZUMAB PEGOL,794
CETIRIZINE HCL,126
CEVIMELINE HCL,1168
CHLORAMBUCIL,98
CHLORDIAZEPOXIDE HCL,1011
CHLORHEXIDINE GLUCONATE,19810
CHLOROQUINE PHOSPHATE,11
CHLOROTHIAZIDE,133
CHLORPROMAZINE HCL,4009
CHLORPROPAMIDE,22
CHLORTHALIDONE,46745
CHLORZOXAZONE,981
CHOLESTYRAMINE (WITH SUGAR),7297
CHOLESTYRAMINE/ASPARTAME,903
CICLESONIDE,255
CICLOPIROX,3386
CICLOPIROX OLAMINE,2279
CILOSTAZOL,22209
CIMETIDINE,860
CINACALCET HCL,45517
CIPROFLOXACIN HCL,196116
CIPROFLOXACIN HCL/DEXAMETH,1294
CIPROFLOXACIN/HYDROCORTISONE,26
CITALOPRAM HYDROBROMIDE,359507
CITRIC ACID/G-LACTONE/MAG CARB,13
CLARITHROMYCIN,5892
CLEMASTINE FUMARATE,768
CLINDAMYCIN HCL,29787
CLINDAMYCIN PHOSPHATE,5406
CLOBAZAM,896
CLOBETASOL PROPIONATE,38600
CLOBETASOL PROPIONATE/EMOLL,241
CLOMIPRAMINE HCL,1532
CLONAZEPAM,285653
CLONIDINE,11649
CLONIDINE HCL,194865
CLONIDINE HCL/CHLORTHALIDONE,12
CLOPIDOGREL BISULFATE,507144
CLORAZEPATE DIPOTASSIUM,8028
CLOTRIMAZOLE,3208
CLOTRIMAZOLE/BETAMETHASONE DIP,24486
CLOZAPINE,11734
CODEINE SULFATE,169
CODEINE/BUTALBITAL/ASA/CAFFEIN,806
COLCHICINE,45065
COLCHICINE/PROBENECID,1952
COLESEVELAM HCL,25231
COLESTIPOL HCL,5035
COLISTIN (COLISTIMETHATE NA),113
COLLAGENASE CLOSTRIDIUM HIST.,5348
CORTICOTROPIN,395
CORTISONE ACETATE,23
CRIZOTINIB,51
CROMOLYN SODIUM,751
CYCLOBENZAPRINE HCL,114009
CYCLOPENTOLATE HCL,383
CYCLOPHOSPHAMIDE,11
CYCLOSPORINE,34547
"CYCLOSPORINE, MODIFIED",942
CYPROHEPTADINE HCL,4857
CYSTEAMINE BITARTRATE,12
DABIGATRAN ETEXILATE MESYLATE,33899
DABRAFENIB MESYLATE,27
DACLATASVIR DIHYDROCHLORIDE,13
DALFAMPRIDINE,1035
"DALTEPARIN SODIUM,PORCINE",34
DANAZOL,92
DANTROLENE SODIUM,718
DAPAGLIFLOZIN PROPANEDIOL,1689
DAPSONE,1564
