generic_name,claim_count
ACARBOSE,15
ACETAMINOPHEN WITH CODEINE,158
ACETAZOLAMIDE,28
ACLIDINIUM BROMIDE,19
ACYCLOVIR,45
ALBUTEROL SULFATE,531
ALENDRONATE SODIUM,729
ALLOPURINOL,1473
ALPRAZOLAM,351
AMILORIDE HCL,11
AMIODARONE HCL,74
AMITRIPTYLINE HCL,60
AMLODIPINE BESYLATE,5609
AMLODIPINE BESYLATE/BENAZEPRIL,23
AMOXICILLIN,132
AMOXICILLIN/POTASSIUM CLAV,115
ANASTROZOLE,75
ARIPIPRAZOLE,16
ATENOLOL,1640
ATENOLOL/CHLORTHALIDONE,11
ATORVASTATIN CALCIUM,4403
AZATHIOPRINE,25
AZITHROMYCIN,643
BECLOMETHASONE DIPROPIONATE,12
BENAZEPRIL HCL,125
BENZTROPINE MESYLATE,59
BETAMETHASONE DIPROPIONATE,43
BETAMETHASONE/PROPYLENE GLYC,14
BICALUTAMIDE,16
BIMATOPROST,15
BISOPROLOL FUMARATE/HCTZ,18
BRIMONIDINE TARTRATE,104
BUDESONIDE/FORMOTEROL FUMARATE,169
BUMETANIDE,46
BUPROPION HCL,16
CALCIPOTRIENE,16
CALCITRIOL,31
CALCIUM ACETATE,121
CANAGLIFLOZIN,12
CAPTOPRIL,49
CARBAMAZEPINE,31
CARBIDOPA/LEVODOPA,134
CARISOPRODOL,22
CARVEDILOL,1822
CEFUROXIME AXETIL,51
CELECOXIB,52
CEPHALEXIN,135
CHLORTHALIDONE,63
CILOSTAZOL,34
CINACALCET HCL,94
CIPROFLOXACIN HCL,344
CITALOPRAM HYDROBROMIDE,82
CLINDAMYCIN HCL,13
CLOBETASOL PROPIONATE,12
CLONAZEPAM,114
CLONIDINE HCL,624
CLOPIDOGREL BISULFATE,1966
CLOTRIMAZOLE/BETAMETHASONE DIP,88
COLCHICINE,26
COLESTIPOL HCL,22
CROMOLYN SODIUM,11
CYCLOBENZAPRINE HCL,38
DABIGATRAN ETEXILATE MESYLATE,34
DEXTROAMPHETAMINE/AMPHETAMINE,11
DIAZEPAM,59
DICLOFENAC SODIUM,12
DIGOXIN,191
DILTIAZEM HCL,217
DIVALPROEX SODIUM,57
DONEPEZIL HCL,482
DORZOLAMIDE HCL/TIMOLOL MALEAT,141
DOXAZOSIN MESYLATE,286
DULOXETINE HCL,12
ECONAZOLE NITRATE,21
EMTRICITABINE/TENOFOVIR,17
ENALAPRIL MALEATE,35
EPOETIN ALFA,14
ERYTHROMYCIN BASE,22
ESCITALOPRAM OXALATE,42
ESOMEPRAZOLE MAGNESIUM,70
"ESTROGENS, CONJUGATED",18
ETODOLAC,12
EZETIMIBE,112
EZETIMIBE/SIMVASTATIN,47
FAMOTIDINE,49
FEBUXOSTAT,44
FELODIPINE,372
FENOFIBRATE,260
FENOFIBRATE NANOCRYSTALLIZED,75
"FENOFIBRATE,MICRONIZED",11
FINASTERIDE,995
FLECAINIDE ACETATE,13
FLUCONAZOLE,32
FLUDROCORTISONE ACETATE,40
FLUOXETINE HCL,95
FLUPHENAZINE HCL,11
FLUTICASONE PROPIONATE,137
FLUTICASONE/SALMETEROL,215
FLUTICASONE/VILANTEROL,36
FUROSEMIDE,1454
GABAPENTIN,656
GEMFIBROZIL,170
GLIMEPIRIDE,419
GLIPIZIDE,2018
GLYBURIDE,259
"GLYBURIDE,MICRONIZED",23
GLYBURIDE/METFORMIN HCL,145
HALOPERIDOL,72
HYDRALAZINE HCL,230
HYDROCHLOROTHIAZIDE,1030
HYDROCODONE/ACETAMINOPHEN,590
HYDROMORPHONE HCL,42
HYDROXYCHLOROQUINE SULFATE,20
HYDROXYUREA,36
HYDROXYZINE HCL,58
IBANDRONATE SODIUM,47
IBUPROFEN,178
INDOMETHACIN,13
INSULIN ASPART PROTAM & ASPART,37
INSULIN DETEMIR,28
"INSULIN GLARGINE,HUM.REC.ANLOG",585
INSULIN LISPRO,52
INSULIN NPH HUM/REG INSULIN HM,553
INSULIN NPH HUMAN ISOPHANE,204
"INSULIN REGULAR, HUMAN",17
IPRATROPIUM/ALBUTEROL SULFATE,44
IRBESARTAN,64
ISOSORBIDE DINITRATE,135
ISOSORBIDE MONONITRATE,670
ITRACONAZOLE,23
KETOCONAZOLE,29
KETOROLAC TROMETHAMINE,68
LABETALOL HCL,139
LACTULOSE,84
LATANOPROST,185
LENALIDOMIDE,11
LETROZOLE,33
LEVETIRACETAM,93
LEVOCETIRIZINE DIHYDROCHLORIDE,18
LEVOFLOXACIN,160
LEVOTHYROXINE SODIUM,1948
LIDOCAINE/PRILOCAINE,35
LINAGLIPTIN,11
LIPASE/PROTEASE/AMYLASE,12
LISINOPRIL,3638
LISINOPRIL/HYDROCHLOROTHIAZIDE,89
LOPERAMIDE HCL,11
LORAZEPAM,155
LOSARTAN POTASSIUM,2934
LOSARTAN/HYDROCHLOROTHIAZIDE,232
LOVASTATIN,622
MECLIZINE HCL,13
MEGESTROL ACETATE,16
MELOXICAM,75
MEMANTINE HCL,89
METFORMIN HCL,3643
METHADONE HCL,36
METHIMAZOLE,48
METHOTREXATE SODIUM,92
METHYLPREDNISOLONE,59
METOLAZONE,15
METOPROLOL SUCCINATE,645
METOPROLOL TARTRATE,2512
METRONIDAZOLE,11
MIRABEGRON,12
MIRTAZAPINE,20
MOMETASONE FUROATE,36
MOMETASONE/FORMOTEROL,41
MONTELUKAST SODIUM,336
MORPHINE SULFATE,108
MUPIROCIN,33
NADOLOL,33
NAPROXEN,105
NIACIN,12
NIFEDIPINE,1334
NITROFURANTOIN MONOHYD/M-CRYST,23
NITROGLYCERIN,74
NIZATIDINE,12
NYSTATIN,18
OFLOXACIN,57
OLANZAPINE,103
OLMESARTAN MEDOXOMIL,11
OLOPATADINE HCL,18
OMEGA-3 ACID ETHYL ESTERS,25
OMEPRAZOLE,1091
ONDANSETRON,52
ONDANSETRON HCL,34
OXCARBAZEPINE,12
OXYBUTYNIN CHLORIDE,106
OXYCODONE HCL,19
OXYCODONE HCL/ACETAMINOPHEN,317
PANTOPRAZOLE SODIUM,942
PAROXETINE HCL,76
"PEG 3350/NA SULF,BICARB,CL/KCL",51
"PEN NEEDLE, DIABETIC",380
PHENOBARBITAL,13
PHENYTOIN,11
PHENYTOIN SODIUM EXTENDED,47
PIOGLITAZONE HCL,26
POLYMYXIN B SULF/TRIMETHOPRIM,27
POTASSIUM CHLORIDE,615
POTASSIUM CITRATE,48
PRAMIPEXOLE DI-HCL,18
PRAVASTATIN SODIUM,1978
PREDNISOLONE ACETATE,159
PREDNISONE,643
PREGABALIN,138
PRIMIDONE,29
PROPRANOLOL HCL,101
PROPYLTHIOURACIL,13
PYRIDOSTIGMINE BROMIDE,12
QUETIAPINE FUMARATE,106
RALOXIFENE HCL,62
RAMIPRIL,11
RANITIDINE HCL,644
RANOLAZINE,31
RISPERIDONE,45
RIVAROXABAN,20
RIVASTIGMINE TARTRATE,29
ROFLUMILAST,32
ROPINIROLE HCL,13
ROSUVASTATIN CALCIUM,289
SAXAGLIPTIN HCL,17
SERTRALINE HCL,156
SEVELAMER CARBONATE,173
SIMVASTATIN,2175
SITAGLIPTIN PHOS/METFORMIN HCL,14
SITAGLIPTIN PHOSPHATE,494
SOLIFENACIN SUCCINATE,57
SOTALOL HCL,12
SPIRONOLACTONE,195
SULFAMETHOXAZOLE/TRIMETHOPRIM,52
SUMATRIPTAN SUCCINATE,16
"SYRING W-NDL,DISP,INSUL,0.5 ML",340
"SYRINGE AND NEEDLE,INSULIN,1ML",118
TAFLUPROST/PF,17
TAMOXIFEN CITRATE,15
TAMSULOSIN HCL,1584
TELMISARTAN/HYDROCHLOROTHIAZID,15
TERAZOSIN HCL,62
TERBINAFINE HCL,22
THIOTHIXENE,12
TIMOLOL MALEATE,69
TIOTROPIUM BROMIDE,194
TOLTERODINE TARTRATE,13
TOPIRAMATE,12
TORSEMIDE,21
TRAMADOL HCL,389
TRAVOPROST,158
TRAZODONE HCL,75
TRIAMCINOLONE ACETONIDE,137
TRIAMTERENE/HYDROCHLOROTHIAZID,142
TRIHEXYPHENIDYL HCL,36
UMECLIDINIUM BRM/VILANTEROL TR,17
VALPROIC ACID,36
VALSARTAN,663
VALSARTAN/HYDROCHLOROTHIAZIDE,90
VENLAFAXINE HCL,37
VERAPAMIL HCL,141
WARFARIN SODIUM,1037
ZOLPIDEM TARTRATE,225
