generic_name,claim_count
0.9 % SODIUM CHLORIDE,245
ABACAVIR SULFATE,102
ABACAVIR SULFATE/LAMIVUDINE,261
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,115
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,24
ABATACEPT,160
ABIRATERONE ACETATE,402
ACAMPROSATE CALCIUM,100
ACARBOSE,1194
ACEBUTOLOL HCL,12
ACETAMINOPHEN WITH CODEINE,7376
ACETAZOLAMIDE,636
ACETIC ACID,16
ACETIC ACID/HYDROCORTISONE,14
ACETYLCYSTEINE,23
ACITRETIN,123
ACLIDINIUM BROMIDE,696
ACYCLOVIR,2894
ADALIMUMAB,857
ADAPALENE,40
ADEFOVIR DIPIVOXIL,11
AFATINIB DIMALEATE,37
AFLIBERCEPT,11
ALBIGLUTIDE,96
ALBUTEROL SULFATE,30794
ALCAFTADINE,159
ALCLOMETASONE DIPROPIONATE,24
ALCOHOL ANTISEPTIC PADS,970
ALENDRONATE SODIUM,33447
ALENDRONATE SODIUM/VITAMIN D3,12
ALFUZOSIN HCL,1055
ALISKIREN HEMIFUMARATE,340
ALISKIREN/HYDROCHLOROTHIAZIDE,62
ALLOPURINOL,45280
ALMOTRIPTAN MALATE,20
ALOGLIPTIN BENZ/METFORMIN HCL,48
ALOGLIPTIN BENZ/PIOGLITAZONE,99
ALOGLIPTIN BENZOATE,50
ALOSETRON HCL,15
ALPRAZOLAM,17630
AMANTADINE HCL,651
AMBRISENTAN,205
AMCINONIDE,56
AMILORIDE HCL,37
AMILORIDE/HYDROCHLOROTHIAZIDE,94
AMIODARONE HCL,3334
AMITRIPTYLINE HCL,3162
AMLODIPINE BES/OLMESARTAN MED,2132
AMLODIPINE BESYLATE,130854
AMLODIPINE BESYLATE/BENAZEPRIL,12257
AMLODIPINE/ATORVASTATIN,1497
AMLODIPINE/VALSARTAN,2530
AMLODIPINE/VALSARTAN/HCTHIAZID,238
AMMONIUM LACTATE,1161
AMOXICILLIN,16594
AMOXICILLIN/POTASSIUM CLAV,6641
AMPICILLIN TRIHYDRATE,12
ANAGRELIDE HCL,72
ANAKINRA,13
ANASTROZOLE,3730
APIXABAN,6832
APRACLONIDINE HCL,33
APREMILAST,50
ARIPIPRAZOLE,6572
ARMODAFINIL,23
ASENAPINE MALEATE,520
ASPIRIN/DIPYRIDAMOLE,858
ATAZANAVIR SULFATE,391
ATENOLOL,36524
ATENOLOL/CHLORTHALIDONE,399
ATOMOXETINE HCL,136
ATORVASTATIN CALCIUM,167724
ATOVAQUONE,16
ATOVAQUONE/PROGUANIL HCL,152
ATROPINE SULFATE,42
AZATHIOPRINE,670
AZELAIC ACID,44
AZELASTINE HCL,2332
AZELASTINE/FLUTICASONE,403
AZILSARTAN MED/CHLORTHALIDONE,191
AZILSARTAN MEDOXOMIL,210
AZITHROMYCIN,24482
BACITRACIN,100
BACITRACIN/POLYMYXIN B SULFATE,213
BACLOFEN,4525
BALSALAZIDE DISODIUM,102
