generic_name,claim_count
0.9 % SODIUM CHLORIDE,603
ABACAVIR SULFATE,86
ABACAVIR SULFATE/LAMIVUDINE,330
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,130
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,12
ABATACEPT,211
ABIRATERONE ACETATE,841
ACAMPROSATE CALCIUM,200
ACARBOSE,452
ACEBUTOLOL HCL,1353
ACETAMINOPHEN WITH CODEINE,15279
ACETAZOLAMIDE,1791
ACETIC ACID,1271
ACETIC ACID/HYDROCORTISONE,11
ACETYLCYSTEINE,309
ACITRETIN,252
ACLIDINIUM BROMIDE,2111
ACYCLOVIR,9404
ADALIMUMAB,2428
AGALSIDASE BETA,19
ALBIGLUTIDE,55
ALBUTEROL SULFATE,125021
ALCAFTADINE,24
ALCLOMETASONE DIPROPIONATE,12
ALCOHOL ANTISEPTIC PADS,569
ALENDRONATE SODIUM,92718
ALFUZOSIN HCL,2304
ALISKIREN HEMIFUMARATE,1060
ALISKIREN/HYDROCHLOROTHIAZIDE,92
ALLOPURINOL,112372
ALMOTRIPTAN MALATE,24
ALOGLIPTIN BENZ/PIOGLITAZONE,23
ALOGLIPTIN BENZOATE,28
ALOSETRON HCL,56
ALPHA-1-PROTEINASE INHIBITOR,125
ALPRAZOLAM,137174
AMANTADINE HCL,4010
AMBRISENTAN,246
AMIKACIN SULFATE,14
AMILORIDE HCL,821
AMILORIDE/HYDROCHLOROTHIAZIDE,591
AMIODARONE HCL,33158
AMITRIP HCL/CHLORDIAZEPOXIDE,96
AMITRIPTYLINE HCL,49235
AMLODIPINE BES/OLMESARTAN MED,449
AMLODIPINE BESYLATE,400874
AMLODIPINE BESYLATE/BENAZEPRIL,15663
AMLODIPINE/ATORVASTATIN,212
AMLODIPINE/VALSARTAN,711
AMLODIPINE/VALSARTAN/HCTHIAZID,99
AMMONIUM LACTATE,620
AMOXAPINE,126
AMOXICILLIN,70159
AMOXICILLIN/POTASSIUM CLAV,29095
AMPHOTERICIN B,101
AMPICILLIN SODIUM,30
AMPICILLIN SODIUM/SULBACTAM NA,27
AMPICILLIN TRIHYDRATE,677
ANAGRELIDE HCL,291
ANASTROZOLE,13643
APIXABAN,14463
APREMILAST,49
ARFORMOTEROL TARTRATE,350
ARIPIPRAZOLE,34750
ARMODAFINIL,671
ASENAPINE MALEATE,2264
ASPIRIN/DIPYRIDAMOLE,7041
ATAZANAVIR SULFATE,426
ATENOLOL,173257
ATENOLOL/CHLORTHALIDONE,4624
ATOMOXETINE HCL,1346
ATORVASTATIN CALCIUM,441777
ATOVAQUONE,12
ATOVAQUONE/PROGUANIL HCL,84
ATROPINE SULFATE,298
AXITINIB,15
AZATHIOPRINE,5441
AZELAIC ACID,121
AZELASTINE HCL,4274
AZELASTINE/FLUTICASONE,217
AZILSARTAN MED/CHLORTHALIDONE,54
AZILSARTAN MEDOXOMIL,109
AZITHROMYCIN,75310
AZTREONAM LYSINE,12
BACITRACIN,143
BACLOFEN,33816
BALSALAZIDE DISODIUM,1046
BECAPLERMIN,12
BECLOMETHASONE DIPROPIONATE,8453
BENAZEPRIL HCL,56676
BENAZEPRIL/HYDROCHLOROTHIAZIDE,5910
BENZTROPINE MESYLATE,25873
BEPOTASTINE BESILATE,12
BESIFLOXACIN HCL,619
BETAMETHASONE DIPROPIONATE,1796
BETAMETHASONE VALERATE,908
BETAMETHASONE/PROPYLENE GLYC,372
BETAXOLOL HCL,365
BETHANECHOL CHLORIDE,1295
BICALUTAMIDE,2404
BIMATOPROST,22390
BISOPROLOL FUMARATE,9952
BISOPROLOL FUMARATE/HCTZ,9155
BOSENTAN,428
BOSUTINIB,47
BRIMONIDINE TARTRATE,16505
BRIMONIDINE TARTRATE/TIMOLOL,10459
BRINZOLAMIDE,4552
BRINZOLAMIDE/BRIMONIDINE TART,1326
BROMFENAC SODIUM,1481
BROMOCRIPTINE MESYLATE,166
BUDESONIDE,5542
BUDESONIDE/FORMOTEROL FUMARATE,33156
BUMETANIDE,15171
BUPRENORPHINE,1124
BUPRENORPHINE HCL/NALOXONE HCL,301
BUPROPION HBR,22
BUPROPION HCL,70120
BUSPIRONE HCL,40267
BUTALB/ACETAMINOPHEN/CAFFEINE,1555
BUTALBIT/ACETAMIN/CAFF/CODEINE,198
BUTALBITAL/ACETAMINOPHEN,13
BUTALBITAL/ASPIRIN/CAFFEINE,142
BUTORPHANOL TARTRATE,261
CABERGOLINE,180
CALCIPOTRIENE,729
CALCIPOTRIENE/BETAMETHASONE,11
"CALCITONIN,SALMON,SYNTHETIC",2669
CALCITRIOL,10474
CALCIUM ACETATE,3744
CANAGLIFLOZIN,5402
CANAGLIFLOZIN/METFORMIN HCL,24
CANDESARTAN CILEXETIL,630
CANDESARTAN/HYDROCHLOROTHIAZID,129
CAPTOPRIL,2425
CAPTOPRIL/HYDROCHLOROTHIAZIDE,160
CARBAMAZEPINE,19574
CARBIDOPA,111
CARBIDOPA/LEVODOPA,49547
CARBIDOPA/LEVODOPA/ENTACAPONE,1194
CARISOPRODOL,2263
CARTEOLOL HCL,27
CARVEDILOL,123471
CARVEDILOL PHOSPHATE,272
CASPOFUNGIN ACETATE,56
CEFACLOR,48
CEFADROXIL,646
CEFAZOLIN SODIUM,113
CEFDINIR,11884
CEFEPIME HCL,79
CEFIXIME,22
CEFPODOXIME PROXETIL,204
CEFPROZIL,622
CEFTRIAXONE SODIUM,1950
CEFUROXIME AXETIL,8165
CELECOXIB,28992
CEPHALEXIN,65041
CERTOLIZUMAB PEGOL,52
CETIRIZINE HCL,11
CEVIMELINE HCL,567
CHLORAMBUCIL,98
CHLORDIAZEPOXIDE HCL,368
CHLORHEXIDINE GLUCONATE,16482
CHLOROQUINE PHOSPHATE,54
CHLOROTHIAZIDE,240
CHLORPROMAZINE HCL,2935
CHLORPROPAMIDE,12
CHLORTHALIDONE,13294
CHLORZOXAZONE,332
CHOLESTYRAMINE (WITH SUGAR),4542
CHOLESTYRAMINE/ASPARTAME,1314
CICLESONIDE,257
CICLOPIROX,365
CICLOPIROX OLAMINE,681
CILOSTAZOL,5924
CIMETIDINE,474
CINACALCET HCL,4888
CIPROFLOXACIN HCL,59909
CIPROFLOXACIN HCL/DEXAMETH,578
CIPROFLOXACIN LACTATE/D5W,16
CITALOPRAM HYDROBROMIDE,143242
CITRIC ACID/G-LACTONE/MAG CARB,59
CLARITHROMYCIN,713
CLEMASTINE FUMARATE,42
CLINDAMYCIN HCL,12592
CLINDAMYCIN PHOS/BENZOYL PEROX,26
CLINDAMYCIN PHOSPHATE,1157
CLOBAZAM,500
CLOBETASOL PROPIONATE,10206
CLOBETASOL PROPIONATE/EMOLL,56
CLOMIPRAMINE HCL,1435
CLONAZEPAM,100069
CLONIDINE,1655
CLONIDINE HCL,29249
CLOPIDOGREL BISULFATE,147309
CLORAZEPATE DIPOTASSIUM,1383
CLOTRIMAZOLE,2111
CLOTRIMAZOLE/BETAMETHASONE DIP,3801
CLOZAPINE,18118
CODEINE SULFATE,103
CODEINE/BUTALBITAL/ASA/CAFFEIN,165
COLCHICINE,4221
COLCHICINE/PROBENECID,328
COLESEVELAM HCL,4632
COLESTIPOL HCL,3019
COLISTIN (COLISTIMETHATE NA),41
COLLAGENASE CLOSTRIDIUM HIST.,686
CORTICOTROPIN,27
CORTISONE ACETATE,13
CRIZOTINIB,11
CROMOLYN SODIUM,73
CYCLOBENZAPRINE HCL,33865
CYCLOPENTOLATE HCL,41
CYCLOPHOSPHAMIDE,62
CYCLOSPORINE,10082
"CYCLOSPORINE, MODIFIED",339
CYPROHEPTADINE HCL,222
CYSTEAMINE BITARTRATE,11
DABIGATRAN ETEXILATE MESYLATE,13990
DALFAMPRIDINE,526
"DALTEPARIN SODIUM,PORCINE",57
DANAZOL,48
DANTROLENE SODIUM,335
DAPAGLIFLOZIN PROPANEDIOL,328
DAPSONE,805
DAPTOMYCIN,84
DARBEPOETIN ALFA IN POLYSORBAT,49
DARIFENACIN HYDROBROMIDE,703
DARUNAVIR ETHANOLATE,743
DASATINIB,158
DEFERASIROX,68
DEFERIPRONE,31
DEMECLOCYCLINE HCL,129
DENOSUMAB,28
DESIPRAMINE HCL,735
DESLORATADINE,263
DESLORATADINE/PSEUDOEPHEDRINE,12
DESMOPRESSIN (NONREFRIGERATED),52
DESMOPRESSIN ACETATE,1805
DESOG-E.ESTRADIOL/E.ESTRADIOL,78
DESOGESTREL-ETHINYL ESTRADIOL,249
DESONIDE,1292
DESOXIMETASONE,280
DESVENLAFAXINE,11
DESVENLAFAXINE SUCCINATE,4825
DEXAMETHASONE,5632
DEXAMETHASONE SOD PHOSPHATE,94
DEXLANSOPRAZOLE,14655
DEXMETHYLPHENIDATE HCL,118
DEXTROAMPHETAMINE SULFATE,919
DEXTROAMPHETAMINE/AMPHETAMINE,10120
DEXTROMETHORPHAN HBR/QUINIDINE,1872
DEXTROSE 70 % IN WATER,150
DIAZEPAM,24131
DIAZOXIDE,21
DICLOFENAC EPOLAMINE,90
DICLOFENAC POTASSIUM,1030
DICLOFENAC SODIUM,26472
DICLOFENAC SODIUM/MISOPROSTOL,236
DICLOXACILLIN SODIUM,90
DICYCLOMINE HCL,8122
DIDANOSINE,11
DIFLORASONE DIACETATE,11
DIFLUNISAL,577
DIFLUPREDNATE,6639
DIGOXIN,42410
DILTIAZEM HCL,92046
DIMETHYL FUMARATE,1132
"DIPH,PERTUSS(ACELL),TET VAC/PF",292
DIPHENHYDRAMINE HCL,80
DIPHENOXYLATE HCL/ATROPINE,3682
"DIPHTH,PERTUSS(ACELL),TET VAC",1737
DIPYRIDAMOLE,404
DISOPYRAMIDE PHOSPHATE,204
DISULFIRAM,233
DIVALPROEX SODIUM,41636
DOFETILIDE,2772
DOLUTEGRAVIR SODIUM,370
DONEPEZIL HCL,98245
DORZOLAMIDE HCL,4877
DORZOLAMIDE HCL/TIMOLOL MALEAT,15382
DORZOLAMIDE/TIMOLOL/PF,259
DOXAZOSIN MESYLATE,31724
DOXEPIN HCL,8133
DOXERCALCIFEROL,60
DOXYCYCLINE HYCLATE,19196
DOXYCYCLINE MONOHYDRATE,7146
DRONABINOL,230
DRONEDARONE HCL,2398
DULAGLUTIDE,58
DULOXETINE HCL,87847
DUTASTERIDE,8605
DUTASTERIDE/TAMSULOSIN HCL,538
ECHOTHIOPHATE IODIDE,14
ECONAZOLE NITRATE,2319
EFAVIRENZ,249
EFAVIRENZ/EMTRICITAB/TENOFOVIR,1050
EFINACONAZOLE,34
ELETRIPTAN HBR,202
ELVITEGR/COBICIST/EMTRIC/TENOF,171
EMPAGLIFLOZIN,41
EMTRICITAB/RILPIVIRINE/TENOFOV,53
EMTRICITABINE,52
EMTRICITABINE/TENOFOVIR,1433
ENALAPRIL MALEATE,47497
ENALAPRIL/HYDROCHLOROTHIAZIDE,2067
ENOXAPARIN SODIUM,3065
ENTACAPONE,1413
ENTECAVIR,81
ENZALUTAMIDE,783
EPINEPHRINE,185
EPLERENONE,705
EPOETIN ALFA,60
ERGOTAMINE TARTRATE/CAFFEINE,12
ERLOTINIB HCL,390
