generic_name,claim_count
0.9 % SODIUM CHLORIDE,333
ABACAVIR SULFATE,11
ABACAVIR SULFATE/LAMIVUDINE,72
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,155
ABATACEPT,131
ABIRATERONE ACETATE,382
ACAMPROSATE CALCIUM,217
ACARBOSE,93
ACEBUTOLOL HCL,154
ACETAMINOPHEN WITH CODEINE,6936
ACETAZOLAMIDE,543
ACETIC ACID,110
ACETYLCYSTEINE,20
ACITRETIN,59
ACLIDINIUM BROMIDE,598
ACYCLOVIR,4983
ADALIMUMAB,1681
ALBIGLUTIDE,24
ALBUTEROL SULFATE,46560
ALCLOMETASONE DIPROPIONATE,41
ALCOHOL ANTISEPTIC PADS,198
ALENDRONATE SODIUM,27318
ALENDRONATE SODIUM/VITAMIN D3,24
ALFUZOSIN HCL,1035
ALISKIREN HEMIFUMARATE,478
ALISKIREN/HYDROCHLOROTHIAZIDE,24
ALLOPURINOL,34448
ALOGLIPTIN BENZ/METFORMIN HCL,11
ALOGLIPTIN BENZOATE,13
ALPHA-1-PROTEINASE INHIBITOR,163
ALPRAZOLAM,42563
AMANTADINE HCL,1317
AMBRISENTAN,108
AMCINONIDE,21
AMILORIDE HCL,340
AMILORIDE/HYDROCHLOROTHIAZIDE,240
AMIODARONE HCL,4670
AMITRIP HCL/CHLORDIAZEPOXIDE,101
AMITRIPTYLINE HCL,19067
AMLODIPINE BES/OLMESARTAN MED,163
AMLODIPINE BESYLATE,122109
AMLODIPINE BESYLATE/BENAZEPRIL,3906
AMLODIPINE/ATORVASTATIN,47
AMLODIPINE/VALSARTAN,299
AMLODIPINE/VALSARTAN/HCTHIAZID,11
AMMONIUM LACTATE,44
AMOXAPINE,20
AMOXICILLIN,19690
AMOXICILLIN/POTASSIUM CLAV,12806
AMPICILLIN TRIHYDRATE,82
ANAGRELIDE HCL,125
ANASTROZOLE,4785
APIXABAN,11474
APRACLONIDINE HCL,15
APREMILAST,86
ARFORMOTEROL TARTRATE,36
ARIPIPRAZOLE,12485
ARMODAFINIL,585
ASENAPINE MALEATE,422
ASPIRIN/DIPYRIDAMOLE,801
ATAZANAVIR SULFATE,112
ATENOLOL,34637
ATENOLOL/CHLORTHALIDONE,495
ATOMOXETINE HCL,1113
ATORVASTATIN CALCIUM,141424
ATOVAQUONE/PROGUANIL HCL,63
ATROPINE SULFATE,22
AXITINIB,25
AZATHIOPRINE,1978
AZELAIC ACID,48
AZELASTINE HCL,2607
AZELASTINE/FLUTICASONE,143
AZILSARTAN MED/CHLORTHALIDONE,44
AZILSARTAN MEDOXOMIL,42
AZITHROMYCIN,24880
BACITRACIN,95
BACITRACIN/POLYMYXIN B SULFATE,11
BACLOFEN,15124
BALSALAZIDE DISODIUM,432
BECLOMETHASONE DIPROPIONATE,3540
BENAZEPRIL HCL,9115
BENAZEPRIL/HYDROCHLOROTHIAZIDE,1173
BENZTROPINE MESYLATE,8224
BESIFLOXACIN HCL,310
BETAMETHASONE DIPROPIONATE,1092
BETAMETHASONE VALERATE,273
BETAMETHASONE/PROPYLENE GLYC,196
BETAXOLOL HCL,70
BETHANECHOL CHLORIDE,209
BICALUTAMIDE,605
BIMATOPROST,3696
BISOPROLOL FUMARATE,2119
BISOPROLOL FUMARATE/HCTZ,3417
BOSENTAN,188
BRIMONIDINE TARTRATE,4760
BRIMONIDINE TARTRATE/TIMOLOL,2279
BRINZOLAMIDE,994
BRINZOLAMIDE/BRIMONIDINE TART,336
BROMFENAC SODIUM,303
BROMOCRIPTINE MESYLATE,141
BUDESONIDE,1329
BUDESONIDE/FORMOTEROL FUMARATE,11695
BUMETANIDE,4100
BUPRENORPHINE,1360
BUPRENORPHINE HCL,913
BUPRENORPHINE HCL/NALOXONE HCL,1182
BUPROPION HCL,32051
BUSPIRONE HCL,11041
BUTALB/ACETAMINOPHEN/CAFFEINE,843
BUTALBIT/ACETAMIN/CAFF/CODEINE,134
BUTALBITAL/ASPIRIN/CAFFEINE,60
BUTORPHANOL TARTRATE,157
C1 ESTERASE INHIBITOR,42
CABERGOLINE,139
CALCIPOTRIENE,121
"CALCITONIN,SALMON,SYNTHETIC",585
CALCITRIOL,4045
CALCIUM ACETATE,1312
CANAGLIFLOZIN,1231
CANAGLIFLOZIN/METFORMIN HCL,30
CANDESARTAN CILEXETIL,338
CANDESARTAN/HYDROCHLOROTHIAZID,23
CAPTOPRIL,286
CAPTOPRIL/HYDROCHLOROTHIAZIDE,12
CARBAMAZEPINE,5996
CARBIDOPA/LEVODOPA,12397
CARBIDOPA/LEVODOPA/ENTACAPONE,344
CARBINOXAMINE MALEATE,24
CARISOPRODOL,5098
CARVEDILOL,51240
CARVEDILOL PHOSPHATE,99
CEFACLOR,11
CEFADROXIL,535
CEFAZOLIN SODIUM,15
CEFDINIR,3106
CEFOXITIN SODIUM,28
CEFPODOXIME PROXETIL,18
CEFPROZIL,96
CEFTRIAXONE SODIUM,404
CEFUROXIME AXETIL,2342
CELECOXIB,9792
CEPHALEXIN,19404
CERTOLIZUMAB PEGOL,254
CETIRIZINE HCL,12
CEVIMELINE HCL,768
CHLORAMBUCIL,14
CHLORDIAZEPOXIDE HCL,36
CHLORHEXIDINE GLUCONATE,4445
CHLORPROMAZINE HCL,640
CHLORTHALIDONE,5607
CHLORZOXAZONE,139
CHOLESTYRAMINE (WITH SUGAR),1231
CHOLESTYRAMINE/ASPARTAME,187
CICLESONIDE,30
CICLOPIROX,153
CICLOPIROX OLAMINE,327
CILOSTAZOL,569
CIMETIDINE,151
CINACALCET HCL,2783
CIPROFLOXACIN HCL,22717
CIPROFLOXACIN HCL/DEXAMETH,229
CITALOPRAM HYDROBROMIDE,53163
CITRIC ACID/G-LACTONE/MAG CARB,76
CLARITHROMYCIN,290
CLEMASTINE FUMARATE,46
CLINDAMYCIN HCL,2585
CLINDAMYCIN PHOS/BENZOYL PEROX,12
CLINDAMYCIN PHOSPHATE,528
CLOBAZAM,605
CLOBETASOL PROPIONATE,5042
CLOBETASOL PROPIONATE/EMOLL,11
CLOMIPRAMINE HCL,498
CLONAZEPAM,40860
CLONIDINE,686
CLONIDINE HCL,14308
CLOPIDOGREL BISULFATE,36018
CLORAZEPATE DIPOTASSIUM,538
CLOTRIMAZOLE,383
CLOTRIMAZOLE/BETAMETHASONE DIP,874
CLOZAPINE,3858
CODEINE SULFATE,47
CODEINE/BUTALBITAL/ASA/CAFFEIN,97
COLCHICINE,1286
COLCHICINE/PROBENECID,207
COLESEVELAM HCL,1156
COLESTIPOL HCL,594
COLISTIN (COLISTIMETHATE NA),47
COLLAGENASE CLOSTRIDIUM HIST.,59
CORTICOTROPIN,21
CYCLOBENZAPRINE HCL,13537
CYCLOPENTOLATE HCL,107
CYCLOPHOSPHAMIDE,13
CYCLOSPORINE,2997
"CYCLOSPORINE, MODIFIED",132
CYPROHEPTADINE HCL,169
DABIGATRAN ETEXILATE MESYLATE,3953
DALFAMPRIDINE,378
DANAZOL,11
DANTROLENE SODIUM,220
DAPAGLIFLOZIN PROPANEDIOL,271
DAPAGLIFLOZIN/METFORMIN HCL,11
DAPSONE,246
DAPTOMYCIN,103
DARIFENACIN HYDROBROMIDE,126
DARUNAVIR ETHANOLATE,245
DASATINIB,97
DEMECLOCYCLINE HCL,28
DESIPRAMINE HCL,200
DESLORATADINE,34
DESMOPRESSIN ACETATE,664
DESOG-E.ESTRADIOL/E.ESTRADIOL,23
DESOGESTREL-ETHINYL ESTRADIOL,70
DESONIDE,903
DESOXIMETASONE,28
DESVENLAFAXINE,11
DESVENLAFAXINE SUCCINATE,2258
DEXAMETHASONE,1832
DEXAMETHASONE SOD PHOSPHATE,74
DEXLANSOPRAZOLE,2264
DEXMETHYLPHENIDATE HCL,95
DEXTROAMPHETAMINE SULFATE,361
DEXTROAMPHETAMINE/AMPHETAMINE,6802
DEXTROMETHORPHAN HBR/QUINIDINE,123
DEXTROSE 5 % IN WATER,23
DEXTROSE 70 % IN WATER,74
DIAZEPAM,14189
DICLOFENAC EPOLAMINE,53
DICLOFENAC POTASSIUM,169
DICLOFENAC SODIUM,11361
DICLOFENAC SODIUM/MISOPROSTOL,84
DICLOXACILLIN SODIUM,44
DICYCLOMINE HCL,2897
DIFLUNISAL,12
DIFLUPREDNATE,716
DIGOXIN,15556
DIHYDROERGOTAMINE MESYLATE,12
DILTIAZEM HCL,20715
DIMETHYL FUMARATE,1330
"DIPH,PERTUSS(ACELL),TET VAC/PF",279
DIPHENHYDRAMINE HCL,13
DIPHENOXYLATE HCL/ATROPINE,1977
"DIPHTH,PERTUSS(ACELL),TET VAC",405
DIPYRIDAMOLE,55
DISOPYRAMIDE PHOSPHATE,37
DISULFIRAM,53
DIVALPROEX SODIUM,16818
DOFETILIDE,244
DOLUTEGRAVIR SODIUM,397
DONEPEZIL HCL,24546
DORZOLAMIDE HCL,1654
DORZOLAMIDE HCL/TIMOLOL MALEAT,3656
DORZOLAMIDE/TIMOLOL/PF,104
DOXAZOSIN MESYLATE,10528
DOXEPIN HCL,3947
DOXYCYCLINE HYCLATE,7102
DOXYCYCLINE MONOHYDRATE,1019
DRONABINOL,327
DRONEDARONE HCL,345
DROXIDOPA,12
DULAGLUTIDE,28
DULOXETINE HCL,41755
DUTASTERIDE,1621
DUTASTERIDE/TAMSULOSIN HCL,245
ECONAZOLE NITRATE,612
EFAVIRENZ,26
EFAVIRENZ/EMTRICITAB/TENOFOVIR,159
EFINACONAZOLE,16
ELETRIPTAN HBR,52
ELTROMBOPAG OLAMINE,11
ELVITEGR/COBICIST/EMTRIC/TENOF,67
EMPAGLIFLOZIN,12
EMTRICITAB/RILPIVIRINE/TENOFOV,18
EMTRICITABINE/TENOFOVIR,658
ENALAPRIL MALEATE,7462
ENALAPRIL/HYDROCHLOROTHIAZIDE,275
ENOXAPARIN SODIUM,1509
ENTACAPONE,447
ENTECAVIR,29
ENZALUTAMIDE,245
EPINASTINE HCL,26
EPINEPHRINE,53
EPLERENONE,417
ERLOTINIB HCL,97
ERTAPENEM SODIUM,123
ERYTHROMYCIN BASE,2664
ERYTHROMYCIN ETHYLSUCCINATE,38
ERYTHROMYCIN/BENZOYL PEROXIDE,12
ESCITALOPRAM OXALATE,30601
ESLICARBAZEPINE ACETATE,122
ESOMEPRAZOLE MAGNESIUM,13766
ESTAZOLAM,25
ESTRADIOL,15860
ESTRADIOL/NORETHINDRONE ACET,64
"ESTROGEN,CON/M-PROGEST ACET",582
"ESTROGENS, CONJUGATED",4991
"ESTROGENS,CONJ.,SYNTHETIC B",11
"ESTROGENS,ESTERIFIED",97
ESTROPIPATE,150
ESZOPICLONE,1715
ETANERCEPT,1244
ETHACRYNIC ACID,11
ETHAMBUTOL HCL,78
ETHINYL ESTRADIOL/DROSPIRENONE,37
ETHOSUXIMIDE,40
ETHYNODIOL D-ETHINYL ESTRADIOL,24
ETODOLAC,3061
