generic_name,claim_count
0.9 % SODIUM CHLORIDE,4396
AA 5 %/CALCIUM/LYTES/DEXT 20 %,12
ABACAVIR SULFATE,1173
ABACAVIR SULFATE/LAMIVUDINE,4226
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,1535
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,225
ABATACEPT,987
ABATACEPT/MALTOSE,37
ABIRATERONE ACETATE,2973
ACAMPROSATE CALCIUM,376
ACARBOSE,5164
ACEBUTOLOL HCL,2202
ACETAMINOPHEN WITH CODEINE,126731
ACETAZOLAMIDE,7058
ACETIC ACID,853
ACETIC ACID/HYDROCORTISONE,90
ACETYLCYSTEINE,664
ACITRETIN,644
ACLIDINIUM BROMIDE,5841
ACYCLOVIR,23601
ADALIMUMAB,10572
ADAPALENE,13
ADEFOVIR DIPIVOXIL,235
AFATINIB DIMALEATE,215
AGALSIDASE BETA,22
ALBENDAZOLE,19
ALBIGLUTIDE,365
ALBUTEROL SULFATE,397758
ALCAFTADINE,225
ALCLOMETASONE DIPROPIONATE,770
ALCOHOL ANTISEPTIC PADS,30971
ALENDRONATE SODIUM,251472
ALENDRONATE SODIUM/VITAMIN D3,24
ALFUZOSIN HCL,13615
ALISKIREN HEMIFUMARATE,2727
ALISKIREN/HYDROCHLOROTHIAZIDE,276
ALLOPURINOL,313984
ALMOTRIPTAN MALATE,29
ALOGLIPTIN BENZ/METFORMIN HCL,41
ALOGLIPTIN BENZ/PIOGLITAZONE,214
ALOGLIPTIN BENZOATE,145
ALOSETRON HCL,180
ALPHA-1-PROTEINASE INHIBITOR,714
ALPRAZOLAM,444897
ALTRETAMINE,15
AMANTADINE HCL,12632
AMBRISENTAN,1315
AMIKACIN SULFATE,106
AMILORIDE HCL,1726
AMILORIDE/HYDROCHLOROTHIAZIDE,2726
AMIODARONE HCL,82405
AMITRIP HCL/CHLORDIAZEPOXIDE,449
AMITRIPTYLINE HCL,116178
AMLODIPINE BES/OLMESARTAN MED,4706
AMLODIPINE BESYLATE,1298174
AMLODIPINE BESYLATE/BENAZEPRIL,62139
AMLODIPINE/ATORVASTATIN,1066
AMLODIPINE/VALSARTAN,5168
AMLODIPINE/VALSARTAN/HCTHIAZID,972
AMMONIUM LACTATE,7983
AMOXAPINE,298
AMOXICILLIN,203777
AMOXICILLIN/POTASSIUM CLAV,101120
AMPHOTERICIN B,12
AMPHOTERICIN B LIPID COMPLEX,112
AMPHOTERICIN B LIPOSOME,20
AMPICILLIN SODIUM,102
AMPICILLIN SODIUM/SULBACTAM NA,104
AMPICILLIN TRIHYDRATE,2909
ANAGRELIDE HCL,832
ANAKINRA,13
ANASTROZOLE,45046
APIXABAN,67993
APOMORPHINE HCL,23
APRACLONIDINE HCL,84
APREMILAST,494
APREPITANT,96
ARFORMOTEROL TARTRATE,347
ARIPIPRAZOLE,76888
ARMODAFINIL,1980
ASENAPINE MALEATE,3384
ASPIRIN/DIPYRIDAMOLE,8706
ATAZANAVIR SULFATE,5052
ATENOLOL,396188
ATENOLOL/CHLORTHALIDONE,16589
ATOMOXETINE HCL,1634
ATORVASTATIN CALCIUM,1451262
ATOVAQUONE,425
ATOVAQUONE/PROGUANIL HCL,660
ATROPINE SULFATE,620
AURANOFIN,18
AXITINIB,135
AZACITIDINE,12
AZATHIOPRINE,12974
AZELAIC ACID,527
AZELASTINE HCL,18883
AZELASTINE/FLUTICASONE,878
AZILSARTAN MED/CHLORTHALIDONE,484
AZILSARTAN MEDOXOMIL,613
AZITHROMYCIN,234628
AZTREONAM,113
AZTREONAM LYSINE,67
AZTREONAM/DEXTROSE-WATER,33
BACITRACIN,2879
BACITRACIN/POLYMYXIN B SULFATE,226
BACLOFEN,94161
BALSALAZIDE DISODIUM,2841
BECAPLERMIN,62
BECLOMETHASONE DIPROPIONATE,11685
BELATACEPT,47
BENAZEPRIL HCL,86628
BENAZEPRIL/HYDROCHLOROTHIAZIDE,9159
BENDAMUSTINE HCL,11
BENZONATATE,655
BENZTROPINE MESYLATE,84353
BEPOTASTINE BESILATE,370
BESIFLOXACIN HCL,4630
BETAMETHASONE DIPROPIONATE,10522
BETAMETHASONE VALERATE,5016
BETAMETHASONE/PROPYLENE GLYC,3586
BETAXOLOL HCL,587
BETHANECHOL CHLORIDE,10634
BEVACIZUMAB,73
BEXAROTENE,40
BICALUTAMIDE,9542
BIMATOPROST,72432
BISOPROLOL FUMARATE,14261
BISOPROLOL FUMARATE/HCTZ,19880
BORTEZOMIB,71
BOSENTAN,896
BOSUTINIB,58
BREXPIPRAZOLE,15
BRIMONIDINE TARTRATE,73744
BRIMONIDINE TARTRATE/TIMOLOL,42000
BRINZOLAMIDE,14043
BRINZOLAMIDE/BRIMONIDINE TART,6036
BROMFENAC SODIUM,6651
BROMOCRIPTINE MESYLATE,1145
BUDESONIDE,12148
BUDESONIDE/FORMOTEROL FUMARATE,154472
BUMETANIDE,46097
BUPRENORPHINE,3884
BUPRENORPHINE HCL,1260
BUPRENORPHINE HCL/NALOXONE HCL,9387
BUPROPION HBR,48
BUPROPION HCL,144785
BUSPIRONE HCL,69735
BUTALB/ACETAMINOPHEN/CAFFEINE,7622
BUTALBIT/ACETAMIN/CAFF/CODEINE,1135
BUTALBITAL/ACETAMINOPHEN,66
BUTALBITAL/ASPIRIN/CAFFEINE,985
BUTORPHANOL TARTRATE,911
C1 ESTERASE INHIBITOR,35
CABERGOLINE,1035
CALCIPOTRIENE,1520
CALCIPOTRIENE/BETAMETHASONE,91
"CALCITONIN,SALMON,SYNTHETIC",10371
CALCITRIOL,46220
CALCIUM ACETATE,20958
CANAGLIFLOZIN,18113
CANAGLIFLOZIN/METFORMIN HCL,312
CANDESARTAN CILEXETIL,2516
CANDESARTAN/HYDROCHLOROTHIAZID,315
CAPTOPRIL,6706
CAPTOPRIL/HYDROCHLOROTHIAZIDE,264
CARBAMAZEPINE,61333
CARBIDOPA,604
CARBIDOPA/LEVODOPA,117682
CARBIDOPA/LEVODOPA/ENTACAPONE,2320
CARBOPLATIN,22
CARISOPRODOL,12304
CARTEOLOL HCL,510
CARVEDILOL,513817
CARVEDILOL PHOSPHATE,2678
CASPOFUNGIN ACETATE,122
CEFACLOR,629
CEFADROXIL,8823
CEFAZOLIN SODIUM,540
"CEFAZOLIN SODIUM/DEXTROSE,ISO",22
CEFDINIR,9851
CEFEPIME HCL,1185
