generic_name,claim_count
0.9 % SODIUM CHLORIDE,3678
ABACAVIR SULFATE,771
ABACAVIR SULFATE/LAMIVUDINE,1356
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,1554
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,72
ABATACEPT,452
ABATACEPT/MALTOSE,12
ABIRATERONE ACETATE,1706
ACAMPROSATE CALCIUM,297
ACARBOSE,1248
ACEBUTOLOL HCL,1659
ACETAMINOPHEN WITH CODEINE,32937
ACETAZOLAMIDE,4279
ACETIC ACID,877
ACETIC ACID/HYDROCORTISONE,70
ACETYLCYSTEINE,281
ACITRETIN,422
ACLIDINIUM BROMIDE,4358
ACYCLOVIR,21557
ADALIMUMAB,6648
ADAPALENE,23
ADEFOVIR DIPIVOXIL,35
AFATINIB DIMALEATE,50
AGALSIDASE BETA,13
ALBIGLUTIDE,659
ALBUTEROL SULFATE,250796
ALCAFTADINE,73
ALCLOMETASONE DIPROPIONATE,228
ALCOHOL ANTISEPTIC PADS,1955
ALENDRONATE SODIUM,144679
ALENDRONATE SODIUM/VITAMIN D3,29
ALFUZOSIN HCL,5806
ALGLUCOSIDASE ALFA,26
ALISKIREN HEMIFUMARATE,2124
ALISKIREN/HYDROCHLOROTHIAZIDE,317
ALLOPURINOL,190200
ALMOTRIPTAN MALATE,13
ALOGLIPTIN BENZ/PIOGLITAZONE,156
ALOGLIPTIN BENZOATE,66
ALOSETRON HCL,66
ALPHA-1-PROTEINASE INHIBITOR,645
ALPRAZOLAM,361896
AMANTADINE HCL,11005
AMBRISENTAN,595
AMCINONIDE,113
AMIKACIN SULFATE,69
AMILORIDE HCL,896
AMILORIDE/HYDROCHLOROTHIAZIDE,1180
AMINOCAPROIC ACID,16
AMIODARONE HCL,58594
AMITRIP HCL/CHLORDIAZEPOXIDE,152
AMITRIPTYLINE HCL,82958
AMLODIPINE BES/OLMESARTAN MED,3358
AMLODIPINE BESYLATE,797146
AMLODIPINE BESYLATE/BENAZEPRIL,37777
AMLODIPINE/ATORVASTATIN,1315
AMLODIPINE/VALSARTAN,3941
AMLODIPINE/VALSARTAN/HCTHIAZID,837
AMMONIUM LACTATE,6520
AMOXAPINE,170
AMOXICILLIN,118697
AMOXICILLIN/POTASSIUM CLAV,63749
AMPHOTERICIN B,23
AMPICILLIN SODIUM,66
AMPICILLIN SODIUM/SULBACTAM NA,92
AMPICILLIN TRIHYDRATE,2403
ANAGRELIDE HCL,357
ANAKINRA,29
ANASTROZOLE,26874
APIXABAN,48134
APOMORPHINE HCL,11
APREMILAST,510
ARFORMOTEROL TARTRATE,397
ARIPIPRAZOLE,60184
ARMODAFINIL,2979
ASENAPINE MALEATE,4481
ASPIRIN/DIPYRIDAMOLE,6782
ATAZANAVIR SULFATE,1589
ATAZANAVIR SULFATE/COBICISTAT,46
ATENOLOL,236537
ATENOLOL/CHLORTHALIDONE,13770
ATOMOXETINE HCL,2613
ATORVASTATIN CALCIUM,884619
ATOVAQUONE,77
ATOVAQUONE/PROGUANIL HCL,139
ATROPINE SULFATE,603
AXITINIB,12
AZATHIOPRINE,9051
AZELAIC ACID,244
AZELASTINE HCL,10769
AZELASTINE/FLUTICASONE,872
AZILSARTAN MED/CHLORTHALIDONE,482
AZILSARTAN MEDOXOMIL,254
AZITHROMYCIN,156392
AZTREONAM,168
AZTREONAM LYSINE,36
BACITRACIN,1742
BACITRACIN/POLYMYXIN B SULFATE,229
BACLOFEN,70542
BALSALAZIDE DISODIUM,1809
BCG LIVE,23
BECAPLERMIN,43
BECLOMETHASONE DIPROPIONATE,8281
BENAZEPRIL HCL,57064
BENAZEPRIL/HYDROCHLOROTHIAZIDE,6616
BENZTROPINE MESYLATE,45353
BEPOTASTINE BESILATE,72
BESIFLOXACIN HCL,3528
BETAINE,42
BETAMETHASONE DIPROPIONATE,3652
BETAMETHASONE VALERATE,2346
BETAMETHASONE/PROPYLENE GLYC,2116
BETAXOLOL HCL,714
BETHANECHOL CHLORIDE,3256
BEXAROTENE,12
BICALUTAMIDE,3441
BIMATOPROST,31516
BISOPROLOL FUMARATE,7929
BISOPROLOL FUMARATE/HCTZ,21422
BOSENTAN,810
BOSUTINIB,12
BREXPIPRAZOLE,82
BRIMONIDINE TARTRATE,28588
BRIMONIDINE TARTRATE/TIMOLOL,17548
BRINZOLAMIDE,4901
BRINZOLAMIDE/BRIMONIDINE TART,2762
BROMFENAC SODIUM,2584
BROMOCRIPTINE MESYLATE,721
BUDESONIDE,8606
BUDESONIDE/FORMOTEROL FUMARATE,74779
BUMETANIDE,24759
BUPRENORPHINE,3728
BUPRENORPHINE HCL,1726
BUPRENORPHINE HCL/NALOXONE HCL,13016
BUPROPION HBR,11
BUPROPION HCL,115903
BUSPIRONE HCL,76537
BUTALB/ACETAMINOPHEN/CAFFEINE,5975
BUTALBIT/ACETAMIN/CAFF/CODEINE,253
BUTALBITAL/ACETAMINOPHEN,101
BUTALBITAL/ASPIRIN/CAFFEINE,451
BUTORPHANOL TARTRATE,693
CABERGOLINE,939
CABOZANTINIB S-MALATE,12
CALCIPOTRIENE,793
CALCIPOTRIENE/BETAMETHASONE,12
"CALCITONIN,SALMON,SYNTHETIC",3590
CALCITRIOL,20613
CALCIUM ACETATE,8007
CANAGLIFLOZIN,15782
CANAGLIFLOZIN/METFORMIN HCL,567
CANDESARTAN CILEXETIL,1797
CANDESARTAN/HYDROCHLOROTHIAZID,290
CAPTOPRIL,2656
CAPTOPRIL/HYDROCHLOROTHIAZIDE,63
CARBAMAZEPINE,25173
CARBIDOPA,272
CARBIDOPA/LEVODOPA,62314
CARBIDOPA/LEVODOPA/ENTACAPONE,2270
CARISOPRODOL,10289
CARTEOLOL HCL,210
CARVEDILOL,367392
CARVEDILOL PHOSPHATE,1606
CEFACLOR,325
CEFADROXIL,1451
CEFAZOLIN SODIUM,266
CEFDINIR,19403
CEFEPIME HCL,395
"CEFEPIME HCL/DEXTROSE, ISO-OSM",14
CEFIXIME,35
CEFOXITIN SODIUM,61
CEFPODOXIME PROXETIL,666
CEFPROZIL,631
CEFTAROLINE FOSAMIL ACETATE,54
CEFTAZIDIME,125
CEFTAZIDIME IN DEXTROSE5%WATER,11
CEFTAZIDIME/AVIBACTAM,14
"CEFTRIAXONE NA/DEXTROSE,ISO",95
CEFTRIAXONE SODIUM,7562
CEFUROXIME AXETIL,15662
CELECOXIB,56371
CEPHALEXIN,160242
CERITINIB,36
CERTOLIZUMAB PEGOL,368
CETIRIZINE HCL,117
CEVIMELINE HCL,1194
CHENODIOL,13
CHLORAMBUCIL,12
CHLORDIAZEPOXIDE HCL,1120
