generic_name,claim_count
0.9 % SODIUM CHLORIDE,485
ABACAVIR SULFATE,167
ABACAVIR SULFATE/LAMIVUDINE,713
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,181
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,26
ABATACEPT,99
ABIRATERONE ACETATE,861
ACAMPROSATE CALCIUM,145
ACARBOSE,446
ACEBUTOLOL HCL,454
ACETAMINOPHEN WITH CODEINE,14409
ACETAZOLAMIDE,1145
ACETIC ACID,174
ACETIC ACID/HYDROCORTISONE,29
ACETYLCYSTEINE,201
ACITRETIN,123
ACLIDINIUM BROMIDE,1468
ACYCLOVIR,12331
ADALIMUMAB,2370
AFATINIB DIMALEATE,27
ALBENDAZOLE,21
ALBIGLUTIDE,77
ALBUTEROL SULFATE,92348
ALCAFTADINE,57
ALCLOMETASONE DIPROPIONATE,216
ALCOHOL ANTISEPTIC PADS,854
ALENDRONATE SODIUM,65898
ALFUZOSIN HCL,2325
ALGLUCOSIDASE ALFA,25
ALIROCUMAB,17
ALISKIREN HEMIFUMARATE,1259
ALISKIREN/HYDROCHLOROTHIAZIDE,175
ALLOPURINOL,87430
ALOGLIPTIN BENZ/PIOGLITAZONE,110
ALOGLIPTIN BENZOATE,35
ALOSETRON HCL,44
ALPHA-1-PROTEINASE INHIBITOR,201
ALPRAZOLAM,132248
AMANTADINE HCL,3851
AMBRISENTAN,403
AMIKACIN SULFATE,107
AMILORIDE HCL,658
AMILORIDE/HYDROCHLOROTHIAZIDE,940
AMIODARONE HCL,28429
AMITRIP HCL/CHLORDIAZEPOXIDE,62
AMITRIPTYLINE HCL,41204
AMLODIPINE BES/OLMESARTAN MED,750
AMLODIPINE BESYLATE,340368
AMLODIPINE BESYLATE/BENAZEPRIL,15555
AMLODIPINE/ATORVASTATIN,179
AMLODIPINE/VALSARTAN,995
AMLODIPINE/VALSARTAN/HCTHIAZID,305
AMMONIUM LACTATE,331
AMOXAPINE,90
AMOXICILLIN,51721
AMOXICILLIN/POTASSIUM CLAV,24768
AMPICILLIN SODIUM,66
AMPICILLIN TRIHYDRATE,363
ANAGRELIDE HCL,215
ANAKINRA,11
ANASTROZOLE,11317
APIXABAN,15189
APOMORPHINE HCL,36
APRACLONIDINE HCL,16
APREMILAST,146
ARFORMOTEROL TARTRATE,497
ARIPIPRAZOLE,28539
ARMODAFINIL,613
ARTEMETHER/LUMEFANTRINE,32
ASENAPINE MALEATE,1515
ASPIRIN/DIPYRIDAMOLE,4076
ATAZANAVIR SULFATE,504
ATAZANAVIR SULFATE/COBICISTAT,89
ATENOLOL,104581
ATENOLOL/CHLORTHALIDONE,2966
ATOMOXETINE HCL,1393
ATORVASTATIN CALCIUM,328285
ATOVAQUONE,11
ATOVAQUONE/PROGUANIL HCL,75
ATROPINE SULFATE,209
AXITINIB,52
AZATHIOPRINE,3536
AZELAIC ACID,74
