generic_name,claim_count
0.9 % SODIUM CHLORIDE,5517
AA 4.25%/CALCIUM/LYTES/D25W,16
ABACAVIR SULFATE,416
ABACAVIR SULFATE/LAMIVUDINE,1570
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,616
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,143
ABATACEPT,550
ABIRATERONE ACETATE,878
ACAMPROSATE CALCIUM,24
ACARBOSE,1765
ACEBUTOLOL HCL,3383
ACETAMINOPHEN WITH CODEINE,45757
ACETAZOLAMIDE,2201
ACETIC ACID,558
ACETIC ACID/HYDROCORTISONE,13
ACETYLCYSTEINE,362
ACITRETIN,345
ACLIDINIUM BROMIDE,7284
ACYCLOVIR,14323
ADALIMUMAB,6453
ADEFOVIR DIPIVOXIL,35
AFATINIB DIMALEATE,58
AGALSIDASE BETA,87
ALBIGLUTIDE,636
ALBUTEROL SULFATE,270329
ALCAFTADINE,14
ALCLOMETASONE DIPROPIONATE,264
ALCOHOL ANTISEPTIC PADS,1005
ALENDRONATE SODIUM,102224
ALENDRONATE SODIUM/VITAMIN D3,11
ALFUZOSIN HCL,6061
ALISKIREN HEMIFUMARATE,3227
ALISKIREN/HYDROCHLOROTHIAZIDE,402
ALLOPURINOL,164755
ALMOTRIPTAN MALATE,42
ALOGLIPTIN BENZ/METFORMIN HCL,11
ALOGLIPTIN BENZ/PIOGLITAZONE,337
ALOGLIPTIN BENZOATE,64
ALOSETRON HCL,245
ALPHA-1-PROTEINASE INHIBITOR,849
ALPRAZOLAM,305249
AMANTADINE HCL,6857
AMBRISENTAN,704
AMIKACIN SULFATE,161
AMILORIDE HCL,490
AMILORIDE/HYDROCHLOROTHIAZIDE,779
AMIODARONE HCL,47052
AMITRIP HCL/CHLORDIAZEPOXIDE,245
AMITRIPTYLINE HCL,108826
AMLODIPINE BES/OLMESARTAN MED,3031
AMLODIPINE BESYLATE,714520
AMLODIPINE BESYLATE/BENAZEPRIL,43758
AMLODIPINE/ATORVASTATIN,971
AMLODIPINE/VALSARTAN,4786
AMLODIPINE/VALSARTAN/HCTHIAZID,973
AMMONIUM LACTATE,3432
AMOXAPINE,61
AMOXICILLIN,113827
AMOXICILLIN/POTASSIUM CLAV,66131
AMPHOTERICIN B,24
AMPHOTERICIN B LIPID COMPLEX,16
AMPICILLIN SODIUM/SULBACTAM NA,81
AMPICILLIN TRIHYDRATE,1730
ANAGRELIDE HCL,421
ANAKINRA,41
ANASTROZOLE,18349
APIXABAN,49217
APOMORPHINE HCL,60
APRACLONIDINE HCL,12
APREMILAST,510
APREPITANT,15
ARFORMOTEROL TARTRATE,480
ARIPIPRAZOLE,38360
ARMODAFINIL,900
ASENAPINE MALEATE,1977
ASPIRIN/DIPYRIDAMOLE,6381
ATAZANAVIR SULFATE,1549
ATENOLOL,227217
ATENOLOL/CHLORTHALIDONE,9825
ATOMOXETINE HCL,1143
ATORVASTATIN CALCIUM,713637
ATOVAQUONE,12
ATOVAQUONE/PROGUANIL HCL,82
ATROPINE SULFATE,210
AURANOFIN,12
AXITINIB,36
AZATHIOPRINE,5224
AZELAIC ACID,211
AZELASTINE HCL,15553
AZELASTINE/FLUTICASONE,1213
AZILSARTAN MED/CHLORTHALIDONE,704
AZILSARTAN MEDOXOMIL,421
AZITHROMYCIN,143974
AZTREONAM LYSINE,29
BACITRACIN,726
BACITRACIN/POLYMYXIN B SULFATE,304
BACLOFEN,75726
BALSALAZIDE DISODIUM,1165
BECAPLERMIN,31
BECLOMETHASONE DIPROPIONATE,5671
BELIMUMAB,26
BENAZEPRIL HCL,54594
BENAZEPRIL/HYDROCHLOROTHIAZIDE,5631
BENZOCAINE,24
BENZTROPINE MESYLATE,27691
BEPOTASTINE BESILATE,110
BESIFLOXACIN HCL,2669
BETAINE,12
BETAMET ACET/BETAMET NA PH,13
BETAMETHASONE DIPROPIONATE,2904
BETAMETHASONE VALERATE,1735
BETAMETHASONE/PROPYLENE GLYC,861
BETAXOLOL HCL,346
BETHANECHOL CHLORIDE,4106
BEXAROTENE,12
BICALUTAMIDE,2622
BIMATOPROST,20251
BISAC/NACL/NAHCO3/KCL/PEG 3350,12
BISOPROLOL FUMARATE,28876
BISOPROLOL FUMARATE/HCTZ,18650
BOSENTAN,613
BREXPIPRAZOLE,31
BRIMONIDINE TARTRATE,17226
BRIMONIDINE TARTRATE/TIMOLOL,10859
BRINZOLAMIDE,2688
BRINZOLAMIDE/BRIMONIDINE TART,1647
BROMFENAC SODIUM,1937
BROMOCRIPTINE MESYLATE,866
BUDESONIDE,6907
BUDESONIDE/FORMOTEROL FUMARATE,92294
BUMETANIDE,39466
BUPIVACAINE HCL,13
BUPRENORPHINE,2205
BUPRENORPHINE HCL,836
BUPRENORPHINE HCL/NALOXONE HCL,28746
BUPROPION HBR,12
