generic_name,claim_count
0.9 % SODIUM CHLORIDE,1675
ABACAVIR SULFATE,1475
ABACAVIR SULFATE/LAMIVUDINE,3355
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,1222
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,254
ABATACEPT,291
ABATACEPT/MALTOSE,30
ABIRATERONE ACETATE,1326
ACAMPROSATE CALCIUM,276
ACARBOSE,2621
ACEBUTOLOL HCL,4961
ACETAMINOPHEN WITH CODEINE,31116
ACETAZOLAMIDE,3808
ACETIC ACID,77
ACETIC ACID/HYDROCORTISONE,142
ACETYLCYSTEINE,229
ACITRETIN,416
ACLIDINIUM BROMIDE,4332
ACYCLOVIR,10315
ADALIMUMAB,6039
ADEFOVIR DIPIVOXIL,131
AFATINIB DIMALEATE,11
ALBIGLUTIDE,1322
ALBUTEROL SULFATE,156647
ALCAFTADINE,47
ALCLOMETASONE DIPROPIONATE,507
ALCOHOL ANTISEPTIC PADS,4498
ALENDRONATE SODIUM,101651
ALENDRONATE SODIUM/VITAMIN D3,105
ALFUZOSIN HCL,12044
ALISKIREN HEMIFUMARATE,3129
ALISKIREN/HYDROCHLOROTHIAZIDE,594
ALLOPURINOL,145667
ALMOTRIPTAN MALATE,44
ALOGLIPTIN BENZ/METFORMIN HCL,47
ALOGLIPTIN BENZ/PIOGLITAZONE,188
ALOGLIPTIN BENZOATE,98
ALOSETRON HCL,15
ALPHA-1-PROTEINASE INHIBITOR,150
ALPRAZOLAM,304191
AMANTADINE HCL,4827
AMBRISENTAN,791
AMCINONIDE,18
AMIKACIN SULFATE,407
AMILORIDE HCL,438
AMILORIDE/HYDROCHLOROTHIAZIDE,708
AMIODARONE HCL,51664
AMITRIP HCL/CHLORDIAZEPOXIDE,535
AMITRIPTYLINE HCL,92344
AMLODIPINE BES/OLMESARTAN MED,8329
AMLODIPINE BESYLATE,784964
AMLODIPINE BESYLATE/BENAZEPRIL,68439
AMLODIPINE/ATORVASTATIN,2113
AMLODIPINE/VALSARTAN,11978
AMLODIPINE/VALSARTAN/HCTHIAZID,3019
AMMONIUM LACTATE,4903
AMOXAPINE,109
AMOXICILLIN,82544
AMOXICILLIN/POTASSIUM CLAV,49867
AMPICILLIN SODIUM,122
AMPICILLIN SODIUM/SULBACTAM NA,116
AMPICILLIN TRIHYDRATE,922
ANAGRELIDE HCL,502
ANAKINRA,12
ANASTROZOLE,19288
ANTIPYRINE/BENZOCAINE,44
APIXABAN,46348
APOMORPHINE HCL,14
APREMILAST,315
APREPITANT,125
ARFORMOTEROL TARTRATE,187
ARIPIPRAZOLE,34060
ARMODAFINIL,725
ASENAPINE MALEATE,2328
ASPIRIN/DIPYRIDAMOLE,8142
ATAZANAVIR SULFATE,4521
ATAZANAVIR SULFATE/COBICISTAT,172
ATENOLOL,169604
ATENOLOL/CHLORTHALIDONE,12189
ATOMOXETINE HCL,694
ATORVASTATIN CALCIUM,619434
ATOVAQUONE,229
ATOVAQUONE/PROGUANIL HCL,41
ATROPINE SULFATE,439
AXITINIB,22
AZATHIOPRINE,4689
AZELAIC ACID,69
AZELASTINE HCL,17981
AZELASTINE/FLUTICASONE,1888
AZILSARTAN MED/CHLORTHALIDONE,1023
AZILSARTAN MEDOXOMIL,719
AZITHROMYCIN,112351
AZTREONAM,13
AZTREONAM LYSINE,48
BACITRACIN,1428
BACITRACIN/POLYMYXIN B SULFATE,46
BACLOFEN,57396
BALSALAZIDE DISODIUM,1297
BECAPLERMIN,90
BECLOMETHASONE DIPROPIONATE,2141
BELIMUMAB,55
BENAZEPRIL HCL,92258
BENAZEPRIL/HYDROCHLOROTHIAZIDE,11071
BENZOCAINE,17
BENZTROPINE MESYLATE,37702
BEPOTASTINE BESILATE,222
BESIFLOXACIN HCL,5638
BETAINE,24
BETAMET ACET/BETAMET NA PH,36
BETAMETHASONE DIPROPIONATE,2485
BETAMETHASONE VALERATE,2839
BETAMETHASONE/PROPYLENE GLYC,1465
BETAXOLOL HCL,718
BETHANECHOL CHLORIDE,5266
BEVACIZUMAB,58
BEXAROTENE,96
BICALUTAMIDE,5070
BIMATOPROST,22779
BISMUTH/METRONID/TETRACYCLINE,24
BISOPROLOL FUMARATE,18889
BISOPROLOL FUMARATE/HCTZ,14686
BORTEZOMIB,58
BOSENTAN,1030
BOSUTINIB,35
BRIMONIDINE TARTRATE,33982
BRIMONIDINE TARTRATE/TIMOLOL,19784
BRINZOLAMIDE,6187
BRINZOLAMIDE/BRIMONIDINE TART,2110
BROMFENAC SODIUM,3028
BROMOCRIPTINE MESYLATE,1203
BUDESONIDE,3144
BUDESONIDE/FORMOTEROL FUMARATE,38810
BUMETANIDE,25001
BUPRENORPHINE,3455
BUPRENORPHINE HCL,1198
BUPRENORPHINE HCL/NALOXONE HCL,11987
BUPROPION HBR,22
BUPROPION HCL,75119
BUSPIRONE HCL,49012
BUTABARBITAL SODIUM,24
BUTALB/ACETAMINOPHEN/CAFFEINE,13379
BUTALBIT/ACETAMIN/CAFF/CODEINE,507
BUTALBITAL/ACETAMINOPHEN,93
BUTALBITAL/ASPIRIN/CAFFEINE,954
BUTORPHANOL TARTRATE,757
C1 ESTERASE INHIBITOR,13
CABERGOLINE,452
CALCIPOTRIENE,347
CALCIPOTRIENE/BETAMETHASONE,39
"CALCITONIN,SALMON,SYNTHETIC",3613
CALCITRIOL,22818
CALCIUM ACETATE,8082
CANAGLIFLOZIN,11637
CANAGLIFLOZIN/METFORMIN HCL,435
CANDESARTAN CILEXETIL,1726
CANDESARTAN/HYDROCHLOROTHIAZID,244
CAPTOPRIL,5019
CAPTOPRIL/HYDROCHLOROTHIAZIDE,200
CARBAMAZEPINE,23472
CARBIDOPA,64
CARBIDOPA/LEVODOPA,34945
CARBIDOPA/LEVODOPA/ENTACAPONE,2598
CARBINOXAMINE MALEATE,643
CARISOPRODOL,23234
CARTEOLOL HCL,61
CARVEDILOL,296496
CARVEDILOL PHOSPHATE,3519
CEFACLOR,125
CEFADROXIL,2774
CEFAZOLIN SODIUM,133
CEFDINIR,14663
CEFEPIME HCL,278
"CEFEPIME HCL/DEXTROSE, ISO-OSM",30
CEFIXIME,44
CEFOXITIN SODIUM,22
CEFPODOXIME PROXETIL,635
CEFPROZIL,2817
CEFTAROLINE FOSAMIL ACETATE,12
CEFTAZIDIME,36
"CEFTRIAXONE NA/DEXTROSE,ISO",142
CEFTRIAXONE SODIUM,4115
CEFUROXIME AXETIL,15374
CELECOXIB,50254
CEPHALEXIN,42647
CERTOLIZUMAB PEGOL,489
CETIRIZINE HCL,53
CETUXIMAB,23
CEVIMELINE HCL,1375
CHLORAMBUCIL,39
CHLORDIAZEPOXIDE HCL,397
CHLORHEXIDINE GLUCONATE,9926
CHLOROTHIAZIDE,154
CHLORPROMAZINE HCL,3517
CHLORPROPAMIDE,11
CHLORTHALIDONE,16021
CHLORZOXAZONE,2042
CHOLESTYRAMINE (WITH SUGAR),3574
CHOLESTYRAMINE/ASPARTAME,790
CICLESONIDE,136
CICLOPIROX,1841
CICLOPIROX OLAMINE,509
CILOSTAZOL,20002
CIMETIDINE,597
CIMETIDINE HCL,12
CINACALCET HCL,20905
CIPROFLOXACIN HCL,115277
CIPROFLOXACIN HCL/DEXAMETH,1472
CIPROFLOXACIN LACTATE/D5W,33
CITALOPRAM HYDROBROMIDE,165434
CITRIC ACID/G-LACTONE/MAG CARB,23
CITRIC ACID/SODIUM CITRATE,56
CLARITHROMYCIN,2876
CLEMASTINE FUMARATE,79
CLINDAMYCIN HCL,22410
CLINDAMYCIN PALMITATE HCL,14
CLINDAMYCIN PHOS/BENZOYL PEROX,14
CLINDAMYCIN PHOSPHATE,2221
CLOBAZAM,720
CLOBETASOL PROPIONATE,18046
CLOBETASOL PROPIONATE/EMOLL,147
CLOCORTOLONE PIVALATE,22
CLOMIPRAMINE HCL,874
CLONAZEPAM,170719
CLONIDINE,10200
CLONIDINE HCL,123746
CLOPIDOGREL BISULFATE,356745
CLORAZEPATE DIPOTASSIUM,9351
CLOTRIMAZOLE,2791
CLOTRIMAZOLE/BETAMETHASONE DIP,17906
CLOZAPINE,8663
CODEINE SULFATE,58
CODEINE/BUTALBITAL/ASA/CAFFEIN,427
COLCHICINE,20921
COLCHICINE/PROBENECID,606
COLESEVELAM HCL,11580
COLESTIPOL HCL,6558
COLISTIN (COLISTIMETHATE NA),115
COLLAGENASE CLOSTRIDIUM HIST.,5095
CORTICOTROPIN,77
CORTISONE ACETATE,23
CRIZOTINIB,23
CROFELEMER,40
CROMOLYN SODIUM,247
CYCLOBENZAPRINE HCL,77171
CYCLOPENTOLATE HCL,100
