generic_name,claim_count
0.9 % SODIUM CHLORIDE,1794
ABACAVIR SULFATE,1531
ABACAVIR SULFATE/LAMIVUDINE,3109
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,1614
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,282
ABATACEPT,748
ABATACEPT/MALTOSE,35
ABIRATERONE ACETATE,2079
ACAMPROSATE CALCIUM,983
ACARBOSE,2054
ACEBUTOLOL HCL,871
ACETAMINOPHEN WITH CODEINE,43779
ACETAZOLAMIDE,3834
ACETIC ACID,768
ACETIC ACID/ALUMINUM ACETATE,12
ACETIC ACID/HYDROCORTISONE,123
ACETYLCYSTEINE,305
ACITRETIN,739
ACLIDINIUM BROMIDE,3688
ACYCLOVIR,18249
ADALIMUMAB,8328
ADEFOVIR DIPIVOXIL,179
AFATINIB DIMALEATE,24
ALBIGLUTIDE,364
ALBUTEROL SULFATE,296222
ALCAFTADINE,154
ALCLOMETASONE DIPROPIONATE,352
ALCOHOL ANTISEPTIC PADS,14680
ALENDRONATE SODIUM,155582
ALENDRONATE SODIUM/VITAMIN D3,40
ALFUZOSIN HCL,10075
ALISKIREN HEMIFUMARATE,395
ALISKIREN/HYDROCHLOROTHIAZIDE,24
ALLOPURINOL,173367
ALOGLIPTIN BENZ/PIOGLITAZONE,12
ALOGLIPTIN BENZOATE,50
ALOSETRON HCL,61
ALPHA-1-PROTEINASE INHIBITOR,470
ALPRAZOLAM,188823
AMANTADINE HCL,8854
AMBRISENTAN,934
AMIKACIN SULFATE,104
AMILORIDE HCL,1158
AMILORIDE/HYDROCHLOROTHIAZIDE,1483
AMIODARONE HCL,26728
AMITRIP HCL/CHLORDIAZEPOXIDE,79
AMITRIPTYLINE HCL,79887
AMLODIPINE BES/OLMESARTAN MED,1095
AMLODIPINE BESYLATE,753332
AMLODIPINE BESYLATE/BENAZEPRIL,11584
AMLODIPINE/ATORVASTATIN,494
AMLODIPINE/VALSARTAN,576
AMLODIPINE/VALSARTAN/HCTHIAZID,11
AMMONIUM LACTATE,9215
AMOXAPINE,428
AMOXICILLIN,101883
AMOXICILLIN/POTASSIUM CLAV,31137
AMPICILLIN SODIUM,60
AMPICILLIN SODIUM/SULBACTAM NA,263
AMPICILLIN TRIHYDRATE,731
ANAGRELIDE HCL,226
ANASTROZOLE,26083
APIXABAN,25537
APRACLONIDINE HCL,46
APREMILAST,192
APREPITANT,78
ARFORMOTEROL TARTRATE,480
ARIPIPRAZOLE,81013
ARMODAFINIL,1275
ASENAPINE MALEATE,1477
ASPIRIN/DIPYRIDAMOLE,7819
ATAZANAVIR SULFATE,4578
ATENOLOL,451714
ATENOLOL/CHLORTHALIDONE,6896
ATOMOXETINE HCL,2079
ATORVASTATIN CALCIUM,902814
ATOVAQUONE,945
ATOVAQUONE/PROGUANIL HCL,791
ATROPINE SULFATE,481
AURANOFIN,193
AXITINIB,124
AZATHIOPRINE,6966
AZELAIC ACID,431
AZELASTINE HCL,11501
AZELASTINE/FLUTICASONE,245
AZILSARTAN MED/CHLORTHALIDONE,127
AZILSARTAN MEDOXOMIL,37
AZITHROMYCIN,97737
AZTREONAM LYSINE,42
B COMPLEX & C NO.20/FOLIC ACID,165
BACITRACIN,1800
BACITRACIN/POLYMYXIN B SULFATE,492
BACLOFEN,57000
BALSALAZIDE DISODIUM,2360
BECAPLERMIN,19
BECLOMETHASONE DIPROPIONATE,12234
BENAZEPRIL HCL,7763
BENAZEPRIL/HYDROCHLOROTHIAZIDE,599
BENZONATATE,86
BENZTROPINE MESYLATE,64305
BEPOTASTINE BESILATE,58
BESIFLOXACIN HCL,879
BETAINE,44
BETAMETHASONE DIPROPIONATE,7543
BETAMETHASONE VALERATE,2989
BETAMETHASONE/PROPYLENE GLYC,2502
BETAXOLOL HCL,1307
BETHANECHOL CHLORIDE,3845
BEVACIZUMAB,13
BEXAROTENE,65
BICALUTAMIDE,5650
BIMATOPROST,34790
BISOPROLOL FUMARATE,5209
BISOPROLOL FUMARATE/HCTZ,3618
BORTEZOMIB,20
BOSENTAN,577
BREXPIPRAZOLE,50
BRIMONIDINE TARTRATE,64800
BRIMONIDINE TARTRATE/TIMOLOL,18572
BRINZOLAMIDE,9548
BRINZOLAMIDE/BRIMONIDINE TART,2630
BROMFENAC SODIUM,7406
BROMOCRIPTINE MESYLATE,618
BUDESONIDE,8863
BUDESONIDE/FORMOTEROL FUMARATE,68571
BUMETANIDE,14186
BUPRENORPHINE,2158
BUPRENORPHINE HCL,2349
BUPRENORPHINE HCL/NALOXONE HCL,79395
BUPROPION HBR,26
