generic_name,claim_count
0.9 % SODIUM CHLORIDE,2001
ABACAVIR SULFATE,1331
ABACAVIR SULFATE/LAMIVUDINE,5263
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,3654
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,257
ABATACEPT,240
ABATACEPT/MALTOSE,11
ABIRATERONE ACETATE,1325
ACAMPROSATE CALCIUM,56
ACARBOSE,1079
ACEBUTOLOL HCL,185
ACETAMINOPHEN WITH CODEINE,31176
ACETAZOLAMIDE,1706
ACETIC ACID,92
ACETIC ACID/ALUMINUM ACETATE,12
ACETIC ACID/HYDROCORTISONE,206
ACETYLCYSTEINE,285
ACITRETIN,241
ACLIDINIUM BROMIDE,2401
ACYCLOVIR,6999
ADALIMUMAB,3366
ADAPALENE,57
ADEFOVIR DIPIVOXIL,12
AFATINIB DIMALEATE,104
AGALSIDASE BETA,11
ALBIGLUTIDE,173
ALBUTEROL SULFATE,129898
ALCAFTADINE,199
ALCLOMETASONE DIPROPIONATE,239
ALCOHOL ANTISEPTIC PADS,1457
ALENDRONATE SODIUM,60998
ALENDRONATE SODIUM/VITAMIN D3,72
ALFUZOSIN HCL,6150
ALISKIREN HEMIFUMARATE,701
ALISKIREN/HYDROCHLOROTHIAZIDE,130
ALITRETINOIN,12
ALLOPURINOL,82822
ALMOTRIPTAN MALATE,27
ALOGLIPTIN BENZ/METFORMIN HCL,18
ALOGLIPTIN BENZ/PIOGLITAZONE,51
ALOGLIPTIN BENZOATE,59
ALOSETRON HCL,13
ALPHA-1-PROTEINASE INHIBITOR,326
ALPRAZOLAM,143337
ALPROSTADIL,18
AMANTADINE HCL,4635
AMBRISENTAN,499
AMIKACIN SULFATE,269
AMILORIDE HCL,241
AMILORIDE/HYDROCHLOROTHIAZIDE,159
AMIODARONE HCL,25852
AMITRIP HCL/CHLORDIAZEPOXIDE,269
AMITRIPTYLINE HCL,25799
AMLODIPINE BES/OLMESARTAN MED,2874
AMLODIPINE BESYLATE,504360
AMLODIPINE BESYLATE/BENAZEPRIL,18414
AMLODIPINE/ATORVASTATIN,1168
AMLODIPINE/VALSARTAN,3177
AMLODIPINE/VALSARTAN/HCTHIAZID,832
AMMONIUM LACTATE,6632
AMOXAPINE,73
AMOXICILLIN,68808
AMOXICILLIN/POTASSIUM CLAV,34900
AMPICILLIN SODIUM,43
AMPICILLIN SODIUM/SULBACTAM NA,121
AMPICILLIN TRIHYDRATE,743
ANAGRELIDE HCL,193
ANAKINRA,18
ANASTROZOLE,13360
APIXABAN,23866
APOMORPHINE HCL,33
APRACLONIDINE HCL,25
APREMILAST,108
APREPITANT,76
ARFORMOTEROL TARTRATE,330
ARIPIPRAZOLE,30984
ARMODAFINIL,1043
ARTEMETHER/LUMEFANTRINE,117
ASENAPINE MALEATE,1927
ASPIRIN/DIPYRIDAMOLE,2349
ATAZANAVIR SULFATE,5019
ATAZANAVIR SULFATE/COBICISTAT,71
ATENOLOL,151143
ATENOLOL/CHLORTHALIDONE,6473
ATOMOXETINE HCL,1196
ATORVASTATIN CALCIUM,496256
ATOVAQUONE,333
ATOVAQUONE/PROGUANIL HCL,142
ATROPINE SULFATE,476
AURANOFIN,11
AXITINIB,100
AZATHIOPRINE,2538
AZELAIC ACID,472
AZELASTINE HCL,7841
AZELASTINE/FLUTICASONE,987
AZILSARTAN MED/CHLORTHALIDONE,252
AZILSARTAN MEDOXOMIL,199
AZITHROMYCIN,82259
AZTREONAM,42
AZTREONAM LYSINE,23
BACITRACIN,1068
BACITRACIN/POLYMYXIN B SULFATE,94
BACLOFEN,32623
BALSALAZIDE DISODIUM,815
BECAPLERMIN,23
BECLOMETHASONE DIPROPIONATE,6403
BELATACEPT,13
BELIMUMAB,33
BENAZEPRIL HCL,15111
BENAZEPRIL/HYDROCHLOROTHIAZIDE,693
BENZONATATE,11
BENZTROPINE MESYLATE,49289
BEPOTASTINE BESILATE,159
BESIFLOXACIN HCL,6030
BETAMETHASONE DIPROPIONATE,1405
BETAMETHASONE VALERATE,3047
BETAMETHASONE/PROPYLENE GLYC,1489
BETAXOLOL HCL,140
BETHANECHOL CHLORIDE,1344
BEVACIZUMAB,47
BEXAROTENE,15
BICALUTAMIDE,2272
BIMATOPROST,28306
BISAC/NACL/NAHCO3/KCL/PEG 3350,22
BISOPROLOL FUMARATE,3491
BISOPROLOL FUMARATE/HCTZ,4683
BORTEZOMIB,42
BOSENTAN,686
BOSUTINIB,48
BRIMONIDINE TARTRATE,29566
BRIMONIDINE TARTRATE/TIMOLOL,17813
BRINZOLAMIDE,5037
BRINZOLAMIDE/BRIMONIDINE TART,2377
BROMFENAC SODIUM,7231
BROMOCRIPTINE MESYLATE,444
BUDESONIDE,5802
BUDESONIDE/FORMOTEROL FUMARATE,33668
BUMETANIDE,5660
BUPRENORPHINE,1588
BUPRENORPHINE HCL,713
BUPRENORPHINE HCL/NALOXONE HCL,15832
BUPROPION HBR,25
BUPROPION HCL,64252
BUSPIRONE HCL,35685
BUTALB/ACETAMINOPHEN/CAFFEINE,4174
BUTALBIT/ACETAMIN/CAFF/CODEINE,407
BUTALBITAL/ACETAMINOPHEN,80
BUTALBITAL/ASPIRIN/CAFFEINE,414
BUTORPHANOL TARTRATE,192
C1 ESTERASE INHIBITOR,15
CABAZITAXEL,13
CABERGOLINE,401
CALCIPOTRIENE,245
CALCIPOTRIENE/BETAMETHASONE,41
"CALCITONIN,SALMON,SYNTHETIC",1546
CALCITRIOL,13456
CALCIUM ACETATE,10963
CANAGLIFLOZIN,6621
CANAGLIFLOZIN/METFORMIN HCL,125
CANDESARTAN CILEXETIL,1620
CANDESARTAN/HYDROCHLOROTHIAZID,100
CAPTOPRIL,839
CAPTOPRIL/HYDROCHLOROTHIAZIDE,92
CARBAMAZEPINE,17842
CARBIDOPA,69
CARBIDOPA/LEVODOPA,33422
CARBIDOPA/LEVODOPA/ENTACAPONE,1258
CARBINOXAMINE MALEATE,16
CARBOPLATIN,11
CARISOPRODOL,10309
CARTEOLOL HCL,465
CARVEDILOL,128257
CARVEDILOL PHOSPHATE,2255
CEFACLOR,39
CEFADROXIL,1423
CEFAZOLIN SODIUM,153
"CEFAZOLIN SODIUM/DEXTROSE,ISO",12
CEFDINIR,5053
CEFEPIME HCL,344
"CEFEPIME HCL/DEXTROSE, ISO-OSM",16
CEFIXIME,24
CEFPODOXIME PROXETIL,174
CEFPROZIL,54
CEFTAROLINE FOSAMIL ACETATE,78
CEFTAZIDIME,75
"CEFTRIAXONE NA/DEXTROSE,ISO",39
CEFTRIAXONE SODIUM,2309
CEFUROXIME AXETIL,14425
CELECOXIB,32367
CEPHALEXIN,31229
CERITINIB,12
CERTOLIZUMAB PEGOL,90
CETIRIZINE HCL,95
CEVIMELINE HCL,648
CHLORAMBUCIL,48
CHLORDIAZEPOXIDE HCL,416
CHLORHEXIDINE GLUCONATE,15872
CHLOROQUINE PHOSPHATE,12
CHLOROTHIAZIDE,36
CHLORPROMAZINE HCL,3272
CHLORTHALIDONE,10726
CHLORZOXAZONE,381
CHOLESTYRAMINE (WITH SUGAR),2431
CHOLESTYRAMINE/ASPARTAME,490
"CHORIONIC GONADOTROPIN, HUMAN",12
CICLESONIDE,162
CICLOPIROX,2896
CICLOPIROX OLAMINE,1864
CILOSTAZOL,4717
CIMETIDINE,253
CINACALCET HCL,15349
CIPROFLOXACIN HCL,69176
CIPROFLOXACIN HCL/DEXAMETH,1087
CIPROFLOXACIN LACTATE/D5W,23
CITALOPRAM HYDROBROMIDE,87675
CITRIC ACID/G-LACTONE/MAG CARB,35
CITRIC ACID/SODIUM CITRATE,15
CLARITHROMYCIN,1434
