generic_name,claim_count
0.9 % SODIUM CHLORIDE,3895
ABACAVIR SULFATE,730
ABACAVIR SULFATE/LAMIVUDINE,2308
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,1440
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,146
ABATACEPT,1165
ABATACEPT/MALTOSE,57
ABIRATERONE ACETATE,2792
ACAMPROSATE CALCIUM,124
ACARBOSE,2562
ACEBUTOLOL HCL,1325
ACETAMINOPHEN WITH CODEINE,185634
ACETAZOLAMIDE,5042
ACETIC ACID,456
ACETIC ACID/ALUMINUM ACETATE,57
ACETIC ACID/HYDROCORTISONE,100
ACETYLCYSTEINE,320
ACITRETIN,531
ACLIDINIUM BROMIDE,8501
ACYCLOVIR,31041
ADALIMUMAB,15149
ADAPALENE,54
ADEFOVIR DIPIVOXIL,63
AFATINIB DIMALEATE,75
ALBIGLUTIDE,235
ALBUTEROL SULFATE,471004
ALCAFTADINE,660
ALCLOMETASONE DIPROPIONATE,1211
ALCOHOL ANTISEPTIC PADS,26535
ALENDRONATE SODIUM,174100
ALENDRONATE SODIUM/VITAMIN D3,97
ALFUZOSIN HCL,11081
ALGLUCOSIDASE ALFA,17
ALISKIREN HEMIFUMARATE,2162
ALISKIREN/AMLODIPINE BESYLATE,29
ALISKIREN/HYDROCHLOROTHIAZIDE,468
ALLOPURINOL,250190
ALMOTRIPTAN MALATE,14
ALOGLIPTIN BENZ/METFORMIN HCL,11
ALOGLIPTIN BENZ/PIOGLITAZONE,39
ALOGLIPTIN BENZOATE,56
ALOSETRON HCL,134
ALPHA-1-PROTEINASE INHIBITOR,813
ALPRAZOLAM,694611
AMANTADINE HCL,9202
AMBRISENTAN,1156
AMCINONIDE,61
AMIKACIN SULFATE,121
AMILORIDE HCL,1355
AMILORIDE/HYDROCHLOROTHIAZIDE,1819
AMINOCAPROIC ACID,15
AMIODARONE HCL,63815
AMITRIP HCL/CHLORDIAZEPOXIDE,98
AMITRIPTYLINE HCL,99611
AMLODIPINE BES/OLMESARTAN MED,3487
AMLODIPINE BESYLATE,1094809
AMLODIPINE BESYLATE/BENAZEPRIL,63923
AMLODIPINE/ATORVASTATIN,2072
AMLODIPINE/VALSARTAN,2657
AMLODIPINE/VALSARTAN/HCTHIAZID,364
AMMONIUM LACTATE,32421
AMOXAPINE,191
AMOXICILLIN,223660
AMOXICILLIN/POTASSIUM CLAV,72128
AMPHOTERICIN B,12
AMPHOTERICIN B LIPOSOME,22
AMPICILLIN SODIUM/SULBACTAM NA,83
AMPICILLIN TRIHYDRATE,2167
ANAGRELIDE HCL,970
ANAKINRA,90
ANASTROZOLE,32468
ANIDULAFUNGIN,22
ANTIPYRINE/BENZOCAINE,11
APIXABAN,70129
APOMORPHINE HCL,61
APRACLONIDINE HCL,27
APREMILAST,696
APREPITANT,164
ARFORMOTEROL TARTRATE,170
ARIPIPRAZOLE,91845
ARMODAFINIL,1791
ARTEMETHER/LUMEFANTRINE,21
ASENAPINE MALEATE,5610
ASPIRIN/DIPYRIDAMOLE,4765
ATAZANAVIR SULFATE,2816
ATAZANAVIR SULFATE/COBICISTAT,134
ATENOLOL,427936
ATENOLOL/CHLORTHALIDONE,24664
ATOMOXETINE HCL,3852
ATORVASTATIN CALCIUM,1392918
ATOVAQUONE,145
ATOVAQUONE/PROGUANIL HCL,464
ATROPINE SULFATE,804
AURANOFIN,12
AXITINIB,138
AZATHIOPRINE,9434
AZELAIC ACID,678
AZELASTINE HCL,15307
AZELASTINE/FLUTICASONE,557
AZILSARTAN MED/CHLORTHALIDONE,207
AZILSARTAN MEDOXOMIL,114
AZITHROMYCIN,246680
AZTREONAM,30
AZTREONAM LYSINE,15
AZTREONAM/DEXTROSE-WATER,15
B COMPLEX & C NO.20/FOLIC ACID,45
BACITRACIN,929
BACITRACIN/POLYMYXIN B SULFATE,287
BACLOFEN,110339
BALSALAZIDE DISODIUM,3582
BECAPLERMIN,55
BECLOMETHASONE DIPROPIONATE,34661
BENAZEPRIL HCL,46464
BENAZEPRIL/HYDROCHLOROTHIAZIDE,5264
BENZONATATE,375
BENZTROPINE MESYLATE,78821
BEPOTASTINE BESILATE,607
BESIFLOXACIN HCL,4674
BETAINE,31
BETAMETHASONE DIPROPIONATE,7555
BETAMETHASONE VALERATE,12276
BETAMETHASONE/PROPYLENE GLYC,4612
BETAXOLOL HCL,1425
BETHANECHOL CHLORIDE,5284
BEVACIZUMAB,34
BEXAROTENE,28
BICALUTAMIDE,7403
BIMATOPROST,43476
BISAC/NACL/NAHCO3/KCL/PEG 3350,11
BISMUTH/METRONID/TETRACYCLINE,11
BISOPROLOL FUMARATE,16118
BISOPROLOL FUMARATE/HCTZ,19477
BOSENTAN,1153
BOSUTINIB,126
BREXPIPRAZOLE,51
