generic_name,claim_count
0.9 % SODIUM CHLORIDE,1050
ABACAVIR SULFATE,475
ABACAVIR SULFATE/LAMIVUDINE,1374
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,1086
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,61
ABATACEPT,426
ABATACEPT/MALTOSE,31
ABIRATERONE ACETATE,2093
ACAMPROSATE CALCIUM,420
ACARBOSE,390
ACEBUTOLOL HCL,363
ACETAMINOPHEN WITH CODEINE,32016
ACETAZOLAMIDE,2484
ACETIC ACID,352
ACETIC ACID/HYDROCORTISONE,36
ACETYLCYSTEINE,666
ACITRETIN,270
ACLIDINIUM BROMIDE,940
ACYCLOVIR,11500
ADALIMUMAB,4671
ADAPALENE,122
ADEFOVIR DIPIVOXIL,48
AFATINIB DIMALEATE,12
AGALSIDASE BETA,22
ALBIGLUTIDE,61
ALBUTEROL SULFATE,159018
ALCAFTADINE,39
ALCLOMETASONE DIPROPIONATE,47
ALCOHOL ANTISEPTIC PADS,5132
ALENDRONATE SODIUM,107893
ALENDRONATE SODIUM/VITAMIN D3,24
ALFUZOSIN HCL,4071
ALISKIREN HEMIFUMARATE,368
ALISKIREN/HYDROCHLOROTHIAZIDE,23
ALLOPURINOL,125760
ALOSETRON HCL,13
ALPHA-1-PROTEINASE INHIBITOR,290
ALPRAZOLAM,83623
AMANTADINE HCL,4204
AMBRISENTAN,990
AMIKACIN SULFATE,76
AMILORIDE HCL,540
AMILORIDE/HYDROCHLOROTHIAZIDE,428
AMIODARONE HCL,15691
AMITRIPTYLINE HCL,48625
AMLODIPINE BES/OLMESARTAN MED,141
AMLODIPINE BESYLATE,471930
AMLODIPINE BESYLATE/BENAZEPRIL,9247
AMLODIPINE/ATORVASTATIN,80
AMLODIPINE/VALSARTAN,91
AMLODIPINE/VALSARTAN/HCTHIAZID,13
AMMONIUM LACTATE,3669
AMOXAPINE,207
AMOXICILLIN,91821
AMOXICILLIN/POTASSIUM CLAV,28087
AMPICILLIN SODIUM,56
AMPICILLIN SODIUM/SULBACTAM NA,59
AMPICILLIN TRIHYDRATE,161
ANAGRELIDE HCL,259
ANAKINRA,27
ANASTROZOLE,15475
ANTHRALIN,12
APIXABAN,9006
APRACLONIDINE HCL,52
APREMILAST,157
APREPITANT,46
ARFORMOTEROL TARTRATE,191
ARIPIPRAZOLE,51485
ARMODAFINIL,1855
ARTEMETHER/LUMEFANTRINE,12
ASENAPINE MALEATE,1903
ASPIRIN/DIPYRIDAMOLE,3166
ATAZANAVIR SULFATE,1142
ATAZANAVIR SULFATE/COBICISTAT,28
ATENOLOL,291687
ATENOLOL/CHLORTHALIDONE,8538
ATOMOXETINE HCL,3709
ATORVASTATIN CALCIUM,539930
ATOVAQUONE,146
ATOVAQUONE/PROGUANIL HCL,688
ATROPINE SULFATE,821
AURANOFIN,12
AXITINIB,61
AZATHIOPRINE,7533
AZELAIC ACID,355
AZELASTINE HCL,6779
AZELASTINE/FLUTICASONE,72
AZILSARTAN MEDOXOMIL,25
AZITHROMYCIN,84307
AZTREONAM,45
AZTREONAM LYSINE,39
BACITRACIN,399
BACITRACIN/POLYMYXIN B SULFATE,287
BACLOFEN,39144
BALSALAZIDE DISODIUM,1275
BECLOMETHASONE DIPROPIONATE,7427
BENAZEPRIL HCL,9645
BENAZEPRIL/HYDROCHLOROTHIAZIDE,626
BENZTROPINE MESYLATE,30847
BEPOTASTINE BESILATE,26
BESIFLOXACIN HCL,481
BETAINE,28
BETAMETHASONE DIPROPIONATE,1673
BETAMETHASONE VALERATE,488
BETAMETHASONE/PROPYLENE GLYC,1222
BETAXOLOL HCL,484
BETHANECHOL CHLORIDE,787
BEXAROTENE,29
BICALUTAMIDE,3459
BIMATOPROST,19879
BISOPROLOL FUMARATE,952
BISOPROLOL FUMARATE/HCTZ,1461
BOSENTAN,931
BOSUTINIB,11
BREXPIPRAZOLE,53
BRIMONIDINE TARTRATE,27785
BRIMONIDINE TARTRATE/TIMOLOL,13601
BRINZOLAMIDE,4402
BRINZOLAMIDE/BRIMONIDINE TART,1185
BROMFENAC SODIUM,3814
BROMOCRIPTINE MESYLATE,429
BUDESONIDE,6906
BUDESONIDE/FORMOTEROL FUMARATE,33943
BUMETANIDE,11394
BUPRENORPHINE,1072
BUPRENORPHINE HCL,426
BUPRENORPHINE HCL/NALOXONE HCL,4641
BUPROPION HBR,47
BUPROPION HCL,104224
BUSPIRONE HCL,47025
BUTALB/ACETAMINOPHEN/CAFFEINE,2632
BUTALBIT/ACETAMIN/CAFF/CODEINE,267
BUTALBITAL/ACETAMINOPHEN,47
BUTALBITAL/ASPIRIN/CAFFEINE,501
BUTORPHANOL TARTRATE,341
C1 ESTERASE INHIBITOR,51
CABERGOLINE,277
CALCIPOTRIENE,997
CALCIPOTRIENE/BETAMETHASONE,29
"CALCITONIN,SALMON,SYNTHETIC",3292
CALCITRIOL,13589
CALCIUM ACETATE,8358
CANAGLIFLOZIN,4327
CANAGLIFLOZIN/METFORMIN HCL,37
CANDESARTAN CILEXETIL,366
CANDESARTAN/HYDROCHLOROTHIAZID,38
CAPTOPRIL,844
CAPTOPRIL/HYDROCHLOROTHIAZIDE,35
CARBAMAZEPINE,26571
CARBIDOPA,248
CARBIDOPA/LEVODOPA,58265
CARBIDOPA/LEVODOPA/ENTACAPONE,585
CARBINOXAMINE MALEATE,13
CARISOPRODOL,3560
CARTEOLOL HCL,236
CARVEDILOL,117530
CARVEDILOL PHOSPHATE,299
CEFADROXIL,1990
CEFAZOLIN SODIUM,190
CEFDINIR,4190
CEFEPIME HCL,83
CEFIXIME,11
CEFOXITIN SODIUM,21
CEFPODOXIME PROXETIL,378
CEFPROZIL,884
CEFTAROLINE FOSAMIL ACETATE,41
CEFTAZIDIME,93
CEFTRIAXONE SODIUM,1374
CEFUROXIME AXETIL,6904
CELECOXIB,27072
CEPHALEXIN,56833
CERTOLIZUMAB PEGOL,301
CETIRIZINE HCL,243
CEVIMELINE HCL,1154
CHLORAMBUCIL,78
CHLORDIAZEPOXIDE HCL,150
CHLORHEXIDINE GLUCONATE,19535
CHLOROQUINE PHOSPHATE,28
CHLOROTHIAZIDE,54
CHLORPROMAZINE HCL,1429
CHLORTHALIDONE,24601
CHLORZOXAZONE,123
CHOLESTYRAMINE (WITH SUGAR),2312
CHOLESTYRAMINE/ASPARTAME,860
CICLESONIDE,271
CICLOPIROX,1055
CICLOPIROX OLAMINE,926
CILOSTAZOL,3641
CIMETIDINE,465
CIMETIDINE HCL,12
CINACALCET HCL,6232
CIPROFLOXACIN HCL,77240
CIPROFLOXACIN HCL/DEXAMETH,1009
CITALOPRAM HYDROBROMIDE,212801
CITRIC ACID/G-LACTONE/MAG CARB,160
CITRIC ACID/SODIUM CITRATE,44
CLARITHROMYCIN,459
CLINDAMYCIN HCL,12048
CLINDAMYCIN PHOS/BENZOYL PEROX,50
CLINDAMYCIN PHOSPHATE,3514
CLOBAZAM,792
CLOBETASOL PROPIONATE,17749
CLOBETASOL PROPIONATE/EMOLL,145
CLOCORTOLONE PIVALATE,17
CLOMIPRAMINE HCL,2629
CLONAZEPAM,130881
CLONIDINE,2675
CLONIDINE HCL,30607
CLOPIDOGREL BISULFATE,136490
CLORAZEPATE DIPOTASSIUM,718
CLOTRIMAZOLE,1471
CLOTRIMAZOLE/BETAMETHASONE DIP,1792
CLOZAPINE,47125
CODEINE SULFATE,346
CODEINE/BUTALBITAL/ASA/CAFFEIN,345
COLCHICINE,4106
COLCHICINE/PROBENECID,250
COLESEVELAM HCL,1347
COLESTIPOL HCL,1899
COLISTIN (COLISTIMETHATE NA),47
COLLAGENASE CLOSTRIDIUM HIST.,1050
CORTISONE ACETATE,13
CRIZOTINIB,49
CROMOLYN SODIUM,267
CYCLOBENZAPRINE HCL,39676
CYCLOPENTOLATE HCL,174
CYCLOPHOSPHAMIDE,24
CYCLOSPORINE,17592
"CYCLOSPORINE, MODIFIED",1292
CYPROHEPTADINE HCL,202
DABIGATRAN ETEXILATE MESYLATE,5520
DABRAFENIB MESYLATE,15
DACLATASVIR DIHYDROCHLORIDE,13
DALFAMPRIDINE,1178
"DALTEPARIN SODIUM,PORCINE",22
DANAZOL,72
DANTROLENE SODIUM,845
DAPAGLIFLOZIN PROPANEDIOL,293
DAPSONE,761
DAPTOMYCIN,182
DARBEPOETIN ALFA IN POLYSORBAT,172
DARIFENACIN HYDROBROMIDE,579
DARUNAVIR ETHANOLATE,1767
DARUNAVIR/COBICISTAT,273
DASATINIB,183
DEFERASIROX,116
DEFERIPRONE,11
DEMECLOCYCLINE HCL,208
DENOSUMAB,11
DESIPRAMINE HCL,899
DESLORATADINE,155
DESMOPRESSIN (NONREFRIGERATED),120
DESMOPRESSIN ACETATE,3216
DESOG-E.ESTRADIOL/E.ESTRADIOL,72
DESOGESTREL-ETHINYL ESTRADIOL,390
DESONIDE,3741
DESOXIMETASONE,591
DESVENLAFAXINE,27
DESVENLAFAXINE SUCCINATE,4369
DEXAMETHASONE,8981
DEXAMETHASONE SOD PHOSPHATE,635
DEXAMETHASONE SODIUM PHOSP/PF,14
DEXLANSOPRAZOLE,3270
DEXMETHYLPHENIDATE HCL,121
DEXTROAMPHETAMINE SULFATE,1786
DEXTROAMPHETAMINE/AMPHETAMINE,27605
DEXTROMETHORPHAN HBR/QUINIDINE,560
DEXTROSE 5 %-0.45 % NACL,42
DEXTROSE 70 % IN WATER,299
DIAZEPAM,32171
DICLOFENAC EPOLAMINE,168
DICLOFENAC POTASSIUM,327
DICLOFENAC SODIUM,26109
DICLOFENAC SODIUM/MISOPROSTOL,100
DICLOXACILLIN SODIUM,84
DICYCLOMINE HCL,5706
DIDANOSINE,23
DIFLORASONE DIACETATE,25
DIFLUNISAL,27
DIFLUPREDNATE,2880
DIGOXIN,41026
DIHYDROERGOTAMINE MESYLATE,144
DILTIAZEM HCL,67925
DIMETHYL FUMARATE,1821
"DIPH,PERTUSS(ACELL),TET VAC/PF",2426
DIPHENHYDRAMINE HCL,130
DIPHENOXYLATE HCL/ATROPINE,5152
"DIPHTH,PERTUSS(ACELL),TET VAC",3516
DIPYRIDAMOLE,283
DISOPYRAMIDE PHOSPHATE,36
DISULFIRAM,330
DIVALPROEX SODIUM,80888
DOFETILIDE,2746
DOLUTEGRAVIR SODIUM,1623
DONEPEZIL HCL,106039
DORNASE ALFA,11
DORZOLAMIDE HCL,7882
DORZOLAMIDE HCL/TIMOLOL MALEAT,34036
DORZOLAMIDE/TIMOLOL/PF,574
DOXAZOSIN MESYLATE,27248
DOXEPIN HCL,7099
DOXYCYCLINE HYCLATE,26426
DOXYCYCLINE MONOHYDRATE,6897
DRONABINOL,750
DRONEDARONE HCL,1008
DROXIDOPA,13
DULAGLUTIDE,87
DULOXETINE HCL,107130
DUTASTERIDE,7215
DUTASTERIDE/TAMSULOSIN HCL,235
ECONAZOLE NITRATE,1918
ECULIZUMAB,16
EFAVIRENZ,342
EFAVIRENZ/EMTRICITAB/TENOFOVIR,2115
EFINACONAZOLE,96
ELETRIPTAN HBR,509
ELTROMBOPAG OLAMINE,35
ELVITEGR/COBICIST/EMTRIC/TENOF,1353
EMTRICITAB/RILPIVIRINE/TENOFOV,747
EMTRICITABINE,85
EMTRICITABINE/TENOFOVIR,3328
ENALAPRIL MALEATE,16918
ENALAPRIL/HYDROCHLOROTHIAZIDE,361
ENFUVIRTIDE,23
ENOXAPARIN SODIUM,7597
ENTACAPONE,1681
ENTECAVIR,400
ENZALUTAMIDE,1118
EPINASTINE HCL,115
EPINEPHRINE,265
EPLERENONE,1261
EPOETIN ALFA,86
ERGOTAMINE TARTRATE/CAFFEINE,23
ERLOTINIB HCL,632
ERTAPENEM SODIUM,299
ERYTHROMYCIN BASE,11763
ERYTHROMYCIN BASE/ETHANOL,83
ERYTHROMYCIN ETHYLSUCCINATE,225
ERYTHROMYCIN LACTOBIONATE,34
ERYTHROMYCIN STEARATE,12
ERYTHROMYCIN/BENZOYL PEROXIDE,85
ESCITALOPRAM OXALATE,91027
ESLICARBAZEPINE ACETATE,94
ESOMEPRAZOLE MAGNESIUM,26798
ESTAZOLAM,183
ESTRADIOL,18782
ESTRADIOL ACETATE,16
ESTRADIOL CYPIONATE,11
ESTRADIOL/NORETHINDRONE ACET,123
"ESTROGEN,CON/M-PROGEST ACET",1245
"ESTROGENS, CONJUGATED",14852
"ESTROGENS,CONJ/BAZEDOXIFENE",11
"ESTROGENS,ESTERIFIED",12
ESTROPIPATE,112
ESZOPICLONE,5942
ETANERCEPT,5323
ETHACRYNIC ACID,149
ETHAMBUTOL HCL,415
ETHINYL ESTRADIOL/DROSPIRENONE,238
ETHOSUXIMIDE,445
ETHOTOIN,80
ETHYNODIOL D-ETHINYL ESTRADIOL,74
ETIDRONATE DISODIUM,11
ETODOLAC,2260
ETONOGESTREL/ETHINYL ESTRADIOL,14
ETRAVIRINE,620
EVEROLIMUS,346
EVOLOCUMAB,11
EXEMESTANE,2471
EXENATIDE,863
EXENATIDE MICROSPHERES,1876
EZETIMIBE,25147
EZETIMIBE/SIMVASTATIN,1724
EZOGABINE,192
FAMCICLOVIR,250
FAMOTIDINE,30413
FAMOTIDINE/PF,17
FAT EMULSIONS,96
FEBUXOSTAT,2947
FELBAMATE,2406
FELODIPINE,2069
FENOFIBRATE,14126
