generic_name,claim_count
0.9 % SODIUM CHLORIDE,3106
ABACAVIR SULFATE,728
ABACAVIR SULFATE/LAMIVUDINE,1326
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,1337
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,81
ABATACEPT,585
ABATACEPT/MALTOSE,37
ABIRATERONE ACETATE,1398
ACAMPROSATE CALCIUM,430
ACARBOSE,1995
ACEBUTOLOL HCL,1354
ACETAMINOPHEN WITH CODEINE,46195
ACETAZOLAMIDE,3238
ACETIC ACID,454
ACETIC ACID/ALUMINUM ACETATE,34
ACETIC ACID/HYDROCORTISONE,30
ACETYLCYSTEINE,150
ACITRETIN,406
ACLIDINIUM BROMIDE,4816
ACYCLOVIR,28017
ADALIMUMAB,7433
ADAPALENE,11
ADEFOVIR DIPIVOXIL,49
AFATINIB DIMALEATE,47
AGALSIDASE BETA,50
ALBIGLUTIDE,450
ALBUTEROL SULFATE,297999
ALCAFTADINE,102
ALCLOMETASONE DIPROPIONATE,283
ALCOHOL ANTISEPTIC PADS,6615
ALENDRONATE SODIUM,140586
ALENDRONATE SODIUM/VITAMIN D3,55
ALFUZOSIN HCL,9510
ALGLUCOSIDASE ALFA,29
ALISKIREN HEMIFUMARATE,2010
ALISKIREN/HYDROCHLOROTHIAZIDE,231
ALLOPURINOL,203450
ALMOTRIPTAN MALATE,23
ALOGLIPTIN BENZ/METFORMIN HCL,11
ALOGLIPTIN BENZ/PIOGLITAZONE,94
ALOGLIPTIN BENZOATE,81
ALOSETRON HCL,26
ALPHA-1-PROTEINASE INHIBITOR,548
ALPRAZOLAM,449093
AMANTADINE HCL,7490
AMBRISENTAN,1057
AMIKACIN SULFATE,57
AMILORIDE HCL,1037
AMILORIDE/HYDROCHLOROTHIAZIDE,751
AMIODARONE HCL,62361
AMITRIP HCL/CHLORDIAZEPOXIDE,168
AMITRIPTYLINE HCL,112946
AMLODIPINE BES/OLMESARTAN MED,2251
AMLODIPINE BESYLATE,902598
AMLODIPINE BESYLATE/BENAZEPRIL,28827
AMLODIPINE/ATORVASTATIN,867
AMLODIPINE/VALSARTAN,2569
AMLODIPINE/VALSARTAN/HCTHIAZID,593
AMMONIUM LACTATE,4372
AMOXAPINE,146
AMOXICILLIN,109098
AMOXICILLIN/POTASSIUM CLAV,69406
AMPHOTERICIN B,100
AMPHOTERICIN B LIPOSOME,11
AMPICILLIN SODIUM,183
AMPICILLIN SODIUM/SULBACTAM NA,148
AMPICILLIN TRIHYDRATE,1459
ANAGRELIDE HCL,912
ANASTROZOLE,31502
ANTIPYRINE/BENZOCAINE,13
APIXABAN,50512
APRACLONIDINE HCL,27
APREMILAST,572
ARFORMOTEROL TARTRATE,417
ARIPIPRAZOLE,77902
ARIPIPRAZOLE LAUROXIL,19
ARMODAFINIL,1987
ASENAPINE MALEATE,3965
ASPIRIN/DIPYRIDAMOLE,8812
ATAZANAVIR SULFATE,2045
ATAZANAVIR SULFATE/COBICISTAT,56
ATENOLOL,240467
ATENOLOL/CHLORTHALIDONE,10212
ATOMOXETINE HCL,2566
ATORVASTATIN CALCIUM,841790
ATOVAQUONE,118
ATOVAQUONE/PROGUANIL HCL,27
ATROPINE SULFATE,177
AXITINIB,54
AZATHIOPRINE,11463
AZELAIC ACID,203
AZELASTINE HCL,16807
AZELASTINE/FLUTICASONE,570
AZILSARTAN MED/CHLORTHALIDONE,167
AZILSARTAN MEDOXOMIL,280
AZITHROMYCIN,158013
AZTREONAM LYSINE,45
BACITRACIN,711
BACITRACIN/POLYMYXIN B SULFATE,470
BACLOFEN,94814
BALSALAZIDE DISODIUM,2378
BECAPLERMIN,215
BECLOMETHASONE DIPROPIONATE,8684
BELIMUMAB,39
BENAZEPRIL HCL,55274
BENAZEPRIL/HYDROCHLOROTHIAZIDE,4530
BENZTROPINE MESYLATE,65068
BEPOTASTINE BESILATE,332
BESIFLOXACIN HCL,5915
BETAMETHASONE DIPROPIONATE,3274
BETAMETHASONE VALERATE,1442
BETAMETHASONE/PROPYLENE GLYC,1700
BETAXOLOL HCL,381
BETHANECHOL CHLORIDE,7492
BEXAROTENE,102
BICALUTAMIDE,5097
BIMATOPROST,41433
BISOPROLOL FUMARATE,3861
BISOPROLOL FUMARATE/HCTZ,15289
BOSENTAN,839
BOSUTINIB,25
BREXPIPRAZOLE,200
BRIMONIDINE TARTRATE,28347
BRIMONIDINE TARTRATE/TIMOLOL,20341
BRINZOLAMIDE,6114
BRINZOLAMIDE/BRIMONIDINE TART,3436
BROMFENAC SODIUM,6133
BROMOCRIPTINE MESYLATE,975
BUDESONIDE,6161
BUDESONIDE/FORMOTEROL FUMARATE,103705
BUMETANIDE,23132
BUPRENORPHINE,3932
BUPRENORPHINE HCL,1316
BUPRENORPHINE HCL/NALOXONE HCL,7474
BUPROPION HBR,23
BUPROPION HCL,139053
BUSPIRONE HCL,96076
BUTALB/ACETAMINOPHEN/CAFFEINE,13360
BUTALBIT/ACETAMIN/CAFF/CODEINE,773
BUTALBITAL/ACETAMINOPHEN,76
BUTALBITAL/ASPIRIN/CAFFEINE,632
BUTENAFINE HCL,24
BUTORPHANOL TARTRATE,953
C1 ESTERASE INHIBITOR,28
CABERGOLINE,912
CALCIPOTRIENE,512
CALCIPOTRIENE/BETAMETHASONE,108
"CALCITONIN,SALMON,SYNTHETIC",3973
CALCITRIOL,21316
CALCIUM ACETATE,8681
CANAGLIFLOZIN,20108
CANAGLIFLOZIN/METFORMIN HCL,462
CANDESARTAN CILEXETIL,1361
CANDESARTAN/HYDROCHLOROTHIAZID,164
CAPTOPRIL,6001
CAPTOPRIL/HYDROCHLOROTHIAZIDE,447
CARBAMAZEPINE,45275
CARBIDOPA,291
CARBIDOPA/LEVODOPA,80712
CARBIDOPA/LEVODOPA/ENTACAPONE,2152
CARBINOXAMINE MALEATE,35
CARISOPRODOL,26533
