generic_name,claim_count
ACARBOSE,66
ACETAMINOPHEN WITH CODEINE,38
ALBUTEROL SULFATE,60
ALENDRONATE SODIUM,35
ALLOPURINOL,117
ALPRAZOLAM,25
AMIODARONE HCL,23
AMITRIPTYLINE HCL,35
AMLODIPINE BESYLATE,632
AMOXICILLIN,28
ATENOLOL,154
ATORVASTATIN CALCIUM,386
AZITHROMYCIN,63
BACLOFEN,24
BUDESONIDE/FORMOTEROL FUMARATE,14
CALCITRIOL,11
CALCIUM ACETATE,44
CARVEDILOL,164
CEFTRIAXONE SODIUM,22
CEPHALEXIN,41
CICLOPIROX,12
CIPROFLOXACIN HCL,65
CITALOPRAM HYDROBROMIDE,13
CLARITHROMYCIN,20
CLINDAMYCIN HCL,13
CLOBETASOL PROPIONATE,26
CLOPIDOGREL BISULFATE,255
CLOTRIMAZOLE/BETAMETHASONE DIP,44
COLCHICINE,27
CYCLOBENZAPRINE HCL,14
DICLOFENAC SODIUM,11
DILTIAZEM HCL,24
DONEPEZIL HCL,33
DOXAZOSIN MESYLATE,27
DULOXETINE HCL,21
EFAVIRENZ,11
EMTRICITABINE/TENOFOVIR,11
ENALAPRIL MALEATE,11
ERYTHROMYCIN BASE,25
ETHACRYNIC ACID,12
EZETIMIBE,61
EZETIMIBE/SIMVASTATIN,19
FENOFIBRATE,33
FINASTERIDE,51
FLUTICASONE PROPIONATE,11
FLUTICASONE/SALMETEROL,54
FUROSEMIDE,190
GABAPENTIN,159
GEMFIBROZIL,46
GLIMEPIRIDE,124
GLIPIZIDE,172
GLYBURIDE,48
"GLYBURIDE,MICRONIZED",32
HYDRALAZINE HCL,26
HYDROCHLOROTHIAZIDE,124
HYDROCODONE/ACETAMINOPHEN,91
IBUPROFEN,19
"INSULIN GLARGINE,HUM.REC.ANLOG",198
INSULIN GLULISINE,20
INSULIN LISPRO PROTAMIN/LISPRO,11
INSULIN NPH HUM/REG INSULIN HM,86
INSULIN NPH HUMAN ISOPHANE,13
IPRATROPIUM/ALBUTEROL SULFATE,23
ISOSORBIDE DINITRATE,12
ISOSORBIDE MONONITRATE,128
KETOCONAZOLE,33
LACTULOSE,28
LATANOPROST,78
LEVOFLOXACIN,13
LEVOTHYROXINE SODIUM,98
LIDOCAINE/PRILOCAINE,25
LISINOPRIL,499
LORAZEPAM,11
LOSARTAN POTASSIUM,737
LOVASTATIN,127
MEGESTROL ACETATE,12
METFORMIN HCL,593
METHIMAZOLE,11
METHOCARBAMOL,26
METHOTREXATE SODIUM,22
METHYLPREDNISOLONE,16
METOCLOPRAMIDE HCL,14
METOPROLOL SUCCINATE,156
METOPROLOL TARTRATE,149
METRONIDAZOLE,12
MINOXIDIL,11
MONTELUKAST SODIUM,35
MUPIROCIN,26
NAPROXEN,11
NEBIVOLOL HCL,11
NEO/POLYMYX B SULF/DEXAMETH,16
NIFEDIPINE,35
NITROFURANTOIN MACROCRYSTAL,13
NITROGLYCERIN,12
NYSTATIN,14
OMEPRAZOLE,58
OXYBUTYNIN CHLORIDE,11
OXYCODONE HCL/ACETAMINOPHEN,26
PANTOPRAZOLE SODIUM,157
"PEN NEEDLE, DIABETIC",34
PENTOXIFYLLINE,24
POTASSIUM CHLORIDE,25
PRAVASTATIN SODIUM,328
PREDNISONE,143
RALOXIFENE HCL,16
RANITIDINE HCL,37
ROSUVASTATIN CALCIUM,31
SAXAGLIPTIN HCL,16
SILVER SULFADIAZINE,11
SIMVASTATIN,223
SITAGLIPTIN PHOSPHATE,12
SPIRONOLACTONE,14
"SYRING W-NDL,DISP,INSUL,0.5 ML",11
"SYRINGE AND NEEDLE,INSULIN,1ML",12
TAMSULOSIN HCL,123
TENOFOVIR DISOPROXIL FUMARATE,12
TERBINAFINE HCL,24
THEOPHYLLINE ANHYDROUS,13
TIMOLOL MALEATE,14
TRAMADOL HCL,41
TRIAMCINOLONE ACETONIDE,28
VALSARTAN,27
VALSARTAN/HYDROCHLOROTHIAZIDE,12
WARFARIN SODIUM,64
