generic_name,claim_count
0.9 % SODIUM CHLORIDE,879
ABACAVIR SULFATE,891
ABACAVIR SULFATE/LAMIVUDINE,1085
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,283
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,262
ABATACEPT,203
ABATACEPT/MALTOSE,27
ABIRATERONE ACETATE,636
ACAMPROSATE CALCIUM,22
ACARBOSE,903
ACEBUTOLOL HCL,598
ACETAMINOPHEN WITH CODEINE,23154
ACETAZOLAMIDE,2073
ACETIC ACID,61
ACETYLCYSTEINE,125
ACITRETIN,134
ACLIDINIUM BROMIDE,2497
ACYCLOVIR,7919
ADALIMUMAB,3381
ADAPALENE,14
ADEFOVIR DIPIVOXIL,35
AFATINIB DIMALEATE,11
ALBIGLUTIDE,153
ALBUTEROL SULFATE,111610
ALCAFTADINE,40
ALCLOMETASONE DIPROPIONATE,81
ALCOHOL ANTISEPTIC PADS,2486
ALENDRONATE SODIUM,45558
ALENDRONATE SODIUM/VITAMIN D3,13
ALFUZOSIN HCL,2950
ALISKIREN HEMIFUMARATE,902
ALISKIREN/HYDROCHLOROTHIAZIDE,267
ALLOPURINOL,115660
ALOGLIPTIN BENZ/METFORMIN HCL,67
ALOGLIPTIN BENZ/PIOGLITAZONE,13
ALOGLIPTIN BENZOATE,34
ALPHA-1-PROTEINASE INHIBITOR,133
ALPRAZOLAM,177320
AMANTADINE HCL,2524
AMBRISENTAN,787
AMCINONIDE,78
AMIKACIN SULFATE,105
AMILORIDE HCL,622
AMILORIDE/HYDROCHLOROTHIAZIDE,1506
AMIODARONE HCL,45114
AMITRIP HCL/CHLORDIAZEPOXIDE,552
AMITRIPTYLINE HCL,68387
AMLODIPINE BES/OLMESARTAN MED,4005
AMLODIPINE BESYLATE,578921
AMLODIPINE BESYLATE/BENAZEPRIL,39941
AMLODIPINE/ATORVASTATIN,578
AMLODIPINE/VALSARTAN,7487
AMLODIPINE/VALSARTAN/HCTHIAZID,1933
AMMONIUM LACTATE,1159
AMOXAPINE,95
AMOXICILLIN,60263
AMOXICILLIN/POTASSIUM CLAV,36430
AMPICILLIN SODIUM,30
AMPICILLIN TRIHYDRATE,980
ANAGRELIDE HCL,168
ANAKINRA,13
ANASTROZOLE,11173
APIXABAN,22130
APREMILAST,26
ARFORMOTEROL TARTRATE,81
ARIPIPRAZOLE,25532
ARMODAFINIL,490
