generic_name,claim_count
ABACAVIR SULFATE,50
ABACAVIR SULFATE/LAMIVUDINE,124
ABATACEPT,209
ABIRATERONE ACETATE,265
ACAMPROSATE CALCIUM,35
ACARBOSE,60
ACEBUTOLOL HCL,67
ACETAMINOPHEN WITH CODEINE,5104
ACETAZOLAMIDE,297
ACETIC ACID,72
ACETYLCYSTEINE,45
ACITRETIN,38
ACLIDINIUM BROMIDE,329
ACYCLOVIR,2918
ADALIMUMAB,1378
ALBIGLUTIDE,29
ALBUTEROL SULFATE,31792
ALCLOMETASONE DIPROPIONATE,99
ALCOHOL ANTISEPTIC PADS,116
ALENDRONATE SODIUM,18802
ALFUZOSIN HCL,1830
ALISKIREN HEMIFUMARATE,242
ALLOPURINOL,26877
ALMOTRIPTAN MALATE,11
ALPHA-1-PROTEINASE INHIBITOR,65
ALPRAZOLAM,17106
AMANTADINE HCL,978
AMBRISENTAN,131
AMIKACIN SULFATE,13
AMILORIDE HCL,108
AMILORIDE/HYDROCHLOROTHIAZIDE,283
AMIODARONE HCL,2304
AMITRIPTYLINE HCL,12043
AMLODIPINE BES/OLMESARTAN MED,117
AMLODIPINE BESYLATE,83828
AMLODIPINE BESYLATE/BENAZEPRIL,1758
AMLODIPINE/ATORVASTATIN,37
AMLODIPINE/VALSARTAN,189
AMLODIPINE/VALSARTAN/HCTHIAZID,38
AMMONIUM LACTATE,45
AMOXICILLIN,12635
AMOXICILLIN/POTASSIUM CLAV,6350
AMPICILLIN TRIHYDRATE,51
ANAGRELIDE HCL,30
ANASTROZOLE,3672
APIXABAN,3584
APREMILAST,82
APREPITANT,18
ARFORMOTEROL TARTRATE,11
ARIPIPRAZOLE,7570
ARMODAFINIL,339
ASENAPINE MALEATE,440
ASPIRIN/DIPYRIDAMOLE,504
ATAZANAVIR SULFATE,220
ATENOLOL,28530
ATENOLOL/CHLORTHALIDONE,512
ATOMOXETINE HCL,397
ATORVASTATIN CALCIUM,82647
ATOVAQUONE/PROGUANIL HCL,14
ATROPINE SULFATE,76
AZATHIOPRINE,1484
AZELASTINE HCL,578
AZILSARTAN MED/CHLORTHALIDONE,22
AZITHROMYCIN,15904
BACITRACIN,230
BACITRACIN/POLYMYXIN B SULFATE,55
BACLOFEN,8962
BALSALAZIDE DISODIUM,192
BECLOMETHASONE DIPROPIONATE,847
BENAZEPRIL HCL,7338
BENAZEPRIL/HYDROCHLOROTHIAZIDE,681
BENZONATATE,21
BENZTROPINE MESYLATE,4226
BETAMETHASONE DIPROPIONATE,680
BETAMETHASONE VALERATE,68
BETAMETHASONE/PROPYLENE GLYC,106
BETAXOLOL HCL,16
BETHANECHOL CHLORIDE,102
BICALUTAMIDE,486
BIMATOPROST,5061
BISOPROLOL FUMARATE,927
BISOPROLOL FUMARATE/HCTZ,1380
BOSENTAN,100
BREXPIPRAZOLE,14
BRIMONIDINE TARTRATE,4141
BRIMONIDINE TARTRATE/TIMOLOL,2375
BRINZOLAMIDE,845
BRINZOLAMIDE/BRIMONIDINE TART,120
BROMOCRIPTINE MESYLATE,23
BUDESONIDE,1009
BUDESONIDE/FORMOTEROL FUMARATE,8862
BUMETANIDE,2235
BUPRENORPHINE,623
BUPRENORPHINE HCL,211
BUPRENORPHINE HCL/NALOXONE HCL,739
BUPROPION HCL,17002
BUSPIRONE HCL,7636
BUTALB/ACETAMINOPHEN/CAFFEINE,816
BUTALBIT/ACETAMIN/CAFF/CODEINE,135
BUTALBITAL/ACETAMINOPHEN,29
BUTALBITAL/ASPIRIN/CAFFEINE,59
BUTORPHANOL TARTRATE,59
C1 ESTERASE INHIBITOR,13
CABERGOLINE,43
CALCIPOTRIENE,73
CALCIPOTRIENE/BETAMETHASONE,15
"CALCITONIN,SALMON,SYNTHETIC",507
CALCITRIOL,2979
CALCIUM ACETATE,904
CANAGLIFLOZIN,998
CANDESARTAN CILEXETIL,247
CANDESARTAN/HYDROCHLOROTHIAZID,67
CAPTOPRIL,197
CAPTOPRIL/HYDROCHLOROTHIAZIDE,11
CARBAMAZEPINE,4555
CARBIDOPA/LEVODOPA,7717
CARBIDOPA/LEVODOPA/ENTACAPONE,252
CARBINOXAMINE MALEATE,15
CARISOPRODOL,2111
CARVEDILOL,34128
CARVEDILOL PHOSPHATE,235
CEFADROXIL,14
CEFDINIR,480
CEFIXIME,15
CEFPODOXIME PROXETIL,96
CEFPROZIL,46
CEFTRIAXONE SODIUM,121
CEFUROXIME AXETIL,1300
CELECOXIB,8585
CEPHALEXIN,10048
CERTOLIZUMAB PEGOL,48
CEVIMELINE HCL,101
CHLORAMBUCIL,22
CHLORDIAZEPOXIDE HCL,44
CHLORHEXIDINE GLUCONATE,2127
CHLORPROMAZINE HCL,229
CHLORPROPAMIDE,12
CHLORTHALIDONE,4748
CHLORZOXAZONE,60
CHOLESTYRAMINE (WITH SUGAR),611
CHOLESTYRAMINE/ASPARTAME,200
CICLESONIDE,13
CICLOPIROX,175
CICLOPIROX OLAMINE,42
CILOSTAZOL,1374
CIMETIDINE,101
CINACALCET HCL,1127
CIPROFLOXACIN HCL,14834
CIPROFLOXACIN HCL/DEXAMETH,58
CITALOPRAM HYDROBROMIDE,38080
CITRIC ACID/G-LACTONE/MAG CARB,77
CLARITHROMYCIN,178
CLINDAMYCIN HCL,1853
CLINDAMYCIN PHOS/BENZOYL PEROX,30
CLINDAMYCIN PHOSPHATE,497
CLOBAZAM,48
CLOBETASOL PROPIONATE,3097
CLOBETASOL PROPIONATE/EMOLL,12
CLOMIPRAMINE HCL,325
CLONAZEPAM,32296
CLONIDINE,388
CLONIDINE HCL,7361
CLOPIDOGREL BISULFATE,23206
CLORAZEPATE DIPOTASSIUM,433
CLOTRIMAZOLE,106
CLOTRIMAZOLE/BETAMETHASONE DIP,462
CLOZAPINE,3397
CODEINE SULFATE,25
CODEINE/BUTALBITAL/ASA/CAFFEIN,85
COLCHICINE,1153
COLCHICINE/PROBENECID,89
COLESEVELAM HCL,372
COLESTIPOL HCL,231
