generic_name,claim_count
0.9 % SODIUM CHLORIDE,4002
AA 4.25%/CALCIUM/LYTES/D25W,13
ABACAVIR SULFATE,1979
ABACAVIR SULFATE/LAMIVUDINE,5051
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,3829
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,273
ABATACEPT,1217
ABATACEPT/MALTOSE,37
ABIRATERONE ACETATE,2271
ACAMPROSATE CALCIUM,164
ACARBOSE,2271
ACEBUTOLOL HCL,3067
ACETAMINOPHEN WITH CODEINE,30401
ACETAZOLAMIDE,5951
ACETIC ACID,601
ACETIC ACID/HYDROCORTISONE,193
ACETYLCYSTEINE,121
ACITRETIN,893
ACLIDINIUM BROMIDE,4548
ACYCLOVIR,25876
ADALIMUMAB,11791
ADAPALENE,85
ADEFOVIR DIPIVOXIL,47
AFATINIB DIMALEATE,68
ALBIGLUTIDE,408
ALBUTEROL SULFATE,412075
ALCAFTADINE,230
ALCLOMETASONE DIPROPIONATE,282
ALCOHOL ANTISEPTIC PADS,4840
ALENDRONATE SODIUM,185462
ALENDRONATE SODIUM/VITAMIN D3,48
ALFUZOSIN HCL,12514
ALISKIREN HEMIFUMARATE,3620
ALISKIREN/HYDROCHLOROTHIAZIDE,647
ALLOPURINOL,307290
ALMOTRIPTAN MALATE,61
ALOGLIPTIN BENZ/METFORMIN HCL,86
ALOGLIPTIN BENZ/PIOGLITAZONE,488
ALOGLIPTIN BENZOATE,181
ALOSETRON HCL,172
ALPHA-1-PROTEINASE INHIBITOR,1136
ALPRAZOLAM,586432
AMANTADINE HCL,12225
AMBRISENTAN,2385
AMIKACIN SULFATE,195
AMILORIDE HCL,1083
AMILORIDE/HYDROCHLOROTHIAZIDE,1399
AMINOCAPROIC ACID,62
AMIODARONE HCL,67876
AMITRIP HCL/CHLORDIAZEPOXIDE,300
AMITRIPTYLINE HCL,143770
AMLODIPINE BES/OLMESARTAN MED,9110
AMLODIPINE BESYLATE,1438753
AMLODIPINE BESYLATE/BENAZEPRIL,83128
AMLODIPINE/ATORVASTATIN,3043
AMLODIPINE/VALSARTAN,12745
AMLODIPINE/VALSARTAN/HCTHIAZID,4041
AMMONIUM LACTATE,5854
AMOXAPINE,112
AMOXICILLIN,175313
AMOXICILLIN/POTASSIUM CLAV,108307
AMPHOTERICIN B LIPID COMPLEX,44
AMPICILLIN SODIUM,122
AMPICILLIN SODIUM/SULBACTAM NA,120
AMPICILLIN TRIHYDRATE,1868
ANAGRELIDE HCL,890
ANASTROZOLE,35520
APIXABAN,88620
APOMORPHINE HCL,14
APRACLONIDINE HCL,316
APREMILAST,719
ARFORMOTEROL TARTRATE,468
ARIPIPRAZOLE,75530
ARMODAFINIL,2694
ASENAPINE MALEATE,3885
ASPIRIN/DIPYRIDAMOLE,21232
ATAZANAVIR SULFATE,5477
ATAZANAVIR SULFATE/COBICISTAT,185
ATENOLOL,344071
ATENOLOL/CHLORTHALIDONE,22477
ATOMOXETINE HCL,1768
ATORVASTATIN CALCIUM,1292995
ATOVAQUONE,151
ATOVAQUONE/PROGUANIL HCL,367
ATROPINE SULFATE,624
AURANOFIN,46
AXITINIB,94
AZATHIOPRINE,12045
AZELAIC ACID,816
AZELASTINE HCL,24092
AZELASTINE/FLUTICASONE,1804
AZILSARTAN MED/CHLORTHALIDONE,1078
AZILSARTAN MEDOXOMIL,747
AZITHROMYCIN,219617
AZTREONAM,40
AZTREONAM LYSINE,56
AZTREONAM/DEXTROSE-WATER,20
BACITRACIN,1416
BACITRACIN/POLYMYXIN B SULFATE,180
BACLOFEN,103302
BALSALAZIDE DISODIUM,2882
BECAPLERMIN,137
BECLOMETHASONE DIPROPIONATE,19644
BELIMUMAB,27
BENAZEPRIL HCL,139889
BENAZEPRIL/HYDROCHLOROTHIAZIDE,22288
BENZONATATE,12
BENZTROPINE MESYLATE,75246
BEPOTASTINE BESILATE,227
BESIFLOXACIN HCL,12030
BETAINE,12
BETAMETHASONE DIPROPIONATE,3075
BETAMETHASONE VALERATE,2181
BETAMETHASONE/PROPYLENE GLYC,1828
BETAXOLOL HCL,930
BETHANECHOL CHLORIDE,5135
BEVACIZUMAB,47
BEXAROTENE,127
BICALUTAMIDE,7505
BIMATOPROST,66943
BISMUTH/METRONID/TETRACYCLINE,32
BISOPROLOL FUMARATE,21977
BISOPROLOL FUMARATE/HCTZ,33558
BORTEZOMIB,38
BOSENTAN,1408
BOSUTINIB,36
BREXPIPRAZOLE,33
BRIMONIDINE TARTRATE,66131
BRIMONIDINE TARTRATE/TIMOLOL,36771
BRINZOLAMIDE,12670
BRINZOLAMIDE/BRIMONIDINE TART,5982
BROMFENAC SODIUM,11431
BROMOCRIPTINE MESYLATE,1229
BUDESONIDE,10833
BUDESONIDE/FORMOTEROL FUMARATE,138824
BUMETANIDE,32692
BUPRENORPHINE,7626
BUPRENORPHINE HCL,3053
BUPRENORPHINE HCL/NALOXONE HCL,18395
BUPROPION HBR,12
BUPROPION HCL,186571
BUSPIRONE HCL,87220
BUTABARBITAL SODIUM,35
BUTALB/ACETAMINOPHEN/CAFFEINE,15181
BUTALBIT/ACETAMIN/CAFF/CODEINE,835
BUTALBITAL/ACETAMINOPHEN,167
BUTALBITAL/ASPIRIN/CAFFEINE,625
BUTENAFINE HCL,25
BUTORPHANOL TARTRATE,1958
C1 ESTERASE INHIBITOR,72
CABERGOLINE,1391
CALCIPOTRIENE,948
CALCIPOTRIENE/BETAMETHASONE,70
"CALCITONIN,SALMON,SYNTHETIC",6715
CALCITRIOL,27179
CALCIUM ACETATE,21484
CANAGLIFLOZIN,37165
CANAGLIFLOZIN/METFORMIN HCL,1398
CANDESARTAN CILEXETIL,2781
CANDESARTAN/HYDROCHLOROTHIAZID,303
CAPTOPRIL,3992
CAPTOPRIL/HYDROCHLOROTHIAZIDE,399
CARBAMAZEPINE,46991
CARBIDOPA,103
CARBIDOPA/LEVODOPA,87342
CARBIDOPA/LEVODOPA/ENTACAPONE,2680
CARBINOXAMINE MALEATE,34
CARISOPRODOL,31945
CARTEOLOL HCL,1043
CARVEDILOL,523806
CARVEDILOL PHOSPHATE,2512
CEFACLOR,116
CEFADROXIL,2496
CEFAZOLIN SODIUM,556
"CEFAZOLIN SODIUM/DEXTROSE,ISO",23
CEFDINIR,32282
CEFEPIME HCL,708
"CEFEPIME HCL/DEXTROSE, ISO-OSM",56
CEFIXIME,115
CEFOXITIN SODIUM,116
CEFPODOXIME PROXETIL,1368
CEFPROZIL,1409
CEFTAROLINE FOSAMIL ACETATE,72
CEFTAZIDIME,95
"CEFTRIAXONE NA/DEXTROSE,ISO",167
CEFTRIAXONE SODIUM,10096
CEFUROXIME AXETIL,27641
CELECOXIB,113101
CEPHALEXIN,123477
CERITINIB,11
CERTOLIZUMAB PEGOL,757
CETIRIZINE HCL,153
CEVIMELINE HCL,1287
CHLORAMBUCIL,76
CHLORDIAZEPOXIDE HCL,841
CHLORHEXIDINE GLUCONATE,30752
CHLOROQUINE PHOSPHATE,50
CHLOROTHIAZIDE,462
CHLORPROMAZINE HCL,6600
CHLORPROPAMIDE,11
CHLORTHALIDONE,57999
CHLORZOXAZONE,1424
CHOLESTYRAMINE (WITH SUGAR),6330
CHOLESTYRAMINE/ASPARTAME,985
CICLESONIDE,402
CICLOPIROX,2538
CICLOPIROX OLAMINE,1635
CILOSTAZOL,23812
CIMETIDINE,896
CINACALCET HCL,37836
CIPROFLOXACIN HCL,213332
CIPROFLOXACIN HCL/DEXAMETH,2350
CIPROFLOXACIN LACTATE/D5W,53
CITALOPRAM HYDROBROMIDE,367718
CITRIC ACID/G-LACTONE/MAG CARB,60
CLARITHROMYCIN,4783
CLEMASTINE FUMARATE,87
CLINDAMYCIN HCL,38005
CLINDAMYCIN PHOS/BENZOYL PEROX,225
CLINDAMYCIN PHOSPHATE,5046
CLOBAZAM,1894
CLOBETASOL PROPIONATE,42846
CLOBETASOL PROPIONATE/EMOLL,351
CLOMIPRAMINE HCL,1828
CLONAZEPAM,398682
CLONIDINE,15259
CLONIDINE HCL,164524
CLONIDINE HCL/CHLORTHALIDONE,13
CLOPIDOGREL BISULFATE,506711
CLORAZEPATE DIPOTASSIUM,11953
CLOTRIMAZOLE,3249
CLOTRIMAZOLE/BETAMETHASONE DIP,26041
CLOZAPINE,26681
CODEINE SULFATE,82
CODEINE/BUTALBITAL/ASA/CAFFEIN,692
COLCHICINE,52114
COLCHICINE/PROBENECID,1899
COLESEVELAM HCL,17011
COLESTIPOL HCL,8749
COLISTIN (COLISTIMETHATE NA),24
COLLAGENASE CLOSTRIDIUM HIST.,11018
CORTICOTROPIN,156
CORTISONE ACETATE,40
CRIZOTINIB,49
CROMOLYN SODIUM,402
CROTAMITON,52
CYCLOBENZAPRINE HCL,160575
CYCLOPENTOLATE HCL,129
CYCLOPHOSPHAMIDE,72
CYCLOSPORINE,41336
"CYCLOSPORINE, MODIFIED",1418
CYPROHEPTADINE HCL,1516
CYSTEAMINE BITARTRATE,43
CYSTEAMINE HCL,24
DABIGATRAN ETEXILATE MESYLATE,36023
DABRAFENIB MESYLATE,83
DACLATASVIR DIHYDROCHLORIDE,11
DALFAMPRIDINE,2048
"DALTEPARIN SODIUM,PORCINE",23
