generic_name,claim_count
0.9 % SODIUM CHLORIDE,39
ABACAVIR SULFATE/LAMIVUDINE,79
ABATACEPT,87
ABIRATERONE ACETATE,311
ACARBOSE,16
ACEBUTOLOL HCL,59
ACETAMINOPHEN WITH CODEINE,4222
ACETAZOLAMIDE,562
ACETIC ACID,58
ACETYLCYSTEINE,46
ACITRETIN,37
ACLIDINIUM BROMIDE,437
ACYCLOVIR,1258
ADALIMUMAB,881
AFATINIB DIMALEATE,17
ALBUTEROL SULFATE,21240
ALCLOMETASONE DIPROPIONATE,21
ALCOHOL ANTISEPTIC PADS,156
ALENDRONATE SODIUM,16836
ALFUZOSIN HCL,290
ALISKIREN HEMIFUMARATE,25
ALLOPURINOL,25005
ALPHA-1-PROTEINASE INHIBITOR,48
ALPRAZOLAM,17047
AMANTADINE HCL,757
AMBRISENTAN,12
AMILORIDE HCL,158
AMILORIDE/HYDROCHLOROTHIAZIDE,145
AMIODARONE HCL,3805
AMITRIPTYLINE HCL,10047
AMLODIPINE BES/OLMESARTAN MED,190
AMLODIPINE BESYLATE,86689
AMLODIPINE BESYLATE/BENAZEPRIL,2394
AMLODIPINE/ATORVASTATIN,13
AMLODIPINE/VALSARTAN,148
AMMONIUM LACTATE,391
AMOXAPINE,13
AMOXICILLIN,11907
AMOXICILLIN/POTASSIUM CLAV,5786
AMPICILLIN TRIHYDRATE,39
ANAGRELIDE HCL,44
ANASTROZOLE,3807
APIXABAN,2037
ARFORMOTEROL TARTRATE,82
ARIPIPRAZOLE,6260
ARMODAFINIL,125
ASENAPINE MALEATE,221
ASPIRIN/DIPYRIDAMOLE,1168
ATAZANAVIR SULFATE,32
ATENOLOL,28789
ATENOLOL/CHLORTHALIDONE,1662
ATOMOXETINE HCL,259
ATORVASTATIN CALCIUM,84602
ATOVAQUONE,12
ATROPINE SULFATE,123
AZATHIOPRINE,1178
AZELASTINE HCL,287
AZILSARTAN MED/CHLORTHALIDONE,35
AZITHROMYCIN,13273
BACITRACIN,40
BACITRACIN/POLYMYXIN B SULFATE,89
BACLOFEN,7478
BALSALAZIDE DISODIUM,232
BECLOMETHASONE DIPROPIONATE,442
BENAZEPRIL HCL,4937
BENAZEPRIL/HYDROCHLOROTHIAZIDE,723
BENZTROPINE MESYLATE,4538
BEPOTASTINE BESILATE,18
BETAMETHASONE DIPROPIONATE,592
BETAMETHASONE VALERATE,176
BETAMETHASONE/PROPYLENE GLYC,283
BETAXOLOL HCL,15
BETHANECHOL CHLORIDE,363
BICALUTAMIDE,540
BIMATOPROST,4684
BISOPROLOL FUMARATE,616
BISOPROLOL FUMARATE/HCTZ,1643
BOSENTAN,94
BOSUTINIB,19
BRIMONIDINE TARTRATE,4192
BRIMONIDINE TARTRATE/TIMOLOL,3716
BRINZOLAMIDE,773
BRINZOLAMIDE/BRIMONIDINE TART,121
BROMFENAC SODIUM,76
BROMOCRIPTINE MESYLATE,86
BUDESONIDE,1704
BUDESONIDE/FORMOTEROL FUMARATE,8737
BUMETANIDE,2790
BUPRENORPHINE,173
BUPRENORPHINE HCL,13
BUPRENORPHINE HCL/NALOXONE HCL,303
BUPROPION HCL,16004
BUSPIRONE HCL,7396
BUTALB/ACETAMINOPHEN/CAFFEINE,184
BUTALBIT/ACETAMIN/CAFF/CODEINE,17
BUTALBITAL/ACETAMINOPHEN,11
BUTORPHANOL TARTRATE,38
CABERGOLINE,52
CALCIPOTRIENE,49
"CALCITONIN,SALMON,SYNTHETIC",371
CALCITRIOL,3641
CALCIUM ACETATE,1327
