generic_name,claim_count
0.9 % SODIUM CHLORIDE,279
ABACAVIR SULFATE,194
ABACAVIR SULFATE/LAMIVUDINE,227
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,221
ABATACEPT,40
ABIRATERONE ACETATE,499
ACAMPROSATE CALCIUM,138
ACARBOSE,228
ACEBUTOLOL HCL,510
ACETAMINOPHEN WITH CODEINE,6918
ACETAZOLAMIDE,840
ACETIC ACID,242
ACETIC ACID/HYDROCORTISONE,11
ACETYLCYSTEINE,124
ACITRETIN,102
ACLIDINIUM BROMIDE,938
ACYCLOVIR,4475
ADALIMUMAB,1231
AGALSIDASE BETA,12
ALBIGLUTIDE,48
ALBUTEROL SULFATE,48787
ALCAFTADINE,16
ALCLOMETASONE DIPROPIONATE,15
ALCOHOL ANTISEPTIC PADS,1536
ALENDRONATE SODIUM,44201
ALFUZOSIN HCL,1851
ALISKIREN HEMIFUMARATE,1036
ALISKIREN/HYDROCHLOROTHIAZIDE,128
ALLOPURINOL,63751
ALOGLIPTIN BENZ/PIOGLITAZONE,27
ALOGLIPTIN BENZOATE,15
ALOSETRON HCL,24
ALPHA-1-PROTEINASE INHIBITOR,134
ALPRAZOLAM,73658
AMANTADINE HCL,2756
AMBRISENTAN,334
AMCINONIDE,18
AMILORIDE HCL,765
AMILORIDE/HYDROCHLOROTHIAZIDE,494
AMIODARONE HCL,24206
AMITRIP HCL/CHLORDIAZEPOXIDE,39
AMITRIPTYLINE HCL,23708
AMLODIPINE BES/OLMESARTAN MED,578
AMLODIPINE BESYLATE,237662
AMLODIPINE BESYLATE/BENAZEPRIL,8355
AMLODIPINE/ATORVASTATIN,138
AMLODIPINE/VALSARTAN,971
AMLODIPINE/VALSARTAN/HCTHIAZID,92
AMMONIUM LACTATE,164
AMOXAPINE,48
AMOXICILLIN,36870
AMOXICILLIN/POTASSIUM CLAV,15368
AMPICILLIN SODIUM,101
AMPICILLIN TRIHYDRATE,179
ANAGRELIDE HCL,75
ANASTROZOLE,7880
APIXABAN,18448
APOMORPHINE HCL,12
APRACLONIDINE HCL,47
APREMILAST,26
ARFORMOTEROL TARTRATE,382
ARIPIPRAZOLE,22867
ARMODAFINIL,455
ASENAPINE MALEATE,847
ASPIRIN/DIPYRIDAMOLE,3379
ATAZANAVIR SULFATE,116
ATENOLOL,70830
ATENOLOL/CHLORTHALIDONE,4367
ATOMOXETINE HCL,1153
ATORVASTATIN CALCIUM,234966
ATOVAQUONE/PROGUANIL HCL,34
ATROPINE SULFATE,129
AURANOFIN,15
AXITINIB,18
AZATHIOPRINE,2598
AZELAIC ACID,51
AZELASTINE HCL,3377
AZELASTINE/FLUTICASONE,37
AZILSARTAN MED/CHLORTHALIDONE,185
AZILSARTAN MEDOXOMIL,43
AZITHROMYCIN,33252
BACITRACIN,62
BACITRACIN/POLYMYXIN B SULFATE,84
BACLOFEN,15528
BALSALAZIDE DISODIUM,1056
BECLOMETHASONE DIPROPIONATE,794
BENAZEPRIL HCL,31863
BENAZEPRIL/HYDROCHLOROTHIAZIDE,3302
BENZTROPINE MESYLATE,14499
BEPOTASTINE BESILATE,22
BESIFLOXACIN HCL,769
BETAINE,11
BETAMETHASONE DIPROPIONATE,687
BETAMETHASONE VALERATE,253
BETAMETHASONE/PROPYLENE GLYC,422
BETAXOLOL HCL,313
BETHANECHOL CHLORIDE,1431
BICALUTAMIDE,2473
BIMATOPROST,11814
BISOPROLOL FUMARATE,12769
BISOPROLOL FUMARATE/HCTZ,7719
BOSENTAN,161
BOSUTINIB,11
BREXPIPRAZOLE,13
BRIMONIDINE TARTRATE,8519
BRIMONIDINE TARTRATE/TIMOLOL,7400
BRINZOLAMIDE,1491
BRINZOLAMIDE/BRIMONIDINE TART,406
BROMFENAC SODIUM,863
BROMOCRIPTINE MESYLATE,141
BUDESONIDE,3089
BUDESONIDE/FORMOTEROL FUMARATE,24820
BUMETANIDE,6005
BUPRENORPHINE,953
BUPRENORPHINE HCL,170
BUPRENORPHINE HCL/NALOXONE HCL,632
BUPROPION HCL,33093
BUSPIRONE HCL,17003
BUTALB/ACETAMINOPHEN/CAFFEINE,1919
BUTALBIT/ACETAMIN/CAFF/CODEINE,205
BUTALBITAL/ACETAMINOPHEN,26
