generic_name,claim_count
0.9 % SODIUM CHLORIDE,354
ABACAVIR SULFATE,213
ABACAVIR SULFATE/LAMIVUDINE,265
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,204
ABATACEPT,119
ABIRATERONE ACETATE,403
ACAMPROSATE CALCIUM,127
ACARBOSE,94
ACEBUTOLOL HCL,368
ACETAMINOPHEN WITH CODEINE,5101
ACETAZOLAMIDE,584
ACETIC ACID,213
ACITRETIN,29
ACLIDINIUM BROMIDE,1263
ACYCLOVIR,2926
ADALIMUMAB,1302
ADAPALENE,13
ADEFOVIR DIPIVOXIL,13
AFATINIB DIMALEATE,12
ALBUTEROL SULFATE,46606
ALCAFTADINE,27
ALCLOMETASONE DIPROPIONATE,62
ALCOHOL ANTISEPTIC PADS,265
ALENDRONATE SODIUM,17208
ALENDRONATE SODIUM/VITAMIN D3,23
ALFUZOSIN HCL,1804
ALISKIREN HEMIFUMARATE,68
ALLOPURINOL,24343
ALOGLIPTIN BENZ/PIOGLITAZONE,12
ALPHA-1-PROTEINASE INHIBITOR,36
ALPRAZOLAM,31117
AMANTADINE HCL,1553
AMBRISENTAN,51
AMCINONIDE,16
AMILORIDE HCL,214
AMILORIDE/HYDROCHLOROTHIAZIDE,175
AMIODARONE HCL,4698
AMITRIP HCL/CHLORDIAZEPOXIDE,23
AMITRIPTYLINE HCL,17597
AMLODIPINE BES/OLMESARTAN MED,116
AMLODIPINE BESYLATE,116591
AMLODIPINE BESYLATE/BENAZEPRIL,1927
AMLODIPINE/ATORVASTATIN,99
AMLODIPINE/VALSARTAN,74
AMLODIPINE/VALSARTAN/HCTHIAZID,25
AMMONIUM LACTATE,530
AMOXAPINE,28
AMOXICILLIN,17149
AMOXICILLIN/POTASSIUM CLAV,7257
AMPICILLIN SODIUM,30
AMPICILLIN SODIUM/SULBACTAM NA,12
AMPICILLIN TRIHYDRATE,70
ANAGRELIDE HCL,13
ANASTROZOLE,4262
APIXABAN,5342
APRACLONIDINE HCL,13
APREMILAST,98
ARFORMOTEROL TARTRATE,122
ARIPIPRAZOLE,12172
