generic_name,claim_count
0.9 % SODIUM CHLORIDE,1684
ABACAVIR SULFATE,1727
ABACAVIR SULFATE/LAMIVUDINE,5081
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,2212
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,365
ABATACEPT,744
ABATACEPT/MALTOSE,88
ABIRATERONE ACETATE,1633
ACAMPROSATE CALCIUM,213
ACARBOSE,5482
ACEBUTOLOL HCL,1029
ACETAMINOPHEN WITH CODEINE,64156
ACETAZOLAMIDE,5376
ACETIC ACID,839
ACETIC ACID/ALUMINUM ACETATE,78
ACETIC ACID/HYDROCORTISONE,445
ACETYLCYSTEINE,1718
ACITRETIN,258
ACLIDINIUM BROMIDE,3662
ACYCLOVIR,9300
ACYCLOVIR SODIUM,12
ADALIMUMAB,6555
ADAPALENE,11
ADEFOVIR DIPIVOXIL,151
AFATINIB DIMALEATE,166
ALBIGLUTIDE,845
ALBUMIN HUMAN,16
ALBUTEROL SULFATE,261109
ALCAFTADINE,1300
ALCLOMETASONE DIPROPIONATE,1395
ALCOHOL ANTISEPTIC PADS,11626
ALENDRONATE SODIUM,149135
ALENDRONATE SODIUM/VITAMIN D3,61
ALFUZOSIN HCL,16161
ALGLUCOSIDASE ALFA,38
ALISKIREN HEMIFUMARATE,2587
ALISKIREN/AMLODIPIN/HCTHIAZIDE,14
ALISKIREN/HYDROCHLOROTHIAZIDE,455
ALLOPURINOL,152787
ALMOTRIPTAN MALATE,12
ALOGLIPTIN BENZ/METFORMIN HCL,264
ALOGLIPTIN BENZ/PIOGLITAZONE,425
ALOGLIPTIN BENZOATE,382
ALOSETRON HCL,182
ALPHA-1-PROTEINASE INHIBITOR,461
ALPRAZOLAM,453542
AMANTADINE HCL,7903
AMBRISENTAN,1491
AMCINONIDE,26
AMIFOSTINE CRYSTALLINE,21
AMIKACIN SULFATE,50
AMILORIDE HCL,796
AMILORIDE/HYDROCHLOROTHIAZIDE,1136
AMINOCAPROIC ACID,40
AMIODARONE HCL,49813
AMITRIP HCL/CHLORDIAZEPOXIDE,447
AMITRIPTYLINE HCL,39947
AMLODIPINE BES/OLMESARTAN MED,14104
AMLODIPINE BESYLATE,1011788
AMLODIPINE BESYLATE/BENAZEPRIL,55799
AMLODIPINE/ATORVASTATIN,3210
AMLODIPINE/VALSARTAN,14978
AMLODIPINE/VALSARTAN/HCTHIAZID,3687
AMMONIUM LACTATE,38605
AMOXAPINE,169
AMOXICILLIN,161135
AMOXICILLIN/POTASSIUM CLAV,78718
AMPICILLIN SODIUM,155
AMPICILLIN SODIUM/SULBACTAM NA,157
AMPICILLIN TRIHYDRATE,993
ANAGRELIDE HCL,602
ANASTROZOLE,29767
ANIDULAFUNGIN,19
APIXABAN,57040
APOMORPHINE HCL,38
APRACLONIDINE HCL,73
APREMILAST,714
APREPITANT,126
ARFORMOTEROL TARTRATE,238
ARIPIPRAZOLE,69349
ARMODAFINIL,1911
ARTEMETHER/LUMEFANTRINE,11
ASENAPINE MALEATE,2156
ASPIRIN/DIPYRIDAMOLE,9220
ATAZANAVIR SULFATE,5848
ATAZANAVIR SULFATE/COBICISTAT,297
ATENOLOL,217135
ATENOLOL/CHLORTHALIDONE,9420
ATOMOXETINE HCL,1576
ATORVASTATIN CALCIUM,1078199
ATOVAQUONE,662
ATOVAQUONE/PROGUANIL HCL,470
ATROPINE SULFATE,282
AURANOFIN,46
AXITINIB,25
AZACITIDINE,20
AZATHIOPRINE,4176
AZELAIC ACID,820
AZELASTINE HCL,23686
AZELASTINE/FLUTICASONE,4157
AZILSARTAN MED/CHLORTHALIDONE,2173
AZILSARTAN MEDOXOMIL,1616
AZITHROMYCIN,201881
AZTREONAM,118
AZTREONAM/DEXTROSE-WATER,12
BACITRACIN,2821
BACITRACIN/POLYMYXIN B SULFATE,93
BACLOFEN,43532
BALSALAZIDE DISODIUM,1662
BECAPLERMIN,226
BECLOMETHASONE DIPROPIONATE,9337
BELIMUMAB,72
BENAZEPRIL HCL,39308
BENAZEPRIL/HYDROCHLOROTHIAZIDE,2045
BENZONATATE,50
BENZTROPINE MESYLATE,70253
BEPOTASTINE BESILATE,1277
BESIFLOXACIN HCL,13338
BETAMETHASONE DIPROPIONATE,7840
BETAMETHASONE VALERATE,4427
BETAMETHASONE/PROPYLENE GLYC,7284
BETAXOLOL HCL,1041
BETHANECHOL CHLORIDE,3224
BEVACIZUMAB,174
BEXAROTENE,34
BICALUTAMIDE,6727
BIMATOPROST,74178
BISAC/NACL/NAHCO3/KCL/PEG 3350,13
BISMUTH/METRONID/TETRACYCLINE,11
BISOPROLOL FUMARATE,16760
BISOPROLOL FUMARATE/HCTZ,12673
BORTEZOMIB,78
BOSENTAN,1301
BOSUTINIB,51
BREXPIPRAZOLE,12
BRIMONIDINE TARTRATE,52068
BRIMONIDINE TARTRATE/TIMOLOL,42849
BRINZOLAMIDE,13611
BRINZOLAMIDE/BRIMONIDINE TART,8080
BROMFENAC SODIUM,13908
BROMOCRIPTINE MESYLATE,1403
BUDESONIDE,12013
BUDESONIDE/FORMOTEROL FUMARATE,68676
BUMETANIDE,16318
BUPIVACAINE HCL,13
BUPIVACAINE HCL/PF,11
BUPRENORPHINE,3687
BUPRENORPHINE HCL,2138
BUPRENORPHINE HCL/NALOXONE HCL,17123
BUPROPION HBR,70
BUPROPION HCL,103401
BUSPIRONE HCL,46929
BUTABARBITAL SODIUM,12
BUTALB/ACETAMINOPHEN/CAFFEINE,17714
BUTALBIT/ACETAMIN/CAFF/CODEINE,880
BUTALBITAL/ACETAMINOPHEN,68
BUTALBITAL/ASPIRIN/CAFFEINE,769
BUTENAFINE HCL,16
BUTORPHANOL TARTRATE,519
C1 ESTERASE INHIBITOR,76
CABERGOLINE,959
CABOZANTINIB S-MALATE,36
CALCIPOTRIENE,2360
CALCIPOTRIENE/BETAMETHASONE,63
"CALCITONIN,SALMON,SYNTHETIC",5578
CALCITRIOL,15716
CALCIUM ACETATE,15634
CANAGLIFLOZIN,21084
CANAGLIFLOZIN/METFORMIN HCL,896
CANDESARTAN CILEXETIL,2902
CANDESARTAN/HYDROCHLOROTHIAZID,397
CAPTOPRIL,2327
CAPTOPRIL/HYDROCHLOROTHIAZIDE,143
CARBAMAZEPINE,36264
CARBIDOPA,134
CARBIDOPA/LEVODOPA,71744
CARBIDOPA/LEVODOPA/ENTACAPONE,3921
CARBINOXAMINE MALEATE,13
CARBOPLATIN,206
CARISOPRODOL,10938
CARTEOLOL HCL,668
CARVEDILOL,342282
CARVEDILOL PHOSPHATE,9824
CEFACLOR,11
CEFADROXIL,5759
CEFAZOLIN SODIUM,261
"CEFAZOLIN SODIUM/DEXTROSE,ISO",41
CEFDINIR,9288
CEFEPIME HCL,533
"CEFEPIME HCL/DEXTROSE, ISO-OSM",55
CEFIXIME,154
CEFPODOXIME PROXETIL,845
CEFPROZIL,1433
CEFTAROLINE FOSAMIL ACETATE,12
CEFTAZIDIME,58
"CEFTRIAXONE NA/DEXTROSE,ISO",138
CEFTRIAXONE SODIUM,1416
CEFUROXIME AXETIL,36403
CELECOXIB,78042
CEPHALEXIN,61074
CERITINIB,12
CERTOLIZUMAB PEGOL,468
CETIRIZINE HCL,68
CEVIMELINE HCL,1135
CHENODIOL,19
CHLORAMBUCIL,47
CHLORDIAZEPOXIDE HCL,889
CHLORHEXIDINE GLUCONATE,42405
CHLOROQUINE PHOSPHATE,51
CHLOROTHIAZIDE,107
CHLORPROMAZINE HCL,7093
CHLORTHALIDONE,20818
CHLORZOXAZONE,519
CHOLESTYRAMINE (WITH SUGAR),5581
CHOLESTYRAMINE/ASPARTAME,785
"CHORIONIC GONADOTROPIN, HUMAN",15
CICLESONIDE,445
