generic_name,claim_count
0.9 % SODIUM CHLORIDE,840
ABACAVIR SULFATE,147
ABACAVIR SULFATE/LAMIVUDINE,382
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,398
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,54
ABATACEPT,347
ABATACEPT/MALTOSE,12
ABIRATERONE ACETATE,484
ACAMPROSATE CALCIUM,11
ACARBOSE,497
ACEBUTOLOL HCL,50
ACETAMINOPHEN WITH CODEINE,10742
ACETAZOLAMIDE,283
ACETYLCYSTEINE,31
ACITRETIN,52
ACLIDINIUM BROMIDE,685
ACYCLOVIR,8347
ADALIMUMAB,2221
ADEFOVIR DIPIVOXIL,12
ALBIGLUTIDE,38
ALBUTEROL SULFATE,60494
ALCAFTADINE,28
ALCLOMETASONE DIPROPIONATE,15
ALCOHOL ANTISEPTIC PADS,683
ALENDRONATE SODIUM,42862
ALFUZOSIN HCL,673
ALISKIREN HEMIFUMARATE,165
ALISKIREN/HYDROCHLOROTHIAZIDE,19
ALLOPURINOL,34443
ALOGLIPTIN BENZ/METFORMIN HCL,11
ALOGLIPTIN BENZ/PIOGLITAZONE,14
ALPHA-1-PROTEINASE INHIBITOR,26
ALPRAZOLAM,52114
AMANTADINE HCL,1373
AMBRISENTAN,473
AMILORIDE HCL,329
AMILORIDE/HYDROCHLOROTHIAZIDE,90
AMINOCAPROIC ACID,11
AMIODARONE HCL,4568
AMITRIP HCL/CHLORDIAZEPOXIDE,13
AMITRIPTYLINE HCL,17421
AMLODIPINE BES/OLMESARTAN MED,306
AMLODIPINE BESYLATE,159466
AMLODIPINE BESYLATE/BENAZEPRIL,4197
AMLODIPINE/ATORVASTATIN,57
AMLODIPINE/VALSARTAN,106
AMLODIPINE/VALSARTAN/HCTHIAZID,77
AMMONIUM LACTATE,164
AMOXAPINE,51
AMOXICILLIN,28654
AMOXICILLIN/POTASSIUM CLAV,13413
AMPICILLIN TRIHYDRATE,164
ANAGRELIDE HCL,50
ANAKINRA,13
ANASTROZOLE,4351
APIXABAN,3549
APREMILAST,19
APREPITANT,21
ARIPIPRAZOLE,13129
ARMODAFINIL,157
ASENAPINE MALEATE,249
ASPIRIN/DIPYRIDAMOLE,752
ATAZANAVIR SULFATE,511
ATAZANAVIR SULFATE/COBICISTAT,18
ATENOLOL,43912
ATENOLOL/CHLORTHALIDONE,757
ATOMOXETINE HCL,249
ATORVASTATIN CALCIUM,146871
ATOVAQUONE/PROGUANIL HCL,194
ATROPINE SULFATE,34
AZATHIOPRINE,1408
AZELAIC ACID,126
AZELASTINE HCL,3929
AZELASTINE/FLUTICASONE,166
AZILSARTAN MEDOXOMIL,13
AZITHROMYCIN,33329
BACITRACIN,360
BACITRACIN/POLYMYXIN B SULFATE,14
BACLOFEN,25684
BALSALAZIDE DISODIUM,247
BECLOMETHASONE DIPROPIONATE,3232
BENAZEPRIL HCL,9057
BENAZEPRIL/HYDROCHLOROTHIAZIDE,839
BENZTROPINE MESYLATE,9793
BESIFLOXACIN HCL,828
BETAMETHASONE DIPROPIONATE,974
BETAMETHASONE VALERATE,702
BETAMETHASONE/PROPYLENE GLYC,310
BETAXOLOL HCL,107
BETHANECHOL CHLORIDE,395
BICALUTAMIDE,1091
BIMATOPROST,13220
BISOPROLOL FUMARATE,445
BISOPROLOL FUMARATE/HCTZ,826
BOSENTAN,141
BREXPIPRAZOLE,16
BRIMONIDINE TARTRATE,8555
BRIMONIDINE TARTRATE/TIMOLOL,4813
BRINZOLAMIDE,1161
BRINZOLAMIDE/BRIMONIDINE TART,403
BROMFENAC SODIUM,797
BROMOCRIPTINE MESYLATE,57
BUDESONIDE,1281
BUDESONIDE/FORMOTEROL FUMARATE,18096
BUMETANIDE,2008
BUPRENORPHINE,337
BUPRENORPHINE HCL,388
BUPRENORPHINE HCL/NALOXONE HCL,4995
BUPROPION HCL,28102
BUSPIRONE HCL,12611
BUTALB/ACETAMINOPHEN/CAFFEINE,1146
BUTALBIT/ACETAMIN/CAFF/CODEINE,143
BUTALBITAL/ASPIRIN/CAFFEINE,166
BUTORPHANOL TARTRATE,119
CABERGOLINE,206
CALCIPOTRIENE,189
"CALCITONIN,SALMON,SYNTHETIC",652
CALCITRIOL,5149
CALCIUM ACETATE,3470
CANAGLIFLOZIN,1629
CANDESARTAN CILEXETIL,166
CANDESARTAN/HYDROCHLOROTHIAZID,58
CAPTOPRIL,357
CAPTOPRIL/HYDROCHLOROTHIAZIDE,34
CARBAMAZEPINE,7217
CARBIDOPA,78
CARBIDOPA/LEVODOPA,12156
CARBIDOPA/LEVODOPA/ENTACAPONE,387
CARISOPRODOL,3468
CARTEOLOL HCL,221
CARVEDILOL,61850
CARVEDILOL PHOSPHATE,206
CEFACLOR,14
CEFADROXIL,222
CEFAZOLIN SODIUM,19
CEFDINIR,905
CEFEPIME HCL,23
CEFIXIME,30
CEFPODOXIME PROXETIL,97
CEFPROZIL,222
CEFTRIAXONE SODIUM,524
CEFUROXIME AXETIL,2431
CELECOXIB,12110
CEPHALEXIN,24079
CERTOLIZUMAB PEGOL,246
CEVIMELINE HCL,155
CHLORAMBUCIL,15
CHLORDIAZEPOXIDE HCL,176
CHLORHEXIDINE GLUCONATE,6248
CHLOROTHIAZIDE,12
CHLORPROMAZINE HCL,613
CHLORTHALIDONE,5688
CHLORZOXAZONE,198
CHOLESTYRAMINE (WITH SUGAR),1094
CHOLESTYRAMINE/ASPARTAME,241
CICLESONIDE,94
CICLOPIROX,605
CICLOPIROX OLAMINE,747
CILOSTAZOL,870
CIMETIDINE,274
CINACALCET HCL,2892
CIPROFLOXACIN HCL,29259
CIPROFLOXACIN HCL/DEXAMETH,266
CITALOPRAM HYDROBROMIDE,50207
CITRIC ACID/G-LACTONE/MAG CARB,13
CLARITHROMYCIN,561
CLINDAMYCIN HCL,5650
CLINDAMYCIN PHOS/BENZOYL PEROX,24
CLINDAMYCIN PHOSPHATE,747
CLOBAZAM,162
CLOBETASOL PROPIONATE,5112
CLOBETASOL PROPIONATE/EMOLL,30
CLOMIPRAMINE HCL,772
CLONAZEPAM,43963
CLONIDINE,1128
CLONIDINE HCL,14991
CLOPIDOGREL BISULFATE,47240
CLORAZEPATE DIPOTASSIUM,214
CLOTRIMAZOLE,821
CLOTRIMAZOLE/BETAMETHASONE DIP,1746
CLOZAPINE,4069
CODEINE SULFATE,173
CODEINE/BUTALBITAL/ASA/CAFFEIN,146
COLCHICINE,1835
COLCHICINE/PROBENECID,69
COLESEVELAM HCL,983
COLESTIPOL HCL,135
COLLAGENASE CLOSTRIDIUM HIST.,558
CORTICOTROPIN,13
CRIZOTINIB,20
CROMOLYN SODIUM,220
CYCLOBENZAPRINE HCL,14355
CYCLOSPORINE,3877
"CYCLOSPORINE, MODIFIED",74
CYPROHEPTADINE HCL,239
DABIGATRAN ETEXILATE MESYLATE,2449
DABRAFENIB MESYLATE,12
DALFAMPRIDINE,269
DANTROLENE SODIUM,67
