generic_name,claim_count
0.9 % SODIUM CHLORIDE,1616
ABACAVIR SULFATE,436
ABACAVIR SULFATE/LAMIVUDINE,1437
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,404
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,48
ABATACEPT,170
ABATACEPT/MALTOSE,23
ABIRATERONE ACETATE,585
ACARBOSE,869
ACEBUTOLOL HCL,243
ACETAMINOPHEN WITH CODEINE,12153
ACETAZOLAMIDE,700
ACETIC ACID,48
ACETIC ACID/HYDROCORTISONE,15
ACETYLCYSTEINE,38
ACITRETIN,14
ACLIDINIUM BROMIDE,1237
ACYCLOVIR,10714
ADALIMUMAB,1673
ADAPALENE/BENZOYL PEROXIDE,13
AFATINIB DIMALEATE,29
AFLIBERCEPT,16
ALBENDAZOLE,25
ALBIGLUTIDE,94
ALBUTEROL SULFATE,78062
ALCAFTADINE,58
ALCOHOL ANTISEPTIC PADS,1386
ALENDRONATE SODIUM,64981
ALENDRONATE SODIUM/VITAMIN D3,12
ALFUZOSIN HCL,2549
ALISKIREN HEMIFUMARATE,454
ALISKIREN/HYDROCHLOROTHIAZIDE,87
ALLOPURINOL,54965
ALMOTRIPTAN MALATE,11
ALOGLIPTIN BENZ/METFORMIN HCL,11
ALOGLIPTIN BENZ/PIOGLITAZONE,22
ALOGLIPTIN BENZOATE,27
ALPHA-1-PROTEINASE INHIBITOR,217
ALPRAZOLAM,125810
ALTRETAMINE,12
AMANTADINE HCL,2299
AMBRISENTAN,491
AMIKACIN SULFATE,155
AMILORIDE HCL,127
AMILORIDE/HYDROCHLOROTHIAZIDE,121
AMIODARONE HCL,14501
AMITRIP HCL/CHLORDIAZEPOXIDE,18
AMITRIPTYLINE HCL,17398
AMLODIPINE BES/OLMESARTAN MED,584
AMLODIPINE BESYLATE,247397
AMLODIPINE BESYLATE/BENAZEPRIL,8919
AMLODIPINE/ATORVASTATIN,118
AMLODIPINE/VALSARTAN,488
AMLODIPINE/VALSARTAN/HCTHIAZID,110
AMMONIUM LACTATE,1263
AMOXICILLIN,33807
AMOXICILLIN/POTASSIUM CLAV,20312
AMPICILLIN SODIUM,49
AMPICILLIN SODIUM/SULBACTAM NA,51
