generic_name,claim_count
0.9 % SODIUM CHLORIDE,9184
AA 5 %/CALCIUM/LYTES/DEXT 15 %,34
ABACAVIR SULFATE,7615
ABACAVIR SULFATE/LAMIVUDINE,21547
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,6541
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,1058
ABATACEPT,2929
ABATACEPT/MALTOSE,195
ABIRATERONE ACETATE,5214
ACAMPROSATE CALCIUM,519
ACARBOSE,26492
ACEBUTOLOL HCL,2113
ACETAMINOPHEN WITH CODEINE,115119
ACETAZOLAMIDE,18319
ACETIC ACID,1483
ACETIC ACID/ALUMINUM ACETATE,479
ACETIC ACID/HYDROCORTISONE,940
ACETYLCYSTEINE,1229
ACITRETIN,1425
ACLIDINIUM BROMIDE,21609
ACYCLOVIR,42725
ACYCLOVIR SODIUM,17
ADALIMUMAB,21394
ADAPALENE,100
ADEFOVIR DIPIVOXIL,734
AFATINIB DIMALEATE,567
AFLIBERCEPT,410
AGALSIDASE BETA,56
ALBENDAZOLE,37
ALBIGLUTIDE,1315
ALBUTEROL SULFATE,840634
ALCAFTADINE,2582
ALCLOMETASONE DIPROPIONATE,2216
ALCOHOL ANTISEPTIC PADS,249824
ALDESLEUKIN,33
ALENDRONATE SODIUM,500778
ALENDRONATE SODIUM/VITAMIN D3,216
ALFUZOSIN HCL,50405
ALGLUCOSIDASE ALFA,53
ALISKIREN HEMIFUMARATE,5756
ALISKIREN/HYDROCHLOROTHIAZIDE,1288
ALITRETINOIN,13
ALLOPURINOL,420536
ALMOTRIPTAN MALATE,25
ALOGLIPTIN BENZ/METFORMIN HCL,424
ALOGLIPTIN BENZ/PIOGLITAZONE,727
ALOGLIPTIN BENZOATE,313
ALOSETRON HCL,180
ALPHA-1-PROTEINASE INHIBITOR,861
ALPRAZOLAM,548270
AMANTADINE HCL,30733
AMBRISENTAN,4198
AMCINONIDE,16
AMIKACIN SULFATE,491
AMILORIDE HCL,2742
AMILORIDE/HYDROCHLOROTHIAZIDE,3168
AMINOCAPROIC ACID,11
AMIODARONE HCL,82050
AMITRIP HCL/CHLORDIAZEPOXIDE,121
AMITRIPTYLINE HCL,132914
AMLODIPINE BES/OLMESARTAN MED,33149
AMLODIPINE BESYLATE,2698386
AMLODIPINE BESYLATE/BENAZEPRIL,179599
AMLODIPINE/ATORVASTATIN,3092
AMLODIPINE/VALSARTAN,29550
AMLODIPINE/VALSARTAN/HCTHIAZID,7095
AMMONIUM LACTATE,294494
AMOXAPINE,250
AMOXICILLIN,361708
AMOXICILLIN/POTASSIUM CLAV,180991
AMPHOTERICIN B,69
AMPICILLIN SODIUM,291
AMPICILLIN SODIUM/SULBACTAM NA,320
AMPICILLIN TRIHYDRATE,2956
ANAGRELIDE HCL,1755
ANAKINRA,128
ANASTROZOLE,75334
ANIDULAFUNGIN,13
ANTIPYRINE/BENZOCAINE,35
APIXABAN,136484
APOMORPHINE HCL,61
APRACLONIDINE HCL,220
APREMILAST,1333
APREPITANT,2057
ARFORMOTEROL TARTRATE,446
ARIPIPRAZOLE,192759
ARMODAFINIL,2971
ARTEMETHER/LUMEFANTRINE,27
ASENAPINE MALEATE,6171
ASPIRIN/DIPYRIDAMOLE,23926
ATAZANAVIR SULFATE,22313
ATAZANAVIR SULFATE/COBICISTAT,273
ATENOLOL,830045
ATENOLOL/CHLORTHALIDONE,39339
ATOMOXETINE HCL,4842
ATORVASTATIN CALCIUM,2668663
ATOVAQUONE,2869
ATOVAQUONE/PROGUANIL HCL,1278
ATROPINE SULFATE,1137
AURANOFIN,78
AXITINIB,291
AZACITIDINE,118
AZATHIOPRINE,12608
AZELAIC ACID,2132
AZELASTINE HCL,100760
AZELASTINE/FLUTICASONE,4092
AZILSARTAN MED/CHLORTHALIDONE,4403
AZILSARTAN MEDOXOMIL,3965
AZITHROMYCIN,429764
AZTREONAM,74
AZTREONAM LYSINE,41
B COMPLEX & C NO.20/FOLIC ACID,34
BACITRACIN,9636
BACITRACIN/POLYMYXIN B SULFATE,741
BACLOFEN,160141
BALSALAZIDE DISODIUM,5207
BCG LIVE,89
BECAPLERMIN,441
BECLOMETHASONE DIPROPIONATE,33030
BELATACEPT,13
BELIMUMAB,190
BENAZEPRIL HCL,87329
BENAZEPRIL/HYDROCHLOROTHIAZIDE,9588
BENDAMUSTINE HCL,29
BENZONATATE,1265
BENZTROPINE MESYLATE,170710
BEPOTASTINE BESILATE,2791
BESIFLOXACIN HCL,24144
BETAINE,41
BETAMETHASONE DIPROPIONATE,30256
BETAMETHASONE VALERATE,7837
BETAMETHASONE/PROPYLENE GLYC,15694
BETAXOLOL HCL,3131
BETHANECHOL CHLORIDE,8794
BEVACIZUMAB,817
BEXAROTENE,341
BICALUTAMIDE,20152
BIMATOPROST,180830
BISAC/NACL/NAHCO3/KCL/PEG 3350,20
BISMUTH/METRONID/TETRACYCLINE,58
BISOPROLOL FUMARATE,41414
BISOPROLOL FUMARATE/HCTZ,38697
BORTEZOMIB,650
BOSENTAN,2118
BOSUTINIB,133
