generic_name,claim_count
0.9 % SODIUM CHLORIDE,9538
AA 5 %/CALCIUM/LYTES/DEXT 15 %,14
ABACAVIR SULFATE,1183
ABACAVIR SULFATE/LAMIVUDINE,2385
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,1659
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,181
ABATACEPT,1622
ABATACEPT/MALTOSE,176
ABIRATERONE ACETATE,3284
ACAMPROSATE CALCIUM,360
ACARBOSE,4108
ACEBUTOLOL HCL,3194
ACETAMINOPHEN WITH CODEINE,77013
ACETAZOLAMIDE,5939
ACETIC ACID,1816
ACETIC ACID/ALUMINUM ACETATE,73
ACETIC ACID/HYDROCORTISONE,86
ACETYLCYSTEINE,540
ACITRETIN,883
ACLIDINIUM BROMIDE,10740
ACYCLOVIR,33035
ADALIMUMAB,13602
ADAPALENE,54
ADEFOVIR DIPIVOXIL,74
AFATINIB DIMALEATE,168
AFLIBERCEPT,15
AGALSIDASE BETA,87
ALBENDAZOLE,15
ALBIGLUTIDE,378
ALBUTEROL SULFATE,507948
ALCAFTADINE,119
ALCLOMETASONE DIPROPIONATE,912
ALCOHOL ANTISEPTIC PADS,17977
ALENDRONATE SODIUM,281234
ALENDRONATE SODIUM/VITAMIN D3,91
ALFUZOSIN HCL,12550
ALGLUCOSIDASE ALFA,26
ALISKIREN HEMIFUMARATE,3223
ALISKIREN/AMLODIPINE BESYLATE,12
ALISKIREN/HYDROCHLOROTHIAZIDE,266
ALLOPURINOL,360213
ALOGLIPTIN BENZ/METFORMIN HCL,12
ALOGLIPTIN BENZ/PIOGLITAZONE,87
ALOGLIPTIN BENZOATE,74
ALOSETRON HCL,189
ALPHA-1-PROTEINASE INHIBITOR,890
ALPRAZOLAM,537087
AMANTADINE HCL,18882
AMBRISENTAN,2670
AMCINONIDE,48
AMIKACIN SULFATE,300
AMILORIDE HCL,2223
AMILORIDE/HYDROCHLOROTHIAZIDE,2590
AMINOCAPROIC ACID,97
AMIODARONE HCL,100537
AMITRIP HCL/CHLORDIAZEPOXIDE,217
AMITRIPTYLINE HCL,141884
AMLODIPINE BES/OLMESARTAN MED,4337
AMLODIPINE BESYLATE,1542054
AMLODIPINE BESYLATE/BENAZEPRIL,76145
AMLODIPINE/ATORVASTATIN,3493
AMLODIPINE/VALSARTAN,5543
AMLODIPINE/VALSARTAN/HCTHIAZID,1154
AMMONIUM LACTATE,21804
AMOXAPINE,417
AMOXICILLIN,252094
AMOXICILLIN/POTASSIUM CLAV,117578
AMPHOTERICIN B LIPID COMPLEX,27
AMPHOTERICIN B LIPOSOME,21
AMPICILLIN SODIUM,334
AMPICILLIN SODIUM/SULBACTAM NA,478
AMPICILLIN TRIHYDRATE,3106
ANAGRELIDE HCL,1448
ANAKINRA,41
ANASTROZOLE,53693
APIXABAN,91610
APOMORPHINE HCL,61
APRACLONIDINE HCL,214
APREMILAST,964
APREPITANT,37
ARFORMOTEROL TARTRATE,680
ARIPIPRAZOLE,123597
ARMODAFINIL,2987
ASENAPINE MALEATE,5467
ASPIRIN/DIPYRIDAMOLE,8639
ATAZANAVIR SULFATE,4268
ATAZANAVIR SULFATE/COBICISTAT,60
ATENOLOL,506509
ATENOLOL/CHLORTHALIDONE,23456
ATOMOXETINE HCL,5720
ATORVASTATIN CALCIUM,1853005
ATOVAQUONE,204
ATOVAQUONE/PROGUANIL HCL,318
ATROPINE SULFATE,1144
AURANOFIN,29
AXITINIB,353
AZATHIOPRINE,12941
AZELAIC ACID,493
AZELASTINE HCL,26177
AZELASTINE/FLUTICASONE,773
AZILSARTAN MED/CHLORTHALIDONE,416
AZILSARTAN MEDOXOMIL,399
AZITHROMYCIN,296048
AZTREONAM,37
AZTREONAM LYSINE,120
BACITRACIN,4128
BACITRACIN/POLYMYXIN B SULFATE,614
BACLOFEN,119572
BALANCED SALT IRRIG SOLN NO.2,52
BALSALAZIDE DISODIUM,4693
BECAPLERMIN,62
