generic_name,claim_count
0.9 % SODIUM CHLORIDE,753
ABACAVIR SULFATE,501
ABACAVIR SULFATE/LAMIVUDINE,1152
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,431
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,157
ABATACEPT,593
ABATACEPT/MALTOSE,12
ABIRATERONE ACETATE,774
ACAMPROSATE CALCIUM,194
ACARBOSE,795
ACEBUTOLOL HCL,657
ACETAMINOPHEN WITH CODEINE,36617
ACETAZOLAMIDE,789
ACETIC ACID,248
ACETIC ACID/ALUMINUM ACETATE,13
ACETIC ACID/HYDROCORTISONE,16
ACETYLCYSTEINE,40
ACITRETIN,172
ACLIDINIUM BROMIDE,1871
ACYCLOVIR,11966
ADALIMUMAB,4395
ADAPALENE,11
ADEFOVIR DIPIVOXIL,87
AFATINIB DIMALEATE,26
AGALSIDASE BETA,20
ALBIGLUTIDE,265
ALBUTEROL SULFATE,147617
ALCAFTADINE,117
ALCLOMETASONE DIPROPIONATE,343
ALCOHOL ANTISEPTIC PADS,759
ALENDRONATE SODIUM,60377
ALENDRONATE SODIUM/VITAMIN D3,26
ALFUZOSIN HCL,3556
ALISKIREN HEMIFUMARATE,1906
ALISKIREN/HYDROCHLOROTHIAZIDE,316
ALLOPURINOL,95207
ALOGLIPTIN BENZ/METFORMIN HCL,31
ALOGLIPTIN BENZ/PIOGLITAZONE,86
ALOGLIPTIN BENZOATE,62
ALOSETRON HCL,11
ALPHA-1-PROTEINASE INHIBITOR,243
ALPRAZOLAM,189307
AMANTADINE HCL,4599
AMBRISENTAN,337
AMIKACIN SULFATE,191
AMILORIDE HCL,429
AMILORIDE/HYDROCHLOROTHIAZIDE,475
AMIODARONE HCL,33472
AMITRIP HCL/CHLORDIAZEPOXIDE,79
AMITRIPTYLINE HCL,50329
AMLODIPINE BES/OLMESARTAN MED,1585
AMLODIPINE BESYLATE,380102
AMLODIPINE BESYLATE/BENAZEPRIL,25731
AMLODIPINE/ATORVASTATIN,435
AMLODIPINE/VALSARTAN,3874
AMLODIPINE/VALSARTAN/HCTHIAZID,555
AMMONIUM LACTATE,311
AMOXAPINE,40
AMOXICILLIN,57512
AMOXICILLIN/POTASSIUM CLAV,34163
AMPHOTERICIN B LIPOSOME,28
AMPICILLIN SODIUM,15
AMPICILLIN SODIUM/SULBACTAM NA,70
AMPICILLIN TRIHYDRATE,958
ANAGRELIDE HCL,289
ANAKINRA,13
ANASTROZOLE,9894
APIXABAN,31138
APOMORPHINE HCL,14
APREMILAST,154
APREPITANT,37
ARFORMOTEROL TARTRATE,77
ARIPIPRAZOLE,29152
ARMODAFINIL,884
ASENAPINE MALEATE,1852
ASPIRIN/DIPYRIDAMOLE,4095
ATAZANAVIR SULFATE,776
ATAZANAVIR SULFATE/COBICISTAT,17
ATENOLOL,106324
ATENOLOL/CHLORTHALIDONE,4505
ATOMOXETINE HCL,851
ATORVASTATIN CALCIUM,365150
ATOVAQUONE,36
ATOVAQUONE/PROGUANIL HCL,22
ATROPINE SULFATE,117
AURANOFIN,12
AXITINIB,36
AZATHIOPRINE,4086
AZELAIC ACID,137
AZELASTINE HCL,5002
AZELASTINE/FLUTICASONE,624
AZILSARTAN MED/CHLORTHALIDONE,297
AZILSARTAN MEDOXOMIL,245
AZITHROMYCIN,84210
AZTREONAM LYSINE,16
BACITRACIN,495
BACITRACIN/POLYMYXIN B SULFATE,33
BACLOFEN,45614
BALSALAZIDE DISODIUM,721
BECAPLERMIN,21
BECLOMETHASONE DIPROPIONATE,3104
BENAZEPRIL HCL,25923
BENAZEPRIL/HYDROCHLOROTHIAZIDE,2536
BENZTROPINE MESYLATE,17127
BEPOTASTINE BESILATE,44
BESIFLOXACIN HCL,5621
BETAMETHASONE DIPROPIONATE,2053
BETAMETHASONE VALERATE,1011
BETAMETHASONE/PROPYLENE GLYC,865
BETAXOLOL HCL,428
BETHANECHOL CHLORIDE,3408
BICALUTAMIDE,1755
BIMATOPROST,17144
BISOPROLOL FUMARATE,5530
BISOPROLOL FUMARATE/HCTZ,8711
BOSENTAN,504
BOSUTINIB,11
BRIMONIDINE TARTRATE,13550
BRIMONIDINE TARTRATE/TIMOLOL,9224
BRINZOLAMIDE,2657
BRINZOLAMIDE/BRIMONIDINE TART,1999
BROMFENAC SODIUM,2257
BROMOCRIPTINE MESYLATE,298
BUDESONIDE,2351
BUDESONIDE/FORMOTEROL FUMARATE,39849
BUMETANIDE,5393
BUPRENORPHINE,3089
BUPRENORPHINE HCL,1078
BUPRENORPHINE HCL/NALOXONE HCL,3053
BUPROPION HCL,57878
