generic_name,claim_count
0.9 % SODIUM CHLORIDE,332
ABACAVIR SULFATE,965
ABACAVIR SULFATE/LAMIVUDINE,1707
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,944
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,165
ABATACEPT,460
ABIRATERONE ACETATE,1242
ACAMPROSATE CALCIUM,74
ACARBOSE,982
ACEBUTOLOL HCL,332
ACETAMINOPHEN WITH CODEINE,23352
ACETAZOLAMIDE,974
ACETIC ACID,267
ACETIC ACID/HYDROCORTISONE,57
ACETYLCYSTEINE,11
ACITRETIN,119
ACLIDINIUM BROMIDE,1390
ACYCLOVIR,24610
ADALIMUMAB,3772
ADEFOVIR DIPIVOXIL,11
AFATINIB DIMALEATE,47
ALBIGLUTIDE,72
ALBUTEROL SULFATE,150317
ALCAFTADINE,37
ALCLOMETASONE DIPROPIONATE,191
ALCOHOL ANTISEPTIC PADS,1227
ALENDRONATE SODIUM,96642
ALENDRONATE SODIUM/VITAMIN D3,75
ALFUZOSIN HCL,2683
ALISKIREN HEMIFUMARATE,297
ALISKIREN/HYDROCHLOROTHIAZIDE,13
ALLOPURINOL,95507
ALMOTRIPTAN MALATE,25
ALOSETRON HCL,16
ALPHA-1-PROTEINASE INHIBITOR,164
ALPRAZOLAM,80428
AMANTADINE HCL,5196
AMBRISENTAN,528
AMIKACIN SULFATE,122
AMILORIDE HCL,688
AMILORIDE/HYDROCHLOROTHIAZIDE,222
AMIODARONE HCL,18375
AMITRIP HCL/CHLORDIAZEPOXIDE,50
AMITRIPTYLINE HCL,49300
AMLODIPINE BES/OLMESARTAN MED,250
AMLODIPINE BESYLATE,351364
AMLODIPINE BESYLATE/BENAZEPRIL,5785
AMLODIPINE/ATORVASTATIN,155
AMLODIPINE/VALSARTAN,305
AMLODIPINE/VALSARTAN/HCTHIAZID,22
AMMONIUM LACTATE,176
AMOXAPINE,66
AMOXICILLIN,45774
AMOXICILLIN/POTASSIUM CLAV,20662
AMPICILLIN SODIUM,41
AMPICILLIN SODIUM/SULBACTAM NA,52
AMPICILLIN TRIHYDRATE,65
ANAGRELIDE HCL,211
ANAKINRA,12
ANASTROZOLE,13854
APIXABAN,20397
APREMILAST,98
APREPITANT,16
ARFORMOTEROL TARTRATE,52
ARIPIPRAZOLE,27227
ARMODAFINIL,919
ASENAPINE MALEATE,1455
ASPIRIN/DIPYRIDAMOLE,3524
ATAZANAVIR SULFATE,1490
ATENOLOL,178986
ATENOLOL/CHLORTHALIDONE,2152
ATOMOXETINE HCL,1436
