generic_name,claim_count
0.9 % SODIUM CHLORIDE,6110
ABACAVIR SULFATE,2217
ABACAVIR SULFATE/LAMIVUDINE,5830
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,3494
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,217
ABATACEPT,1078
ABATACEPT/MALTOSE,124
ABIRATERONE ACETATE,3192
ACAMPROSATE CALCIUM,141
ACARBOSE,6506
ACEBUTOLOL HCL,5206
ACETAMINOPHEN WITH CODEINE,114715
ACETAZOLAMIDE,8671
ACETIC ACID,1811
ACETIC ACID/ALUMINUM ACETATE,28
ACETIC ACID/HYDROCORTISONE,613
ACETYLCYSTEINE,892
ACITRETIN,1086
ACLIDINIUM BROMIDE,9717
ACYCLOVIR,22144
ADALIMUMAB,13553
ADAPALENE,75
ADEFOVIR DIPIVOXIL,274
AFATINIB DIMALEATE,205
AFLIBERCEPT,138
AGALSIDASE BETA,26
ALBIGLUTIDE,733
ALBUTEROL SULFATE,529241
ALCAFTADINE,322
ALCLOMETASONE DIPROPIONATE,852
ALCOHOL ANTISEPTIC PADS,31560
ALENDRONATE SODIUM,305716
ALENDRONATE SODIUM/VITAMIN D3,416
ALFUZOSIN HCL,21038
ALGLUCOSIDASE ALFA,27
ALISKIREN HEMIFUMARATE,4252
ALISKIREN/AMLODIPINE BESYLATE,11
ALISKIREN/HYDROCHLOROTHIAZIDE,531
ALLOPURINOL,391168
ALMOTRIPTAN MALATE,86
ALOGLIPTIN BENZ/METFORMIN HCL,22
ALOGLIPTIN BENZ/PIOGLITAZONE,111
ALOGLIPTIN BENZOATE,115
ALOSETRON HCL,72
ALPHA-1-PROTEINASE INHIBITOR,1268
ALPRAZOLAM,645636
AMANTADINE HCL,25079
AMBRISENTAN,2301
AMCINONIDE,15
AMIKACIN SULFATE,275
AMILORIDE HCL,2763
AMILORIDE/HYDROCHLOROTHIAZIDE,3070
AMIODARONE HCL,106274
AMITRIP HCL/CHLORDIAZEPOXIDE,218
AMITRIPTYLINE HCL,143340
AMLODIPINE BES/OLMESARTAN MED,9796
AMLODIPINE BESYLATE,1830090
AMLODIPINE BESYLATE/BENAZEPRIL,130626
AMLODIPINE/ATORVASTATIN,4180
AMLODIPINE/VALSARTAN,12457
AMLODIPINE/VALSARTAN/HCTHIAZID,2215
AMMONIUM LACTATE,23704
AMOXAPINE,421
AMOXICILLIN,295649
AMOXICILLIN/POTASSIUM CLAV,119123
AMPHOTERICIN B,13
AMPHOTERICIN B LIPID COMPLEX,54
AMPHOTERICIN B LIPOSOME,31
AMPICILLIN SODIUM,422
AMPICILLIN SODIUM/SULBACTAM NA,673
AMPICILLIN TRIHYDRATE,2289
ANAGRELIDE HCL,941
ANAKINRA,13
ANASTROZOLE,68441
ANIDULAFUNGIN,26
ANTHRALIN MICRONIZED,12
ANTIPYRINE/BENZOCAINE,13
APIXABAN,115218
APOMORPHINE HCL,40
APRACLONIDINE HCL,106
APREMILAST,759
APREPITANT,105
ARFORMOTEROL TARTRATE,661
ARIPIPRAZOLE,136138
ARMODAFINIL,2905
ASENAPINE MALEATE,4256
ASPIRIN/DIPYRIDAMOLE,25095
ATAZANAVIR SULFATE,6154
ATAZANAVIR SULFATE/COBICISTAT,112
ATENOLOL,656818
ATENOLOL/CHLORTHALIDONE,25469
ATOMOXETINE HCL,5941
ATORVASTATIN CALCIUM,2008847
ATOVAQUONE,794
ATOVAQUONE/PROGUANIL HCL,885
ATROPINE SULFATE,1111
AURANOFIN,16
AXITINIB,136
AZATHIOPRINE,14438
AZELAIC ACID,909
AZELASTINE HCL,32826
AZELASTINE/FLUTICASONE,2592
AZILSARTAN MED/CHLORTHALIDONE,790
AZILSARTAN MEDOXOMIL,791
AZITHROMYCIN,320518
AZTREONAM,175
AZTREONAM LYSINE,190
B COMPLEX & C NO.20/FOLIC ACID,105
BACITRACIN,5141
BACITRACIN/POLYMYXIN B SULFATE,909
BACLOFEN,134705
BALSALAZIDE DISODIUM,3592
BCG LIVE,12
BECAPLERMIN,181
BECLOMETHASONE DIPROPIONATE,11549
BELIMUMAB,121
BENAZEPRIL HCL,88339
BENAZEPRIL/HYDROCHLOROTHIAZIDE,11102
BENZONATATE,43
BENZTROPINE MESYLATE,117885
BEPOTASTINE BESILATE,331
BESIFLOXACIN HCL,11643
BETAINE,59
BETAMET ACET/BETAMET NA PH,13
BETAMETHASONE DIPROPIONATE,11630
BETAMETHASONE VALERATE,9310
BETAMETHASONE/PROPYLENE GLYC,7670
BETAXOLOL HCL,1515
BETHANECHOL CHLORIDE,13579
BEVACIZUMAB,50
BEXAROTENE,236
BICALUTAMIDE,12127
BIMATOPROST,125347
BISOPROLOL FUMARATE,25950
BISOPROLOL FUMARATE/HCTZ,31117
BOSENTAN,2160
BOSUTINIB,55
BREXPIPRAZOLE,75
BRIMONIDINE TARTRATE,97898
BRIMONIDINE TARTRATE/TIMOLOL,56041
BRINZOLAMIDE,17809
BRINZOLAMIDE/BRIMONIDINE TART,9354
BROMFENAC SODIUM,13676
BROMOCRIPTINE MESYLATE,2749
BUDESONIDE,20004
BUDESONIDE/FORMOTEROL FUMARATE,142161
BUMETANIDE,98362
BUPIVACAINE HCL,14
BUPRENORPHINE,7480
BUPRENORPHINE HCL,3513
BUPRENORPHINE HCL/NALOXONE HCL,41340
BUPROPION HBR,11
BUPROPION HCL,262554
BUSPIRONE HCL,148449
BUTABARBITAL SODIUM,24
BUTALB/ACETAMINOPHEN/CAFFEINE,24914
BUTALBIT/ACETAMIN/CAFF/CODEINE,1935
BUTALBITAL/ACETAMINOPHEN,191
BUTALBITAL/ASPIRIN/CAFFEINE,1645
BUTORPHANOL TARTRATE,873
C1 ESTERASE INHIBITOR,71
CABERGOLINE,1560
CABOZANTINIB S-MALATE,11
CALCIPOTRIENE,3243
CALCIPOTRIENE/BETAMETHASONE,106
"CALCITONIN,SALMON,SYNTHETIC",15256
CALCITRIOL,53535
CALCIUM ACETATE,36290
CALCIUM GLUCONATE,31
CANAGLIFLOZIN,36065
CANAGLIFLOZIN/METFORMIN HCL,665
CANDESARTAN CILEXETIL,4323
CANDESARTAN/HYDROCHLOROTHIAZID,419
CAPTOPRIL,8899
CAPTOPRIL/HYDROCHLOROTHIAZIDE,559
CARBAMAZEPINE,87032
CARBIDOPA,815
CARBIDOPA/LEVODOPA,162734
CARBIDOPA/LEVODOPA/ENTACAPONE,6247
CARBINOXAMINE MALEATE,24
CARISOPRODOL,28851
CARMUSTINE,11
CARTEOLOL HCL,548
CARVEDILOL,622624
CARVEDILOL PHOSPHATE,7884
CASPOFUNGIN ACETATE,163
CEFACLOR,119
