generic_name,claim_count
0.9 % SODIUM CHLORIDE,1917
ABACAVIR SULFATE,390
ABACAVIR SULFATE/LAMIVUDINE,2054
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,516
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,166
ABATACEPT,871
ABIRATERONE ACETATE,1477
ACAMPROSATE CALCIUM,116
ACARBOSE,2634
ACEBUTOLOL HCL,1860
ACETAMINOPHEN WITH CODEINE,16664
ACETAZOLAMIDE,2535
ACETIC ACID,502
ACETIC ACID/ALUMINUM ACETATE,55
ACETIC ACID/HYDROCORTISONE,504
ACITRETIN,85
ACLIDINIUM BROMIDE,413
ACYCLOVIR,5494
ADALIMUMAB,7750
ADAPALENE,12
ADEFOVIR DIPIVOXIL,24
ALBUTEROL SULFATE,104490
ALCAFTADINE,29
ALCLOMETASONE DIPROPIONATE,681
ALCOHOL ANTISEPTIC PADS,3274
ALENDRONATE SODIUM,302488
ALENDRONATE SODIUM/VITAMIN D3,141
ALFUZOSIN HCL,4207
ALISKIREN HEMIFUMARATE,751
ALISKIREN/HYDROCHLOROTHIAZIDE,242
ALLOPURINOL,66930
ALMOTRIPTAN MALATE,25
ALOGLIPTIN BENZ/PIOGLITAZONE,37
ALOSETRON HCL,13
ALPHA-1-PROTEINASE INHIBITOR,13
ALPRAZOLAM,276303
AMANTADINE HCL,6974
AMBRISENTAN,784
AMILORIDE HCL,81
AMILORIDE/HYDROCHLOROTHIAZIDE,227
AMINOCAPROIC ACID,12
AMIODARONE HCL,20135
AMITRIP HCL/CHLORDIAZEPOXIDE,92
AMITRIPTYLINE HCL,63542
AMLODIPINE BES/OLMESARTAN MED,1019
AMLODIPINE BESYLATE,684408
AMLODIPINE BESYLATE/BENAZEPRIL,95651
AMLODIPINE/ATORVASTATIN,913
AMLODIPINE/VALSARTAN,2217
AMLODIPINE/VALSARTAN/HCTHIAZID,297
AMMONIUM LACTATE,11946
AMOXAPINE,50
AMOXICILLIN,48445
AMOXICILLIN/POTASSIUM CLAV,47225
AMPICILLIN SODIUM,11
AMPICILLIN TRIHYDRATE,3890
ANAGRELIDE HCL,260
ANAKINRA,12
ANASTROZOLE,19171
ANTIPYRINE/BENZOCAINE,11
APIXABAN,5960
APRACLONIDINE HCL,123
APREMILAST,76
APREPITANT,787
ARIPIPRAZOLE,24566
ARMODAFINIL,12
ASENAPINE MALEATE,403
ASPIRIN/DIPYRIDAMOLE,2031
ATAZANAVIR SULFATE,2074
ATAZANAVIR SULFATE/COBICISTAT,59
ATENOLOL,314601
ATENOLOL/CHLORTHALIDONE,13161
ATOMOXETINE HCL,254
ATORVASTATIN CALCIUM,741928
ATROPINE SULFATE,832
AURANOFIN,42
AXITINIB,23
AZATHIOPRINE,1836
AZELAIC ACID,14
AZELASTINE HCL,7429
AZELASTINE/FLUTICASONE,397
AZILSARTAN MED/CHLORTHALIDONE,170
AZILSARTAN MEDOXOMIL,135
AZITHROMYCIN,119714
BACITRACIN,176
BACITRACIN/POLYMYXIN B SULFATE,56
BACLOFEN,64240
BALSALAZIDE DISODIUM,13
BECLOMETHASONE DIPROPIONATE,22249
BELIMUMAB,17
BENAZEPRIL HCL,9402
BENAZEPRIL/HYDROCHLOROTHIAZIDE,1059
BENZONATATE,301
BENZTROPINE MESYLATE,18962
BEPOTASTINE BESILATE,16
BETAMET ACET/BETAMET NA PH,149
BETAMETHASONE DIPROPIONATE,20666
BETAMETHASONE VALERATE,17612
BETAMETHASONE/PROPYLENE GLYC,9174
BETAXOLOL HCL,1464
BETHANECHOL CHLORIDE,3575
BICALUTAMIDE,9345
BIMATOPROST,38021
BISMUTH/METRONID/TETRACYCLINE,39
