generic_name,claim_count
0.9 % SODIUM CHLORIDE,250
ABACAVIR SULFATE,208
ABACAVIR SULFATE/LAMIVUDINE,578
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,275
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,26
ABATACEPT,23
ABATACEPT/MALTOSE,27
ABIRATERONE ACETATE,180
ACAMPROSATE CALCIUM,58
ACARBOSE,518
ACEBUTOLOL HCL,174
ACETAMINOPHEN WITH CODEINE,7399
ACETAZOLAMIDE,452
ACETYLCYSTEINE,17
ACITRETIN,89
ACLIDINIUM BROMIDE,781
ACYCLOVIR,2610
ADALIMUMAB,1049
AFATINIB DIMALEATE,12
ALBUTEROL SULFATE,47786
ALCAFTADINE,35
ALCLOMETASONE DIPROPIONATE,13
ALCOHOL ANTISEPTIC PADS,420
ALENDRONATE SODIUM,30890
ALENDRONATE SODIUM/VITAMIN D3,11
ALFUZOSIN HCL,2803
ALISKIREN HEMIFUMARATE,351
ALISKIREN/HYDROCHLOROTHIAZIDE,61
ALLOPURINOL,34317
ALOGLIPTIN BENZ/PIOGLITAZONE,16
ALOGLIPTIN BENZOATE,36
ALPHA-1-PROTEINASE INHIBITOR,24
ALPRAZOLAM,49730
AMANTADINE HCL,1580
AMBRISENTAN,297
AMIKACIN SULFATE,29
AMILORIDE HCL,599
AMILORIDE/HYDROCHLOROTHIAZIDE,493
AMIODARONE HCL,4692
AMITRIP HCL/CHLORDIAZEPOXIDE,48
AMITRIPTYLINE HCL,17417
AMLODIPINE BES/OLMESARTAN MED,735
AMLODIPINE BESYLATE,177039
AMLODIPINE BESYLATE/BENAZEPRIL,5310
AMLODIPINE/ATORVASTATIN,100
AMLODIPINE/VALSARTAN,359
AMLODIPINE/VALSARTAN/HCTHIAZID,35
AMMONIUM LACTATE,2789
AMOXAPINE,11
AMOXICILLIN,18695
AMOXICILLIN/POTASSIUM CLAV,7960
AMPICILLIN SODIUM,11
AMPICILLIN SODIUM/SULBACTAM NA,13
AMPICILLIN TRIHYDRATE,248
ANAGRELIDE HCL,26
ANASTROZOLE,7277
APIXABAN,5826
APRACLONIDINE HCL,14
ARFORMOTEROL TARTRATE,61
ARIPIPRAZOLE,11504
ARMODAFINIL,204
ASENAPINE MALEATE,182
ASPIRIN/DIPYRIDAMOLE,1580
ATAZANAVIR SULFATE,604
ATAZANAVIR SULFATE/COBICISTAT,13
ATENOLOL,84568
ATENOLOL/CHLORTHALIDONE,2382
ATOMOXETINE HCL,294
ATORVASTATIN CALCIUM,220752
ATOVAQUONE,30
ATOVAQUONE/PROGUANIL HCL,77
ATROPINE SULFATE,146
AXITINIB,16
AZATHIOPRINE,1191
AZELAIC ACID,36
AZELASTINE HCL,2140
AZELASTINE/FLUTICASONE,46
AZILSARTAN MEDOXOMIL,40
AZITHROMYCIN,23742
AZTREONAM LYSINE,19
BACITRACIN,182
BACLOFEN,8655
BALSALAZIDE DISODIUM,673
BECAPLERMIN,13
BECLOMETHASONE DIPROPIONATE,3362
BENAZEPRIL HCL,6007
BENAZEPRIL/HYDROCHLOROTHIAZIDE,471
BENZTROPINE MESYLATE,9519
BEPOTASTINE BESILATE,30
BETAINE,16
BETAMETHASONE DIPROPIONATE,1193
BETAMETHASONE VALERATE,922
BETAMETHASONE/PROPYLENE GLYC,263
BETAXOLOL HCL,122
BETHANECHOL CHLORIDE,1032
BEXAROTENE,40
BICALUTAMIDE,1644
BIMATOPROST,6832
BISOPROLOL FUMARATE,14771
BISOPROLOL FUMARATE/HCTZ,5025
BOSENTAN,106
BOSUTINIB,14
BRIMONIDINE TARTRATE,9014
BRIMONIDINE TARTRATE/TIMOLOL,3685
BRINZOLAMIDE,1235
BRINZOLAMIDE/BRIMONIDINE TART,543
BROMFENAC SODIUM,520
BROMOCRIPTINE MESYLATE,120
BUDESONIDE,1755
BUDESONIDE/FORMOTEROL FUMARATE,12521
BUMETANIDE,4002
BUPRENORPHINE,190
BUPRENORPHINE HCL,482
BUPRENORPHINE HCL/NALOXONE HCL,10800
BUPROPION HCL,28596
BUSPIRONE HCL,11949
BUTALB/ACETAMINOPHEN/CAFFEINE,3664
BUTALBIT/ACETAMIN/CAFF/CODEINE,121
BUTALBITAL/ACETAMINOPHEN,16
BUTALBITAL/ASPIRIN/CAFFEINE,345
CABERGOLINE,68
CALCIPOTRIENE,313
"CALCITONIN,SALMON,SYNTHETIC",1464
CALCITRIOL,2961
CALCIUM ACETATE,994
CANAGLIFLOZIN,952
CANDESARTAN CILEXETIL,846
CANDESARTAN/HYDROCHLOROTHIAZID,95
CAPTOPRIL,1757
CAPTOPRIL/HYDROCHLOROTHIAZIDE,23
CARBAMAZEPINE,7527
CARBIDOPA,48
CARBIDOPA/LEVODOPA,12963
CARBIDOPA/LEVODOPA/ENTACAPONE,503
CARISOPRODOL,1717
CARVEDILOL,29868
CARVEDILOL PHOSPHATE,203
CASPOFUNGIN ACETATE,15
CEFADROXIL,310
CEFAZOLIN SODIUM,49
CEFDINIR,512
CEFEPIME HCL,53
CEFPODOXIME PROXETIL,99
CEFPROZIL,19
"CEFTRIAXONE NA/DEXTROSE,ISO",86
CEFTRIAXONE SODIUM,753
CEFUROXIME AXETIL,2942
CELECOXIB,6531
CEPHALEXIN,11669
CERITINIB,12
CERTOLIZUMAB PEGOL,58
CETIRIZINE HCL,25
CEVIMELINE HCL,92
CHLORAMBUCIL,48
CHLORDIAZEPOXIDE HCL,194
CHLORHEXIDINE GLUCONATE,5101
CHLOROTHIAZIDE,73
CHLORPROMAZINE HCL,1985
CHLORTHALIDONE,8508
CHLORZOXAZONE,38
CHOLESTYRAMINE (WITH SUGAR),1214
CHOLESTYRAMINE/ASPARTAME,199
CICLESONIDE,33
CICLOPIROX,431
CICLOPIROX OLAMINE,310
CILOSTAZOL,2716
CIMETIDINE,36
CINACALCET HCL,1852
CIPROFLOXACIN,22
CIPROFLOXACIN HCL,20084
CIPROFLOXACIN HCL/DEXAMETH,119
CITALOPRAM HYDROBROMIDE,57384
CLARITHROMYCIN,814
CLINDAMYCIN HCL,2346
CLINDAMYCIN PHOS/BENZOYL PEROX,20
CLINDAMYCIN PHOSPHATE,931
CLOBAZAM,12
CLOBETASOL PROPIONATE,7114
CLOBETASOL PROPIONATE/EMOLL,11
CLOMIPRAMINE HCL,1343
CLONAZEPAM,59552
CLONIDINE,384
CLONIDINE HCL,7986
CLOPIDOGREL BISULFATE,50601
CLORAZEPATE DIPOTASSIUM,970
CLOTRIMAZOLE,1489
CLOTRIMAZOLE/BETAMETHASONE DIP,3306
CLOZAPINE,8986
CODEINE SULFATE,51
CODEINE/BUTALBITAL/ASA/CAFFEIN,41
COLCHICINE,5431
COLCHICINE/PROBENECID,123
COLESEVELAM HCL,1806
COLESTIPOL HCL,606
COLISTIN (COLISTIMETHATE NA),26
COLLAGENASE CLOSTRIDIUM HIST.,1105
CORTICOTROPIN,34
CROMOLYN SODIUM,511
CYCLOBENZAPRINE HCL,9985
CYCLOPENTOLATE HCL,11
CYCLOSPORINE,3045
"CYCLOSPORINE, MODIFIED",78
CYPROHEPTADINE HCL,73
DABIGATRAN ETEXILATE MESYLATE,5986
DABRAFENIB MESYLATE,22
DALFAMPRIDINE,200
DANAZOL,12
DANTROLENE SODIUM,122
DAPAGLIFLOZIN PROPANEDIOL,57
DAPSONE,82
DAPTOMYCIN,22
DARBEPOETIN ALFA IN POLYSORBAT,90
DARIFENACIN HYDROBROMIDE,767
DARUNAVIR ETHANOLATE,1042
DARUNAVIR/COBICISTAT,44
DASATINIB,53
DEFERASIROX,52
DEMECLOCYCLINE HCL,37
DENOSUMAB,107
DESIPRAMINE HCL,276
DESLORATADINE,116
DESMOPRESSIN (NONREFRIGERATED),12
DESMOPRESSIN ACETATE,395
DESOG-E.ESTRADIOL/E.ESTRADIOL,27
DESOGESTREL-ETHINYL ESTRADIOL,101
DESONIDE,718
DESOXIMETASONE,127
DESVENLAFAXINE SUCCINATE,1006
DEXAMETHASONE,1648
DEXAMETHASONE SOD PHOSPHATE,78
DEXLANSOPRAZOLE,6676
DEXMETHYLPHENIDATE HCL,43
DEXTROAMPHETAMINE SULFATE,554
DEXTROAMPHETAMINE/AMPHETAMINE,8951
DEXTROMETHORPHAN HBR/QUINIDINE,940
DEXTROSE 5 % AND 0.9 % NACL,12
DEXTROSE 5 %-0.45 % NACL,53
DIAZEPAM,17162
DICLOFENAC EPOLAMINE,62
DICLOFENAC POTASSIUM,145
DICLOFENAC SODIUM,8530
DICLOFENAC SODIUM/MISOPROSTOL,12
DICYCLOMINE HCL,3840
DIFLUNISAL,111
DIFLUPREDNATE,2217
DIGOXIN,17967
DILTIAZEM HCL,32434
DIMETHYL FUMARATE,245
"DIPH,PERTUSS(ACELL),TET VAC/PF",453
DIPHENHYDRAMINE HCL,124
DIPHENOXYLATE HCL/ATROPINE,1786
"DIPHTH,PERTUSS(ACELL),TET VAC",247
DIPYRIDAMOLE,64
DISOPYRAMIDE PHOSPHATE,69
DISULFIRAM,252
DIVALPROEX SODIUM,19571
DOFETILIDE,1101
DOLASETRON MESYLATE,51
DOLUTEGRAVIR SODIUM,363
DONEPEZIL HCL,34413
DORZOLAMIDE HCL,2645
DORZOLAMIDE HCL/TIMOLOL MALEAT,7385
DORZOLAMIDE/TIMOLOL/PF,49
DOXAZOSIN MESYLATE,17708
DOXEPIN HCL,2132
DOXYCYCLINE HYCLATE,6993
DOXYCYCLINE MONOHYDRATE,339
DRONABINOL,77
DRONEDARONE HCL,296
DROXIDOPA,11
DULOXETINE HCL,29447
DUTASTERIDE,1834
DUTASTERIDE/TAMSULOSIN HCL,425
ECONAZOLE NITRATE,1172
EFAVIRENZ,250
EFAVIRENZ/EMTRICITAB/TENOFOVIR,1072
EFINACONAZOLE,15
ELETRIPTAN HBR,142
ELTROMBOPAG OLAMINE,25
ELVITEGR/COBICIST/EMTRIC/TENOF,357
EMPAGLIFLOZIN,14
EMTRICITAB/RILPIVIRINE/TENOFOV,208
EMTRICITABINE,12
EMTRICITABINE/TENOFOVIR,1690
ENALAPRIL MALEATE,17435
ENALAPRIL/HYDROCHLOROTHIAZIDE,360
ENOXAPARIN SODIUM,1445
ENTACAPONE,399
ENTECAVIR,89
ENZALUTAMIDE,199
EPINASTINE HCL,12
EPINEPHRINE,154
EPLERENONE,435
EPOETIN ALFA,512
ERLOTINIB HCL,116
ERTAPENEM SODIUM,156
ERYTHROMYCIN BASE,3283
ERYTHROMYCIN BASE/ETHANOL,12
ERYTHROMYCIN ETHYLSUCCINATE,19
ERYTHROMYCIN/BENZOYL PEROXIDE,98
ESCITALOPRAM OXALATE,36134
ESLICARBAZEPINE ACETATE,61
ESOMEPRAZOLE MAGNESIUM,14308
ESTAZOLAM,13
ESTRADIOL,4275
ESTRADIOL/NORETHINDRONE ACET,50
"ESTROGEN,CON/M-PROGEST ACET",464
"ESTROGENS, CONJUGATED",3171
"ESTROGENS,CONJ/BAZEDOXIFENE",18
ESTROPIPATE,23
ESZOPICLONE,796
ETANERCEPT,924
ETHACRYNIC ACID,122
ETHAMBUTOL HCL,73
ETHINYL ESTRADIOL/DROSPIRENONE,64
ETHOSUXIMIDE,36
ETHYNODIOL D-ETHINYL ESTRADIOL,17
ETODOLAC,776
ETONOGESTREL/ETHINYL ESTRADIOL,38
ETRAVIRINE,248
EVEROLIMUS,43
EXEMESTANE,437
EXENATIDE,239
EXENATIDE MICROSPHERES,192
EZETIMIBE,10264
EZETIMIBE/SIMVASTATIN,580
EZOGABINE,14
FAMCICLOVIR,85
FAMOTIDINE,6948
FEBUXOSTAT,789
FELBAMATE,41
FELODIPINE,4386
FENOFIBRATE,10924
FENOFIBRATE NANOCRYSTALLIZED,6836
"FENOFIBRATE,MICRONIZED",7060
FENOFIBRIC ACID,12
FENOFIBRIC ACID (CHOLINE),537
FENTANYL,5330
FESOTERODINE FUMARATE,754
FINASTERIDE,26416
FINGOLIMOD HCL,206
FLECAINIDE ACETATE,1462
FLUCONAZOLE,2832
FLUDROCORTISONE ACETATE,997
FLUNISOLIDE,52
FLUOCINOLONE ACETONIDE,270
FLUOCINOLONE ACETONIDE OIL,151
FLUOCINOLONE/SHOWER CAP,74
FLUOCINONIDE,1631
FLUOROMETHOLONE,1104
FLUOROURACIL,1015
FLUOXETINE HCL,35796
FLUPHENAZINE DECANOATE,551
FLUPHENAZINE HCL,1860
FLURAZEPAM HCL,40
FLURBIPROFEN,102
FLURBIPROFEN SODIUM,12
FLUTAMIDE,67
FLUTICASONE PROPIONATE,52862
FLUTICASONE/SALMETEROL,26134
FLUTICASONE/VILANTEROL,929
FLUVASTATIN SODIUM,137
FLUVOXAMINE MALEATE,3319
FONDAPARINUX SODIUM,11
FORMOTEROL FUMARATE,301
FOSAMPRENAVIR CALCIUM,136
FOSFOMYCIN TROMETHAMINE,20
FOSINOPRIL SODIUM,3339
FOSINOPRIL/HYDROCHLOROTHIAZIDE,63
FUROSEMIDE,134064
GABAPENTIN,84974
GABAPENTIN ENACARBIL,11
GALANTAMINE HBR,1463
GANCICLOVIR,18
GATIFLOXACIN,139
GEMFIBROZIL,6282
"GENTAMICIN IN NACL, ISO-OSM",11
GENTAMICIN SULFATE,630
GLATIRAMER ACETATE,626
GLIMEPIRIDE,23818
GLIPIZIDE,44343
GLIPIZIDE/METFORMIN HCL,2134
"GLUCAGON,HUMAN RECOMBINANT",346
GLYBURIDE,1860
"GLYBURIDE,MICRONIZED",54
GLYBURIDE/METFORMIN HCL,671
GLYCOPYRROLATE,555
GOLIMUMAB,41
GUANFACINE HCL,195
HALOBETASOL PROPIONATE,92
HALOPERIDOL,4729
HALOPERIDOL DECANOATE,1060
HALOPERIDOL LACTATE,164
"HEPARIN SODIUM,PORCINE",201
HEPATITIS A & B VACCINE/PF,17
HEPATITIS A VIRUS VACCINE/PF,25
HYDRALAZINE HCL,8838
HYDROCHLOROTHIAZIDE,91905
HYDROCODONE BITARTRATE,14
HYDROCODONE/ACETAMINOPHEN,66296
HYDROCODONE/IBUPROFEN,243
HYDROCORTISONE,3508
HYDROCORTISONE ACETATE,18
HYDROCORTISONE VALERATE,529
HYDROMORPHONE HCL,1341
HYDROMORPHONE HCL/PF,45
HYDROXYCHLOROQUINE SULFATE,6348
HYDROXYUREA,1614
HYDROXYZINE HCL,4616
HYDROXYZINE PAMOATE,1840
HYOSCYAMINE SULFATE,25
IBANDRONATE SODIUM,1029
IBRUTINIB,110
IBUPROFEN,30028
ICOSAPENT ETHYL,63
IDELALISIB,13
ILOPERIDONE,174
IMATINIB MESYLATE,427
IMIPRAMINE HCL,1430
IMIPRAMINE PAMOATE,24
IMIQUIMOD,265
IMMUN GLOB G (IGG)/GLY/IGA 50+,142
IMMUN GLOB G(IGG)/PRO/IGA 0-50,17
INDAPAMIDE,805
INDINAVIR SULFATE,12
INDOMETHACIN,354
INFLIXIMAB,13
INSULIN ASPART,8490
INSULIN ASPART PROTAM & ASPART,3516
INSULIN DETEMIR,7291
"INSULIN GLARGINE,HUM.REC.ANLOG",31196
INSULIN GLULISINE,69
INSULIN LISPRO,5592
INSULIN LISPRO PROTAMIN/LISPRO,2106
INSULIN NPH HUM/REG INSULIN HM,4454
INSULIN NPH HUMAN ISOPHANE,2101
"INSULIN REGULAR, HUMAN",1956
INTERFERON BETA-1A,173
INTERFERON BETA-1A/ALBUMIN,145
INTERFERON BETA-1B,325
"INTERFERON GAMMA-1B,RECOMB.",12
IPRATROPIUM BROMIDE,3358
IPRATROPIUM/ALBUTEROL SULFATE,9319
IRBESARTAN,4642
IRBESARTAN/HYDROCHLOROTHIAZIDE,416
ISONIAZID,45
ISOSORB DINIT/HYDRALAZINE HCL,14
ISOSORBIDE DINITRATE,2212
ISOSORBIDE MONONITRATE,18805
ISRADIPINE,12
IVERMECTIN,76
KETOCONAZOLE,8527
KETOROLAC TROMETHAMINE,4530
LABETALOL HCL,5879
LACOSAMIDE,1334
LACTULOSE,6966
LAMIVUDINE,187
LAMIVUDINE/ZIDOVUDINE,175
LAMOTRIGINE,17693
LANSOPRAZOLE,4169
LANTHANUM CARBONATE,122
LATANOPROST,38364
LEDIPASVIR/SOFOSBUVIR,752
LEFLUNOMIDE,795
LENALIDOMIDE,653
LETROZOLE,1052
LEUCOVORIN CALCIUM,360
LEVALBUTEROL HCL,71
LEVALBUTEROL TARTRATE,684
LEVETIRACETAM,14407
LEVOBUNOLOL HCL,87
LEVOCARNITINE,278
LEVOCARNITINE (WITH SUGAR),62
LEVOCETIRIZINE DIHYDROCHLORIDE,801
LEVOFLOXACIN,9580
LEVOMILNACIPRAN HYDROCHLORIDE,138
LEVONORGESTREL-ETHIN ESTRADIOL,340
LEVOTHYROXINE SODIUM,175419
LIDOCAINE,3251
LIDOCAINE HCL,1312
LIDOCAINE HCL/PF,53
LIDOCAINE/PRILOCAINE,253
LINACLOTIDE,1832
LINAGLIPTIN,3350
LINAGLIPTIN/METFORMIN HCL,79
LIOTHYRONINE SODIUM,1251
LIPASE/PROTEASE/AMYLASE,1194
LIRAGLUTIDE,1200
LISDEXAMFETAMINE DIMESYLATE,200
LISINOPRIL,209434
LISINOPRIL/HYDROCHLOROTHIAZIDE,26324
LITHIUM CARBONATE,7868
LITHIUM CITRATE,40
LOPERAMIDE HCL,769
LOPINAVIR/RITONAVIR,219
LORAZEPAM,49179
LOSARTAN POTASSIUM,98198
LOSARTAN/HYDROCHLOROTHIAZIDE,20712
LOTEPREDNOL ETABONATE,530
LOVASTATIN,28771
LOXAPINE SUCCINATE,154
LUBIPROSTONE,1185
LURASIDONE HCL,2376
MACITENTAN,40
MAPROTILINE HCL,12
MARAVIROC,105
"MEASLES,MUMPS&RUBELLA VACC/PF",17
MECLIZINE HCL,8546
MEDROXYPROGESTERONE ACETATE,531
MEGESTROL ACETATE,450
MELOXICAM,31781
MEMANTINE HCL,24047
MEPROBAMATE,51
MERCAPTOPURINE,268
MEROPENEM,63
MESALAMINE,3662
METAXALONE,76
METFORMIN HCL,114257
METHADONE HCL,2148
METHAZOLAMIDE,304
METHENAMINE HIPPURATE,1263
METHIMAZOLE,1793
METHOCARBAMOL,1002
METHOTREXATE SODIUM,7414
METHOTREXATE SODIUM/PF,129
METHSCOPOLAMINE BROMIDE,25
