generic_name,claim_count
0.9 % SODIUM CHLORIDE,293
ABACAVIR SULFATE,1657
ABACAVIR SULFATE/LAMIVUDINE,2234
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,1104
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,228
ABATACEPT,556
ABATACEPT/MALTOSE,11
ABIRATERONE ACETATE,1280
ACAMPROSATE CALCIUM,112
ACARBOSE,684
ACEBUTOLOL HCL,1882
ACETAMINOPHEN WITH CODEINE,23891
ACETAZOLAMIDE,4154
ACETIC ACID,93
ACETIC ACID/HYDROCORTISONE,83
ACETYLCYSTEINE,245
ACITRETIN,372
ACLIDINIUM BROMIDE,3764
ACYCLOVIR,13205
ADALIMUMAB,7412
ADAPALENE,29
ADAPALENE/BENZOYL PEROXIDE,11
ADEFOVIR DIPIVOXIL,36
AFATINIB DIMALEATE,22
ALBIGLUTIDE,286
ALBUTEROL SULFATE,184347
ALCAFTADINE,264
ALCLOMETASONE DIPROPIONATE,441
ALCOHOL ANTISEPTIC PADS,6524
ALENDRONATE SODIUM,79688
ALFUZOSIN HCL,5758
ALISKIREN HEMIFUMARATE,2418
ALISKIREN/HYDROCHLOROTHIAZIDE,634
ALLOPURINOL,152821
ALOGLIPTIN BENZ/METFORMIN HCL,61
ALOGLIPTIN BENZ/PIOGLITAZONE,372
ALOGLIPTIN BENZOATE,237
ALOSETRON HCL,15
ALPHA-1-PROTEINASE INHIBITOR,634
ALPRAZOLAM,292843
AMANTADINE HCL,5425
AMBRISENTAN,1198
AMCINONIDE,12
AMIKACIN SULFATE,115
AMILORIDE HCL,255
AMILORIDE/HYDROCHLOROTHIAZIDE,392
AMINOLEVULINIC ACID HCL,12
AMIODARONE HCL,35560
AMITRIP HCL/CHLORDIAZEPOXIDE,342
AMITRIPTYLINE HCL,72614
AMLODIPINE BES/OLMESARTAN MED,5357
AMLODIPINE BESYLATE,750607
AMLODIPINE BESYLATE/BENAZEPRIL,67769
AMLODIPINE/ATORVASTATIN,2494
AMLODIPINE/VALSARTAN,12898
AMLODIPINE/VALSARTAN/HCTHIAZID,4004
AMMONIUM LACTATE,3467
AMOXAPINE,72
AMOXICILLIN,95581
AMOXICILLIN/POTASSIUM CLAV,50445
AMPHOTERICIN B LIPID COMPLEX,23
AMPICILLIN SODIUM,67
AMPICILLIN SODIUM/SULBACTAM NA,24
AMPICILLIN TRIHYDRATE,845
ANAGRELIDE HCL,449
ANASTROZOLE,19273
APIXABAN,59139
APOMORPHINE HCL,11
APRACLONIDINE HCL,48
APREMILAST,409
APREPITANT,38
ARFORMOTEROL TARTRATE,160
ARIPIPRAZOLE,26695
ARMODAFINIL,1673
ASENAPINE MALEATE,1055
ASPIRIN/DIPYRIDAMOLE,6418
ATAZANAVIR SULFATE,4122
ATAZANAVIR SULFATE/COBICISTAT,53
ATENOLOL,143975
ATENOLOL/CHLORTHALIDONE,16354
ATOMOXETINE HCL,822
ATORVASTATIN CALCIUM,634550
ATOVAQUONE,161
ATOVAQUONE/PROGUANIL HCL,201
ATROPINE SULFATE,419
AURANOFIN,11
AXITINIB,91
AZATHIOPRINE,6172
AZELAIC ACID,321
AZELASTINE HCL,9748
AZELASTINE/FLUTICASONE,1265
AZILSARTAN MED/CHLORTHALIDONE,1102
AZILSARTAN MEDOXOMIL,1017
AZITHROMYCIN,120696
AZTREONAM LYSINE,38
BACITRACIN,844
BACITRACIN/POLYMYXIN B SULFATE,336
BACLOFEN,48355
BALSALAZIDE DISODIUM,967
BECLOMETHASONE DIPROPIONATE,5575
BENAZEPRIL HCL,95156
BENAZEPRIL/HYDROCHLOROTHIAZIDE,12707
BENZTROPINE MESYLATE,34062
BEPOTASTINE BESILATE,220
BESIFLOXACIN HCL,8944
BETAMETHASONE DIPROPIONATE,2642
BETAMETHASONE VALERATE,2034
BETAMETHASONE/PROPYLENE GLYC,1235
BETAXOLOL HCL,571
BETHANECHOL CHLORIDE,2912
BEVACIZUMAB,53
BICALUTAMIDE,4109
BIMATOPROST,36261
BISOPROLOL FUMARATE,4427
BISOPROLOL FUMARATE/HCTZ,18216
BORTEZOMIB,14
BOSENTAN,416
BOSUTINIB,53
BRIMONIDINE TARTRATE,32454
BRIMONIDINE TARTRATE/TIMOLOL,18314
BRINZOLAMIDE,5255
BRINZOLAMIDE/BRIMONIDINE TART,3220
BROMFENAC SODIUM,6669
BROMOCRIPTINE MESYLATE,395
BUDESONIDE,4423
BUDESONIDE/FORMOTEROL FUMARATE,66654
BUMETANIDE,10316
BUPRENORPHINE,2616
BUPRENORPHINE HCL,768
BUPRENORPHINE HCL/NALOXONE HCL,5942
BUPROPION HBR,27
BUPROPION HCL,82000
BUSPIRONE HCL,34766
BUTALB/ACETAMINOPHEN/CAFFEINE,9039
BUTALBIT/ACETAMIN/CAFF/CODEINE,431
BUTALBITAL/ACETAMINOPHEN,236
BUTALBITAL/ASPIRIN/CAFFEINE,537
BUTORPHANOL TARTRATE,471
C1 ESTERASE INHIBITOR,13
"C1 ESTERASE INHIBITOR, RECOMB",12
CABERGOLINE,491
CABOZANTINIB S-MALATE,32
CALCIPOTRIENE,429
CALCIPOTRIENE/BETAMETHASONE,96
"CALCITONIN,SALMON,SYNTHETIC",3022
CALCITRIOL,16549
CALCIUM ACETATE,12566
