generic_name,claim_count
0.9 % SODIUM CHLORIDE,59
ABACAVIR SULFATE,27
ABACAVIR SULFATE/LAMIVUDINE,18
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,16
ABATACEPT,34
ABIRATERONE ACETATE,263
ACAMPROSATE CALCIUM,59
ACARBOSE,124
ACEBUTOLOL HCL,129
ACETAMINOPHEN WITH CODEINE,4087
ACETAZOLAMIDE,463
ACETIC ACID,62
ACETYLCYSTEINE,33
ACITRETIN,49
ACLIDINIUM BROMIDE,263
ACYCLOVIR,1932
ADALIMUMAB,763
ALBIGLUTIDE,128
ALBUTEROL SULFATE,23067
ALCAFTADINE,11
ALCLOMETASONE DIPROPIONATE,155
ALCOHOL ANTISEPTIC PADS,294
ALENDRONATE SODIUM,20715
ALFUZOSIN HCL,651
ALISKIREN HEMIFUMARATE,311
ALISKIREN/HYDROCHLOROTHIAZIDE,77
ALLOPURINOL,26685
ALOGLIPTIN BENZ/PIOGLITAZONE,24
ALOSETRON HCL,68
ALPHA-1-PROTEINASE INHIBITOR,124
ALPRAZOLAM,19973
AMANTADINE HCL,1276
AMBRISENTAN,191
AMILORIDE HCL,169
AMILORIDE/HYDROCHLOROTHIAZIDE,175
AMIODARONE HCL,5781
AMITRIP HCL/CHLORDIAZEPOXIDE,28
AMITRIPTYLINE HCL,11722
AMLODIPINE BES/OLMESARTAN MED,214
AMLODIPINE BESYLATE,99017
AMLODIPINE BESYLATE/BENAZEPRIL,2374
AMLODIPINE/ATORVASTATIN,98
AMLODIPINE/VALSARTAN,143
AMLODIPINE/VALSARTAN/HCTHIAZID,26
AMMONIUM LACTATE,49
AMOXICILLIN,16403
AMOXICILLIN/POTASSIUM CLAV,5215
AMPICILLIN SODIUM,13
AMPICILLIN SODIUM/SULBACTAM NA,13
AMPICILLIN TRIHYDRATE,78
ANAGRELIDE HCL,33
ANASTROZOLE,4557
APIXABAN,4444
APREPITANT,13
ARFORMOTEROL TARTRATE,222
ARIPIPRAZOLE,7659
ARMODAFINIL,423
ASENAPINE MALEATE,131
ASPIRIN/DIPYRIDAMOLE,894
ATAZANAVIR SULFATE,24
ATENOLOL,34320
ATENOLOL/CHLORTHALIDONE,1021
ATOMOXETINE HCL,412
ATORVASTATIN CALCIUM,82490
ATOVAQUONE,32
ATOVAQUONE/PROGUANIL HCL,37
ATROPINE SULFATE,130
AZATHIOPRINE,1432
AZELASTINE HCL,696
AZELASTINE/FLUTICASONE,39
AZILSARTAN MED/CHLORTHALIDONE,14
AZILSARTAN MEDOXOMIL,56
AZITHROMYCIN,19411
AZTREONAM LYSINE,11
BACITRACIN/POLYMYXIN B SULFATE,68
BACLOFEN,9118
BALSALAZIDE DISODIUM,141
BECLOMETHASONE DIPROPIONATE,685
BENAZEPRIL HCL,8439
BENAZEPRIL/HYDROCHLOROTHIAZIDE,1035
BENZTROPINE MESYLATE,4215
BESIFLOXACIN HCL,88
BETAMETHASONE DIPROPIONATE,412
BETAMETHASONE VALERATE,175
BETAMETHASONE/PROPYLENE GLYC,97
BETAXOLOL HCL,85
BETHANECHOL CHLORIDE,193
BICALUTAMIDE,716
BIMATOPROST,7202
BISOPROLOL FUMARATE,637
BISOPROLOL FUMARATE/HCTZ,1049
BOSENTAN,480
BREXPIPRAZOLE,11
BRIMONIDINE TARTRATE,4115
BRIMONIDINE TARTRATE/TIMOLOL,3487
BRINZOLAMIDE,598
BRINZOLAMIDE/BRIMONIDINE TART,300
BROMFENAC SODIUM,128
BROMOCRIPTINE MESYLATE,67
BUDESONIDE,2361
BUDESONIDE/FORMOTEROL FUMARATE,7297
BUMETANIDE,3656
BUPRENORPHINE,354
BUPRENORPHINE HCL,124
BUPRENORPHINE HCL/NALOXONE HCL,230
BUPROPION HBR,11
BUPROPION HCL,16077
BUSPIRONE HCL,6049
BUTALB/ACETAMINOPHEN/CAFFEINE,381
BUTALBIT/ACETAMIN/CAFF/CODEINE,171
BUTALBITAL/ASPIRIN/CAFFEINE,35
BUTORPHANOL TARTRATE,26
CABERGOLINE,179
CALCIPOTRIENE,144
"CALCITONIN,SALMON,SYNTHETIC",999
CALCITRIOL,7894
CALCIUM ACETATE,1432
CANAGLIFLOZIN,2172
CANAGLIFLOZIN/METFORMIN HCL,39
CANDESARTAN CILEXETIL,514
CANDESARTAN/HYDROCHLOROTHIAZID,146
CAPTOPRIL,256
CAPTOPRIL/HYDROCHLOROTHIAZIDE,22
CARBAMAZEPINE,7252
CARBIDOPA,42
CARBIDOPA/LEVODOPA,15697
CARBIDOPA/LEVODOPA/ENTACAPONE,94
CARBINOXAMINE MALEATE,12
CARISOPRODOL,1253
CARTEOLOL HCL,40
