generic_name,claim_count
0.9 % SODIUM CHLORIDE,2786
ABACAVIR SULFATE,889
ABACAVIR SULFATE/LAMIVUDINE,2848
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,1659
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,183
ABATACEPT,955
ABATACEPT/MALTOSE,31
ABIRATERONE ACETATE,1517
ACAMPROSATE CALCIUM,25
ACARBOSE,2497
ACEBUTOLOL HCL,1547
ACETAMINOPHEN WITH CODEINE,36464
ACETAZOLAMIDE,3433
ACETIC ACID,136
ACETIC ACID/ALUMINUM ACETATE,41
ACETIC ACID/HYDROCORTISONE,95
ACETYLCYSTEINE,243
ACITRETIN,213
ACLIDINIUM BROMIDE,5713
ACYCLOVIR,25254
ADALIMUMAB,9620
ADAPALENE,12
ADEFOVIR DIPIVOXIL,120
AFATINIB DIMALEATE,72
ALBIGLUTIDE,325
ALBUTEROL SULFATE,339217
ALCAFTADINE,129
ALCLOMETASONE DIPROPIONATE,430
ALCOHOL ANTISEPTIC PADS,9829
ALENDRONATE SODIUM,137983
ALENDRONATE SODIUM/VITAMIN D3,11
ALFUZOSIN HCL,7159
ALIROCUMAB,31
ALISKIREN HEMIFUMARATE,3041
ALISKIREN/HYDROCHLOROTHIAZIDE,412
ALLOPURINOL,222430
ALMOTRIPTAN MALATE,63
ALOGLIPTIN BENZ/METFORMIN HCL,20
ALOGLIPTIN BENZ/PIOGLITAZONE,301
ALOGLIPTIN BENZOATE,102
ALOSETRON HCL,46
ALPHA-1-PROTEINASE INHIBITOR,888
ALPRAZOLAM,633724
AMANTADINE HCL,7925
AMBRISENTAN,820
AMCINONIDE,13
AMIKACIN SULFATE,308
AMILORIDE HCL,678
AMILORIDE/HYDROCHLOROTHIAZIDE,661
AMINOCAPROIC ACID,16
AMIODARONE HCL,69342
AMITRIP HCL/CHLORDIAZEPOXIDE,360
AMITRIPTYLINE HCL,115833
AMLODIPINE BES/OLMESARTAN MED,4513
AMLODIPINE BESYLATE,979527
AMLODIPINE BESYLATE/BENAZEPRIL,62448
AMLODIPINE/ATORVASTATIN,984
AMLODIPINE/VALSARTAN,7364
AMLODIPINE/VALSARTAN/HCTHIAZID,1666
AMMONIUM LACTATE,2406
AMOXAPINE,170
AMOXICILLIN,126323
AMOXICILLIN/POTASSIUM CLAV,99665
AMPHOTERICIN B LIPID COMPLEX,14
AMPICILLIN SODIUM,24
AMPICILLIN SODIUM/SULBACTAM NA,70
AMPICILLIN TRIHYDRATE,2501
ANAGRELIDE HCL,844
ANAKINRA,37
ANASTROZOLE,26116
ANTIPYRINE/BENZOCAINE,18
APIXABAN,57647
APOMORPHINE HCL,69
APRACLONIDINE HCL,19
APREMILAST,289
APREPITANT,52
ARFORMOTEROL TARTRATE,218
ARIPIPRAZOLE,53833
ARIPIPRAZOLE LAUROXIL,15
ARMODAFINIL,1834
ASENAPINE MALEATE,3769
ASPIRIN/DIPYRIDAMOLE,8451
ATAZANAVIR SULFATE,2714
ATAZANAVIR SULFATE/COBICISTAT,57
ATENOLOL,298719
ATENOLOL/CHLORTHALIDONE,18496
ATOMOXETINE HCL,1648
ATORVASTATIN CALCIUM,814744
ATOVAQUONE,134
ATOVAQUONE/PROGUANIL HCL,99
ATROPINE SULFATE,678
AURANOFIN,13
AXITINIB,72
AZACITIDINE,19
AZATHIOPRINE,9278
AZELAIC ACID,158
AZELASTINE HCL,24947
AZELASTINE/FLUTICASONE,1582
AZILSARTAN MED/CHLORTHALIDONE,794
