generic_name,claim_count
0.9 % SODIUM CHLORIDE,4434
ABACAVIR SULFATE,3164
ABACAVIR SULFATE/LAMIVUDINE,11171
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,6186
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,534
ABATACEPT,3617
ABATACEPT/MALTOSE,3008
ABIRATERONE ACETATE,5402
ABOBOTULINUMTOXINA,35
ACAMPROSATE CALCIUM,198
ACARBOSE,7145
ACEBUTOLOL HCL,4004
ACETAMINOPHEN WITH CODEINE,593258
ACETAZOLAMIDE,11667
ACETIC ACID,615
ACETIC ACID/ALUMINUM ACETATE,67
ACETIC ACID/HYDROCORTISONE,340
ACETYLCYSTEINE,662
ACITRETIN,980
ACLIDINIUM BROMIDE,9714
ACYCLOVIR,48061
ACYCLOVIR SODIUM,15
ADALIMUMAB,22091
ADAPALENE,164
ADEFOVIR DIPIVOXIL,111
ADO-TRASTUZUMAB EMTANSINE,16
AFATINIB DIMALEATE,208
AFLIBERCEPT,36
AGALSIDASE BETA,24
ALBIGLUTIDE,1198
ALBUTEROL SULFATE,517874
ALCAFTADINE,934
ALCLOMETASONE DIPROPIONATE,960
ALCOHOL ANTISEPTIC PADS,18943
ALENDRONATE SODIUM,493693
ALENDRONATE SODIUM/VITAMIN D3,147
ALFUZOSIN HCL,28825
ALISKIREN HEMIFUMARATE,5587
ALISKIREN/AMLODIPIN/HCTHIAZIDE,15
ALISKIREN/AMLODIPINE BESYLATE,14
ALISKIREN/HYDROCHLOROTHIAZIDE,977
ALLOPURINOL,445648
ALMOTRIPTAN MALATE,37
ALOGLIPTIN BENZ/METFORMIN HCL,218
ALOGLIPTIN BENZ/PIOGLITAZONE,763
ALOGLIPTIN BENZOATE,255
ALOSETRON HCL,172
ALPHA-1-PROTEINASE INHIBITOR,797
ALPRAZOLAM,921592
AMANTADINE HCL,21484
AMBRISENTAN,3263
AMCINONIDE,23
AMIKACIN SULFATE,576
AMILORIDE HCL,1517
AMILORIDE/HYDROCHLOROTHIAZIDE,3157
AMINOCAPROIC ACID,26
AMIODARONE HCL,165431
AMITRIP HCL/CHLORDIAZEPOXIDE,1015
AMITRIPTYLINE HCL,199690
AMLODIPINE BES/OLMESARTAN MED,19172
AMLODIPINE BESYLATE,2327854
AMLODIPINE BESYLATE/BENAZEPRIL,151432
AMLODIPINE/ATORVASTATIN,4535
AMLODIPINE/VALSARTAN,33481
AMLODIPINE/VALSARTAN/HCTHIAZID,8709
AMMONIUM LACTATE,14823
AMOXAPINE,294
AMOXICILLIN,328644
AMOXICILLIN/POTASSIUM CLAV,194160
AMPHOTERICIN B,50
AMPICILLIN SODIUM,64
AMPICILLIN SODIUM/SULBACTAM NA,35
AMPICILLIN TRIHYDRATE,4309
ANAGRELIDE HCL,2153
ANAKINRA,27
ANASTROZOLE,74187
APIXABAN,141242
APOMORPHINE HCL,174
APRACLONIDINE HCL,116
APREMILAST,1208
APREPITANT,422
ARFORMOTEROL TARTRATE,906
ARIPIPRAZOLE,126499
ARMODAFINIL,4714
ASENAPINE MALEATE,5593
ASPIRIN/DIPYRIDAMOLE,19533
ATAZANAVIR SULFATE,8834
ATAZANAVIR SULFATE/COBICISTAT,263
ATENOLOL,497562
ATENOLOL/CHLORTHALIDONE,28482
ATOMOXETINE HCL,2762
ATORVASTATIN CALCIUM,2230533
ATOVAQUONE,497
ATOVAQUONE/PROGUANIL HCL,567
ATROPINE SULFATE,1307
AXITINIB,352
AZATHIOPRINE,19681
AZELAIC ACID,1104
AZELASTINE HCL,56007
AZELASTINE/FLUTICASONE,8936
AZILSARTAN MED/CHLORTHALIDONE,2942
AZILSARTAN MEDOXOMIL,2602
AZITHROMYCIN,480032
AZTREONAM,24
AZTREONAM LYSINE,126
BACITRACIN,7270
BACITRACIN/POLYMYXIN B SULFATE,1693
BACLOFEN,200977
BALSALAZIDE DISODIUM,2959
BCG LIVE,16
BECAPLERMIN,307
BECLOMETHASONE DIPROPIONATE,11979
BEDAQUILINE FUMARATE,17
BELIMUMAB,336
BENAZEPRIL HCL,164204
BENAZEPRIL/HYDROCHLOROTHIAZIDE,18326
BENDAMUSTINE HCL,19
BENZOCAINE,54
BENZTROPINE MESYLATE,112571
BEPOTASTINE BESILATE,1352
BESIFLOXACIN HCL,27680
BETAINE,15
BETAMETHASONE DIPROPIONATE,7732
BETAMETHASONE VALERATE,4624
BETAMETHASONE/PROPYLENE GLYC,5149
BETAXOLOL HCL,1715
BETHANECHOL CHLORIDE,9429
BEVACIZUMAB,116
BEXAROTENE,273
BICALUTAMIDE,13942
BIMATOPROST,128756
BISAC/NACL/NAHCO3/KCL/PEG 3350,14
BISMUTH/METRONID/TETRACYCLINE,71
BISOPROLOL FUMARATE,32806
BISOPROLOL FUMARATE/HCTZ,41186
BORTEZOMIB,22
BOSENTAN,1753
BOSUTINIB,92
BREXPIPRAZOLE,24
BRIMONIDINE TARTRATE,106741
BRIMONIDINE TARTRATE/TIMOLOL,86504
BRINZOLAMIDE,27895
BRINZOLAMIDE/BRIMONIDINE TART,11783
BROMFENAC SODIUM,24450
BROMOCRIPTINE MESYLATE,1812
BROMPHENIRAMINE/PSEUDOEPHED/DM,116
BUDESONIDE,16663
BUDESONIDE/FORMOTEROL FUMARATE,187514
BUMETANIDE,33965
BUPRENORPHINE,14465
BUPRENORPHINE HCL,2735
BUPRENORPHINE HCL/NALOXONE HCL,18638
BUPROPION HBR,93
BUPROPION HCL,248615
BUSPIRONE HCL,158653
BUTABARBITAL SODIUM,14
BUTALB/ACETAMINOPHEN/CAFFEINE,21239
BUTALBIT/ACETAMIN/CAFF/CODEINE,1955
BUTALBITAL/ACETAMINOPHEN,412
BUTALBITAL/ASPIRIN/CAFFEINE,1340
BUTENAFINE HCL,25
BUTORPHANOL TARTRATE,3075
C1 ESTERASE INHIBITOR,81
CABAZITAXEL,13
CABERGOLINE,1771
CABOZANTINIB S-MALATE,89
CALCIPOTRIENE,1478
CALCIPOTRIENE/BETAMETHASONE,65
"CALCITONIN,SALMON,SYNTHETIC",14098
CALCITRIOL,54993
CALCIUM ACETATE,51854
CALCIUM GLUCONATE,11
CANAGLIFLOZIN,54648
CANAGLIFLOZIN/METFORMIN HCL,2480
CANDESARTAN CILEXETIL,5050
CANDESARTAN/HYDROCHLOROTHIAZID,955
CAPTOPRIL,12273
CAPTOPRIL/HYDROCHLOROTHIAZIDE,881
CARBAMAZEPINE,79891
CARBIDOPA,568
CARBIDOPA/LEVODOPA,167384
CARBIDOPA/LEVODOPA/ENTACAPONE,9469
CARBINOXAMINE MALEATE,275
CARBOPLATIN,13
CARISOPRODOL,71259
CARTEOLOL HCL,839
CARVEDILOL,1024699
CARVEDILOL PHOSPHATE,9139
CASPOFUNGIN ACETATE,49
CEFACLOR,581
CEFADROXIL,7548
CEFAZOLIN SODIUM,363
CEFDINIR,75148
CEFEPIME HCL,1851
"CEFEPIME HCL/DEXTROSE, ISO-OSM",38
CEFIXIME,560
CEFOXITIN SODIUM,73
CEFPODOXIME PROXETIL,2458
CEFPROZIL,3419
CEFTAROLINE FOSAMIL ACETATE,110
CEFTAZIDIME,61
"CEFTRIAXONE NA/DEXTROSE,ISO",209
CEFTRIAXONE SODIUM,12766
CEFUROXIME AXETIL,74487
CELECOXIB,172503
CEPHALEXIN,219665
CERITINIB,23
CERTOLIZUMAB PEGOL,2927
CETIRIZINE HCL,248
CEVIMELINE HCL,3541
CHLORAMBUCIL,227
CHLORDIAZEPOXIDE HCL,1405
CHLORHEXIDINE GLUCONATE,63590
CHLOROTHIAZIDE,347
CHLORPROMAZINE HCL,9815
CHLORPROPAMIDE,12
CHLORTHALIDONE,42638
CHLORZOXAZONE,3187
CHOLESTYRAMINE (WITH SUGAR),12417
CHOLESTYRAMINE/ASPARTAME,2283
"CHORIONIC GONADOTROPIN, HUMAN",12
CICLESONIDE,1004
CICLOPIROX,14314
CICLOPIROX OLAMINE,7085
CILOSTAZOL,56409
CIMETIDINE,1565
CINACALCET HCL,66985
CIPROFLOXACIN HCL,441840
CIPROFLOXACIN HCL/DEXAMETH,8532
CIPROFLOXACIN LACTATE/D5W,78
CIPROFLOXACIN/HYDROCORTISONE,30
CITALOPRAM HYDROBROMIDE,554891
CITRIC ACID/G-LACTONE/MAG CARB,56
CITRIC ACID/SODIUM CITRATE,11
CLARITHROMYCIN,10319
CLEMASTINE FUMARATE,248
CLINDAMYCIN HCL,80113
CLINDAMYCIN PHOS/BENZOYL PEROX,142
CLINDAMYCIN PHOSPHATE,7776
CLINDAMYCIN PHOSPHATE/D5W,27
CLOBAZAM,3617
CLOBETASOL PROPIONATE,76144
CLOBETASOL PROPIONATE/EMOLL,745
CLOMIPRAMINE HCL,2706
CLONAZEPAM,510754
CLONIDINE,31080
CLONIDINE HCL,325104
CLOPIDOGREL BISULFATE,1040028
CLORAZEPATE DIPOTASSIUM,9179
CLOTRIMAZOLE,18553
CLOTRIMAZOLE/BETAMETHASONE DIP,44245
CLOZAPINE,28458
CODEINE SULFATE,126
CODEINE/BUTALBITAL/ASA/CAFFEIN,1287
COLCHICINE,25265
COLCHICINE/PROBENECID,1434
COLESEVELAM HCL,26188
COLESTIPOL HCL,11859
COLISTIN (COLISTIMETHATE NA),181
COLLAGENASE CLOSTRIDIUM HIST.,16204
CORTICOTROPIN,242
CORTISONE ACETATE,48
CRIZOTINIB,135
CROFELEMER,50
CROMOLYN SODIUM,993
CROTAMITON,58
CYCLOBENZAPRINE HCL,181909
CYCLOPENTOLATE HCL,259
CYCLOPHOSPHAMIDE,211
CYCLOSPORINE,80313
"CYCLOSPORINE, MODIFIED",2093
CYPROHEPTADINE HCL,3625
CYSTEAMINE BITARTRATE,12
DABIGATRAN ETEXILATE MESYLATE,70407
DABRAFENIB MESYLATE,239
DACLATASVIR DIHYDROCHLORIDE,152
DALFAMPRIDINE,3135
"DALTEPARIN SODIUM,PORCINE",26
