generic_name,claim_count
0.9 % SODIUM CHLORIDE,1037
AA 5 %/CALCIUM/LYTES/DEXT 15 %,15
ABACAVIR SULFATE,101
ABACAVIR SULFATE/LAMIVUDINE,459
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,141
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,12
ABATACEPT,38
ABIRATERONE ACETATE,602
ABOBOTULINUMTOXINA,53
ACAMPROSATE CALCIUM,29
ACARBOSE,142
ACEBUTOLOL HCL,65
ACETAMINOPHEN WITH CODEINE,6083
ACETAZOLAMIDE,703
ACETIC ACID,119
ACETYLCYSTEINE,56
ACITRETIN,129
ACLIDINIUM BROMIDE,746
ACYCLOVIR,5292
ADALIMUMAB,1189
AFATINIB DIMALEATE,14
ALBIGLUTIDE,11
ALBUTEROL SULFATE,40463
ALCLOMETASONE DIPROPIONATE,17
ALCOHOL ANTISEPTIC PADS,408
ALENDRONATE SODIUM,40307
ALENDRONATE SODIUM/VITAMIN D3,12
ALFUZOSIN HCL,2113
ALISKIREN HEMIFUMARATE,298
ALISKIREN/HYDROCHLOROTHIAZIDE,62
ALLOPURINOL,38563
ALOGLIPTIN BENZ/METFORMIN HCL,15
ALOGLIPTIN BENZ/PIOGLITAZONE,36
ALPHA-1-PROTEINASE INHIBITOR,228
ALPRAZOLAM,69050
AMANTADINE HCL,1732
AMBRISENTAN,1095
AMILORIDE HCL,298
AMILORIDE/HYDROCHLOROTHIAZIDE,232
AMIODARONE HCL,9586
AMITRIP HCL/CHLORDIAZEPOXIDE,16
AMITRIPTYLINE HCL,18689
AMLODIPINE BES/OLMESARTAN MED,136
AMLODIPINE BESYLATE,134471
AMLODIPINE BESYLATE/BENAZEPRIL,5931
AMLODIPINE/ATORVASTATIN,62
AMLODIPINE/VALSARTAN,378
AMLODIPINE/VALSARTAN/HCTHIAZID,76
AMMONIUM LACTATE,127
AMOXAPINE,15
AMOXICILLIN,30607
AMOXICILLIN/POTASSIUM CLAV,14639
AMPICILLIN SODIUM,37
AMPICILLIN TRIHYDRATE,185
ANAGRELIDE HCL,121
ANASTROZOLE,5638
APIXABAN,12661
APREMILAST,46
ARFORMOTEROL TARTRATE,162
ARIPIPRAZOLE,12686
ARMODAFINIL,767
ASENAPINE MALEATE,817
ASPIRIN/DIPYRIDAMOLE,509
ATAZANAVIR SULFATE,300
ATAZANAVIR SULFATE/COBICISTAT,11
ATENOLOL,28195
ATENOLOL/CHLORTHALIDONE,586
ATOMOXETINE HCL,1204
ATORVASTATIN CALCIUM,176017
ATOVAQUONE/PROGUANIL HCL,92
ATROPINE SULFATE,12
AXITINIB,36
AZATHIOPRINE,2750
AZELAIC ACID,12
AZELASTINE HCL,1292
AZELASTINE/FLUTICASONE,29
AZILSARTAN MED/CHLORTHALIDONE,72
AZILSARTAN MEDOXOMIL,40
