generic_name,claim_count
0.9 % SODIUM CHLORIDE,1460
ABACAVIR SULFATE,1126
ABACAVIR SULFATE/LAMIVUDINE,2575
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,867
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,196
ABATACEPT,306
ABIRATERONE ACETATE,1787
ACAMPROSATE CALCIUM,232
ACARBOSE,2099
ACEBUTOLOL HCL,779
ACETAMINOPHEN WITH CODEINE,31553
ACETAZOLAMIDE,3280
ACETIC ACID,345
ACETIC ACID/ALUMINUM ACETATE,25
ACETIC ACID/HYDROCORTISONE,42
ACETYLCYSTEINE,395
ACITRETIN,191
ACLIDINIUM BROMIDE,4251
ACYCLOVIR,15600
ADALIMUMAB,5057
ADAPALENE,16
ADAPALENE/BENZOYL PEROXIDE,12
ADEFOVIR DIPIVOXIL,83
AFATINIB DIMALEATE,36
ALBENDAZOLE,11
ALBIGLUTIDE,126
ALBUTEROL SULFATE,234677
ALCAFTADINE,146
ALCLOMETASONE DIPROPIONATE,279
ALCOHOL ANTISEPTIC PADS,3140
ALENDRONATE SODIUM,109149
ALENDRONATE SODIUM/VITAMIN D3,50
ALFUZOSIN HCL,7240
ALISKIREN HEMIFUMARATE,1582
ALISKIREN/HYDROCHLOROTHIAZIDE,229
ALLOPURINOL,175637
ALOGLIPTIN BENZ/METFORMIN HCL,22
ALOGLIPTIN BENZ/PIOGLITAZONE,80
ALOGLIPTIN BENZOATE,58
ALOSETRON HCL,11
ALPHA-1-PROTEINASE INHIBITOR,313
ALPRAZOLAM,308023
AMANTADINE HCL,5365
AMBRISENTAN,971
AMCINONIDE,14
AMIKACIN SULFATE,66
AMILORIDE HCL,724
AMILORIDE/HYDROCHLOROTHIAZIDE,491
AMIODARONE HCL,42559
AMITRIP HCL/CHLORDIAZEPOXIDE,73
AMITRIPTYLINE HCL,76735
AMLODIPINE BES/OLMESARTAN MED,3180
AMLODIPINE BESYLATE,852606
AMLODIPINE BESYLATE/BENAZEPRIL,43925
AMLODIPINE/ATORVASTATIN,859
AMLODIPINE/VALSARTAN,4140
AMLODIPINE/VALSARTAN/HCTHIAZID,1216
AMMONIUM LACTATE,7250
AMOXAPINE,162
AMOXICILLIN,109751
AMOXICILLIN/POTASSIUM CLAV,57556
AMPICILLIN SODIUM,71
AMPICILLIN SODIUM/SULBACTAM NA,181
AMPICILLIN TRIHYDRATE,815
ANAGRELIDE HCL,533
ANAKINRA,31
ANASTROZOLE,19054
APIXABAN,51169
APRACLONIDINE HCL,86
APREMILAST,79
APREPITANT,28
ARFORMOTEROL TARTRATE,150
ARIPIPRAZOLE,44240
ARMODAFINIL,692
ARTEMETHER/LUMEFANTRINE,15
ASENAPINE MALEATE,2753
ASPIRIN/DIPYRIDAMOLE,7663
ATAZANAVIR SULFATE,3278
ATAZANAVIR SULFATE/COBICISTAT,13
ATENOLOL,255250
ATENOLOL/CHLORTHALIDONE,11722
ATOMOXETINE HCL,1593
ATORVASTATIN CALCIUM,821818
ATOVAQUONE,187
ATOVAQUONE/PROGUANIL HCL,238
ATROPINE SULFATE,734
AURANOFIN,12
AZATHIOPRINE,6070
AZELAIC ACID,217
AZELASTINE HCL,14131
AZELASTINE/FLUTICASONE,1441
AZILSARTAN MED/CHLORTHALIDONE,636
AZILSARTAN MEDOXOMIL,660
AZITHROMYCIN,139569
AZTREONAM,56
AZTREONAM/DEXTROSE-WATER,21
BACITRACIN,2040
BACITRACIN/POLYMYXIN B SULFATE,220
BACLOFEN,59947
BALSALAZIDE DISODIUM,1098
BECLOMETHASONE DIPROPIONATE,9355
BELATACEPT,46
BENAZEPRIL HCL,53344
BENAZEPRIL/HYDROCHLOROTHIAZIDE,5885
BENDAMUSTINE HCL,11
BENZTROPINE MESYLATE,48515
BEPOTASTINE BESILATE,95
BESIFLOXACIN HCL,4260
BETAMET ACET/BETAMET NA PH,23
BETAMETHASONE DIPROPIONATE,3236
BETAMETHASONE VALERATE,2205
BETAMETHASONE/PROPYLENE GLYC,1468
BETAXOLOL HCL,257
BETHANECHOL CHLORIDE,2315
BEVACIZUMAB,33
BEXAROTENE,34
BICALUTAMIDE,4777
BIMATOPROST,33912
BISAC/NACL/NAHCO3/KCL/PEG 3350,12
BISMUTH/METRONID/TETRACYCLINE,13
BISOPROLOL FUMARATE,8246
BISOPROLOL FUMARATE/HCTZ,15956
BORTEZOMIB,15
BOSENTAN,599
BOSUTINIB,11
BRIMONIDINE TARTRATE,37510
BRIMONIDINE TARTRATE/TIMOLOL,18552
BRINZOLAMIDE,6000
BRINZOLAMIDE/BRIMONIDINE TART,3683
BROMFENAC SODIUM,5003
BROMOCRIPTINE MESYLATE,557
BUDESONIDE,5787
BUDESONIDE/FORMOTEROL FUMARATE,66042
BUMETANIDE,39297
BUPRENORPHINE,3107
