generic_name,claim_count
ABIRATERONE ACETATE,51
ACARBOSE,15
ACETAMINOPHEN WITH CODEINE,300
ACETAZOLAMIDE,293
ACETIC ACID/HYDROCORTISONE,19
ACYCLOVIR,115
ALBUTEROL SULFATE,726
ALCOHOL ANTISEPTIC PADS,17
ALENDRONATE SODIUM,1233
ALFUZOSIN HCL,25
ALLOPURINOL,1207
ALPRAZOLAM,812
AMANTADINE HCL,55
AMILORIDE/HYDROCHLOROTHIAZIDE,283
AMIODARONE HCL,87
AMITRIPTYLINE HCL,182
AMLODIPINE BES/OLMESARTAN MED,15
AMLODIPINE BESYLATE,13109
AMLODIPINE BESYLATE/BENAZEPRIL,591
AMLODIPINE/ATORVASTATIN,17
AMLODIPINE/VALSARTAN,25
AMLODIPINE/VALSARTAN/HCTHIAZID,13
AMOXICILLIN,673
AMOXICILLIN/POTASSIUM CLAV,255
AMPICILLIN TRIHYDRATE,72
ANAGRELIDE HCL,11
ANASTROZOLE,305
APRACLONIDINE HCL,27
ASPIRIN/DIPYRIDAMOLE,18
ATAZANAVIR SULFATE,66
ATENOLOL,3963
ATENOLOL/CHLORTHALIDONE,842
ATORVASTATIN CALCIUM,6361
AZATHIOPRINE,12
AZITHROMYCIN,548
BACLOFEN,58
BECLOMETHASONE DIPROPIONATE,19
BENAZEPRIL HCL,779
BENAZEPRIL/HYDROCHLOROTHIAZIDE,95
BENZTROPINE MESYLATE,733
BETAMETHASONE DIPROPIONATE,87
BETAMETHASONE VALERATE,30
BETAMETHASONE/PROPYLENE GLYC,150
BEVACIZUMAB,21
BICALUTAMIDE,230
BIMATOPROST,176
BISOPROLOL FUMARATE,52
BISOPROLOL FUMARATE/HCTZ,203
BORTEZOMIB,44
BRIMONIDINE TARTRATE,2411
BRIMONIDINE TARTRATE/TIMOLOL,613
BRINZOLAMIDE,167
BRINZOLAMIDE/BRIMONIDINE TART,39
BROMFENAC SODIUM,20
BROMOCRIPTINE MESYLATE,13
BUMETANIDE,153
BUPRENORPHINE HCL,97
BUPROPION HCL,79
BUSPIRONE HCL,11
BUTALB/ACETAMINOPHEN/CAFFEINE,12
CABERGOLINE,13
"CALCITONIN,SALMON,SYNTHETIC",44
CALCITRIOL,11
CALCIUM ACETATE,315
CANDESARTAN CILEXETIL,12
CAPTOPRIL,100
CARBAMAZEPINE,136
CARBIDOPA/LEVODOPA,324
CARBOPLATIN,52
CARISOPRODOL,39
CARVEDILOL,1611
CARVEDILOL PHOSPHATE,23
CEFUROXIME AXETIL,60
CELECOXIB,403
CEPHALEXIN,228
CHLORHEXIDINE GLUCONATE,12
CHLORPROMAZINE HCL,32
CHLORTHALIDONE,319
CICLOPIROX,155
CICLOPIROX OLAMINE,50
CILOSTAZOL,249
CINACALCET HCL,216
CIPROFLOXACIN HCL,1045
CIPROFLOXACIN HCL/DEXAMETH,29
CITALOPRAM HYDROBROMIDE,162
CLARITHROMYCIN,39
CLINDAMYCIN HCL,56
CLINDAMYCIN PHOSPHATE,12
CLOBETASOL PROPIONATE,57
CLONAZEPAM,264
CLONIDINE,33
CLONIDINE HCL,1096
CLOPIDOGREL BISULFATE,2458
CLORAZEPATE DIPOTASSIUM,11
CLOTRIMAZOLE/BETAMETHASONE DIP,494
COLCHICINE,53
COLESEVELAM HCL,12
COLLAGENASE CLOSTRIDIUM HIST.,16
CYCLOBENZAPRINE HCL,190
CYCLOPENTOLATE HCL,11
CYCLOSPORINE,82
CYPROHEPTADINE HCL,46
DABIGATRAN ETEXILATE MESYLATE,82
"DALTEPARIN SODIUM,PORCINE",18
DARUNAVIR ETHANOLATE,56
DENOSUMAB,15
DESLORATADINE,34
DEXAMETHASONE,54
DEXAMETHASONE SOD PHOSPHATE,12
DEXLANSOPRAZOLE,151
DEXTROAMPHETAMINE SULFATE,13
DEXTROAMPHETAMINE/AMPHETAMINE,11
DIAZEPAM,166
DICLOFENAC POTASSIUM,24
DICLOFENAC SODIUM,488
DIFLUPREDNATE,33
DIGOXIN,692
DILTIAZEM HCL,453
"DIPH,PERTUSS(ACELL),TET VAC/PF",13
DIVALPROEX SODIUM,322
DOLUTEGRAVIR SODIUM,35
DONEPEZIL HCL,1261
DORZOLAMIDE HCL,180
DORZOLAMIDE HCL/TIMOLOL MALEAT,2903
DOXAZOSIN MESYLATE,383
DOXEPIN HCL,12
DOXYCYCLINE HYCLATE,28
DOXYCYCLINE MONOHYDRATE,14
DULOXETINE HCL,114
DUTASTERIDE,176
ECONAZOLE NITRATE,26
EFAVIRENZ/EMTRICITAB/TENOFOVIR,83
EMTRICITABINE/TENOFOVIR,203
ENALAPRIL MALEATE,3332
ENALAPRIL/HYDROCHLOROTHIAZIDE,439
ENZALUTAMIDE,25
EPLERENONE,33
EPOETIN ALFA,43
ERYTHROMYCIN BASE,29
ESCITALOPRAM OXALATE,85
ESOMEPRAZOLE MAGNESIUM,255
ESTRADIOL,31
"ESTROGENS, CONJUGATED",49
ESZOPICLONE,13
ETHACRYNIC ACID,12
ETODOLAC,116
EZETIMIBE,481
EZETIMIBE/SIMVASTATIN,100
FAMOTIDINE,599
FELODIPINE,60
FENOFIBRATE NANOCRYSTALLIZED,159
FENOFIBRIC ACID (CHOLINE),11
FENTANYL,72
FESOTERODINE FUMARATE,12
FINASTERIDE,961
FLUCONAZOLE,153
FLUDROCORTISONE ACETATE,20
FLUOCINOLONE ACETONIDE OIL,24
FLUOCINONIDE,18
FLUOROMETHOLONE,30
FLUOROURACIL,21
FLUOXETINE HCL,96
FLUPHENAZINE DECANOATE,29
FLUPHENAZINE HCL,72
FLUTICASONE PROPIONATE,602
FLUTICASONE/SALMETEROL,339
FOSINOPRIL SODIUM,73
FUROSEMIDE,3586
GABAPENTIN,1752
GALANTAMINE HBR,16
GATIFLOXACIN,85
GEMCITABINE HCL,19
GEMFIBROZIL,105
GENTAMICIN SULFATE,30
GLIMEPIRIDE,279
GLIPIZIDE,6688
GLIPIZIDE/METFORMIN HCL,83
GLYBURIDE,1181
"GLYBURIDE,MICRONIZED",308
GLYBURIDE/METFORMIN HCL,959
HALOBETASOL PROPIONATE,26
HALOPERIDOL,450
HALOPERIDOL DECANOATE,216
HYDRALAZINE HCL,652
HYDROCHLOROTHIAZIDE,3778
HYDROCODONE/ACETAMINOPHEN,923
HYDROCODONE/IBUPROFEN,118
HYDROCORTISONE,23
HYDROMORPHONE HCL,77
HYDROXYCHLOROQUINE SULFATE,70
HYDROXYUREA,55
HYDROXYZINE HCL,39
IBANDRONATE SODIUM,267
IBUPROFEN,756
IMMUN GLOB G (IGG)/GLY/IGA 50+,14
INDAPAMIDE,60
INDOMETHACIN,12
INSULIN ASPART,535
INSULIN ASPART PROTAM & ASPART,86
INSULIN DETEMIR,655
"INSULIN GLARGINE,HUM.REC.ANLOG",1064
INSULIN LISPRO,87
INSULIN LISPRO PROTAMIN/LISPRO,118
INSULIN NPH HUM/REG INSULIN HM,1496
INSULIN NPH HUMAN ISOPHANE,357
"INSULIN REGULAR, HUMAN",11
IPRATROPIUM BROMIDE,57
IPRATROPIUM/ALBUTEROL SULFATE,43
IRBESARTAN,152
IRBESARTAN/HYDROCHLOROTHIAZIDE,38
IRINOTECAN HCL,18
ISOSORBIDE DINITRATE,46
ISOSORBIDE MONONITRATE,316
KETOCONAZOLE,148
KETOROLAC TROMETHAMINE,443
LABETALOL HCL,1366
LACTULOSE,39
LAMOTRIGINE,83
LANSOPRAZOLE,391
LATANOPROST,3882
LENALIDOMIDE,44
LETROZOLE,69
LEUCOVORIN CALCIUM,15
LEVETIRACETAM,324
LEVOFLOXACIN,217
LEVOTHYROXINE SODIUM,4486
LIDOCAINE/PRILOCAINE,43
LINACLOTIDE,17
LINAGLIPTIN,19
LISINOPRIL,4960
LISINOPRIL/HYDROCHLOROTHIAZIDE,2446
LITHIUM CARBONATE,102
LORAZEPAM,980
LOSARTAN POTASSIUM,7667
LOSARTAN/HYDROCHLOROTHIAZIDE,8718
LOTEPREDNOL ETABONATE,217
LOVASTATIN,1128
LUBIPROSTONE,29
MARAVIROC,12
MECLIZINE HCL,336
MEGESTROL ACETATE,22
MELOXICAM,411
MEMANTINE HCL,351
MESALAMINE,19
METFORMIN HCL,11292
METHADONE HCL,17
METHAZOLAMIDE,59
METHIMAZOLE,180
METHOTREXATE SODIUM,179
METHYLDOPA,28
METHYLPREDNISOLONE,247
METOCLOPRAMIDE HCL,86
METOLAZONE,90
METOPROLOL SUCCINATE,2619
METOPROLOL TARTRATE,2704
METOPROLOL/HYDROCHLOROTHIAZIDE,24
METRONIDAZOLE,74
MIDODRINE HCL,14
MINOXIDIL,96
MIRTAZAPINE,130
MOMETASONE FUROATE,100
MONTELUKAST SODIUM,477
MORPHINE SULFATE,27
MOXIFLOXACIN HCL,212
MUPIROCIN,104
MUPIROCIN CALCIUM,35
NADOLOL,26
NAPROXEN,406
NATEGLINIDE,11
NEBIVOLOL HCL,262
NEO/POLYMYX B SULF/DEXAMETH,216
NEPAFENAC,136
NIACIN,123
NIFEDIPINE,7626
NITROFURANTOIN MONOHYD/M-CRYST,91
NITROGLYCERIN,189
NORTRIPTYLINE HCL,12
NYSTATIN,40
OFLOXACIN,51
OLANZAPINE,195
OLMESARTAN MEDOXOMIL,88
OLOPATADINE HCL,255
OMEPRAZOLE,1794
ONDANSETRON,16
ONDANSETRON HCL,51
OXALIPLATIN,20
OXAPROZIN,31
OXCARBAZEPINE,26
OXYBUTYNIN CHLORIDE,345
OXYCODONE HCL,98
OXYCODONE HCL/ACETAMINOPHEN,401
PACLITAXEL,18
PALIPERIDONE,11
PANTOPRAZOLE SODIUM,3406
PAROXETINE HCL,121
"PEG 3350/NA SULF,BICARB,CL/KCL",174
PEGFILGRASTIM,16
PEMETREXED DISODIUM,41
"PEN NEEDLE, DIABETIC",577
PENICILLIN G BENZATHINE,12
PENICILLIN V POTASSIUM,11
PENTOXIFYLLINE,29
PHENOBARBITAL,145
PHENYTOIN SODIUM EXTENDED,346
PIOGLITAZONE HCL,203
PIROXICAM,18
PNV WITH CA#74/IRON/FOLIC ACID,16
POLYETHYLENE GLYCOL 3350,18
POLYMYXIN B SULF/TRIMETHOPRIM,13
POMALIDOMIDE,12
POTASSIUM CHLORIDE,908
POTASSIUM CITRATE,12
PRAMIPEXOLE DI-HCL,25
PRAVASTATIN SODIUM,998
PRAZOSIN HCL,11
PREDNISOLONE ACETATE,963
PREDNISONE,855
PREGABALIN,376
PRIMIDONE,37
PROBENECID,12
PROPAFENONE HCL,11
PROPRANOLOL HCL,317
PROPYLTHIOURACIL,12
QUETIAPINE FUMARATE,350
QUINAPRIL HCL,305
QUINAPRIL/HYDROCHLOROTHIAZIDE,23
RALOXIFENE HCL,145
RALTEGRAVIR POTASSIUM,53
RAMIPRIL,431
RANITIDINE HCL,210
RASAGILINE MESYLATE,49
REPAGLINIDE,45
RISPERIDONE,366
RITONAVIR,137
