generic_name,claim_count
0.9 % SODIUM CHLORIDE,85
ABACAVIR SULFATE,43
ABACAVIR SULFATE/LAMIVUDINE,155
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,19
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,13
ABATACEPT,33
ABATACEPT/MALTOSE,12
ABIRATERONE ACETATE,197
ACAMPROSATE CALCIUM,78
ACARBOSE,14
ACEBUTOLOL HCL,109
ACETAMINOPHEN WITH CODEINE,2283
ACETAZOLAMIDE,229
ACETIC ACID,52
ACITRETIN,26
ACLIDINIUM BROMIDE,647
ACYCLOVIR,1465
ADALIMUMAB,716
AGALSIDASE BETA,22
ALBIGLUTIDE,15
ALBUTEROL SULFATE,25658
ALCAFTADINE,12
ALCOHOL ANTISEPTIC PADS,260
ALENDRONATE SODIUM,7718
ALFUZOSIN HCL,1049
ALISKIREN HEMIFUMARATE,42
ALISKIREN/HYDROCHLOROTHIAZIDE,17
ALLOPURINOL,12546
ALOSETRON HCL,26
ALPHA-1-PROTEINASE INHIBITOR,25
ALPRAZOLAM,10693
AMANTADINE HCL,937
AMBRISENTAN,89
AMILORIDE HCL,130
AMILORIDE/HYDROCHLOROTHIAZIDE,25
AMIODARONE HCL,1470
AMITRIPTYLINE HCL,8588
AMLODIPINE BESYLATE,46129
AMLODIPINE BESYLATE/BENAZEPRIL,472
AMLODIPINE/ATORVASTATIN,37
AMMONIUM LACTATE,375
AMOXAPINE,25
AMOXICILLIN,9700
AMOXICILLIN/POTASSIUM CLAV,2660
AMPICILLIN TRIHYDRATE,39
ANAGRELIDE HCL,38
ANASTROZOLE,1757
APIXABAN,4104
ARFORMOTEROL TARTRATE,32
ARIPIPRAZOLE,7428
ARMODAFINIL,67
ASENAPINE MALEATE,45
ASPIRIN/DIPYRIDAMOLE,539
ATAZANAVIR SULFATE,242
ATENOLOL,25942
ATENOLOL/CHLORTHALIDONE,361
ATOMOXETINE HCL,326
ATORVASTATIN CALCIUM,58292
ATOVAQUONE,12
ATOVAQUONE/PROGUANIL HCL,54
ATROPINE SULFATE,13
AZATHIOPRINE,423
AZELAIC ACID,15
AZELASTINE HCL,272
AZILSARTAN MEDOXOMIL,29
AZITHROMYCIN,11113
BACLOFEN,5501
BALSALAZIDE DISODIUM,219
BECLOMETHASONE DIPROPIONATE,418
BENAZEPRIL HCL,1050
BENAZEPRIL/HYDROCHLOROTHIAZIDE,11
BENZTROPINE MESYLATE,3467
BETAMETHASONE DIPROPIONATE,689
BETAMETHASONE VALERATE,270
BETAMETHASONE/PROPYLENE GLYC,108
BETAXOLOL HCL,115
BETHANECHOL CHLORIDE,160
BICALUTAMIDE,506
BIMATOPROST,4247
BISOPROLOL FUMARATE,346
BISOPROLOL FUMARATE/HCTZ,486
BOSENTAN,12
BRIMONIDINE TARTRATE,4362
BRIMONIDINE TARTRATE/TIMOLOL,1816
BRINZOLAMIDE,729
BRINZOLAMIDE/BRIMONIDINE TART,166
BROMFENAC SODIUM,121
BROMOCRIPTINE MESYLATE,37
BUDESONIDE,794
BUDESONIDE/FORMOTEROL FUMARATE,7084
BUMETANIDE,287
BUPRENORPHINE,200
BUPRENORPHINE HCL,787
BUPRENORPHINE HCL/NALOXONE HCL,9667
BUPROPION HCL,18552
BUSPIRONE HCL,4740
BUTALB/ACETAMINOPHEN/CAFFEINE,526
BUTALBIT/ACETAMIN/CAFF/CODEINE,44
BUTALBITAL/ACETAMINOPHEN,24
BUTALBITAL/ASPIRIN/CAFFEINE,127
BUTORPHANOL TARTRATE,16
CABERGOLINE,26
CALCIPOTRIENE,139
"CALCITONIN,SALMON,SYNTHETIC",434
CALCITRIOL,493
CALCIUM ACETATE,284
CANAGLIFLOZIN,374
CANDESARTAN CILEXETIL,244
CAPTOPRIL,49
CARBAMAZEPINE,3102
CARBIDOPA,41
CARBIDOPA/LEVODOPA,5553
CARBIDOPA/LEVODOPA/ENTACAPONE,136
CARISOPRODOL,465
CARTEOLOL HCL,34
CARVEDILOL,10094
CARVEDILOL PHOSPHATE,61
CEFACLOR,49
CEFADROXIL,20
CEFDINIR,69
CEFPODOXIME PROXETIL,320
CEFPROZIL,24
CEFTRIAXONE SODIUM,34
CEFUROXIME AXETIL,834
CELECOXIB,4908
CEPHALEXIN,7041
CERTOLIZUMAB PEGOL,12
CHLORDIAZEPOXIDE HCL,70
CHLORHEXIDINE GLUCONATE,1297
CHLOROTHIAZIDE,35
CHLORPROMAZINE HCL,541
CHLORTHALIDONE,3870
CHOLESTYRAMINE (WITH SUGAR),229
CHOLESTYRAMINE/ASPARTAME,73
"CHORIONIC GONADOTROPIN, HUMAN",13
CICLESONIDE,14
CICLOPIROX,192
CICLOPIROX OLAMINE,89
CILOSTAZOL,662
CIMETIDINE,24
CINACALCET HCL,416
CIPROFLOXACIN HCL,7416
CIPROFLOXACIN HCL/DEXAMETH,103
CITALOPRAM HYDROBROMIDE,26563
CLARITHROMYCIN,88
CLINDAMYCIN HCL,1599
CLINDAMYCIN PHOSPHATE,176
CLOBAZAM,75
CLOBETASOL PROPIONATE,2259
CLOMIPRAMINE HCL,433
CLONAZEPAM,29834
CLONIDINE,307
CLONIDINE HCL,3676
CLOPIDOGREL BISULFATE,14624
CLORAZEPATE DIPOTASSIUM,93
CLOTRIMAZOLE,325
CLOTRIMAZOLE/BETAMETHASONE DIP,579
CLOZAPINE,6085
CODEINE SULFATE,59
COLCHICINE,847
COLCHICINE/PROBENECID,25
COLESEVELAM HCL,220
COLESTIPOL HCL,241
COLLAGENASE CLOSTRIDIUM HIST.,15
CYANOCOBALAMIN (VITAMIN B-12),33
CYCLOBENZAPRINE HCL,6097
CYCLOSPORINE,2082
CYPROHEPTADINE HCL,458
DABIGATRAN ETEXILATE MESYLATE,940
DALFAMPRIDINE,313
"DALTEPARIN SODIUM,PORCINE",31
DANTROLENE SODIUM,192
DAPSONE,57
DARIFENACIN HYDROBROMIDE,215
DARUNAVIR ETHANOLATE,216
DASATINIB,12
DESIPRAMINE HCL,92
DESLORATADINE,27
DESMOPRESSIN ACETATE,229
DESONIDE,135
DESOXIMETASONE,90
DESVENLAFAXINE SUCCINATE,673
DEXAMETHASONE,816
DEXLANSOPRAZOLE,2538
DEXMETHYLPHENIDATE HCL,113
DEXTROAMPHETAMINE SULFATE,476
DEXTROAMPHETAMINE/AMPHETAMINE,4908
DEXTROMETHORPHAN HBR/QUINIDINE,65
DEXTROSE 5 % AND 0.9 % NACL,40
DEXTROSE 5 %-0.45 % NACL,11
DEXTROSE 70 % IN WATER,16
DIAZEPAM,9251
DICLOFENAC POTASSIUM,36
DICLOFENAC SODIUM,3503
DICLOFENAC SODIUM/MISOPROSTOL,33
DICYCLOMINE HCL,742
DIFLUNISAL,361
DIFLUPREDNATE,642
DIGOXIN,3688
DILTIAZEM HCL,11606
DIMETHYL FUMARATE,297
"DIPH,PERTUSS(ACELL),TET VAC/PF",92
DIPHENOXYLATE HCL/ATROPINE,1021
"DIPHTH,PERTUSS(ACELL),TET VAC",44
DIPYRIDAMOLE,22
DISOPYRAMIDE PHOSPHATE,23
DISULFIRAM,79
DIVALPROEX SODIUM,8601
DOFETILIDE,2588
DOLUTEGRAVIR SODIUM,91
DONEPEZIL HCL,13640
DORZOLAMIDE HCL,1463
DORZOLAMIDE HCL/TIMOLOL MALEAT,3107
DORZOLAMIDE/TIMOLOL/PF,75
DOXAZOSIN MESYLATE,2434
DOXEPIN HCL,963
DOXYCYCLINE HYCLATE,3388
DOXYCYCLINE MONOHYDRATE,614
DRONABINOL,275
DRONEDARONE HCL,461
DULOXETINE HCL,13794
DUTASTERIDE,496
DUTASTERIDE/TAMSULOSIN HCL,245
ECONAZOLE NITRATE,237
EFAVIRENZ,106
EFAVIRENZ/EMTRICITAB/TENOFOVIR,252
ELETRIPTAN HBR,61
ELTROMBOPAG OLAMINE,33
ELVITEGR/COBICIST/EMTRIC/TENOF,64
EMTRICITAB/RILPIVIRINE/TENOFOV,80
EMTRICITABINE,12
EMTRICITABINE/TENOFOVIR,362
ENALAPRIL MALEATE,5778
ENALAPRIL/HYDROCHLOROTHIAZIDE,162
ENOXAPARIN SODIUM,605
ENTACAPONE,478
ENTECAVIR,11
ENZALUTAMIDE,73
EPINEPHRINE,29
EPLERENONE,89
ERGOCALCIFEROL (VITAMIN D2),13
ERLOTINIB HCL,41
ERYTHROMYCIN BASE,860
ERYTHROMYCIN BASE/ETHANOL,54
ERYTHROMYCIN ETHYLSUCCINATE,64
ERYTHROMYCIN/BENZOYL PEROXIDE,11
ESCITALOPRAM OXALATE,14004
ESLICARBAZEPINE ACETATE,39
ESOMEPRAZOLE MAGNESIUM,8807
ESTAZOLAM,24
ESTRADIOL,2056
ESTRADIOL ACETATE,13
ESTRADIOL/LEVONORGESTREL,24
ESTRADIOL/NORETHINDRONE ACET,23
"ESTROGEN,CON/M-PROGEST ACET",197
"ESTROGENS, CONJUGATED",1820
"ESTROGENS,ESTERIFIED",24
ESTROPIPATE,11
ESZOPICLONE,657
ETANERCEPT,889
ETHAMBUTOL HCL,90
ETHINYL ESTRADIOL/DROSPIRENONE,39
ETODOLAC,157
ETRAVIRINE,76
EVEROLIMUS,11
EXEMESTANE,359
EXENATIDE,276
EXENATIDE MICROSPHERES,28
EZETIMIBE,3536
EZETIMIBE/SIMVASTATIN,431
FAMCICLOVIR,69
FAMOTIDINE,5442
FAT EMULSIONS,14
FEBUXOSTAT,253
FELBAMATE,96
FELODIPINE,217
FENOFIBRATE,1024
FENOFIBRATE NANOCRYSTALLIZED,1720
"FENOFIBRATE,MICRONIZED",244
FENOFIBRIC ACID (CHOLINE),47
FENTANYL,9454
FESOTERODINE FUMARATE,477
FILGRASTIM,38
FINASTERIDE,11051
FINGOLIMOD HCL,70
FLECAINIDE ACETATE,561
FLUCONAZOLE,2156
FLUDROCORTISONE ACETATE,519
FLUNISOLIDE,82
FLUOCINOLONE ACETONIDE,32
FLUOCINOLONE ACETONIDE OIL,53
FLUOCINOLONE/SHOWER CAP,28
FLUOCINONIDE,543
FLUOCINONIDE/EMOLLIENT BASE,14
FLUOROMETHOLONE,326
FLUOROMETHOLONE ACETATE,16
FLUOROURACIL,674
FLUOXETINE HCL,17109
FLUPHENAZINE DECANOATE,12
