generic_name,claim_count
0.9 % SODIUM CHLORIDE,1505
ABACAVIR SULFATE,745
ABACAVIR SULFATE/LAMIVUDINE,2265
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,982
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,47
ABATACEPT,468
ABIRATERONE ACETATE,1457
ACAMPROSATE CALCIUM,76
ACARBOSE,1357
ACEBUTOLOL HCL,270
ACETAMINOPHEN WITH CODEINE,36832
ACETAZOLAMIDE,1816
ACETIC ACID,970
ACETIC ACID/HYDROCORTISONE,99
ACETYLCYSTEINE,100
ACITRETIN,270
ACLIDINIUM BROMIDE,2700
ACYCLOVIR,30052
ADALIMUMAB,6010
ADAPALENE,14
ADEFOVIR DIPIVOXIL,83
AFATINIB DIMALEATE,15
AFLIBERCEPT,15
ALBIGLUTIDE,146
ALBUTEROL SULFATE,214942
ALCAFTADINE,94
ALCLOMETASONE DIPROPIONATE,132
ALCOHOL ANTISEPTIC PADS,5068
ALENDRONATE SODIUM,108340
ALENDRONATE SODIUM/VITAMIN D3,25
ALFUZOSIN HCL,3414
ALGLUCOSIDASE ALFA,17
ALISKIREN HEMIFUMARATE,354
ALISKIREN/HYDROCHLOROTHIAZIDE,11
ALLOPURINOL,133252
ALMOTRIPTAN MALATE,39
ALOGLIPTIN BENZ/METFORMIN HCL,17
ALOGLIPTIN BENZ/PIOGLITAZONE,23
ALOGLIPTIN BENZOATE,23
ALOSETRON HCL,60
ALPHA-1-PROTEINASE INHIBITOR,445
ALPRAZOLAM,122861
ALTRETAMINE,11
AMANTADINE HCL,6641
AMBRISENTAN,963
AMILORIDE HCL,651
AMILORIDE/HYDROCHLOROTHIAZIDE,277
AMINOCAPROIC ACID,12
AMIODARONE HCL,17733
AMITRIP HCL/CHLORDIAZEPOXIDE,24
AMITRIPTYLINE HCL,54354
AMLODIPINE BES/OLMESARTAN MED,686
AMLODIPINE BESYLATE,516289
AMLODIPINE BESYLATE/BENAZEPRIL,4761
AMLODIPINE/ATORVASTATIN,91
AMLODIPINE/VALSARTAN,558
AMLODIPINE/VALSARTAN/HCTHIAZID,38
AMMONIUM LACTATE,3517
AMOXAPINE,68
AMOXICILLIN,63625
AMOXICILLIN/POTASSIUM CLAV,31674
AMPICILLIN SODIUM,78
AMPICILLIN SODIUM/SULBACTAM NA,53
AMPICILLIN TRIHYDRATE,210
ANAGRELIDE HCL,397
ANAKINRA,12
ANASTROZOLE,19583
ANTIPYRINE/BENZOCAINE,26
APIXABAN,17635
APOMORPHINE HCL,25
APRACLONIDINE HCL,11
APREMILAST,181
ARFORMOTEROL TARTRATE,134
ARIPIPRAZOLE,36278
ARMODAFINIL,690
ARTEMETHER/LUMEFANTRINE,11
ASENAPINE MALEATE,1491
ASPIRIN/DIPYRIDAMOLE,3033
ATAZANAVIR SULFATE,3303
ATAZANAVIR SULFATE/COBICISTAT,34
ATENOLOL,229358
ATENOLOL/CHLORTHALIDONE,2314
ATOMOXETINE HCL,1751
ATORVASTATIN CALCIUM,620645
ATOVAQUONE,75
ATOVAQUONE/PROGUANIL HCL,372
ATROPINE SULFATE,406
AXITINIB,23
AZATHIOPRINE,7705
AZELAIC ACID,130
AZELASTINE HCL,7143
AZELASTINE/FLUTICASONE,248
AZILSARTAN MED/CHLORTHALIDONE,23
AZILSARTAN MEDOXOMIL,124
AZITHROMYCIN,84333
BACITRACIN,533
BACITRACIN/POLYMYXIN B SULFATE,243
BACLOFEN,64161
BALSALAZIDE DISODIUM,896
BECLOMETHASONE DIPROPIONATE,30991
BELATACEPT,25
BENAZEPRIL HCL,31314
BENAZEPRIL/HYDROCHLOROTHIAZIDE,1985
BENZTROPINE MESYLATE,32519
BEPOTASTINE BESILATE,52
BESIFLOXACIN HCL,2200
BETAINE,13
BETAMETHASONE DIPROPIONATE,2338
BETAMETHASONE VALERATE,682
BETAMETHASONE/PROPYLENE GLYC,1654
BETAXOLOL HCL,666
BETHANECHOL CHLORIDE,1427
BICALUTAMIDE,2800
BIMATOPROST,18831
BISOPROLOL FUMARATE,4275
BISOPROLOL FUMARATE/HCTZ,3446
BOSENTAN,636
BREXPIPRAZOLE,11
BRIMONIDINE TARTRATE,27847
BRIMONIDINE TARTRATE/TIMOLOL,10977
BRINZOLAMIDE,4808
BRINZOLAMIDE/BRIMONIDINE TART,1826
BROMFENAC SODIUM,1662
BROMOCRIPTINE MESYLATE,227
BUDESONIDE,4944
BUDESONIDE/FORMOTEROL FUMARATE,32781
BUMETANIDE,7008
BUPIVACAINE HCL/PF,11
BUPRENORPHINE,2470
BUPRENORPHINE HCL,2835
BUPRENORPHINE HCL/NALOXONE HCL,7806
BUPROPION HCL,109610
BUSPIRONE HCL,49588
BUTALB/ACETAMINOPHEN/CAFFEINE,4139
BUTALBIT/ACETAMIN/CAFF/CODEINE,676
BUTALBITAL/ACETAMINOPHEN,36
BUTALBITAL/ASPIRIN/CAFFEINE,334
BUTORPHANOL TARTRATE,435
C1 ESTERASE INHIBITOR,65
CABERGOLINE,441
CABOZANTINIB S-MALATE,11
CALCIPOTRIENE,946
CALCIPOTRIENE/BETAMETHASONE,11
"CALCITONIN,SALMON,SYNTHETIC",3787
CALCITRIOL,18929
CALCIUM ACETATE,5747
CANAGLIFLOZIN,3825
CANAGLIFLOZIN/METFORMIN HCL,124
CANDESARTAN CILEXETIL,1279
CANDESARTAN/HYDROCHLOROTHIAZID,158
CAPTOPRIL,860
CAPTOPRIL/HYDROCHLOROTHIAZIDE,12
CARBAMAZEPINE,24616
CARBIDOPA,134
CARBIDOPA/LEVODOPA,56331
CARBIDOPA/LEVODOPA/ENTACAPONE,1093
CARISOPRODOL,10931
CARTEOLOL HCL,256
CARVEDILOL,182639
CARVEDILOL PHOSPHATE,672
CEFACLOR,243
CEFADROXIL,431
CEFAZOLIN SODIUM,133
"CEFAZOLIN SODIUM/DEXTROSE,ISO",14
CEFDINIR,2384
CEFEPIME HCL,186
"CEFEPIME HCL/DEXTROSE, ISO-OSM",90
CEFIXIME,11
CEFPODOXIME PROXETIL,1539
CEFPROZIL,129
CEFTAZIDIME,139
"CEFTRIAXONE NA/DEXTROSE,ISO",158
CEFTRIAXONE SODIUM,2405
CEFUROXIME AXETIL,8215
CELECOXIB,19697
CEPHALEXIN,70482
CERTOLIZUMAB PEGOL,284
CETIRIZINE HCL,62
CEVIMELINE HCL,665
CHLORAMBUCIL,76
CHLORDIAZEPOXIDE HCL,363
CHLORHEXIDINE GLUCONATE,20117
CHLOROQUINE PHOSPHATE,18
CHLOROTHIAZIDE,184
CHLORPROMAZINE HCL,1865
CHLORTHALIDONE,24161
CHLORZOXAZONE,287
CHOLESTYRAMINE (WITH SUGAR),2579
CHOLESTYRAMINE/ASPARTAME,411
CICLESONIDE,313
CICLOPIROX,2780
CICLOPIROX OLAMINE,3224
CILOSTAZOL,4132
CIMETIDINE,218
CINACALCET HCL,10342
CIPROFLOXACIN HCL,70840
CIPROFLOXACIN HCL/DEXAMETH,647
CITALOPRAM HYDROBROMIDE,222415
CITRIC ACID/G-LACTONE/MAG CARB,210
CLARITHROMYCIN,874
CLEMASTINE FUMARATE,58
CLINDAMYCIN HCL,9250
CLINDAMYCIN PHOS/BENZOYL PEROX,13
CLINDAMYCIN PHOSPHATE,2574
CLOBAZAM,920
CLOBETASOL PROPIONATE,27248
CLOBETASOL PROPIONATE/EMOLL,229
CLOMIPRAMINE HCL,1243
CLONAZEPAM,143730
CLONIDINE,2534
CLONIDINE HCL,38284
CLOPIDOGREL BISULFATE,159908
