generic_name,claim_count
0.9 % SODIUM CHLORIDE,1280
ABACAVIR SULFATE,512
ABACAVIR SULFATE/LAMIVUDINE,745
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,517
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,22
ABATACEPT,677
ABIRATERONE ACETATE,1655
ACAMPROSATE CALCIUM,599
ACARBOSE,1206
ACEBUTOLOL HCL,823
ACETAMINOPHEN WITH CODEINE,42255
ACETAZOLAMIDE,3856
ACETIC ACID,658
ACETIC ACID/ALUMINUM ACETATE,11
ACETIC ACID/HYDROCORTISONE,12
ACETYLCYSTEINE,381
ACITRETIN,331
ACLIDINIUM BROMIDE,2130
ACYCLOVIR,15566
ADALIMUMAB,7843
ADAPALENE/BENZOYL PEROXIDE,11
ADEFOVIR DIPIVOXIL,49
AFATINIB DIMALEATE,13
AGALSIDASE BETA,18
ALBIGLUTIDE,26
ALBUTEROL SULFATE,194722
ALCAFTADINE,88
ALCLOMETASONE DIPROPIONATE,297
ALCOHOL ANTISEPTIC PADS,3104
ALENDRONATE SODIUM,134523
ALENDRONATE SODIUM/VITAMIN D3,63
ALFUZOSIN HCL,5865
ALISKIREN HEMIFUMARATE,783
ALISKIREN/HYDROCHLOROTHIAZIDE,26
ALLOPURINOL,172895
ALMOTRIPTAN MALATE,24
ALOSETRON HCL,53
ALPHA-1-PROTEINASE INHIBITOR,228
ALPRAZOLAM,195092
AMANTADINE HCL,8703
AMBRISENTAN,1278
AMIKACIN SULFATE,83
AMILORIDE HCL,1162
AMILORIDE/HYDROCHLOROTHIAZIDE,738
AMINOCAPROIC ACID,12
AMIODARONE HCL,34808
AMITRIP HCL/CHLORDIAZEPOXIDE,111
AMITRIPTYLINE HCL,60534
AMLODIPINE BES/OLMESARTAN MED,1663
AMLODIPINE BESYLATE,571015
AMLODIPINE BESYLATE/BENAZEPRIL,12426
AMLODIPINE/ATORVASTATIN,375
AMLODIPINE/VALSARTAN,1144
AMLODIPINE/VALSARTAN/HCTHIAZID,325
AMMONIUM LACTATE,3882
AMOXAPINE,307
AMOXICILLIN,101319
AMOXICILLIN/POTASSIUM CLAV,35531
AMPHOTERICIN B,189
AMPICILLIN SODIUM,14
AMPICILLIN SODIUM/SULBACTAM NA,32
AMPICILLIN TRIHYDRATE,191
ANAGRELIDE HCL,365
ANAKINRA,27
ANASTROZOLE,24131
APIXABAN,22184
APRACLONIDINE HCL,36
APREMILAST,209
APREPITANT,11
ARFORMOTEROL TARTRATE,161
ARIPIPRAZOLE,52943
ARMODAFINIL,1170
ASENAPINE MALEATE,2237
ASPIRIN/DIPYRIDAMOLE,3759
ATAZANAVIR SULFATE,1029
ATENOLOL,258391
ATENOLOL/CHLORTHALIDONE,8060
ATOMOXETINE HCL,2324
ATORVASTATIN CALCIUM,661610
ATOVAQUONE,137
ATOVAQUONE/PROGUANIL HCL,356
ATROPINE SULFATE,414
