generic_name,claim_count
0.9 % SODIUM CHLORIDE,1801
ABACAVIR SULFATE,92
ABACAVIR SULFATE/LAMIVUDINE,131
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,84
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,23
ABATACEPT,114
ABIRATERONE ACETATE,488
ACAMPROSATE CALCIUM,197
ACARBOSE,1027
ACEBUTOLOL HCL,329
ACETAMINOPHEN WITH CODEINE,22878
ACETAZOLAMIDE,1153
ACETIC ACID,177
ACETIC ACID/HYDROCORTISONE,28
ACETYLCYSTEINE,98
ACITRETIN,147
ACLIDINIUM BROMIDE,1952
ACYCLOVIR,4685
ADALIMUMAB,2858
ADAPALENE,12
AGALSIDASE BETA,26
ALBIGLUTIDE,73
ALBUTEROL SULFATE,119803
ALCAFTADINE,54
ALCLOMETASONE DIPROPIONATE,58
ALCOHOL ANTISEPTIC PADS,411
ALENDRONATE SODIUM,40446
ALENDRONATE SODIUM/VITAMIN D3,11
ALFUZOSIN HCL,2174
ALISKIREN HEMIFUMARATE,897
ALISKIREN/HYDROCHLOROTHIAZIDE,129
ALLOPURINOL,62314
ALMOTRIPTAN MALATE,11
ALOGLIPTIN BENZ/METFORMIN HCL,17
ALOGLIPTIN BENZOATE,11
ALOSETRON HCL,24
ALPHA-1-PROTEINASE INHIBITOR,410
ALPRAZOLAM,182899
AMANTADINE HCL,2033
AMBRISENTAN,259
AMIKACIN SULFATE,22
AMILORIDE HCL,199
AMILORIDE/HYDROCHLOROTHIAZIDE,223
AMIODARONE HCL,18238
AMITRIP HCL/CHLORDIAZEPOXIDE,107
AMITRIPTYLINE HCL,37489
AMLODIPINE BES/OLMESARTAN MED,2402
AMLODIPINE BESYLATE,263819
AMLODIPINE BESYLATE/BENAZEPRIL,18606
AMLODIPINE/ATORVASTATIN,385
AMLODIPINE/VALSARTAN,2603
AMLODIPINE/VALSARTAN/HCTHIAZID,481
AMMONIUM LACTATE,1076
AMOXAPINE,46
AMOXICILLIN,47796
AMOXICILLIN/POTASSIUM CLAV,32037
AMPICILLIN SODIUM,12
AMPICILLIN SODIUM/SULBACTAM NA,50
AMPICILLIN TRIHYDRATE,636
ANAGRELIDE HCL,159
ANAKINRA,12
ANASTROZOLE,7609
APIXABAN,22538
APRACLONIDINE HCL,133
