generic_name,claim_count
0.9 % SODIUM CHLORIDE,88
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,13
ABATACEPT,21
ABIRATERONE ACETATE,13
ACAMPROSATE CALCIUM,11
ACEBUTOLOL HCL,69
ACETAMINOPHEN WITH CODEINE,1419
ACETAZOLAMIDE,133
ACETIC ACID,12
ACITRETIN,39
ACLIDINIUM BROMIDE,164
ACYCLOVIR,833
ADALIMUMAB,451
ALBIGLUTIDE,61
ALBUTEROL SULFATE,12182
ALCOHOL ANTISEPTIC PADS,48
ALENDRONATE SODIUM,6036
ALENDRONATE SODIUM/VITAMIN D3,11
ALFUZOSIN HCL,284
ALISKIREN HEMIFUMARATE,38
ALISKIREN/HYDROCHLOROTHIAZIDE,12
ALLOPURINOL,12932
ALPHA-1-PROTEINASE INHIBITOR,64
ALPRAZOLAM,9744
AMANTADINE HCL,241
AMBRISENTAN,41
AMILORIDE HCL,16
AMILORIDE/HYDROCHLOROTHIAZIDE,106
AMIODARONE HCL,1276
AMITRIPTYLINE HCL,4677
AMLODIPINE BES/OLMESARTAN MED,72
AMLODIPINE BESYLATE,36257
AMLODIPINE BESYLATE/BENAZEPRIL,1015
AMLODIPINE/VALSARTAN,109
AMLODIPINE/VALSARTAN/HCTHIAZID,41
AMMONIUM LACTATE,32
AMOXAPINE,20
AMOXICILLIN,5990
AMOXICILLIN/POTASSIUM CLAV,3433
AMPICILLIN TRIHYDRATE,25
ANAGRELIDE HCL,47
ANASTROZOLE,947
APIXABAN,1490
ARFORMOTEROL TARTRATE,24
ARIPIPRAZOLE,3767
ARMODAFINIL,27
ASENAPINE MALEATE,149
ASPIRIN/DIPYRIDAMOLE,153
ATAZANAVIR SULFATE,45
ATENOLOL,11833
ATENOLOL/CHLORTHALIDONE,172
ATOMOXETINE HCL,253
ATORVASTATIN CALCIUM,34157
ATOVAQUONE/PROGUANIL HCL,16
ATROPINE SULFATE,12
AZATHIOPRINE,276
AZELAIC ACID,15
AZELASTINE HCL,169
AZILSARTAN MED/CHLORTHALIDONE,24
AZILSARTAN MEDOXOMIL,12
AZITHROMYCIN,8057
BACITRACIN,91
BACLOFEN,3789
BALSALAZIDE DISODIUM,25
BECLOMETHASONE DIPROPIONATE,245
BENAZEPRIL HCL,2138
BENAZEPRIL/HYDROCHLOROTHIAZIDE,175
BENZTROPINE MESYLATE,1855
BETAMETHASONE DIPROPIONATE,184
BETAMETHASONE VALERATE,226
BETAMETHASONE/PROPYLENE GLYC,94
BETAXOLOL HCL,40
BETHANECHOL CHLORIDE,44
BICALUTAMIDE,248
BIMATOPROST,2791
BISOPROLOL FUMARATE,105
BISOPROLOL FUMARATE/HCTZ,175
BOSENTAN,125
BRIMONIDINE TARTRATE,1532
BRIMONIDINE TARTRATE/TIMOLOL,889
BRINZOLAMIDE,194
BRINZOLAMIDE/BRIMONIDINE TART,237
BROMOCRIPTINE MESYLATE,11
BUDESONIDE,556
BUDESONIDE/FORMOTEROL FUMARATE,4298
BUMETANIDE,1000
BUPRENORPHINE,369
BUPRENORPHINE HCL,212
BUPRENORPHINE HCL/NALOXONE HCL,540
BUPROPION HCL,6261
BUSPIRONE HCL,3855
BUTALB/ACETAMINOPHEN/CAFFEINE,344
BUTALBIT/ACETAMIN/CAFF/CODEINE,24
BUTALBITAL/ASPIRIN/CAFFEINE,50
BUTORPHANOL TARTRATE,27
CABERGOLINE,52
CALCIPOTRIENE,22
"CALCITONIN,SALMON,SYNTHETIC",383
CALCITRIOL,1416
CALCIUM ACETATE,103
CANAGLIFLOZIN,365
CANAGLIFLOZIN/METFORMIN HCL,11
CANDESARTAN CILEXETIL,35
CAPTOPRIL,136
CARBAMAZEPINE,1893
CARBIDOPA/LEVODOPA,2449
CARBIDOPA/LEVODOPA/ENTACAPONE,160
CARISOPRODOL,838
CARVEDILOL,10875
CARVEDILOL PHOSPHATE,49
CEFADROXIL,40
CEFAZOLIN SODIUM,12
CEFDINIR,387
CEFPODOXIME PROXETIL,32
CEFPROZIL,183
"CEFTRIAXONE NA/DEXTROSE,ISO",13
CEFTRIAXONE SODIUM,120
CEFUROXIME AXETIL,1325
CELECOXIB,4102
CEPHALEXIN,4984
CETIRIZINE HCL,12
CEVIMELINE HCL,25
CHLORDIAZEPOXIDE HCL,63
CHLORHEXIDINE GLUCONATE,1076
CHLOROTHIAZIDE,42
CHLORPROMAZINE HCL,85
CHLORTHALIDONE,1320
CHOLESTYRAMINE (WITH SUGAR),305
CICLOPIROX,114
CICLOPIROX OLAMINE,40
CILOSTAZOL,173
CINACALCET HCL,273
CIPROFLOXACIN HCL,5275
CIPROFLOXACIN HCL/DEXAMETH,55
CITALOPRAM HYDROBROMIDE,15506
CLARITHROMYCIN,158
CLINDAMYCIN HCL,1264
CLINDAMYCIN PHOS/BENZOYL PEROX,12
CLINDAMYCIN PHOSPHATE,178
CLOBAZAM,160
CLOBETASOL PROPIONATE,1074
CLOMIPRAMINE HCL,133
CLONAZEPAM,9371
CLONIDINE,230
CLONIDINE HCL,2555
CLOPIDOGREL BISULFATE,10782
CLORAZEPATE DIPOTASSIUM,98
CLOTRIMAZOLE,90
CLOTRIMAZOLE/BETAMETHASONE DIP,235
CLOZAPINE,1292
CODEINE SULFATE,37
CODEINE/BUTALBITAL/ASA/CAFFEIN,44
COLCHICINE,408
COLCHICINE/PROBENECID,67
COLESEVELAM HCL,127
COLESTIPOL HCL,29
CYCLOBENZAPRINE HCL,5357
CYCLOSPORINE,1210
CYPROHEPTADINE HCL,26
DABIGATRAN ETEXILATE MESYLATE,723
DALFAMPRIDINE,130
DANAZOL,19
DANTROLENE SODIUM,66
DAPAGLIFLOZIN PROPANEDIOL,157
DAPSONE,24
DAPTOMYCIN,35
DARIFENACIN HYDROBROMIDE,49
DARUNAVIR ETHANOLATE,29
DASATINIB,12
DEFERASIROX,14
DENOSUMAB,13
DESIPRAMINE HCL,12
DESLORATADINE,12
DESMOPRESSIN ACETATE,91
DESOG-E.ESTRADIOL/E.ESTRADIOL,11
DESOGESTREL-ETHINYL ESTRADIOL,25
DESONIDE,135
DESOXIMETASONE,11
DESVENLAFAXINE SUCCINATE,735
DEXAMETHASONE,319
DEXLANSOPRAZOLE,3502
DEXTROAMPHETAMINE SULFATE,125
DEXTROAMPHETAMINE/AMPHETAMINE,1214
DEXTROMETHORPHAN HBR/QUINIDINE,88
DEXTROSE 5 %-0.45 % NACL,25
DIAZEPAM,4040
DICLOFENAC EPOLAMINE,32
DICLOFENAC POTASSIUM,62
DICLOFENAC SODIUM,3115
DICLOFENAC SODIUM/MISOPROSTOL,49
DICYCLOMINE HCL,688
DIFLUNISAL,17
DIFLUPREDNATE,838
DIGOXIN,4320
DILTIAZEM HCL,4880
DIMETHYL FUMARATE,181
"DIPH,PERTUSS(ACELL),TET VAC/PF",26
DIPHENOXYLATE HCL/ATROPINE,588
"DIPHTH,PERTUSS(ACELL),TET VAC",82
DIPYRIDAMOLE,12
DIVALPROEX SODIUM,4111
DOFETILIDE,333
DONEPEZIL HCL,8014
DORZOLAMIDE HCL,486
DORZOLAMIDE HCL/TIMOLOL MALEAT,818
DORZOLAMIDE/TIMOLOL/PF,23
DOXAZOSIN MESYLATE,3485
DOXEPIN HCL,513
DOXYCYCLINE HYCLATE,1946
DOXYCYCLINE MONOHYDRATE,502
DRONABINOL,26
DRONEDARONE HCL,311
DULOXETINE HCL,11480
DUTASTERIDE,918
DUTASTERIDE/TAMSULOSIN HCL,48
ECONAZOLE NITRATE,113
EFAVIRENZ,66
EFAVIRENZ/EMTRICITAB/TENOFOVIR,62
EFINACONAZOLE,12
ELETRIPTAN HBR,15
ELTROMBOPAG OLAMINE,13
EMPAGLIFLOZIN,34
EMTRICITABINE/TENOFOVIR,122
ENALAPRIL MALEATE,3710
ENALAPRIL/HYDROCHLOROTHIAZIDE,71
ENOXAPARIN SODIUM,405
ENTACAPONE,111
ENZALUTAMIDE,60
EPINASTINE HCL,11
EPINEPHRINE,28
EPLERENONE,36
EPOETIN ALFA,102
ERLOTINIB HCL,13
ERTAPENEM SODIUM,11
ERYTHROMYCIN BASE,259
ESCITALOPRAM OXALATE,11521
ESOMEPRAZOLE MAGNESIUM,5083
ESTRADIOL,3041
"ESTROGEN,CON/M-PROGEST ACET",128
"ESTROGENS, CONJUGATED",2335
ESTROPIPATE,65
ESZOPICLONE,251
ETANERCEPT,395
ETHACRYNIC ACID,23
ETHAMBUTOL HCL,11
ETHINYL ESTRADIOL/DROSPIRENONE,39
ETODOLAC,279
EVEROLIMUS,16
EXEMESTANE,68
EXENATIDE,49
EXENATIDE MICROSPHERES,182
EZETIMIBE,2464
EZETIMIBE/SIMVASTATIN,414
FAMCICLOVIR,19
FAMOTIDINE,2985
FEBUXOSTAT,500
FELBAMATE,36
FELODIPINE,624
FENOFIBRATE,823
FENOFIBRATE NANOCRYSTALLIZED,1635
"FENOFIBRATE,MICRONIZED",189
