generic_name,claim_count
ACETAMINOPHEN WITH CODEINE,18
ALBUTEROL SULFATE,85
ALCOHOL ANTISEPTIC PADS,13
ALENDRONATE SODIUM,85
ALLOPURINOL,50
ALPRAZOLAM,105
AMIODARONE HCL,13
AMITRIPTYLINE HCL,15
AMLODIPINE BESYLATE,290
AMLODIPINE BESYLATE/BENAZEPRIL,32
AMLODIPINE/VALSARTAN,16
AMOXICILLIN/POTASSIUM CLAV,149
ATENOLOL,145
ATORVASTATIN CALCIUM,417
AZITHROMYCIN,35
BACLOFEN,20
BENAZEPRIL HCL,12
BISOPROLOL FUMARATE/HCTZ,22
BUDESONIDE/FORMOTEROL FUMARATE,36
BUPROPION HCL,33
CARVEDILOL,185
CEFPODOXIME PROXETIL,16
CIMETIDINE,25
CIPROFLOXACIN HCL,68
CITALOPRAM HYDROBROMIDE,41
CLINDAMYCIN HCL,47
CLONAZEPAM,84
CLONIDINE HCL,147
CLOPIDOGREL BISULFATE,109
CLOTRIMAZOLE/BETAMETHASONE DIP,38
CYCLOBENZAPRINE HCL,15
DEXLANSOPRAZOLE,20
DIAZEPAM,26
DIGOXIN,18
DILTIAZEM HCL,11
DIVALPROEX SODIUM,14
DONEPEZIL HCL,36
DOXAZOSIN MESYLATE,23
DOXYCYCLINE HYCLATE,14
DULOXETINE HCL,20
DUTASTERIDE,12
ENALAPRIL MALEATE,65
ESCITALOPRAM OXALATE,110
ESOMEPRAZOLE MAGNESIUM,62
ESZOPICLONE,17
EXENATIDE,11
EZETIMIBE,42
FELODIPINE,12
FENOFIBRATE NANOCRYSTALLIZED,18
FINASTERIDE,64
FLECAINIDE ACETATE,14
FLUCONAZOLE,24
FLUOXETINE HCL,73
FLUTICASONE PROPIONATE,66
FLUTICASONE/SALMETEROL,46
FUROSEMIDE,257
GABAPENTIN,129
GLIMEPIRIDE,133
GLIPIZIDE,75
GLYCOPYRROLATE,25
HYDRALAZINE HCL,35
HYDROCHLOROTHIAZIDE,142
HYDROCODONE/ACETAMINOPHEN,109
IBUPROFEN,15
INSULIN ASPART,67
INSULIN DETEMIR,24
"INSULIN GLARGINE,HUM.REC.ANLOG",58
INSULIN LISPRO,12
IPRATROPIUM/ALBUTEROL SULFATE,40
ISOSORBIDE MONONITRATE,20
LACTULOSE,47
LAMOTRIGINE,22
LANSOPRAZOLE,14
LEVETIRACETAM,70
LEVOCETIRIZINE DIHYDROCHLORIDE,14
LEVOFLOXACIN,85
LEVOTHYROXINE SODIUM,442
LISINOPRIL,341
LISINOPRIL/HYDROCHLOROTHIAZIDE,43
LORAZEPAM,99
LOSARTAN POTASSIUM,325
LOSARTAN/HYDROCHLOROTHIAZIDE,106
LUBIPROSTONE,11
MECLIZINE HCL,20
MELOXICAM,44
MEMANTINE HCL,18
METFORMIN HCL,373
METHYLPREDNISOLONE,34
METOLAZONE,12
METOPROLOL SUCCINATE,147
METOPROLOL TARTRATE,118
METRONIDAZOLE,18
MIRTAZAPINE,23
MOMETASONE FUROATE,13
MONTELUKAST SODIUM,59
MOXIFLOXACIN HCL,12
NAPROXEN,133
NEBIVOLOL HCL,46
NIACIN,13
NIFEDIPINE,201
NITROFURANTOIN MONOHYD/M-CRYST,19
NYSTATIN,20
OLANZAPINE,30
OLMESARTAN MEDOXOMIL,33
OLMESARTAN/AMLODIPIN/HCTHIAZID,12
OLMESARTAN/HYDROCHLOROTHIAZIDE,33
OMEPRAZOLE,204
OXYBUTYNIN CHLORIDE,43
OXYCODONE HCL,15
PANTOPRAZOLE SODIUM,199
PAROXETINE HCL,24
"PEN NEEDLE, DIABETIC",68
PHENYTOIN SODIUM EXTENDED,32
POLYETHYLENE GLYCOL 3350,57
POTASSIUM CHLORIDE,166
PRAMIPEXOLE DI-HCL,12
PRAVASTATIN SODIUM,75
PREDNISONE,18
PREGABALIN,24
PRIMIDONE,23
PROMETHAZINE HCL,11
PROPRANOLOL HCL,33
QUETIAPINE FUMARATE,74
RALOXIFENE HCL,23
RAMIPRIL,14
RANITIDINE HCL,22
RISPERIDONE,36
RIVAROXABAN,11
ROSUVASTATIN CALCIUM,106
SERTRALINE HCL,118
SEVELAMER CARBONATE,14
SIMVASTATIN,343
SITAGLIPTIN PHOS/METFORMIN HCL,21
SITAGLIPTIN PHOSPHATE,37
SPIRONOLACTONE,19
SUCRALFATE,29
SULFAMETHOXAZOLE/TRIMETHOPRIM,20
TAMSULOSIN HCL,129
TEMAZEPAM,63
TESTOSTERONE,13
TIOTROPIUM BROMIDE,19
TIZANIDINE HCL,57
TOLTERODINE TARTRATE,19
TRAMADOL HCL,137
TRAMADOL HCL/ACETAMINOPHEN,52
TRAZODONE HCL,66
TRIAMCINOLONE ACETONIDE,42
TRIAMTERENE/HYDROCHLOROTHIAZID,28
VALPROIC ACID,11
VALSARTAN,79
VALSARTAN/HYDROCHLOROTHIAZIDE,37
VERAPAMIL HCL,12
WARFARIN SODIUM,30
ZOLPIDEM TARTRATE,140
ZOSTER VACCINE LIVE/PF,89
