generic_name,claim_count
ACETAMINOPHEN WITH CODEINE,374
ACLIDINIUM BROMIDE,32
ACYCLOVIR,30
ALBUTEROL SULFATE,779
ALCOHOL ANTISEPTIC PADS,17
ALENDRONATE SODIUM,173
ALLOPURINOL,124
ALPRAZOLAM,476
AMITRIPTYLINE HCL,45
AMLODIPINE BESYLATE,1015
AMMONIUM LACTATE,39
AMOXICILLIN,867
AMOXICILLIN/POTASSIUM CLAV,204
APIXABAN,31
ARIPIPRAZOLE,260
ASENAPINE MALEATE,59
ATENOLOL,229
ATENOLOL/CHLORTHALIDONE,12
ATOMOXETINE HCL,16
ATORVASTATIN CALCIUM,1032
AZITHROMYCIN,333
BACLOFEN,130
BECLOMETHASONE DIPROPIONATE,16
BENAZEPRIL HCL,37
BENZTROPINE MESYLATE,185
BETAMETHASONE DIPROPIONATE,12
BETAMETHASONE VALERATE,14
BRIMONIDINE TARTRATE,17
BRIMONIDINE TARTRATE/TIMOLOL,15
BUDESONIDE/FORMOTEROL FUMARATE,213
BUPROPION HCL,340
BUSPIRONE HCL,263
BUTALB/ACETAMINOPHEN/CAFFEINE,11
CANAGLIFLOZIN,25
CARBAMAZEPINE,56
CARBIDOPA/LEVODOPA,21
CARISOPRODOL,13
CARVEDILOL,233
CEFDINIR,11
CELECOXIB,57
CEPHALEXIN,106
CHLORHEXIDINE GLUCONATE,228
CHLORTHALIDONE,22
CHLORZOXAZONE,13
CIPROFLOXACIN HCL,300
CIPROFLOXACIN HCL/DEXAMETH,32
CITALOPRAM HYDROBROMIDE,242
CLINDAMYCIN HCL,106
CLOBAZAM,31
CLOBETASOL PROPIONATE,56
CLONAZEPAM,609
CLONIDINE HCL,93
CLOPIDOGREL BISULFATE,224
CLOTRIMAZOLE/BETAMETHASONE DIP,11
CLOZAPINE,95
COLCHICINE,13
CYCLOBENZAPRINE HCL,67
DESVENLAFAXINE SUCCINATE,42
DEXTROAMPHETAMINE SULFATE,12
DEXTROAMPHETAMINE/AMPHETAMINE,66
DIAZEPAM,40
DICLOFENAC POTASSIUM,11
DICLOFENAC SODIUM,189
DICYCLOMINE HCL,32
DIGOXIN,37
DILTIAZEM HCL,133
DIVALPROEX SODIUM,271
DONEPEZIL HCL,248
DOXAZOSIN MESYLATE,11
DOXEPIN HCL,38
DOXYCYCLINE HYCLATE,71
DOXYCYCLINE MONOHYDRATE,59
DULOXETINE HCL,382
ENALAPRIL MALEATE,108
EPINEPHRINE,22
EPLERENONE,14
ERTAPENEM SODIUM,11
ERYTHROMYCIN BASE,15
ESCITALOPRAM OXALATE,184
ESOMEPRAZOLE MAGNESIUM,103
ESTRADIOL,73
"ESTROGENS, CONJUGATED",41
EZETIMIBE,14
FAMOTIDINE,90
FENOFIBRATE,25
FENTANYL,171
FINASTERIDE,108
FLUCONAZOLE,33
FLUOCINONIDE,13
FLUOROMETHOLONE,23
FLUOXETINE HCL,278
FLUTICASONE PROPIONATE,703
FLUTICASONE/SALMETEROL,200
FLUTICASONE/VILANTEROL,33
FLUVOXAMINE MALEATE,33
FUROSEMIDE,587
GABAPENTIN,971
GALANTAMINE HBR,11
GEMFIBROZIL,34
GLATIRAMER ACETATE,12
GLIMEPIRIDE,43
GLIPIZIDE,157
GLYBURIDE/METFORMIN HCL,19
HALOPERIDOL,50
HYDRALAZINE HCL,59
HYDROCHLOROTHIAZIDE,419
HYDROCODONE/ACETAMINOPHEN,1529
HYDROCODONE/IBUPROFEN,26
HYDROCORTISONE,36
HYDROXYCHLOROQUINE SULFATE,153
HYDROXYZINE HCL,14
HYDROXYZINE PAMOATE,69
IBUPROFEN,478
ILOPERIDONE,16
IMIPRAMINE HCL,13
INSULIN ASPART,38
INSULIN ASPART PROTAM & ASPART,25
INSULIN DETEMIR,67
"INSULIN GLARGINE,HUM.REC.ANLOG",122
INSULIN LISPRO,30
INSULIN NPH HUM/REG INSULIN HM,18
INSULIN NPH HUMAN ISOPHANE,54
"INSULIN REGULAR, HUMAN",11
IPRATROPIUM BROMIDE,118
IPRATROPIUM/ALBUTEROL SULFATE,99
IRBESARTAN,17
IRBESARTAN/HYDROCHLOROTHIAZIDE,13
ISOSORBIDE MONONITRATE,113
KETOCONAZOLE,98
LACTULOSE,46
LAMOTRIGINE,471
LANSOPRAZOLE,23
LEFLUNOMIDE,35
LEVALBUTEROL TARTRATE,15
LEVETIRACETAM,148
LEVOCETIRIZINE DIHYDROCHLORIDE,24
LEVOFLOXACIN,49
LEVOTHYROXINE SODIUM,679
LIDOCAINE,75
LINACLOTIDE,35
LIPASE/PROTEASE/AMYLASE,53
LIRAGLUTIDE,11
LISINOPRIL,890
LISINOPRIL/HYDROCHLOROTHIAZIDE,171
LITHIUM CARBONATE,129
LORAZEPAM,421
LOSARTAN POTASSIUM,395
LOSARTAN/HYDROCHLOROTHIAZIDE,160
LOVASTATIN,70
LURASIDONE HCL,182
MECLIZINE HCL,15
MELOXICAM,186
MEMANTINE HCL,39
METFORMIN HCL,605
METHADONE HCL,64
METHENAMINE HIPPURATE,20
METHOTREXATE SODIUM,118
METHYLPHENIDATE HCL,11
METHYLPREDNISOLONE,80
METOCLOPRAMIDE HCL,16
METOPROLOL SUCCINATE,202
METOPROLOL TARTRATE,582
METRONIDAZOLE,13
MIDODRINE HCL,17
MIRABEGRON,45
MIRTAZAPINE,327
MISOPROSTOL,13
MOMETASONE FUROATE,36
MOMETASONE/FORMOTEROL,15
MONTELUKAST SODIUM,278
MORPHINE SULFATE,183
MUPIROCIN,37
MYCOPHENOLATE MOFETIL,11
NABUMETONE,32
NAPROXEN,146
NEO/POLYMYX B SULF/DEXAMETH,24
NIFEDIPINE,36
NITROFURANTOIN MACROCRYSTAL,41
NITROFURANTOIN MONOHYD/M-CRYST,29
NITROGLYCERIN,57
NORTRIPTYLINE HCL,30
NYSTATIN,55
NYSTATIN/TRIAMCIN,27
OFLOXACIN,30
OLANZAPINE,221
OLMESARTAN/AMLODIPIN/HCTHIAZID,11
OMEGA-3 ACID ETHYL ESTERS,15
OMEPRAZOLE,1045
ONDANSETRON,26
ONDANSETRON HCL,29
OXCARBAZEPINE,11
OXYBUTYNIN CHLORIDE,297
OXYCODONE HCL,312
OXYCODONE HCL/ACETAMINOPHEN,372
PALIPERIDONE PALMITATE,86
PANTOPRAZOLE SODIUM,164
PAROXETINE HCL,109
PEG3350/SOD SUL/NACL/ASB/C/KCL,39
"PEN NEEDLE, DIABETIC",37
PENICILLIN V POTASSIUM,81
PENTOSAN POLYSULFATE SODIUM,14
PENTOXIFYLLINE,22
PERPHENAZINE,13
PHENYTOIN,39
PIOGLITAZONE HCL,20
POLYETHYLENE GLYCOL 3350,64
POTASSIUM CHLORIDE,234
PRAMIPEXOLE DI-HCL,36
PRAVASTATIN SODIUM,219
PRAZOSIN HCL,27
PREDNISOLONE ACETATE,74
PREDNISONE,324
PREGABALIN,213
PRIMIDONE,11
PROCHLORPERAZINE MALEATE,11
PROMETHAZINE HCL,33
PROPRANOLOL HCL,88
QUETIAPINE FUMARATE,641
QUININE SULFATE,11
RALOXIFENE HCL,16
RAMELTEON,23
RAMIPRIL,27
RANITIDINE HCL,298
RISPERIDONE,278
RISPERIDONE MICROSPHERES,24
RIVAROXABAN,11
RIVASTIGMINE,14
ROFLUMILAST,20
ROPINIROLE HCL,28
ROSUVASTATIN CALCIUM,72
SERTRALINE HCL,506
SILDENAFIL CITRATE,13
SILODOSIN,12
SILVER SULFADIAZINE,13
SIMVASTATIN,937
SODIUM FLUORIDE,13
SPIRONOLACTONE,77
SULFAMETHOXAZOLE/TRIMETHOPRIM,160
SULFASALAZINE,21
SUMATRIPTAN SUCCINATE,53
"SYRING W-NDL,DISP,INSUL,0.5 ML",27
"SYRINGE AND NEEDLE,INSULIN,1ML",15
TAMSULOSIN HCL,431
TEMAZEPAM,78
TERAZOSIN HCL,108
TESTOSTERONE,12
TIAGABINE HCL,11
TIOTROPIUM BROMIDE,302
TIZANIDINE HCL,99
TOPIRAMATE,82
TRAMADOL HCL,314
TRAVOPROST,12
TRAZODONE HCL,634
TRIAMCINOLONE ACETONIDE,97
TRIAMTERENE/HYDROCHLOROTHIAZID,64
TRIAZOLAM,12
TRIFLUOPERAZINE HCL,17
TRIHEXYPHENIDYL HCL,17
TROSPIUM CHLORIDE,15
VALPROIC ACID,23
VALSARTAN,12
VALSARTAN/HYDROCHLOROTHIAZIDE,15
VANCOMYCIN HCL,14
VENLAFAXINE HCL,302
VERAPAMIL HCL,32
VORTIOXETINE HYDROBROMIDE,20
WARFARIN SODIUM,209
ZIPRASIDONE HCL,120
ZOLPIDEM TARTRATE,287
